LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED 
SH 1016,"Dunsterville, Manchester Road, Rochdale",Rochdale,Available within individual site Pdf,389061,412133,British Coordinate Systems,0.17,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,
SH 1019,"Exeter Street / Durham Street, Rochdale",Rochdale,Available within individual site Pdf,389931,412491,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,
SH 1052,"Land Off Stainton Drive, Site D, Langley",Middleton,Available within individual site Pdf,385893,407092,British Coordinate Systems,1.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 40 properties,40,40,Unknown,29/11/2017,
SH 1062,"Rear of Dicken Green Public House, Off Queensway, Roch",Rochdale,Available within individual site Pdf,389679,411651,British Coordinate Systems,0.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 1094,"Greave Mount, Hudson Walk, Rochdale",Rochdale,Available within individual site Pdf,387836,413419,British Coordinate Systems,0.41,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,
SH 1103,"28-32, Rochdale Road, Middleton",Middleton,Available within individual site Pdf,387079,406562,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1125,"Fmr Redcross Mill, Redcross Street, Rochdale",Rochdale,Available within individual site Pdf,389617,413820,British Coordinate Systems,0.39,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 29 properties,29,29,Unknown,29/11/2017,
SH 1135,"Land At Buxton Street, Heywood",Heywood,Available within individual site Pdf,385729,410190,British Coordinate Systems,0.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 9 properties,9,9,Unknown,29/11/2017,
SH 1146,"Land Junc Wood Street/Factory Street, Middleton",Middleton,Available within individual site Pdf,386879,405929,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 22 properties,22,22,Unknown,29/11/2017,
SH 1156,"Manchester Street/ Hardfield Street, Heywood",Heywood,Available within individual site Pdf,385858,410598,British Coordinate Systems,0.27,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 18 properties,18,18,Unknown,29/11/2017,
SH 1218,"Providence United Reformed Church, Market Place",Middleton,Available within individual site Pdf,387206,406106,British Coordinate Systems,0.20,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 16 properties,16,16,Unknown,29/11/2017,
SH 1226,"Site Of New Jerusalem Church, Manchester Old Road, Middleton",Middleton,Available within individual site Pdf,385053,405241,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,
SH 1236,"22-26 Bridge Street, Heywood",Heywood,Available within individual site Pdf,385206,410871,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1244,"613 Manchester Old Road, Middleton",Middleton,Available within individual site Pdf,385252,405256,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 1253,"Site Of Keb Packaging, Mills Hill Road, Middleton",Middleton,Available within individual site Pdf,388815,405592,British Coordinate Systems,0.47,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,
SH 1397,"Land On The Corner Of Ash Street And Peel Lane, Heywood",Heywood,Available within individual site Pdf,384945,411311,British Coordinate Systems,0.37,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,
SH 1398,"Land At Juntion Of Clay Bank Street, Cedar Avenue And Kirkstall Avenue, Heywood",Heywood,Available within individual site Pdf,385100,411343,British Coordinate Systems,0.58,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 23 properties,23,23,Unknown,29/11/2017,
SH 1467,"Gowers Street, Rochdale",Rochdale,Available within individual site Pdf,390751,413891,British Coordinate Systems,1.30,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 52 properties,52,52,Unknown,29/11/2017,
SH 1469,"Land At Boothroyden Road And Factory Brow, Middleton",Middleton,Available within individual site Pdf,385156,405130,British Coordinate Systems,1.68,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 67 properties,67,67,Unknown,29/11/2017,
SH 1473,"Land At Newchurch Street, Rochdale",Rochdale,Available within individual site Pdf,388682,410726,British Coordinate Systems,2.49,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 116 properties,116,116,Unknown,29/11/2017,
SH 1524,"Royal Spice, 68 Stanycliffe Lane,  Middleton",Middleton,Available within individual site Pdf,388000,407056,British Coordinate Systems,0.10,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 1528,"Land Off Fielding Street, Middleton",Middleton,Available within individual site Pdf,387272,406760,British Coordinate Systems,0.80,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 49 properties,49,49,Unknown,29/11/2017,
SH 1530,"153, Ramsden Road, Rochdale",Pennines,Available within individual site Pdf,391222,417076,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1550,"Former Akzo Nobel Site, Hollingworth Road, Littleborough",Pennines,Available within individual site Pdf,393431,415812,British Coordinate Systems,7.50,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,14/01/2015,Full Planning Permission,Outline application for 164 dwellings,174,174,"Restaurant, public house, hotel and b1 business use",28/11/2017,
SH 1556,"Queensway Neighbourhood Centre, Well'I'Th Lane, Rochdale",Rochdale,Available within individual site Pdf,390179,412001,British Coordinate Systems,1.46,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 58 properties,58,58,Unknown,29/11/2017,
SH 1599,"Spotland Bridge, New Mill, Mellor Street,  Rochdale",Rochdale,Available within individual site Pdf,388504,413830,British Coordinate Systems,0.82,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 84 properties,84,84,Unknown,29/11/2017,
SH 1635,"West Street Baptist Church, West Street  (Western Part),  Rochdale",Rochdale,Available within individual site Pdf,390156,413807,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1639,"9-11 Todmorden Road,  Littleborough",Pennines,Available within individual site Pdf,393930,416499,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1690,"Site Of Oddfellows Arms Ph, 78 Peel Lane, Heywood",Heywood,Available within individual site Pdf,385107,411524,British Coordinate Systems,0.32,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 13 properties,13,13,Unknown,29/11/2017,
SH 1693,"Alderman Kay School (School Site), Tintern Road, Middleton",Middleton,Available within individual site Pdf,387336,407489,British Coordinate Systems,0.86,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,30/09/2014,Full Planning Permission,Erection of 38 dwellings,38,38,N/A,28/11/2017,
SH 1717,"Conservative Club, Newchurch Street,  Rochdale",Rochdale,Available within individual site Pdf,388440,410337,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1722,"Land At Bridgefold Road,  Rochdale",Rochdale,Available within individual site Pdf,388469,413745,British Coordinate Systems,0.70,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 24 properties,24,24,Unknown,29/11/2017,
SH 1739,"Burnedge Mill, Broad Lane, Rochdale",Rochdale,Available within individual site Pdf,391896,410375,British Coordinate Systems,0.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1745,"Land Between Lincoln Street And Hare Street, Rochdale ",Rochdale,Available within individual site Pdf,390116,412549,British Coordinate Systems,1.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 41 properties,41,41,Unknown,29/11/2017,
SH 1750,"Land To South Of Clay Bank Street, Heywood",Heywood,Available within individual site Pdf,385116,411296,British Coordinate Systems,0.31,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 12 properties,12,12,Unknown,29/11/2017,
SH 1755,"Angel Meadow Phase 2, Heywood",Heywood,Available within individual site Pdf,385213,410773,British Coordinate Systems,0.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 13 properties,13,13,Unknown,29/11/2017,
SH 1756,"Angel Meadow Phase 1, Heywood",Heywood,Available within individual site Pdf,385286,410756,British Coordinate Systems,0.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,
SH 1775,"Land At Greenbooth Road,  Rochdale",Rochdale,Available within individual site Pdf,385752,414727,British Coordinate Systems,5.30,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 60 properties,60,60,Unknown,29/11/2017,
SH 1778,"Warwick Mill, Oldham Road, Middleton",Middleton,Available within individual site Pdf,387119,405664,British Coordinate Systems,0.92,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 147 properties,147,147,Unknown,29/11/2017,
SH 1779,"201 Shaw Road, Rochdale",Rochdale,Available within individual site Pdf,391285,409861,British Coordinate Systems,0.12,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1780,"33-41 Maclure Road,  Rochdale",Rochdale,Available within individual site Pdf,389925,412705,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 15 properties,15,15,Unknown,29/11/2017,
SH 1791,"Norton Grange Hotel, Manchester Road, Rochdale",Rochdale,Available within individual site Pdf,388469,409403,British Coordinate Systems,0.48,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,
SH 1793,"Kings Arms, Higher Wood Street, Middleton",Middleton,Available within individual site Pdf,386589,406295,British Coordinate Systems,0.08,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1811,"Site Of Former Sunbank, Shawclough Road,  Rochdale",Rochdale,Available within individual site Pdf,388763,414809,British Coordinate Systems,0.40,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,
SH 1840,"206-208 Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389429,412858,British Coordinate Systems,0.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 17 properties,17,17,Unknown,29/11/2017,
SH 1849,"Land To The Rear Of 64 Rochdale Road, Middleton",Middleton,Available within individual site Pdf,387157,406715,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1854,"Land At Regent Street/ Jermyn Street, Rochdale",Rochdale,Available within individual site Pdf,390212,413980,British Coordinate Systems,0.27,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 13 properties,13,13,Unknown,29/11/2017,
SH 1882,"Land At Milnrow Road, Rochdale",Rochdale,Available within individual site Pdf,390855,412989,British Coordinate Systems,0.43,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 17 properties,17,17,Unknown,29/11/2017,
SH 1917,"101 - 103  Long Street And 1,3,& 5 Durnford Street,  Middleton",Middleton,Available within individual site Pdf,387040,406223,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 1935,"Rakewood Mill, Rakewood Road, Littleborough",Pennines,Available within individual site Pdf,394503,414299,British Coordinate Systems,0.79,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,11/08/2014,Full Planning Permission,Erection of 27 dwellings including conversion of weaving shed and boiler house,27,27,N/A,28/11/2017,
SH 1955,"Former Star Works, Wham Street, Heywood",Heywood,Available within individual site Pdf,384539,410831,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1962,"Booth Hollings Mill, Rakewood Road, Littleborough",Pennines,Available within individual site Pdf,395179,413927,British Coordinate Systems,0.45,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 1998,"Former The Nile, 1 Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389769,413383,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 19 properties,19,19,Unknown,29/11/2017,
SH 2011,"Brunswick Hotel, 19 Bridge Street, Heywood",Heywood,Available within individual site Pdf,385189,410822,British Coordinate Systems,0.03,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,
SH 2036,"3 Whitehall Street And 20 Eastgate Street, Rochdale",Rochdale,Available within individual site Pdf,389853,413708,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,04/02/2015,Full Planning Permission,Converion of listed building to 5 apartments,5,5,N/A,28/11/2017,
SH 2056,"Land At Junction Calderbrook Road And Hare Hill Road, Littleborough",Pennines,Available within individual site Pdf,393373,416810,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,22/12/2014,Full Planning Permission,Erection of 8 apartments for over 55s,8,8,N/A,28/11/2017,
SH 2059,"Land Adjacent 167 Spotland Road, Rochdale",Rochdale,Available within individual site Pdf,388845,413750,British Coordinate Systems,0.08,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,22/12/2014,Full Planning Permission,Erection of 5 dwellings,5,5,N/A,28/11/2017,
SH 2061,"185 Yorkshire Street, Rochdale",Rochdale,Available within individual site Pdf,390180,413917,British Coordinate Systems,0.03,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,23/12/2014,Full Planning Permission,"2 apartments above retail, conversion of outbuilding to 4 apartments",6,6,Two new shop fronts,28/11/2017,
SH 2064,"Wr Anderton And Co, Maltings Lane, Rochdale",Rochdale,Available within individual site Pdf,388398,410711,British Coordinate Systems,1.59,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,19/12/2014,Outline Planning Permission,Outline application for residential development,63,63,N/A,28/11/2017,
SH 2065,"Queens Drive Gateway (Including Site Of Temporary Health Centre), Kirkholt",Rochdale,Available within individual site Pdf,389226,411277,British Coordinate Systems,0.64,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 20 properties,20,20,Unknown,29/11/2017,
SH 2066,"London House, Oldham Road, Middleton",Middleton,Available within individual site Pdf,387029,405630,British Coordinate Systems,0.25,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 42 properties,42,42,Unknown,29/11/2017,
SH 2071,"156-158 Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389763,412911,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/01/2015,Full Planning Permission,5 apartments as part of office conversion,5,5,Converion of offices to retail units,28/11/2017,
SH 2072,"Greave House, Greave Avenue, Rochdale",Rochdale,Available within individual site Pdf,387777,413571,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,12/03/2015,Full Planning Permission,Conversion of 3 apartments in to 6 apartments,6,6,N/A,28/11/2017,
