OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,66,"Windale House, Field Avenue, Oxford",51.757717,-1.263108,https://www.oxford.gov.uk/downloads/file/4203/site_066_-_windale_house,0.77,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,46.0,60.0,,The site is allocated for housing in the Sites and Housing Plan adopted in February 2013 post NPPF. This could include sheltered accommodation.,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,67,"Wolvercote Paper Mill, Mill Road, Oxford, OX2 8PR",51.783683,-1.29242,https://www.oxford.gov.uk/downloads/file/4227/site_067_-_wolvercote_paper_mill,2.23,not owned by a public authority,permissioned,reserved matters approval,2018-09-25,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as the planning permission has been implemented. ,2017-10-26,2019-11-22,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,69,"County Hall, New Road, Oxford, OX1 1ND",51.751819,-1.261861,https://www.oxford.gov.uk/downloads/file/4207/site_069_-_county_hall,0.35,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,24.0,31.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,72,"40 St Thomas Street, Oxford, OX1 1JL, (St Thomas Day Nursery)",51.751941,-1.267683,https://www.oxford.gov.uk/downloads/file/4202/site_072_-_st_thomas_day_nursery,0.21,not owned by a public authority,permissioned,full planning permission,2018-11-27,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,73,"14 Osney Lane, Oxford, OX1 1NJ, (Osney Warehouse)",51.750947,-1.265435,https://www.oxford.gov.uk/downloads/file/4205/site_073_-_osney_warehouse,0.24,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,16.0,21.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,75,"Oxford Rail Station & Becket Street Car Park, Becket Street, Oxford",51.751776,-1.26938,https://www.oxford.gov.uk/downloads/file/4211/site_075_-_oxford_rail_station https://www.oxford.gov.uk/downloads/file/4208/site_075_-_becket_street_car_park ,2.56,mixed ownership,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,20.0,,,"This site is the subject of a station masterplan SPD published in 2014, however it did not identify a residenital capacity.  The Site is also allocated in the emerging Local Plan 2036 which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The Local Plan identifies a minimum of 20 homes to be delivered on this site.  ",2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,76,"Oxpens Road, Oxford, (Oxpens Road West End Site)",51.748291,-1.264696,https://www.oxford.gov.uk/downloads/file/4214/site_076_-_oxpens_road_site,7.4,mixed ownership,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,450.0,,,The City Council has adopted the Oxpens SPD to guide development on this site.  The Site is also allocated in the emerging Local Plan 2036 which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  The local plan expects a minimum of 450 homes to be delivered on this site.  ,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,78,"Telephone Exchange, Speedwell Street, Oxford, OX1 1RH",51.748132,-1.258345,https://www.oxford.gov.uk/downloads/file/4212/site_078_-_telephone_exchange,0.4,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,27.0,35.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,81,"Worcester Street Car Park, Worcester Street, Oxford, OX1 2BX",51.753272,-1.264126,https://www.oxford.gov.uk/downloads/file/4209/site_081_-_worcester_street_car_park,0.52,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,18.0,,,The Site is allocated in the emerging Local Plan 2036 which is currently undergoing an examination in public (consultation on proposed modifications following hearings). The local plan expects a minimum of 18 homes to be delivered on this site.  ,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,95,"Cowley Conservative Club, Between Towns Road, Oxford, OX4 3LX",51.733032,-1.212672,https://www.oxford.gov.uk/downloads/file/4222/site_095_-_cowley_conservative_club,0.57,not owned by a public authority,pending decision,,,http://public.oxford.gov.uk/online-applications/,,,,,"Application 19/02620/FUL for the demolition of no's 17 and 17b Between Towns Road and Cowley Conservative Club. Erection of three, four and five storey building incorporating 221 student study rooms, indoor and outdoor communal space, bin and bicycle storage. The site is identified within the HELAA as having potential for housing.",2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,97,"Scrap Metal Merchants, Jackdaw Lane, Oxford, OX4 1SR",51.743304,-1.243154,https://www.oxford.gov.uk/downloads/file/4217/site_097_-_jackdaw_lane_scrap_yard,1.54,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,45.0,85.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,98,"Workshop at Lanham Way, Lanham Way, Oxford, OX4 4QG",51.719716,-1.224062,https://www.oxford.gov.uk/downloads/file/4215/site_098_-_lanham_way_workshops,0.24,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,106,"Grandpont Car Park, White House Road, Oxford, OX1 4NA",51.744905,-1.261812,https://www.oxford.gov.uk/downloads/file/4216/site_106_-_grandpont_car_park,0.44,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,The site is identified within the HELAA as having potential for housing. Development on this site would therefore depend on flooding issues being resolved with the City Council and the Environment Agency.,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,108,"46 Sorrell Road, Oxford, OX4 5SL, (Jubilee Hall)",51.723573,-1.189962,https://www.oxford.gov.uk/downloads/file/4220/site_108_-_jubilee_hall,0.12,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,4.0,8.0,,This site has been removed from the register as it falls below the size threshold. ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,109,"Rose Hill Scout Hut, Ashhurst Way, Oxford, OX4 4RF",51.725891,-1.230952,https://www.oxford.gov.uk/downloads/file/4218/site_109_-_rose_hill_scout_hall,0.07,owned by a public authority,permissioned,full planning permission,2019-01-25,http://public.oxford.gov.uk/online-applications/,,3.0,10.0,,Application 18/02818/FUL approved for 18 c3 dwellings. The site is identified within the HELAA as having potential for housing.,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,110,"Speedwell House, Speedwell Street, Oxford",51.748708,-1.257479,https://www.oxford.gov.uk/downloads/file/4219/site_110_-_speedwell_house,0.38,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,26.0,40.0,,This site has been removed from the register as it is no longer available for development.  ,2017-10-26,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,124,"Slade House, Horspath Driftway, Oxford, OX3 7JH",51.743459,-1.198658,https://www.oxford.gov.uk/downloads/file/4221/site_124_-_slade_house,1.63,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,The site is identified within the HELAA as having potential for housing.,2017-10-26,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,345,"Site to west of Holywell Quads, Jowett Walk, Oxford, OX1 3EZ",51.755419,-1.251068,https://www.oxford.gov.uk/downloads/file/4223/site_345_-_land_at_jowett_walk,0.13,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-27,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,346,"269 Cowley Road, Oxford, OX4 2AJ, (Former Bartlemas Nursery School)",51.745616,-1.228111,https://www.oxford.gov.uk/downloads/file/4163/site_346_-_269_cowley_road,0.26,not owned by a public authority,pending decision,,,http://public.oxford.gov.uk/online-applications/,yes,,,,Pending application 18/02989/FUL proposes 17 student rooms with communal kitchen/diner and 13 self-contained 1 or 2 bed units. The site is identified within the HELAA as having potential for housing.,2017-10-27,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,348,"16-17 St Ebbe's Street, Oxford, OX1 1PT, (Littlegate House)",51.750107,-1.259511,https://www.oxford.gov.uk/downloads/file/4165/site_348_-_littlegate_house,0.17,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,11.0,14.0,,The site is identified within the HELAA as having potential for housing.,2017-10-27,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,356,"276 Banbury Road, Oxford, OX2 7ED, (Gordon House)",51.778392,-1.26482,https://www.oxford.gov.uk/downloads/file/4168/site_356_-_276_banbury_road,0.26,not owned by a public authority,permissioned,full planning permission,2018-11-22,http://public.oxford.gov.uk/online-applications/,,,,,This site has been removed from the register as the planning permission has been implemented. ,2017-10-27,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,367,"Eastern House, Eastern Avenue, Oxford, OX4 4QT",51.726367,-1.220027,https://www.oxford.gov.uk/downloads/file/4164/site_367_-_eastern_house,0.23,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-27,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,397,"Land rear of Oxford Retail Park, Sandy Lane, Oxford",51.726414,-1.204636,https://www.oxford.gov.uk/downloads/file/4166/site_397_-_land_rear_of_oxford_retail_park,1.12,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,27.0,52.0,,This Site forms part of a larger site allocation in the emerging Local Plan 2036 which is currently undergoing an examination in public (consultation on proposed modifications following hearings). The local plan expects a minimum of 120 homes to be delivered on the wider site. ,2017-10-30,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,414,"17 Botley Road, Oxford, OX2 0AA, (The River Hotel)",51.752371,-1.27201,https://www.oxford.gov.uk/downloads/file/4167/site_414_-_17_botley_road,0.23,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-30,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,433,"1 Botley Road (Westgate Hotel) and 1-7 Mill Street, Oxford, OX2 0AA",51.752472,-1.271064,https://www.oxford.gov.uk/downloads/file/4170/site_433_-_1_botley_road_and_1-7_mill_street,0.14,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-30,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,439,"Jack Straw's Lane, Oxford, OX3 0FL, (Oxford Brookes Marston Road Campus - School of Health and Social Care)",51.762236,-1.232856,https://www.oxford.gov.uk/downloads/file/4169/site_439_-_oxford_brookes_marston_road_campus,1.18,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2017-10-30,2019-12-09,
