LCR Ref,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Ownership 2,Potential Housing Capacity (Min) (Gross),Potential Housing Capcity (Max) (Gross),To be included on Brownfield Register
H12,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1201,,"""Castle View House, East Lane, Runcorn""",,OSGB36,353851.0,381438.0,1.53,Not owned by a public authority,Yes,Permissioned,Other,2017-06-06,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=17/00209/P3JPA,,54.0,"""Proposed change of use from office building to 241 residential units""",Town centre uses may also be considered appropriate for this site. The scale of any development must be appropriate to support town centre.,,54,241,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=17/00209/P3JPA&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum based on the extant Prior Approval. Physical constraints identified include trees and woodland. Previous prior approval for 188 dwellings (15/00520/P3JPA),2017-12-31,2017-12-31,Private,54.0,241.0,1.0
H13,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1275,,"""RMC House, Terrace Road, West Bank, Widnes""",,OSGB36,351386.0,383887.0,0.51,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-05-27,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00392/FUL,,13.0,"""Proposed development comprising 92 no. one and two bedroom apartments for the over 55's spread over 2 no. 6 storey blocks""",Not considered appropriate on this site,,13,90,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=15/00392/FUL&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum in line with planning permission. Contamination and heritage constraints have been identified.,2017-12-31,2017-12-31,Private,13.0,90.0,1.0
H14,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1277,,"""The Deck, Mersey Road, Runcorn""",,OSGB36,351546.0,383209.0,2.36,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,2005-12-12,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=05/00590/REM,,27.0,"""Proposed residential development consisting of 10 no. apartment blocks ranging between 5 & 6 storeys (466 no. apartments) and 3 no. retail/ leisure units with associated road layout, car parking and landscaping. Permission granted 2005 - site partially built part still extant.""","""Potential for retail or leisure units in line with original consent, must ot detract from viability of the nearby Runcorn Old Town.""",,27,178,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=05/00590/REM&resolution=1&initialDialog=layersDialog,"Site under construction, with 6 of the 10 apartment buildings completed. Site could still accommodate the remaining 4 buildings. Potential capacity based on a density multiplier with the minimum based on 30dph on the land remaining and maximum  based on the 178 dwellings remaining on extant planning permission.",2017-12-31,2017-12-31,Private,27.0,178.0,1.0
H15,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1303,,"""Land to the east of Kestrel's Way, Hallwood Park, Runcorn""",,OSGB36,353585.0,381096.0,1.61,Not owned by a public authority,,Not permissioned,,,,,29.0,"""Potential for residential development in line with surrounding Hallwood Park residential area.""",Not considered appropriate on this site,,29,35,,,Potential capacity based on a density multiplier with the minimum based on retention of part of the woodland area and a maximum based on 30dph across the site. Yield affected by woodland and open space.,2017-12-31,2017-12-31,Private,29.0,35.0,1.0
H16,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1343,,"""Walmsley Street Site, Widnes""",,OSGB36,352365.0,385859.0,1.12,Not owned by a public authority,,Not permissioned,,,,,30.0,"""Potential for residential development in line with recent residential development in the surrounds.""",Not considered appropriate on this site,,30,40,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph. Previously in employment use. Constraints identified include potentially contaminated land. It is also noted that the site has not been developed in recent years yet sits in an area of development potential.,2017-12-31,2017-12-31,Private,30.0,40.0,1.0
H17,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1347,,"""Part of Former Fairfield school site, Peel House Lane, Widnes""",,OSGB36,351992.0,387221.0,0.4,Not owned by a public authority,Yes,Not permissioned,,,,,10.0,"""Potential for residential development, in line with new development adjacent.""",Not considered appropriate on this site,,10,14,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph.,2017-12-31,2017-12-31,Private,10.0,14.0,1.0
H18,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1622,,"""Car Park between High Street and Bridgewater Canal, Runcorn""",,OSGB36,351275.0,382914.0,0.72,Owned by a public authority,,Not permissioned,,,,,19.0,"""Potential for residential development to support Runcorn Old Town and to make most of waterfront location.""",Not considered appropriate on this site,,19,32,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 50dph.,2017-12-31,2017-12-31,Local Authority,19.0,32.0,1.0
H19,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1635,,"""Greenoaks Farm Industrial Estate, Warrington Road, Widnes""",,OSGB36,352412.0,385973.0,0.3,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-09-10,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=14/00269/S73,,12.0,"""Potential for residential development if current application for a new planning permission to replace extant planning permission 08/00217/FUL, for proposed construction of three storey residential home for the elderly, is not completed.""",Not considered appropriate on this site,,12,58,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=14/00269/S73&resolution=1&initialDialog=layersDialog,"Potential capacity based on a density multiplier with the minimum based on 40dph and maximum based on planning permission. Current permission for home for the elderly, could have potential for residential development.",2017-12-31,2017-12-31,Private,12.0,58.0,1.0
H20,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1714,,"""The Heath Offices, Heath Road South, Runcorn""",,OSGB36,351197.0,381261.0,1.74,Not owned by a public authority,Yes,Not permissioned,,,,,46.0,"""Potential for residential development, appropriate landscaping would be required to existing employment development and to retain amenity of adjacent residential properties.""",Not considered appropriate on this site,,46,50,,,Potential capacity based on a density multiplier with the minimum based on 30dph.,2017-12-31,2017-12-31,Private,46.0,50.0,1.0
H21,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1733,,"""Land at The Heath Business Park, Heath Road South, Runcorn""",,OSGB36,351031.0,380990.0,4.26,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016-01-07,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=12/00100/OUT,,53.0,"""Outline planning application (with all matters reserved) for construction of up to 53 residential dwellings.""",Not considered appropriate on this site,,53,53,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=12/00100/OUT&resolution=1&initialDialog=layersDialog,Dwelling figures to reflect planning permission. Development in the area will be limited due to its location within the inner zone of a PADHI.,2017-12-31,2017-12-31,Private,53.0,53.0,1.0
H22,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1784,,"""The Old Bridgewater Centre, Castlefields Avenue North, Runcorn""",,OSGB36,353982.0,382912.0,0.36,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-08-05,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00267/FUL,,20.0,"""Proposed demolition of existing building and construction of 20 no. dwellings comprising 10 no. houses and 10 no. apartments.""",Not considered appropriate on this site,,20,20,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=15/00267/FUL&resolution=1&initialDialog=layersDialog,Site cleared. Dwelling figures to reflect planning permission.,2017-12-31,2017-12-31,Private,20.0,20.0,1.0
H23,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1808,,"""Land to the rear of Gaunts Way, Hallwood Park, Runcorn""",,OSGB36,353138.0,380885.0,1.88,Mixed ownership,,Not permissioned,,,,,50.0,"""Potential for residential development in line with surrounding Hallwood Park residential area, would need to retain amenity of existing properties.""",Not considered appropriate on this site,,50,67,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph.,2017-12-31,2017-12-31,Public Private Mixed,50.0,67.0,1.0
H24,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1839,,"""Land At Rose View Avenue, Widnes""",,OSGB36,351355.0,386807.0,0.29,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,2016-08-25,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=16/00282/REM,,4.0,"""Application for approval of reserved matters on Planning Permission 13/00285/OUT for access, appearance, landscaping, layout and scale for erection of 4 no. detached dwellings""",Not considered appropriate on this site,,4,4,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=16/00282/REM&resolution=1&initialDialog=layersDialog,,2017-12-31,2017-12-31,Private,4.0,4.0,1.0
H25,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1962,,"""Fomer Riverside College, Campus Drive, Runcorn""",,OSGB36,350468.0,383011.0,4.0,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016-12-19,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=16/00131/OUT,,120.0,"""Outline application, with all matters reserved, for development of up to 120 dwellings, open space, infrastructure and associated works.""",Not considered appropriate on this site,,120,128,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=16/00131/OUT&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on planning application and maximum at 40dph. Physical constraints identified include potentially contaminated land (99%); the proximity to a Listed Building; the existing development on the site; the wooded area; and landfill (Canal basin).,2017-12-31,2017-12-31,Private,120.0,128.0,1.0
H26,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H2001,,"""Former Jolly Brewer, The Ridgeway, Runcorn""",,OSGB36,355778.0,380967.0,0.46,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-01-07,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=14/00563/FUL,,18.0,"""Proposed construction of 18 dwellings comprising 10 no. two bedroom flats and 8 no. two bedroom houses with associated infrastructure and landscaping.""",Not considered appropriate on this site,,18,18,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=14/00563/FUL&resolution=1&initialDialog=layersDialog,,2017-12-31,2017-12-31,Private,18.0,18.0,1.0
H27,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H2026,,"""Grosvenor House, Northway, Runcorn""",,OSGB36,353717.0,381557.0,2.32,Not owned by a public authority,Yes,Permissioned,Other,2015-05-01,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00155/P3JPA,,18.0,"""Proposed change of use from former office building to residential (use class C3), creating 63 dwellings comprising of 2 No. 1 bedroom apartments, 55 No. 2 bedroom apartments and 6 No. 3 bedroom apartments.""",Town centre uses may also be considered appropriate for this site. The scale of any development must be appropriate to support town centre.,,18,63,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=15/00155/P3JPA&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on 40dph and maximum based on Prior Approval. Existing development on site.,2017-12-31,2017-12-31,Private,18.0,63.0,1.0
H28,http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H2035,,"""Grangeway Court, Runcorn""",,OSGB36,352326.0,381481.0,0.53,Owned by a public authority,Yes,Not permissioned,,,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00365/DEM,,6.0,"""Potential for residential development to be replaced with more appropriate dwellings""",Not considered appropriate on this site,,6,8,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph.,2017-12-31,2017-12-31,Local Authority,6.0,8.0,1.0
,,,,,,,,,,,,,,,,,,,,,,869,2043,,,,,,,,,
