OrganisationURI,OrganisationLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SitePlanURL CoordinateReferenceSystem,,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/s,,Rose Avenue,https://www.worcester.gov.uk/documents/10499/8862850/Rose+Avenue+-+Site+Plan.pdf/467da1b2-4ef3-2111-de58-534a1ef21a73,ETRS89,52.198356,-2.201603,0.18,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,8,,,,5,8,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/t,,"Commandery Coach Depot, Tolladine Road",https://www.worcester.gov.uk/documents/10499/8862850/Commandery+Coach+Depot%2C+Tolladine+Road+-+Site+Plan.pdf/47775c6d-f87E7T-fRcS8297-fce7-a9924cefb35e2.0207448,,,-2.180756,0.07,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,7,,,,5,7,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/w,,23-24 Foregate Street,https://www.worcester.gov.uk/documents/10499/8862850/23-24+Foregate+Street.pdf/c1d47512-56b4-472d-35e6-85d37bcfc101,ETRS89,52.196156,-2.221975,0.10,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,10,,,,5,10,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/r,,"The Bridge Inn, Lowesmoor Terrace",https://www.worcester.gov.uk/documents/10499/8862850/The+Bridge+Inn%2C+Lowesmoor+Terrace+-+Site+Plan.pdf/76b9ddf0-18c9-de12-E5T6RS2849-73cff99ade98,,52.195967,-2.215645,0.10,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,9,,,,5,9,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/aa,,Lowesmoor Wharf,https://www.worcester.gov.uk/documents/10499/8862850/Lowesmoor+Wharf+-+Site+Plan.pdf/e7fa6326-466e-7688-3def-084415c4abab ETRS89,,52.195718,-2.216588,1.14,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,100,,,,50,100,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP44/4,,Shrub Hill Opportunity Zone,https://www.worcester.gov.uk/documents/10499/8862850/Shrub+Hill+Opportunity+Zone+-+Site+Plan.pdf/1666c84a-5451-8f4a-8ce6-2c063E1T0R5S869c24,,52.195266,-2.211276,19.72,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,,,,,,,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP44/5,,Carden Street Opportunity Zone,https://www.worcester.gov.uk/documents/10499/8862850/Carden+Street+Opportunity+Zone+-+Site+Plan.pdf/bfbaefdf-9554-b616-b931-03E3TbRS68b9ae3d3c,,52.190440,-2.215937,3.90,mixed ownership,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,,,,,,,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P15C0371,,"The Ice House, Bromyard Road",https://www.worcester.gov.uk/documents/10499/8862850/The+Ice+House%2C+Bromyard+Road+-+Site+Plan.pdf/6bf9cfbd-eed4-371c-6fe1-E9TfR3S589b9107371,,52.186742,-2.251310,0.45,not owned by a public authority,yes,permissioned,full planning permission,2016-07-14,https://www.worcester.gov.uk/planning-application-search,,54,,,,30,54,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P15K0271,,Rear of 18 St Johns,https://www.worcester.gov.uk/documents/10499/8862850/Rear+of+18+St+Johns+-+Site+Plan.pdf/8a1e3337-ecc0-8e7e-0c3b-3b10a79bbe32ETRS89,,52.188851,-2.234508,0.11,not owned by a public authority,yes,permissioned,full planning permission,2016-12-01,https://www.worcester.gov.uk/planning-application-search,,11,,,,11,11,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P15D0554,,"Former History Centre, Trinity House",https://www.worcester.gov.uk/documents/10499/8862850/Former+History+Centre+%2C+Trinity+House+-+Site+Plan.pdf/547b37b1-d9b9-84E0TR3S-879802-0b9e4b3ef2a252.193468,,,-2.219840,0.05,not owned by a public authority,yes,permissioned,full planning permission,2016-05-23,https://www.worcester.gov.uk/planning-application-search,,9,,,,5,9,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0310,P15D0331,Former Worcester Fire Station,https://www.worcester.gov.uk/documents/10499/8862850/Former+Fire+Station.pdf/843f717a-fb40-2075-d90f-666dae531d92,ETRS89,52.190562,-2.221496,0.16,not owned by a public authority,yes,permissioned,permission in principle,2017-08-17,https://www.worcester.gov.uk/planning-application-search,,9,,,,9,9,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18B0003,,137 Bath Road,https://www.worcester.gov.uk/documents/10499/8862850/137+Bath+Road.pdf/de97e2ca-aade-3369-a1d3-ea3649c31f20,ETRS89,52.181740,-2.216960,0.13,not owned by a public authority,yes,permissioned,full planning permission,2018-04-20,https://www.worcester.gov.uk/planning-application-search,,5,,,,5,5,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P16C0542,,5 Bull Ring,https://www.worcester.gov.uk/documents/10499/8862850/5+Bull+Ring.pdf/530d7a19-672c-a1f9-734e-301a3ef00732,ETRS89,52.188430,-2.233010,0.07,not owned by a public authority,yes,permissioned,full planning permission,2018-05-04,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17D0087,,12 Sansome Place,https://www.worcester.gov.uk/documents/10499/8862850/12+Sansome+Place.pdf/3df2572d-bdfb-70ff-14d2-c6a28532fdc8,ETRS89,52.195190,-2.219490,0.01,not owned by a public authority,yes,permissioned,full planning permission,2017-02-28,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17D0451,,"Stuart House, 147 London Road",https://www.worcester.gov.uk/documents/10499/8862850/Stuart+House+147+London+Road.pdf/dac65215-72b8-3aa3-49ec-959b7421f19bETRS89,,52.185070,-2.205690,0.15,not owned by a public authority,yes,permissioned,full planning permission,2017-11-07,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17J0504,,The Crown and Anchor 223 Hylton Road,https://www.worcester.gov.uk/documents/10499/8862850/The+Crown+and+Anchor+223+Hylton+Road.pdf/660f182e-e942-eb1e-1840-707E5T5R5S389bbb63,,52.196700,-2.235830,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-11-09,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18A0033,,Wyatt Guest House 40 Barbourne Road,https://www.worcester.gov.uk/documents/10499/8862850/The+Crown+and+Anchor+223+Hylton+Road.pdf/660f182e-e942-eb1e-1840-707E5T5R5S389bbb63,,52.202680,-2.225920,0.02,not owned by a public authority,yes,permissioned,full planning permission,2018-03-23,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17D0599,,Jenkins House 15 Foregate Street,https://www.worcester.gov.uk/documents/10499/8862850/Jenkins+House+15+Foregate+Street.pdf/47cc0dc7-3b83-ca8e-6aa8-7af5876fe0cE9TRS89,,52.195350,-2.221910,0.01,not owned by a public authority,yes,permissioned,full planning permission,2017-10-27,https://www.worcester.gov.uk/planning-application-search,,8,,,,5,8,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P16K0579,,Corner of Comer Road/Lapal Close,https://www.worcester.gov.uk/documents/10499/8862850/Corner+of+Comer+Road+Lapel+Road.pdf/51b3c2a2-f963-d23f-ec50-3701a907d4EeTR7S89,,52.189480,-2.238270,0.15,not owned by a public authority,yes,permissioned,full planning permission,2017-04-18,https://www.worcester.gov.uk/planning-application-search,,20,,,,18,20,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17K0500,,"Coppertops, 195 Oldbury Road",https://www.worcester.gov.uk/documents/10499/8862850/Coppertop+195+Oldbury+Road.pdf/171ae726-7bbe-3d9e-bb4b-c02208e5e2f0 ETRS89,,52.196380,-2.250430,0.65,not owned by a public authority,yes,permissioned,full planning permission,2018-02-28,https://www.worcester.gov.uk/planning-application-search,,42,,,,38,42,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P15D0510,,St Martins Quarter,https://www.worcester.gov.uk/documents/10499/8862850/St+Martins+Quarter.pdf/796e9d98-2f46-28cf-bc29-954d9ba00271,ETRS89,52.192950,-2.216430,0.23,not owned by a public authority,yes,permissioned,full planning permission,2017-12-15,https://www.worcester.gov.uk/planning-application-search,,98,,,,85,98,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17G0258,,"Former Crown Packaging Site, Williamson Road",https://www.worcester.gov.uk/documents/10499/8862850/Former+Crown+Packaging+Site+Williamson+Road.pdf/01ddd2d6-a281-5c5e-ac2E1T-R1S08594320a01a9,,52.188480,-2.203850,7.50,not owned by a public authority,yes,permissioned,full planning permission,2018-01-10,https://www.worcester.gov.uk/planning-application-search,,215,,,,210,215,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/7,,Former Sansome Walk Swimming Pool,https://www.worcester.gov.uk/documents/10499/8862850/Sansome+Walk+-+Site+Plan.pdf/154cad3a-40df-0c29-85a8-34c90eb47493,ETRS89,52.199018,-2.220537,0.80,owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,50,,,,33,35,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18H0011,,96 Holly Mount,https://www.worcester.gov.uk/documents/10499/8862850/Sansome+Walk+-+Site+Plan.pdf/154cad3a-40df-0c29-85a8-34c90eb47493,ETRS89,52.200.96,-2.202640,0.40,not owned by a public authority,yes,permissioned,full planning permission,2018-05-15,https://www.worcester.gov.uk/planning-application-search,,5,,,,5,5,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0202,,Land adjacent to 18-20 Silver Street,https://www.worcester.gov.uk/documents/10499/8862850/Land+adj+to+18-20+Silver+Street.pdf/71ffbd0a-55bb-b1d3-0bed-79299a6692a5ETRS89,,52.194160,-2.218300,0.05,not owned by a public authority,yes,permissioned,full planning permission,2018-09-21,https://www.worcester.gov.uk/planning-application-search,,9,,,,9,10,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0228,,13 Angel Street,https://www.worcester.gov.uk/documents/10499/8862850/13+Angel+Street.pdf/04d6e7a0-3333-cbd5-f54c-207faa817991,ETRS89,52.193480,-2.222150,0.01,not owned by a public authority,yes,permissioned,full planning permission,2018-09-28,https://www.worcester.gov.uk/planning-application-search,,6,,,,6,6,,
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17J0577,,"YMCA Hostel, Henwick Road",https://www.worcester.gov.uk/documents/10499/8862850/YMCA+Hostel%2C+Henwick+Road.pdf/bb0e04d7-8ce5-b2d7-b5d0-ad7ced2765ffETRS89,,52.192970,-2.236130,0.97,not owned by a public authority,yes,permissioned,full planning permission,2018-10-29,https://www.worcester.gov.uk/planning-application-search,,63,,,,63,87,,
