OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0026,,Land at 34 Greenhill Lane Leabrooks,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0744499141&lng=-1.3743421891,ETRS89,53.07445,-1.374342,1.27,not owned by a public authority,yes,permissioned,full planning permission,08/03/2017,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2016-0530,,58,Proposed residential development of 58 dwellings,,,58,58,,,The site is currently under construction,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0027,,Land at Bullbridge Hill Ambergate,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0661383088&lng=-1.4695395665,ETRS89,53.066138,-1.46954,8.2,not owned by a public authority,,permissioned,reserved matters approval,26/11/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2019-0252,,143,"Reserved matters application for phase 1 for residential development, open space and highway works",,,143,143,,,"Another reserved matters application on the site for phase 2 & 3 AVA/2019/0598 - 122 dwellings, compunal space and highway works",06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0030,,Land adj 130 Station Road Langley Mill,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.016263292&lng=-1.3315081078,ETRS89,53.016263,-1.331508,3.14,not owned by a public authority,yes,permissioned,reserved matters approval,07/11/2017,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-0556,,92,"Reserved Matters submission for 92 dwellings on land off Amber Drive, Langley Mill together with access roads and open spaces incorporating public footpath (Not EIA Development)",,,92,92,,,,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0034,,All Saints Church Hall Site Moseley Street Ripley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0517432986&lng=-1.4077751188,ETRS89,53.051743,-1.407775,0.15,not owned by a public authority,yes,permissioned,full planning permission,19/12/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2019-0744,,10,Demolition of existing church hall and redevelopment of 10 dwellings and off-street parking,,,10,10,,,Existing buildings on site have been demolished. Previously considered as a proposed housing allocation in the now withdrawn Local Plan ,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0035,,Duffield Depot Derby Road Duffield,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=52.9762072903&lng=-1.4832390315,ETRS89,52.976207,-1.483239,1.09,owned by a public authority,yes,permissioned,full planning permission,04/05/2018,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2019-0424,,15,"Planning Permission approved for 15 dwellings, comprising 14 new build and conversion and extension of former gate house ",,,15,15,,,Previously considered as a proposed housing allocation in the now withdrawn Local Plan,06/12/2017,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0039,,Former Anchor Inn Chesterfield Road Oakerthorpe,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.09252&lng=-1.42004,ETRS89,53.092524,-1.4200391,1.19,not owned by a public authority,yes,permissioned,reserved matters approval,19/10/2018,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2018-0529,,14,14 proposed dwellings following outline consent AVA/2015/0914,,,14,14,,,The site is currently under construction,31/03/2019,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0040,,Firs Works Car Park Spanker Lane Nether Heage,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.05243&lng=-1.47053,ETRS89,53.052433,-1.4705293,0.9,not owned by a public authority,yes,permissioned,full planning permission,18/01/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-0999,,30,Redevelopment of former car park to accommodate 30 new dwellings. Currently an additional planning application pending consideration for 34 affordable dwelling,,,30,30,,,,31/03/2019,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0041,,Newlands Inn Golden Valley Riddings ,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.05716&lng=-1.3706,ETRS89,53.057162,-1.3705984,0.7,not owned by a public authority,yes,permissioned,full planning permission,18/01/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-1120,,19,Conversion of public house to 5 flats and construction of 14 new dwellings,,,19,19,,,,31/03/2019,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0042,,Firs Works Spanker Lane Nether Heage,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.05025&lng=-1.4693,ETRS89,53.050247,-1.4693044,9.03,not owned by a public authority,,pending decision,outline planning permission,11/03/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2018-0895,,160,"Outline application, all matters reserved for the development of up to 160 dwellings with associated public open space, play space and on-site drainage and flood balancing",,,,,,,,31/03/2019,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0043,,Land west of Aeromatic Co Ltd Derby Road Marehay,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.03191&lng=-1.40942,ETRS89,53.031907,-1.40942,1.26,not owned by a public authority,yes,permissioned,outline planning permission,05/03/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2017-1264,,45,residential development for around 45 dwellings,,,45,45,,,,31/03/2019,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0044,,Land off Butterley Hill Ripley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.0561&lng=-1.40318,ETRS89,53.056097,-1.4031818,0.31,not owned by a public authority,yes,permissioned,full planning permission,01/03/2019,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2018-0320,,16,residential development to accommodate 12 dwellings and 4 apartments,,,16,16,,,The site is currently under construction,31/03/2020,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0045,,Derwentside Industrial Estate Derby Road Belper,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.01285&lng=-1.4799,ETRS89,53.01285,-1.4798983,5.93,not owned by a public authority,,permissioned,reserved matters approval,07/02/2020,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2019-0408,,136,Reserved matters following outline consent for residential development ,,,136,136,,,,31/03/2020,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0046,,The Willows Slack Lane Ripley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.04849&lng=-1.40937,ETRS89,53.048487,-1.4093732,0.2,not owned by a public authority,,permissioned,full planning permission,24/03/2020,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA-2019-0974,,10,Demolition of existing buildings and erection of 10 affordable dwellings,,,10,10,,,,31/03/2020,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0047,,Land off Cemetery Lane Ripley,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=53.04429&lng=-1.40254,ETRS89,53.044293,-1.40254496,1.77,owned by a public authority,,not permissioned,,,,,20,,,,,,,,Site allocated for residential development in the Ripley Neighbourhood Plan,31/03/2020,31/03/2020,
http://opendatacommunities.org/id/district-council/amber-valley,Amber Valley,BFLR0048,,Bowbridge Garage Ashbourne Road Mackworth,http://info.ambervalley.gov.uk/maps/brownfieldmap.html?lat=52.93973&lng=-1.54632,ETRS89,52.939734,-1.5463206,1.16,not owned by a public authority,,permissioned,full planning permission,12/02/2020,https://www.ambervalley.gov.uk/planning/development-management/view-a-planning-application?appNumber=AVA/2018/0178,,21,"Demolition of single dwelling, existing Cafe, Petrol station and MOT service garage, construction of new MOT service garage and 22 new dwellings.",MOT service garage,,22,22,,,,31/03/2020,31/03/2020,
