Organisation URL,Organisation Label,SiteReference,AlternativeReferences,Previously Part of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR11,STC39,,"""Land to rear of Times Square""",https://drive.google.com/open?id=1MGmCZtqkx2EleZay3nv0wsbGHYM5YuzB ,ETRS89,-0.191879,51.363174,525976.00,164230.00,0.07,not owned by a public authority,,not permissioned,other ,,,,12,,Part of a mixed-use allocation (STC39),,12,25,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR12,STC38,,"""Houses Adjacent to Manor Park""",https://drive.google.com/open?id=14knn1GiEoBRo8RBHvX3I_30Xg0_queZS ,ETRS89,-0.191129,51.363095,526030.00,164230.00,0.49,owned by a public authority,,not permissioned,other ,,,,27,,Part of a mixed-use allocation (STC38),,27,111,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR13,STC37,,"""Wilko Site""",https://drive.google.com/open?id=1ToYLqN4u-p1EtclYnO43wfzdznSqD3o3 ,ETRS89,-0.191758,51.362425,525980.00,164146.00,0.11,owned by a public authority,,not permissioned,other ,,,,19,,Part of a mixed-use allocation (STC37),,19,39,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR14,STC36,,"""B&Q Sutton""",https://drive.google.com/open?id=1V2s_rGmuIChSMGHsK3uyrAXxNfVpqzGy ,ETRS89,-0.188325,51.361473,526231.00,164049.00,2.25,not owned by a public authority,,not permissioned,other ,,,,394,,Part of a mixed-use allocation (STC36),,394,799,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR15,STC35,,"""Land South of Grove Road""",https://drive.google.com/open?id=1Tq_hKkc0DG-NfThb-QqxUFZ4WEyZ54EV ,ETRS89,-0.193591,51.359767,525873.00,163852.00,0.29,not owned by a public authority,,not permissioned,other ,,,,50,,Part of a mixed-use allocation (STC35),,50,102,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR16,STC34,,"""Greensleeves Manor""",https://drive.google.com/open?id=1JP6eq3WMEFcIhQpkPMExNTF1uiNl8lNU ,ETRS89,-0.194535,51.359573,525801.00,163825.00,0.27,not owned by a public authority,,not permissioned,other ,,,,15,,Part of a mixed-use allocation (STC34),,15,61,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR17,STC33,,"""Land North of Grove Road""",https://drive.google.com/open?id=1XyY7FVhMznESo6PE6I7EM1FZCeayq4-0 ,ETRS89,-0.193231,51.360800,525878.00,163962.00,0.90,not owned by a public authority,,not permissioned,other ,,,,158,,Part of a mixed-use allocation (STC33),,158,321,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR18,STC32,,"""City House, Sutton Park Road""",https://drive.google.com/open?id=1FWTfetlz6N1LjPHyE_5Rv_WfyvuiiJQ9 ,ETRS89,-0.194910,51.360999,525771.00,163983.00,0.17,not owned by a public authority,,not permissioned,other ,,,,30,,Part of a mixed-use allocation (STC32),,30,60,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR19,STC31,,"""Gibson Road Car Park""",https://drive.google.com/open?id=1XSezMEtrF2jQxi8nIYCuB9TaCT2G5VqC ,ETRS89,-0.197024,51.362399,525620.00,164135.00,0.67,owned by a public authority,,not permissioned,other ,,,,117,,Part of a mixed-use allocation (STC31),,117,238,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR20,STC30,,"""Robin Hood Lane Sites""",https://drive.google.com/open?id=1KoEj9Px9lK7DhP0dCVjs_8KnAFDnKcW3 ,ETRS89,-0.197235,51.363247,525603.00,164229.00,0.56,owned by a public authority,,not permissioned,other ,,,,98,,Part of a mixed-use allocation (STC30),,98,199,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR21,STC29,,"""St Nicholas House""",https://drive.google.com/open?id=10R6qHrfUP1rZYgtrd6PrhsMGVbVgZ_8L ,ETRS89,-0.193850,51.362823,525839.00,164186.00,0.32,not owned by a public authority,,not permissioned,other ,,,,55,,Part of a mixed-use allocation (STC29),,55,112,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR22,STC28,,"""St Nicholas Centre Car Park""",https://drive.google.com/open?id=1VcL2aTmbwelYsFVCnTLWGEWyQ0Lnts4n ,ETRS89,-0.195533,51.364507,525718.00,164372.00,0.50,not owned by a public authority,,not permissioned,other ,,,,88,,Part of a mixed-use allocation (STC28),,88,178,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR23,STC26,,"""31-35 St Nicholas Way""",https://drive.google.com/open?id=1EoJ7Y7R6rI7XnC5qa7-VVkcKHcRKlC46 ,ETRS89,-0.196190,51.366793,525666.00,164625.00,0.10,not owned by a public authority,,not permissioned,other ,,,,18,,Part of a mixed-use allocation (STC26),,18,36,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR24,STC25,,"""Matalan Block""",https://drive.google.com/open?id=1jVbQnQ5UK2brRi3FRQgXtRC95ctZvhpH ,ETRS89,-0.194298,51.368103,525798.00,164771.00,0.55,not owned by a public authority,,not permissioned,other ,,,,97,,Part of a mixed-use allocation (STC25),,97,197,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR25,STC23,,"""Sutton Bus Garage""",https://drive.google.com/open?id=1vD1PFXSn52AlKVOBMTom4fmbckjoHuCT ,ETRS89,-0.199311,51.369278,525443.00,164897.00,0.52,owned by a public authority,,not permissioned,other ,,,,29,,Part of a mixed-use allocation (STC23),,29,117,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR26,STC20,,"""Herald House, Throwley Way""",https://drive.google.com/open?id=1luCnnk1I7lV9pmyf-m-tI0l2lDwssI3Y ,ETRS89,-0.192946,51.365996,525894.00,164542.00,0.05,not owned by a public authority,,permissioned,other ,2015-12-18,,,12.25,Conversion and extension of building for residential,Part of a mixed-use allocation (STC20),,,,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR27,STC17,,"""Petrol Station North of Subsea 7""",https://drive.google.com/open?id=1sOhkvqDXXwTyyORDy3POY1Lh2ERwaKzK ,ETRS89,-0.191816,51.357652,525998.00,163620.00,0.32,not owned by a public authority,,not permissioned,other ,,,,55,,Part of a mixed-use allocation (STC17),,55,113,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR28,STC15,,"""Shops Opposite the Station""",https://drive.google.com/open?id=1mHDpQWFm5vat0gkx_BGNWuxq7v1-9pIa ,ETRS89,-0.192126,51.359352,525976.00,163798.00,0.26,not owned by a public authority,,not permissioned,other ,,,,45,,Part of a mixed-use allocation (STC15),,45,91,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Approval
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR29,STC14,,"""Sutton Station""",https://drive.google.com/open?id=1ewXaBNLx04DGCx1m0fijyTSv4JTkFWwz,ETRS89,-0.189574,51.359789,526163.00,163860.00,1.29,not owned by a public authority,,not permissioned,other ,,,,225,,Part of a mixed-use allocation (STC14),,225,457,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR31,STC11,,"""Beech Tree Place""",https://drive.google.com/open?id=17CwMUoJd0ojI2aZ0ZbGhowhiAaA6LtMZ ,ETRS89,-0.194930,51.363479,525766.00,164259.00,0.42,owned by a public authority,,not permissioned,other ,,,,74,,Part of a mixed-use allocation (STC11),,74,151,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR32,STC10,,"""Secombe Theatre""",https://drive.google.com/open?id=1DnlPTJdfud6ZGBr0WQeItosGiYRPDI7d ,ETRS89,-0.197252,51.361710,525606.00,164058.00,0.90,owned by a public authority,,not permissioned,other ,,,,158,,Part of a school allocation (STC10),,158,320,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR33,STC24,,"""Halfords Site""",https://drive.google.com/open?id=11cgtht_sTUJB3SCSaLEimoO4xBfaru2f ,ETRS89,-0.195792,51.367784,525687.00,164736.00,0.29,not owned by a public authority,,not permissioned,other ,,,,51,,Part of a mixed-use allocation (STC24),,51,104,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR34,STC13,,"""Land at South Point, Sutton Court Road, Sutton. SM1 4TY""",https://drive.google.com/open?id=1wYzLjIMCZlAZzxMHCf9CX30Lcs6hXLVC ,ETRS89,-0.190005,51.360274,526107.00,163914.00,0.70,not owned by a public authority,,permissioned,full planning permission,2013-07-25,,,,"Redevelopment of the site involving the conversion and extension of existing South Point tower up to 22 storeys in height. Erection of an 11 storey building and a 20 storey building incorporating a link to South Point, all to provide 332 residential unit",Part of a mixed-use allocation (STC13),,,,,,,2017-12-31,2017-12-31,,,,Sutton,LDD,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR35,S8,,"""Lidl Supermarket""",https://drive.google.com/open?id=19mY0Ki8DjxSgvQPsfk0E_BL30lBwz2oa ,ETRS89,-0.150724,51.359699,528851.00,163915.00,0.35,not owned by a public authority,,not permissioned,other ,,,,19,,Part of a mixed-use allocation (S12),,19,78,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR36,S72,,"""Depot, Waltham Road""",https://drive.google.com/open?id=17Lrz5Iebu5zETDJda6V8oOHeREEhAr72 ,ETRS89,-0.175707,51.381538,527051.00,166300.00,0.12,owned by a public authority,,not permissioned,other ,,,,5,,,,5,10,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR37,S71,,"""Camperdown House, 2a Hawthorn Road""",https://drive.google.com/open?id=1rGmKP72ypcH8n6QWUlqkdaOQkeouv9nR ,ETRS89,-0.149509,51.355903,528946.00,163495.00,0.06,not owned by a public authority,,not permissioned,other ,,,,3,,,,3,14,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR38,S69,,"""Former Youth Centre, Fellowes Road""",https://drive.google.com/open?id=1-loQc0i4uyST-Gd7XTwfG6qn_eUydK4q ,ETRS89,-0.172130,51.375376,527317.00,165621.00,0.35,owned by a public authority,,permissioned,full planning permission,2016-03-30,,,,"Demolition of redundant Century Youth Centre and associated ball court. Erection of eleven 2-bedroomed and four 3-bedroomed two storey houses in three terraces (100% affordable). Provision of refuse storage, 17 car parking spaces with new vehicular access.",.,,,,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR39,S68,,"""Assembly Walk, off Green Wrythe Lane, Middleton Circle""",https://drive.google.com/open?id=1C-hIA41PGtDbFsjAuF4ft48eo87wXnrN ,ETRS89,-0.174665,51.383896,527117.00,166564.00,0.20,owned by a public authority,,not permissioned,other ,,,,8,,,,8,13,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR40,S66,,"""Garages at Radcliffe Gardens, Carshatlon Beeches""",https://drive.google.com/open?id=1AjkwkZDE7MY3-_2h_QXGUcVqH4_g7aQG ,ETRS89,-0.173164,51.352650,527308.00,163092.00,0.11,owned by a public authority,,not permissioned,other ,,,,4,,,,4,9,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR41,S61,,"""Land to rear of 107 Westmead Road""",https://drive.google.com/open?id=1gTS8mQDyZhrJymzF3c8iOavGPuPQ-OvI ,ETRS89,-0.180231,51.366895,526777.00,164664.00,0.46,not owned by a public authority,,not permissioned,other ,,,,18,,Part of a mixed-use allocation (S61),,18,37,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR42,S6,,"""Railway Approach Wallington""",https://drive.google.com/open?id=1EOWFUCMXetcVdrh7EdVnDwp3q0QlKecl ,ETRS89,-0.150837,51.360472,528811.00,164000.00,1.13,owned by a public authority,,not permissioned,other ,,,,62,,Part of a mixed-use allocation (S6),,62,255,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR43,S57,,"""Mill Green Business Park MILL GREEN ROAD""",https://drive.google.com/open?id=1sAYd9EO900dxMd1mlaNItcZYuPH11_a6 ,ETRS89,-0.160939,51.386127,528065.00,166839.00,0.42,not owned by a public authority,,permissioned,full planning permission,2016-11-30,,,158.1564722,"Erection of an infill extension to second floor, creation of an additional storey at 3rd floor level and accommodation in a new roof to provide an additional twenty nine 1 - bedroomed and twelve 2 - bedroomed self contained flats together with additional cycle and refuse facilities, car parking and alterations to landscaping and amenity areas.",,,,,,,This is in addition to permission B2014/70678 elsewhere in this register,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR44,S53,,"""Council Car Park Demark Road""",https://drive.google.com/open?id=1HOTo_p2Plw2HS7Ft_vn7DL4oYLumtuQf ,ETRS89,-0.165221,51.370655,527811.00,165108.00,0.40,owned by a public authority,,not permissioned,other ,,,,16,,Part of a mixed-use allocation (S53),,16,32,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR45,S52,,"""Council Offices, Denmark Road""",https://drive.google.com/open?id=18GqQpvQSBSmUQHu6Y_vh97zG2KvK25hN ,ETRS89,-0.163246,51.371191,527947.00,165171.00,0.40,owned by a public authority,,not permissioned,other ,,,,16,,,,16,32,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR46,S5,,"""Hackbridge Station""",https://drive.google.com/open?id=1V8LkNcD2hAcu4yoXea-9MiVBjx--v7YW ,ETRS89,-0.154035,51.377939,528565.00,165948.00,0.28,not owned by a public authority,,not permissioned,other ,,,,15,,Part of a mixed-use allocation (S5),,15,41,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Potential Development
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR47,S47,,"""1-9 Windsor Road""",https://drive.google.com/open?id=1GKZBVMWl5c02XHR9q3rbBYVuF7a3C4Sx ,ETRS89,-0.241004,51.377887,522517.00,165783.00,0.09,not owned by a public authority,,permissioned,other ,2013-12-23,,,,"Erection of a new second and third floors incorporating three 1 - bedroomed , four 2- bedroomed and two 3 - bedroomed self contained flats together with associated stair and lift enclosure, refuse store at ground level and cycle facilities at first floor with a total of seven car parking spaces at rear and alterations to ground and first floor elevations.",.,,,,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR48,S42,,"""Rear of Rosehill Shops""",https://drive.google.com/open?id=1UdJSX90Uviq7RubaZ3WKF4mtroJ8-O5I ,ETRS89,-0.188347,51.384007,526156.00,166557.00,0.25,not owned by a public authority,,not permissioned,other ,,,,14,,,,14,37,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR49,S41,,"""Co-op""",https://drive.google.com/open?id=16bkuNeSq2cJ7DL46u23pd2RSKhrCustK ,ETRS89,-0.189287,51.384196,526103.00,166573.00,0.42,not owned by a public authority,,not permissioned,other ,,,,23,,Part of a mixed-use allocation (S41),,23,61,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR50,S4,,"""Vulcan House",https://drive.google.com/open?id=1FaJ0ieh-q0C-of8UbAMMQ9pA1gKhI0Z9 ,ETRS89,-0.200435,51.364790,525376.00,164395.00,0.08,not owned by a public authority,,permissioned,other ,2015-09-15,,,,Conversion and extension of building for flats,Part of a mixed-use allocation (S4),,,,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR51,S38,,"""Resource Centre""",https://drive.google.com/open?id=1m3i9RL0U-z9QtCKNy3PdtcupLUeBpL7q ,ETRS89,-0.223856,51.375647,523720.00,165563.00,0.31,owned by a public authority,,not permissioned,other ,,,,17,,Part of a mixed-use allocation (S38),,17,45,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR52,S35,,"""Victoria House""",https://drive.google.com/open?id=1UQqoI8m4p7XlxLm2N8REY19WIDrlnKS0 ,ETRS89,-0.227165,51.370999,523498.00,165037.00,0.28,not owned by a public authority,,not permissioned,other ,,,,16,,Part of a mixed-use allocation (S35),,16,41,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Approval
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR53,S33,,"""HSS Hire Site and vacant land""",https://drive.google.com/open?id=1qkSe4PUKWcNbrCpuagHoN0-cOLoZ8XsP ,ETRS89,-0.218852,51.361138,524110.00,163956.00,0.26,not owned by a public authority,,not permissioned,other ,,,,14,,Part of a mixed-use allocation (S33),,14,37,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR54,S24,,"""Land to rear of 16-18 Stanley Park Road""",https://drive.google.com/open?id=1anPQxxlsqLb9PeEkk-zIw5W-bjtM_A8T ,ETRS89,-0.152740,51.356997,528718.00,163611.00,0.09,not owned by a public authority,,not permissioned,other ,,,,5,,Part of a mixed-use allocation (S47),,5,20,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR55,S23,,"""Shotfield Car Park""",https://drive.google.com/open?id=16epArbMqdAl-WUIn7XAJIRNRuzm7UBjm ,ETRS89,-0.150682,51.358282,528860.00,163758.00,0.41,owned by a public authority,,not permissioned,other ,,,,23,,Part of a mixed-use allocation (S23),,23,92,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR56,S22,,"""Napier Court. Whispering Moon Pub and Travis Perkins""",https://drive.google.com/open?id=1nwoReJvq1ukEvO6yaAQ121PC0sgG0iIz ,ETRS89,-0.149259,51.360322,528966.00,163989.00,0.32,not owned by a public authority,,not permissioned,other ,,,,18,,Part of a mixed-use allocation (S13),,18,72,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR57,S20,,"""19 Stanley Park Road""",https://drive.google.com/open?id=1GiBvBDyh5HZGGf6w3Z6LtlgBIPFIuNAU ,ETRS89,-0.153034,51.356093,528700.00,163510.00,0.10,not owned by a public authority,,permissioned,full planning permission,2017-08-01,,,,"Demolition of premises and erection of a three storey building comprising seven 1-bed flats and two 2-bed flats including the provision of nine car parking spaces, refuse and cycle stores, associated hard and soft landscaping for use by the learning disabled.",.,,,,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR58,S2,,"""Land Adjoining Hackbridge Station""",https://drive.google.com/open?id=1XwblcybuNLdSmz4MpikEqe2cSvCa0sdE,ETRS89,-0.154308,51.379026,528555.00,166064.00,1.19,not owned by a public authority,,not permissioned,other ,,,,65,,Part of a mixed-use allocation (S2),,65,172,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR59,S12,,"""WALLINGTON HALL""",https://drive.google.com/open?id=1UUMByZESlQOl3bGhmibr_kr0vCENPGij ,ETRS89,-0.148287,51.357206,529040.00,163595.00,0.43,owned by a public authority,,not permissioned,other ,,,,24,,Part of a mixed-use allocation (S12),,24,62,,,,2017-12-31,2017-12-31,,,,Sutton,SHLAA,Allocation
