OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Polygon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,174038,141435,The Substation Gainsborough Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539524,187720,0.08,not owned by a public authority,yes,permissioned,full planning permission,43374,,,9,"Change of use from warehouse (Class B8) to nine residential units (2 x 1 bedroom, 6 x 2 bedroom, and 1 x 3 bedroom flats)(Use Class C3). Refurbishment including ground and first floor rear extension, installation of doors and windows to all elevations with associated cycle and bin storage and balconies at first floor elevation ",,,,,,,,43075,43445,"Polygon ((539531.59794605837669224 187731.8902290920377709, 539548.93823834299109876 187713.96979541727341712, 539527.28771708684507757 187693.74945734773064032, 539514.84750616340897977 187706.2697615313809365, 539506.3172989800805226 187697.809618144412525, 539502.42723418003879488 187702.03971976728644222, 539500.97720456938259304 187702.12972694629570469, 539531.59794605837669224 187731.8902290920377709))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,141775,,370-372 Grove Green Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538878,187178,0.04,not owned by a public authority,,not permissioned,,,,,7,[Lapsed] Demolition of existing building and erection of 3 storey building comprising commercial use on ground floor and  7 residential units (3 X 1 bed; 3x 2 bed and 1 x 3 bed),Demolition of existing building and erection of 3 storey building comprising commercial use on ground floor and  7 residential units (3 X 1 bed; 3x 2 bed and 1 x 3 bed),,,,,,,43075,43445,"Polygon ((538868.36226228158921003 187189.89147135004168376, 538887.22258504119236022 187171.72102694242494181, 538878.74237687489949167 187162.71087201253976673, 538860.21203337016049773 187173.37116013164632022, 538868.36226228158921003 187189.89147135004168376))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,182249,LHCSS17310263,Naseberry Court 2 Meriam Close SSA11,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538333,192147,1.03,owned by a public authority,yes,pending decision,,,,,48,Demolition of existing buildings and construction of 4 buildings ranging from 3 to 5 storeys in height comprising 119 residential unitswith associated parking and landscaping,,,,,,,,43075,43445,"Polygon ((538248.23779789870604873 192187.33694329846184701, 538250.25784276984632015 192188.19695364456856623, 538251.66786370158661157 192185.96690241550095379, 538261.94806787837296724 192183.75681904185330495, 538275.94835783215239644 192183.98677240131655708, 538301.56889409711584449 192185.94671883212868124, 538313.79915597825311124 192188.48672639270080253, 538320.02929226716514677 192190.56674647907493636, 538321.64931470912415534 192187.56667857855791226, 538348.64991889521479607 192200.26684173685498536, 538354.41998889844398946 192186.87654403917258605, 538351.41992019233293831 192185.03651705331867561, 538359.73002227593678981 192166.09609541844110936, 538385.59058768639806658 192174.6461770580499433, 538395.52067664219066501 192143.01548741367878392, 538398.06066214060410857 192124.77510141639504582, 538397.83056841266807169 192100.53460168093442917, 538386.98033844353631139 192098.92460825998568907, 538371.27999642596114427 192094.07456573162926361, 538357.42968750942964107 192087.83448771055554971, 538341.26934025052469224 192084.14447082747938111, 538324.1889629807556048 192077.45439536828780547, 538320.72891861933749169 192084.83456047321669757, 538306.63871835463214666 192109.54512248246464878, 538282.16832910012453794 192141.16586529195774347, 538254.6978932002093643 192176.95670522830914706, 538248.23779789870604873 192187.33694329846184701))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,183989,LHCSS17310209,Juniper House Hoe Street,https://maps.london.gov.uk/brownfield-site-register,OSGB36,537455,188977,0.36,owned by a public authority,yes,pending decision,,,,,90,"Demolition of existing office and construction of a part-four and part-sixteen storey building comprising a commercial unit (flexible Use Class B1(a)/A1/A3/A4/D1) at ground level; 91-residential units (Use Class C3;) and a two-storey building comprising a nursery (Use Class D1) together with associated landscaping improvements, public realm works, car parking and refuse and cycle storage",,,,,,,,43075,43445,"Polygon ((537406.01862745161633939 188977.87375812255777419, 537523.09112719865515828 189000.29379148769658059, 537526.82120524987112731 189000.57378358277492225, 537529.841243906179443 188994.11363910045474768, 537505.71070342545863241 188982.61349017272004858, 537488.61031603929586709 188973.27336005051620305, 537414.06864084280095994 188936.22286850062664598, 537415.78866531490348279 188933.21280003187712282, 537411.04855950851924717 188931.05277282086899504, 537410.04854623461142182 188933.06281799782300368, 537406.01845619035884738 188931.20279437612043694, 537405.44845021795481443 188932.78282909619156271, 537404.44843536627013236 188934.36286539176944643, 537403.57842107047326863 188935.36288923508254811, 537401.42838037968613207 188936.37291798391379416, 537405.01849979558028281 188948.71315963275264949, 537406.45856486982665956 188958.34335321030812338, 537406.888610151829198 188968.26355648087337613, 537406.01862745161633939 188977.87375812255777419))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,183424,2011/0984/OUT,Webbs Industrial Estate 108 BHL06,https://maps.london.gov.uk/brownfield-site-register,OSGB36,535958,189791,1.7,owned by a public authority,yes,pending decision,,,,,235,"Demolition of existing buildings and structures, and comprehensive redevelopment to provide a series of buildings ranging in height from 1 to 15 storeys to provide 359 new affordable homes in a mix of one, two and three bedroom units (Use Class C3) 2,569sqm of non- residential floor space comprising of 720sqm of flexible floor space (Use Class A1 and/or A2 and/or A3 and/or A4 and /or B1 and /or D1 and/or D2), 532sqm of flexible floors pace (Use Class B1 and/or D1) and 1,313sqm of floor space (Use Class B1), car parking, cycle parking, landscaping, highways and utilities works.",,,,,,,,43075,43445,"Polygon ((535872.23002676165197045 189814.98667264968389645, 535905.56073401216417551 189820.15665711427573115, 535913.8809163550613448 189823.02668585348874331, 535947.50163065828382969 189828.48667524277698249, 535951.8017363342223689 189833.08675445942208171, 535973.06218904978595674 189836.81675347522832453, 535973.35217713192105293 189831.93665163364494219, 535974.502197724301368 189831.07662965368945152, 535979.96219452400691807 189799.47595705202547833, 536009.83283454296179116 189805.79597796045709401, 536011.27287271909881383 189808.09602017374709249, 536042.58348449855111539 189798.6157095154048875, 536025.63292150397319347 189740.57457313849590719, 536061.82370047236327082 189749.19461835111724213, 536061.82370469206944108 189750.34464210085570812, 536071.02389889548067003 189751.49463209038367495, 536071.0239020511507988 189752.35464985063299537, 536082.51415198366157711 189755.8046789335203357, 536118.99487368005793542 189747.18436706106876954, 536119.57486140262335539 189740.57422843342646956, 535918.48061289521865547 189714.43442649941425771, 535918.4806097395485267 189713.57440873875748366, 535914.75053271336946636 189713.5744224262307398, 535914.17053233121987432 189716.73448981129331514, 535894.93013079720549285 189715.58453666151035577, 535881.99984059692360461 189709.26445359294302762, 535878.26979413616936654 189717.59463930100901052, 535873.66975293611176312 189732.25495892006438226, 535869.06977914110757411 189765.28565789834829047, 535869.6498691278975457 189786.5460948062245734, 535872.23002676165197045 189814.98667264968389645))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,182917,LHCSS17310027,Blackhorse Road Car Park (TfL Forest Road Carpark - Part of BHL site 1),https://maps.london.gov.uk/brownfield-site-register,OSGB36,535712,189432,0.73,owned by a public authority,yes,pending decision,,,,,350,"Redevelopment of the existing car park site involving demolition of existing structures and the construction of a building ranging from 5 to 21 storeys in height comprising 350 residential units (Use ClassC3) approximately 1,650 sqm of flexible commercial floor space (Use Class A1 to A4, B1, D1 or D2), community cycle hub, ancillary refuse stores, servicing, parking, landscaping and associated public realm works.",,,,,,,,43075,43445,"Polygon ((535775.8565391474403441 189406.84859804360894486, 535659.7840516670839861 189382.15851406269939616, 535655.96424437337554991 189456.18005665013333783, 535772.97668184724170715 189461.94974646787159145, 535775.8565391474403441 189406.84859804360894486))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,160923,LHCSS17310275,Osier Way (Bywaters Waste Site - NOF Site 7 also BEA3),https://maps.london.gov.uk/brownfield-site-register,OSGB36,537616,186312,5.16,not owned by a public authority,yes,permissioned,outline planning permission,43097,,,730,"Outline planning permission (layout, scale, landscaping and appearancereserved) for the demolition of the existing buildings and structures on the site, creation of ten blocks from 2 to 15 storeys in height; re-provision of a new Thames Water Storm Water facility incorporating underground storm water storage tanks; creation of up to 730 residential units; up to 4,500sqm of commercial floor space (A1, A2, A3, B1, D1 or D2 uses); a two-form entry primary school (up to 2,190sqm); areas of public realm and landscaping, no more than 15% residential car parking spaces to include disabled parking spaces and secure cycle parking",,,,,,,,43075,43445,"Polygon ((537570.44270012190099806 186437.12068989273393527, 537608.56976153142750263 186383.90111333152162842, 537610.13870531227439642 186382.2418589350709226, 537618.08347532339394093 186380.28934159519849345, 537628.52982388529926538 186366.1957742071535904, 537667.38454545161221176 186394.49945413565728813, 537623.83211004408076406 186451.95566919562406838, 537621.69382163428235799 186454.36085784516762942, 537621.29382621659897268 186457.86093158449511975, 537621.34383183543104678 186459.11095721216406673, 537622.5938701214035973 186462.51102283544605598, 537625.09860160725656897 186464.75980592062114738, 537626.09395321656484157 186465.46107090782606974, 537638.26707113347947598 186474.2411898139398545, 537638.69424072781112045 186472.91117851418675855, 537654.84449495538137853 186451.31067323213210329, 537679.52418544096872211 186417.8018201049126219, 537683.74494788039010018 186412.10975774191319942, 537685.46498845983296633 186413.48977992724394426, 537686.1949999377829954 186412.50975701055722311, 537685.61498642037622631 186412.08975046803243458, 537687.26501241896767169 186409.88969898468349129, 537686.03498379199299961 186409.00968532729893923, 537695.40536952659022063 186396.23119481434696354, 537710.59536893130280077 186375.75890862400410697, 537713.79541592835448682 186370.55878950754413381, 537716.34547482058405876 186372.25881525245495141, 537720.39553625043481588 186366.20867546554654837, 537717.94547960674390197 186364.55865038488991559, 537723.84557043120730668 186356.10845424921717495, 537725.17560130637139082 186357.03846857440657914, 537758.71612762240692973 186311.72740989399608225, 537792.56950429966673255 186268.47789396595908329, 537780.54311447485815734 186260.83825818734476343, 537780.08638095704372972 186260.50627382984384894, 537781.70640589576214552 186258.1862199793686159, 537773.74622619454748929 186254.0061628736439161, 537772.57620328280609101 186254.3461741873761639, 537769.04612731037195772 186253.50616979255573824, 537746.53290591819677502 186241.11466312303673476, 537659.89365426474250853 186193.75533648498822004, 537658.9936365979956463 186194.00534494942985475, 537656.74358591879718006 186192.85532945941668004, 537656.64358018478378654 186191.85530917654978111, 537643.44328120327554643 186184.65520893386565149, 537634.1130636369343847 186177.86510295892367139, 537626.39288492884952575 186172.60502266947878525, 537621.84944684035144746 186174.06825410670717247, 537616.39681970817036927 186174.60105043282965198, 537608.39574178343173116 186178.51927659998182207, 537595.50229493039660156 186185.64540527225472033, 537575.82311221014242619 186201.72356246825074777, 537565.95911429892294109 186215.36872004848555662, 537552.51571983995381743 186227.60439728040364571, 537532.36477049917448312 186239.25576667315908708, 537522.77642205206211656 186248.64527769610867836, 537469.73637519578915089 186295.19818072128691711, 537448.13972500851377845 186314.53860742674442008, 537460.96988847199827433 186327.9855733776348643, 537471.40029526641592383 186339.05902840528870001, 537508.62120603059884161 186377.81969221262261271, 537515.27774068969301879 186385.97705442694132216, 537514.64136644033715129 186387.65987331344513223, 537512.23132515198085457 186389.96992985409451649, 537510.54130845365580171 186394.93003847700310871, 537524.46193616033997387 186400.98607279846328311, 537539.75504960690159351 186410.10157601936953142, 537548.4326437400886789 186417.24906320610898547, 537570.44270012190099806 186437.12068989273393527))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,170893,LHCSS17310176,"Forest Works, 1 Forest Road",https://maps.london.gov.uk/brownfield-site-register,OSGB36,535730,189491,1.25,not owned by a public authority,yes,permissioned,full planning permission,43017,,,337,"Demolition of existing building(s) and redevelopment of the site to provide three buildings ranging from 2 to 10 storeys in height, providing a residential led mixed-use development containing 337 residential units (Use Class C3) and 1750 sq.m (GIA) of commercial floorspace (Use Classes A1, A2, A3, A4, B1 and D2) with associated ancillary development to include 19 car parking spaces, cycle parking,hard and soft landscaping and access roads",,,,,,,,43075,43445,"Polygon ((535657.45050800126045942 189559.58868843430536799, 535765.01689275703392923 189564.23188784008380026, 535766.73493292392231524 189525.18890505583840422, 535768.11291435814928263 189491.92103167745517567, 535774.6691241548396647 189482.50736646295990795, 535783.4135682302294299 189478.85759052497451194, 535794.82454319635871798 189474.23707228963030502, 535808.16743286070413888 189468.57975426339544356, 535794.4670822536572814 189450.12942352407844737, 535789.32682339870370924 189408.50858290056930855, 535775.86653396021574736 189405.3785676512052305, 535775.47376412199810147 189412.54172904897131957, 535772.86667950206901878 189461.92974645923823118, 535655.96424694184679538 189456.8800711051444523, 535656.26425772334914654 189458.13009581906953827, 535656.76426859886851162 189458.28009708214085549, 535656.8575387567980215 189460.04928023458342068, 535656.97462358546908945 189462.27018894566572271, 535657.08032297855243087 189464.27513446513330564, 535657.11430040991399437 189464.98023415822535753, 535657.58683891769032925 189468.22212387103354558, 535658.0753839312819764 189471.59086924788425677, 535658.95160058827605098 189477.68036612673313357, 535659.44082772033289075 189480.86567705843481235, 535660.11760505195707083 189485.39006196401896887, 535660.31444647919852287 189486.78067260474199429, 535660.28863538650330156 189488.30435535381548107, 535660.13292751123663038 189491.62744203291367739, 535659.92841753060929477 189496.26227090242900886, 535659.79046733898576349 189499.3886490325385239, 535659.585736088687554 189504.02849255644832738, 535659.37668739806395024 189508.76618263617274351, 535659.24001783574931324 189511.86353774319286458, 535658.91232728154864162 189519.2900195051333867, 535657.45050800126045942 189559.58868843430536799))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,162056,LHCSS17310176,"Standard Music Venue The Tryst, 1 Blackhorse Lane",https://maps.london.gov.uk/brownfield-site-register,OSGB36,535829,189432,0.23,not owned by a public authority,yes,permissioned,full planning permission,43087,,,50,"Demolition of former public house “The Royal Standard” and associatedland used as a car park, construction of a U-Shaped building comprising an eastern block of four to six storeys and a western blockof six to seven storeys to form 50 residential units (14 x 1 bed, 28 x2 bed, 8 x 3 bed) (use class C3), with associated ground floor supermarket (use class A1) 991.8m2, mezzanine bar (A4)/ basement musicvenue (use class D2) 749m2, ancillary community/exhibition space, communal and private space, 19 car parking spaces, 86 cycle spaces, bin store facilities, site landscaping and associated highways works",,,,,,,,43075,43445,"Polygon ((535808.16743286070413888 189468.57975426339544356, 535827.08604503888636827 189464.33599079510895535, 535848.60823460831306875 189459.48941816389560699, 535843.63808710151351988 189447.25918383937096223, 535840.3779903540853411 189439.2390301818959415, 535835.95811660273466259 189429.98054143684566952, 535831.33102546853478998 189420.36100633666501381, 535829.28215701680164784 189418.55667389911832288, 535826.60762523929588497 189417.22862618521321565, 535807.27463416883256286 189412.68823192652780563, 535789.32682339870370924 189408.50858290056930855, 535792.13301403424702585 189431.32991186235449277, 535794.4670822536572814 189450.12942352407844737, 535808.16743286070413888 189468.57975426339544356))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,180378,151966,30-32 Sutherland Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,535963,190042,0.09,not owned by a public authority,yes,permissioned,other,43172,,,12,A mixed use redevelopment. Construction of 3 to 4 storey building involving part ground  first  second and third floor extensions to provide 9 self-contained flats (2x1 bed  2x2 bed  5x3 bed). Provision of 1190sqm retail space (use class A1 B1 and B8) ,A mixed use redevelopment. Construction of 3 to 4 storey building involving part ground  first  second and third floor extensions to provide 9 self-contained flats (2x1 bed  2x2 bed  5x3 bed). Provision of 1190sqm retail space (use class A1 B1 and B8) ,,,,,,,43075,43445,"Polygon ((535944.04239549534395337 190056.40139448392437771, 535971.24297894944902509 190062.33141713496297598, 535986.70311822195071727 190013.28034747729543597, 535965.30265219300054014 190006.71029032766819, 535962.02258559665642679 190007.02030876511707902, 535958.74252362386323512 190008.59035322302952409, 535944.04239549534395337 190056.40139448392437771))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
