OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,End Date
http://opendatacommunities.org/id/london-borough-council/brent,BR00021,"348, Dollis Hill Lane, NW2 6HL",https://maps.london.gov.uk/brownfield-site-register,-0.224387942,51.56455815,0.054,not owned by a public authority,permissioned,full planning permission,23/02/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,17/5243,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00025,"150-152 Walm Lane, London, NW2 4RU",https://maps.london.gov.uk/brownfield-site-register,-0.218638176,51.55144281,0.1,mixed ownership,permissioned,full planning permission,06/07/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,17/1603,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00027,"Raglan Court & Garages, Raglan Court, Empire Way, Wembley, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.284618409,51.55995499,1.4,not owned by a public authority,permissioned,full planning permission,04/09/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,72,72,,16/3408,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00028,"Storage Land next to 75, St Pauls Avenue, London, NW2 5TG",https://maps.london.gov.uk/brownfield-site-register,-0.227357476,51.54972662,0.23,not owned by a public authority,permissioned,full planning permission,17/12/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,70,70,,17/5291,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00030,"2A Preston Waye & 283-287 odd, Preston Road, Harrow, HA3",https://maps.london.gov.uk/brownfield-site-register,-0.295141823,51.57316604,0.19,mixed ownership,permissioned,full planning permission,14/08/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,21,21,,16/54444,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00033,"Miracle Signs & Wonders Ministrie, Church Road, London, NW10 9NR",https://maps.london.gov.uk/brownfield-site-register,-0.247231406,51.54865152,0.09,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,28,28,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00038,"83 Hassop Road, London, NW2 6RX",https://maps.london.gov.uk/brownfield-site-register,-0.219416869,51.55953427,0.01,not owned by a public authority,permissioned,full planning permission,28/03/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,7,7,,17/0457,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00039,"2-22 London Road, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.295307175,51.55261976,0.21,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,50,50,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/london-borough-council/brent,BR00040,Land behind Mostyn Avenue,https://maps.london.gov.uk/brownfield-site-register,-0.290500117,51.55481978,2.19,mixed ownership,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,15,15,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/london-borough-council/brent,BR00041,"Capitol Industrial Park, Capitol Way, NW9 0EQ",https://maps.london.gov.uk/brownfield-site-register,-0.266026128,51.59454948,1.74,not owned by a public authority,permissioned,full planning permission,12/11/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,414,414,,17/0837,14/12/2018,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00045,"Stadium Retail Park, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.280706443,51.56136663,1.15,not owned by a public authority,pending decision,outline planning permission,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,966,966,,17/3059,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00046,"Land Adjacent To 1-18 And Land West Of 29 To 46, Ellerslie Gardens, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.23534021,51.54067711,0.83,Mixed ownership,permissioned,full planning permission,29/08/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,18/2605,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00047,"Land Adjacent To Wembley Stadium Station, South Way, HA9 0HB",https://maps.london.gov.uk/brownfield-site-register,-0.283621878,51.55483671,0.33,not owned by a public authority,permissioned,outline planning permission,23/12/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,45,45,,14/4931,14/12/2018,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00048,"The Torch/Kwik Fit Euro, 1-5 Bridge Road, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.277105689,51.56495861,0.38,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,100,100,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/london-borough-council/brent,BR00049,"Watkin Road, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.275665836,51.56069081,1.2,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,488,488,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00050,"Euro Car Parts, Corner of Fulton Road and Fifth Way, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.27352669,51.5596013,1.36,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,700,700,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00051,"Alperton House, Bridgewater Road, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,-0.301534822,51.53971575,1.7,not owned by a public authority,permissioned,full planning permission,17/06/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,474,474,,18/4199,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00052,"Sunleigh Road, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,-0.293956554,51.539164,1.9,not owned by a public authority,permissioned,full planning permission,01/06/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,372,372,,18/0320 (part of site),15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00053,"Woodside Avenue, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,-0.292098497,51.54034986,2.7,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,590,590,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00054,"Beresford Avenue, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,-0.289355908,51.54063437,0.95,mixed ownership,permissioned,full planning permission,08/03/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,135,135,,18/0752 (part of site),15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00055,"Homebase, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.249133748,51.55108819,0.82,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,80,106,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00056,"Chancel House, Neasden Lane, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.246694441,51.55038979,1.95,owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,135,135,,16/2674,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00057,"Asiatic Carpets, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.250491833,51.55912961,0.25,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,380,380,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/london-borough-council/brent,BR00058,"Neasden Lane / Birse Crescent, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.252866884,51.56000395,0.1,mixed ownership,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,22,22,,,15/12/2017,15/12/2017,
http://opendatacommunities.org/id/london-borough-council/brent,BR00059,"Neasden Lane / North Circular Road, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.245414463,51.53698214,0.21,mixed ownership,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,9,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00060,"Manor Park Works, Manor Park Road, Harlesden, NW10 4JJ",https://maps.london.gov.uk/brownfield-site-register,-0.314706657,51.58088728,2.25,not owned by a public authority,permissioned,full planning permission,19/10/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,45,45,,17/2331,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00061,"Sainsbury's Superstore, Draycott Avenue, HA3",https://maps.london.gov.uk/brownfield-site-register,-0.300449024,51.58638661,0.47,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,150,150,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00062,"Clock Cottage, Kenton Road, HA3",https://maps.london.gov.uk/brownfield-site-register,-0.284887528,51.59239263,3.69,owned by a public authority,permissioned,full planning permission,18/01/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,17,17,,16/3294,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00063,"Morrison’s supermarket, Honeypot Lane, NW9",https://maps.london.gov.uk/brownfield-site-register,-0.271718895,51.54328103,2.99,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,164,383,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00064,"Former Unisys & Bridge Park Centre, North Circular Road, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.238899184,51.5493658,0.16,mixed ownership,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,505,505,,,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00065,"Former Dudden Hill Lane Playground, Willesden, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.238899184,51.5493658,0.16,owned by a public authority,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,20,29,,Pending - 19/2688,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00066,"133, Kilburn Lane, W10 4AN",https://maps.london.gov.uk/brownfield-site-register,-0.213217064,51.53188924,0.098,not owned by a public authority,permissioned,full planning permission,06/09/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,17/5358,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00067,"15 & 17, Tudor Gardens, NW9 8RL",https://maps.london.gov.uk/brownfield-site-register,-0.263740256,51.5666661,0.119,not owned by a public authority,permissioned,full planning permission,15/10/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,-3,-3,,18/0192. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00069,"16, Mapesbury Road, NW2 4JB",https://maps.london.gov.uk/brownfield-site-register,-0.210208346,51.54646533,0.15,not owned by a public authority,permissioned,full planning permission,30/07/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,2,,18/1528. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00071,"2, Forty Lane, HA9 9EB",https://maps.london.gov.uk/brownfield-site-register,-0.265767403,51.56610254,0.074,not owned by a public authority,permissioned,full planning permission,09/11/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,17/1647. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00074,"211, Willesden Lane, NW6 7YR",https://maps.london.gov.uk/brownfield-site-register,-0.214857796,51.54522325,0.08,not owned by a public authority,permissioned,full planning permission,16/02/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,16/3682. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00075,"3 & 3a, Furness Road, NW10 4QH",https://maps.london.gov.uk/brownfield-site-register,-0.239576574,51.53329488,0.07,not owned by a public authority,permissioned,full planning permission,02/02/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,17/4565,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00079,"427, High Road, HA9 7AB",https://maps.london.gov.uk/brownfield-site-register,-0.29444427,51.55319589,0.052,not owned by a public authority,permissioned,full planning permission,12/11/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,18/2499,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00081,"47-51, High Street, NW10 4NJ",https://maps.london.gov.uk/brownfield-site-register,-0.24724119,51.53608035,0.06,not owned by a public authority,permissioned,full planning permission,24/03/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,16/5460,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00083,"494-504, Neasden Lane North, NW10 0EA",https://maps.london.gov.uk/brownfield-site-register,-0.25895594,51.56310627,0.074,not owned by a public authority,permissioned,Full planning permission,05/02/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,19/0335,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00084,"511, High Road, HA0 2DH",https://maps.london.gov.uk/brownfield-site-register,-0.297879088,51.55198675,0.09,not owned by a public authority,permissioned,full planning permission,30/08/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,18/1534,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00085,"57, Cricklewood Broadway, NW2 3JX",https://maps.london.gov.uk/brownfield-site-register,-0.212050327,51.55356164,0.063,not owned by a public authority,permissioned,Full planning permission,14/09/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,17/5292,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00089,"76, Salusbury Road, NW6 6PA",https://maps.london.gov.uk/brownfield-site-register,-0.206755259,51.53708729,0.675,not owned by a public authority,permissioned,full planning permission,02/08/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,16/5398,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00092,"Ark Elvin Academy, Cecil Avenue, Wembley, HA9 7DU",https://maps.london.gov.uk/brownfield-site-register,-0.288946965,51.55090393,0.8,owned by a public authority,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,122,122,,19/2891,15/12/2017,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00094,"Flats 1-12 Inc And Flats 13-24 Inc, Leeland Way, NW10 1SA",https://maps.london.gov.uk/brownfield-site-register,-0.248400625,51.55732007,0.2,Mixed ownership,permissioned,full planning permission,08/12/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,17/2120. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00093,"Ashford Studios, Ashford Road, NW2 6TP",https://maps.london.gov.uk/brownfield-site-register,-0.216873231,51.55712419,0.09,not owned by a public authority,permissioned,Full planning permission,26/07/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,3,3,,18/1466,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00095,"Garages Rear Of Glenmore Parade, Ealing Road, HA0",https://maps.london.gov.uk/brownfield-site-register,-0.297074947,51.54184958,0.148,not owned by a public authority,permissioned,full planning permission,25/08/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,17/0436,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00096,"High Road, NW10 2PU",https://maps.london.gov.uk/brownfield-site-register,-0.228186385,51.54738566,0.02,Not owned by a public authority,permissioned,full planning permission,24/02/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,14/1811,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00097,"Land Rear Of 25 To 30, Stonebridge Park, NW10",https://maps.london.gov.uk/brownfield-site-register,-0.261798529,51.54494758,0.31,Mixed ownership,permissioned,full planning permission,07/06/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,17/4203. Land suitable for development only relates to the hardstanding element of site,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00098,"Masons House, Valley Drive, NW9 9NG",https://maps.london.gov.uk/brownfield-site-register,-0.273386296,51.58550349,0.02,not owned by a public authority,permissioned,full planning permission,07/06/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,18/1400,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00099,"Northfield Industrial Estate, Beresford Avenue, HA0 1NW",https://maps.london.gov.uk/brownfield-site-register,-0.286191331,51.54097183,6.8,not owned by a public authority,permissioned,outline planning permission,28/09/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2498,2498,,18/0321,14/12/2018,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00100,"Oxgate Farm Works, Coles Green Road, NW2 7EY",https://maps.london.gov.uk/brownfield-site-register,-0.23504331,51.56696703,0.1,not owned by a public authority,permissioned,full planning permission,22/02/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,16/1895,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00103,"The Lodge Liberal Jewish Cemetery, Pound Lane, NW10 2HG",https://maps.london.gov.uk/brownfield-site-register,-0.236863655,51.54379346,0.079,not owned by a public authority,permissioned,full planning permission,13/04/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,18/0353,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00105,"The Willows, Honeypot Lane, NW9 9QA",https://maps.london.gov.uk/brownfield-site-register,-0.283417974,51.5901196,0.253,not owned by a public authority,permissioned,full planning permission,26/10/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,61,61,,19/1350,14/12/2018,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00106,"Willesden Green Baptist Church, High Road, NW10 2PR",https://maps.london.gov.uk/brownfield-site-register,-0.23032844,51.54719317,0.075,Not owned by a public authority,permissioned,full planning permission,19/01/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,18/4746,14/12/2018,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00108,"Yard Rear Of 1a, Parkfield Road, NW10 2BJ",https://maps.london.gov.uk/brownfield-site-register,-0.23310083,51.54599398,0.109,not owned by a public authority,permissioned,full planning permission,07/11/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,18/1217,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00111,"107, Brondesbury Park, NW2 5JL",https://maps.london.gov.uk/brownfield-site-register,-0.222568849,51.5460867,0.081,not owned by a public authority,permissioned,full planning permission,18/01/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,17/2670. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00112,"111, Salusbury Road, NW6 6RG",https://maps.london.gov.uk/brownfield-site-register,-0.206437428,51.53746911,0.153,Mixed ownership,permissioned,full planning permission,15/12/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,16/3731,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00114,"126, High Road, NW10 2PJ",https://maps.london.gov.uk/brownfield-site-register,-0.232787024,51.5473921,0.023,Not owned by a public authority,permissioned,full planning permission,30/10/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,2,,17/3249,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00115,"15, Bryan Avenue, NW10 2AA",https://maps.london.gov.uk/brownfield-site-register,-0.22765794,51.54280046,0.05,not owned by a public authority,permissioned,full planning permission,01/06/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,17/0249. Site includes an element of residential garden (not PDL),14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00116,"203, Kilburn High Road, NW6 7HY",https://maps.london.gov.uk/brownfield-site-register,-0.197993936,51.54168315,0.017,not owned by a public authority,permissioned,full planning permission,25/05/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,18/1077,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/london-borough-council/brent,BR00117,"245-249 And 253 Ealing Road, HA0 1EX",https://maps.london.gov.uk/brownfield-site-register,-0.299113269,51.53823719,0.2,not owned by a public authority,permissioned,Full planning permission,26/07/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,89,89,,16/3606,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00118,"All Units Inc Garages , 4-9 Gladstone Parade, Edgware Road, NW2 6JS",https://maps.london.gov.uk/brownfield-site-register,-0.223697114,51.56377433,0.38,not owned by a public authority,permissioned,Full planning permission,19/12/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,32,32,,17/0298,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00119,"Prospect House, North Circular Road, NW10 7GH",https://maps.london.gov.uk/brownfield-site-register,-0.281166148,51.53885708,0.2,not owned by a public authority,permissioned,Full planning permission,07/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,28,28,,17/0637,13/12/2019,13/12/2019,
