PublisherLabel,PublisherURI,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-12,,"Land at Quonians Lane, Cross Keys, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411790,309678,0.81,not owned by a public authority,yes,pending decision,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PNLB4BJEM4U00,,42,Site consists of a number of buildings and small warehouse type units and associated car parking,,,42,52,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-13,,"Former Regal Cinema (former Kwick Save), Tamworth Street, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411861,309631,0.16,not owned by a public authority,yes,permissioned,full planning permission,08/02/2017 00:00:00,,,38,Former cinema building most recently used as supermarket at ground floor.,Permitted development for apartments with 371sqm of A1 retail at ground floor level.,,38,38,,,Allocated in adopted local plan. Currently under construction,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-14,,"Angel Croft Hotel, Beacon Street, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411359,309703,0.27,not owned by a public authority,yes,permissioned,full planning permission,31/07/2017 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OT8NACJELAC00,,5,Listed former hotel building with outbuildings and associated car parking to side and rear.,,,5,5,,,Site currently under construction. Proposed for allocation in LPA,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-15,,"Former Windmill Public House, Grange Lane, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,410928,310407,0.31,not owned by a public authority,yes,permissioned,full planning permission,19/02/2018 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OXX9TYJEMKA00,,12,Former public house and associated car parking,,,12,12,,,Allocated in adopted local plan. Currently under construction,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-16,,"The Greyhound Public House, Upper St John Street, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411960,308869,0.15,not owned by a public authority,yes,permissioned,full planning permission,18/05/2017 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OGZL60JEI2600,,8,Derelict land to rear of public house,,,8,8,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-17,,"41 Cherry Orchard, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412355,309218,0.25,not owned by a public authority,yes,permissioned,full planning permission,17/10/2013 00:00:00,,,7,Site of former nursery which has now been demolished. Redevelopment currently under construction,,,7,7,,,Allocated in adopted local plan. Currently under construction,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-18,,"Land at Mount Road, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,405750,308604,2.77,not owned by a public authority,yes,permissioned,full planning permission,10/10/2019 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PO1Z52JEMB100,,95,Derelict industrial buildings.,,,95,95,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-19,,"114 High Street, Chasetown, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404630,308455,0.33,not owned by a public authority,yes,permissioned,full planning permission,19/08/2016 00:00:00,,,8,Derelict land.,,,8,8,,,Allocated in adopted local plan. Currently under construction,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-21,,"82 Queen Street, Chasetown, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404939,308330,0.24,not owned by a public authority,yes,permissioned,full planning permission,20/12/2016 00:00:00,,,14,Former care sales garage which has been demolished.,,,14,14,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-23,,"Land adjacent to 84 Cherry Orchard, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,511914,308985,0.1,not owned by a public authority,yes,not permissioned,,,,,8,Site currently used for self storage containers,,,8,10,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-26,,"Buffer Depot, Trent Valley Road, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,413486,310168,1.9,owned by a public authority,yes,not permissioned,,,,,45,"Former rail depot, consists of several large warehouses and areas of hardstanding",Site also to include car parking for adjacent railway station,,45,75,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-27,,"Beaconsfield House, Sandford Street, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411518,309431,0.05,not owned by a public authority,yes,pending decision,,,,,24,Three storey office building identified as out of scale and character with area,Liekly to be apartment development with retail at ground floor,,24,30,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-28,,"Hawthorn House, Burton Old Road, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412647,309542,0.6,owned by a public authority,yes,permissioned,full planning permission,30/11/2016 00:00:00,,,25,County council offices and associated accommodation.,,,25,25,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-29,,"Land off Gorse Lane, Fradley Park",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,414615,313489,12,not owned by a public authority,yes,pending decision,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OQCSXGJEKI900,,250,Part of former airfield - allocated for development in Local Plan,,,250,300,,,Part of SDA within adopted LPS. Outline planning application submitted but not yet determined.,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-30,,"Former Home, Scotch Orchard, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412896,310173,0.97,owned by a public authority,yes,permissioned,full planning permission,24/04/2017 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=NZ5GNGJEL5D00,,27,Former Children's care home building and associated car parking,,,27,27,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-31,,"Cottage of Content Public House, Queen Street, Chasetown, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404901,308299,0.24,not owned by a public authority,yes,not permissioned,,,,,9,Operational public house and associated car parking,,,9,11,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-32,,"Former Bridge Cross Garage, Bridge Cross Road, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404425,309340,0.34,not owned by a public authority,yes,permissioned,outline planning permission,02/02/2018 00:00:00,,,14,Site of former car show room and garage,Liekly to be apartment development with retail at ground floor,,14,14,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-33,,"Land East of Burntwood Bypass, Milestone Way, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404044,308547,10.5,mixed ownership,yes,permissioned,full planning permission,21/07/2014 00:00:00,,,351,Former industrial site - site currently under construction,,,351,351,,,Site is allocated through adopted LPS. Under construction,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-34,,"Former 'What' store, Cross Keys, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411877,309555,0.3,not owned by a public authority,yes,permissioned,full planning permission,06/11/2017 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OP3Y5YJEK7Y00,,43,Former retail unit has been demolished. Site currently in use as car park,,,44,44,,,Site currently under construction. Proposed for allocation in LPA,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-35,,"Land at Halifax Avenue, Fradley",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,414997,313113,34,not owned by a public authority,yes,permissioned,full planning permission,30/06/2016 00:00:00,,,750,Part of former airfield - allocated for development in Local Plan,,,750,750,,,Site is currently under construction. Site is allocated through adopted LPS.,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-36,,"Boney Hay Concrete, Chorley Road, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404968,310571,0.34,not owned by a public authority,yes,not permissioned,,,,,7,Former concrete manufacturer works,,,7,7,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-37,,"The New Lodge, Kings Bromley Road, Alrewas",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,416557,314973,0.15,not owned by a public authority,yes,not permissioned,,,,,6,Currently in use as restaurant,,,5,7,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-39,,"Colton Road, Rugeley",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404785,319236,0.4,not owned by a public authority,yes,not permissioned,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=NLRCWFJEINS00,,14,Warehouse and office building associated with adjacent railway,,,12,16,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-40,,"Rugeley Power Station, Rugeley",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,406465,317150,83.76,not owned by a public authority,yes,pending decision,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PS0KGFJEFUC00,,820,"Uses associated with former Rugeley Power Station, parts of site are green field",,,820,880,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-44,,"Land at Levett Road, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,415327,306370,0.7,not owned by a public authority,yes,permissioned,full planning permission,14/02/2017 00:00:00,,,22,Existing RSL estate - 12 'Airey' houses,,,22,22,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-45,,"Land off Milestone Way, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404150,308834,4.4,not owned by a public authority,yes,permissioned,full planning permission,17/09/2017 00:00:00,,,150,"Vacant industrial land, former industrial buildings demolished",,,150,150,,,Allocated in adopted local plan,17/07/2017 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-46,,"Davidson Road, Old Brewery Maltings, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411877,309113,0.06,not owned by a public authority,yes,permissioned,outline planning permission,27/06/2017 00:00:00,,,6,Former brewery and industrial building used as part of commercial garage.,,,6,6,,,Allocated in adopted local plan,01/09/2018 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-47,,"Davidson Road, St John Street Garage, Lichfield",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,411863,309079,0.1,not owned by a public authority,yes,permissioned,full planning permission,05/07/2017 00:00:00,,,6,Commercial garage site and associated buildings,,,5,5,,,Allocated in adopted local plan,01/09/2018 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-48,,"Birmingham Road, Guardian House",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412091,309485,0.67,not owned by a public authority,yes,permissioned,full planning permission,09/09/2019 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PLQNH2JELHV00,,65,Former office buidling,,,65,65,,,Site under construction of 65 sheltered apartments,18/11/2019 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-49,,"161 - 167 High Street, Chasetown",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404503,308736,0.25,not owned by a public authority,yes,pending decision,,,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PRALQ0JEFKY00,,6,,,,4,7,,,,18/11/2019 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-50,,"Land at Anson Road, Alrewas",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,417019,314711,1.07,not owned by a public authority,yes,permissioned,full planning permission,28/01/2019 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PAYZGIJEICI00,,23,Demolition of 20 dwellings and erection of 43 (net increased of 23),,,23,23,,,,18/11/2019 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-51,,"Braeburn Close, Lichfield day centre",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,412833,310001,0.34,owned by a public authority,yes,not permissioned,,,,,10,Existing day centre building,,,9,11,,,,18/11/2019 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-52,,"Lichfield Street, Tolsons Mill",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,420361,301894,0.85,not owned by a public authority,yes,permissioned,full planning permission,14/02/2019 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OSARHQJEL2L00,,110,Listed former mill building,,,110,110,,,Allocated in adopted local plan,18/11/2019 00:00:00,18/11/2019 00:00:00
Lichfield District Council,http://opendatacommunities.org/id/district-council/lichfield,http://opendatacommunities.org/id/district-council/lichfield,Lichfield District Council,LDC-BLR-53,,"Land south of Cannock Road, Burntwood",http://lichfielddc.maps.arcgis.com/home/webmap/viewer.html?webmap=f95b5e5ecb4d4a938a89f64a5344eaef,OSGB36,404288,309349,0.33,not owned by a public authority,yes,permissioned,full planning permission,25/05/2018 00:00:00,https://planning.lichfielddc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OWXFI4JEMA800,,27,,,,27,27,,,"Allocated in adopted local plan, under construction",18/11/2019 00:00:00,18/11/2019 00:00:00
