OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF011,"Garage site, entrance adjacent to 35 Armson Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2027,52.47141075,-1.483805848,0.16,owned by a public authority,not permissioned,,,,yes,19,,,"""Formerly Council owned garages in a residential area.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN0239)

Application for 13 dwellings Ref 032092 was refused on 6/11/2013""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF012,"Hawkesbury Pump House, Heritage Drive, Hawkesbury",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2028,52.4585694,-1.468723568,0.13,owned by a public authority,not permissioned,,,,yes,13,,,"""The site is a small area of hardstanding used partly as a carpark and open space. The site is part of the old Engine House. 

The site is located in a residential estate.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN242)""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF013,"21 Church Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2029,52.51643093,-1.508786948,0.22,not owned by a public authority,not permissioned,,,,yes,22,,,"Existing garage/parking court shops with flats above. 

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN245)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF014,"14-16 The Square, Attleborough, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2030,52.51326954,-1.455950915,0.11,not owned by a public authority,permissioned,full planning permission,2019-08-09,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,11,14,,"""Commercial and Residential unit in a local centre with existing residential properties.  There is a public house (The Fox) to the south and a Liberal Club to the north.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 for 11 dwellings (NUN258)

Full planning permission 035370, 14 assisted living apartments granted 9/8/2019

November 2019 demolition works started
",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF015,"Land rear of Aldi, Park Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2031,52.47894204,-1.475103994,0.13,owned by a public authority,not permissioned,,,,yes,13,,,"The site consists of a wooden Scout Hut and derelict land.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN263)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF016,"Land rear of Marston House Farm, Nuneaton Road, Bulkington",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2032,52.49477742,-1.433024592,1.4,not owned by a public authority,not permissioned,,,,yes,43,,,"The site is located in the Greenbelt consisting of farm buildings and farmland.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN318)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF017,"Acacia Crescent, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2033,52.48402934,-1.460847621,0.14,owned by a public authority,not permissioned,,,,yes,13,,,"Garage and parking site.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN323)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF018,"Vale View, opposite number 84, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2034,52.52492736,-1.498256559,0.28,owned by a public authority,not permissioned,,,,yes,27,,,"Former prefab site, the site has been cleared and laid out. 

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN348)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF019,"Disused garage site, Raveloe Drive, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2035,52.50687115,-1.45846103,0.12,owned by a public authority,not permissioned,,,,yes,12,,,"Disused garage site. Some garages have been demolished. 

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN350)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF020,"Former play area, Cheveral Road, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2036,52.48363495,-1.479200755,0.14,owned by a public authority,not permissioned,,,,yes,13,,,"The site was a former garage site that was demolished and changed to a play area. The play area has now been demolished and the site is part grass/ part concrete.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN352)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF021,"The Elizabeth Centre, Johnson Road, Bedworth, CV12 9BH",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2037,52.48248537,-1.465328306,0.68,owned by a public authority,not permissioned,,,,yes,18,,,"Community centre and play area. No longer in use.

Allocated as a Non-strategic site in NBBC Borough Plan 2011-2031 (NUN356)",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF022,"Chapel Street, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2038,52.48155713,-1.470832023,0.38,not owned by a public authority,permissioned,full planning permission,2008-04-22,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,9,,,"""Planning permission 012181 granted consent for 19 dwellings. 10 flats are complete and have been for a number of years, but they have never been occupied. The 9 houses are yet to be built.

 The planning permission is extant.

2018/19 Application for Reserved Matters 036108 granted 7/2/2019""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF023,"15 Ash Green Lane, Exhall",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2039,52.4613345,-1.509650173,0.17,not owned by a public authority,permissioned,full planning permission,2008-09-05,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,14,,,"Planning permission 012088. Some trench foundations have been dug, but no dwellings have been built. The site is overgrown, but considered Extant ",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF024,"Land off Atholl Cres, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2040,52.51285171,-1.493531589,0.14,not owned by a public authority,permissioned,full planning permission,2006-07-13,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,11,,,"""Planning permission 010399. Some works on site have commenced but no dwellings have been built. The site is overgrown, but considered extant. 

October 2017 land For Sale with Howkins & Harrison, as a development site.""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF025,"Queens Rd, 265, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2041,52.52285686,-1.480888452,0.07,not owned by a public authority,permissioned,full planning permission,2011-06-12,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,14,,,"""Planning Permission 010197. Some works on site have commenced but no dwellings have been built. The site is overgrown, but considered extant. 

October 2017 the site For Sale with Loveitts.""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF026,"22 & 24 Deacon Street, Nuneaton, (Site 51C008)",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2042,52.51613732,-1.46982685,0.08,not owned by a public authority,permissioned,full planning permission,2016-03-04,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,8,,,"The site presently comprises of two single story bungalows. Planning permission  Ref: 032373 gives permission for the existing bungalows to be demolished. 

32373 expired 4/3/2019. No new applications have been submitted. Applications for residential developments may be considered.",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF027,"Site 106a014, (92a) King Street, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2043,52.47909065,-1.468108204,0.2,not owned by a public authority,permissioned,full planning permission,2015-11-12,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,13,,,"""Planning permission Ref: 032815 gives permission for 28 apartments and 2 houses. There is currently a disused Public House and former Cinema on the development site, both are in a poor condition. 

32815  expired 12/11/2018. New permission granted 35826  31/7/2019""

",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF028,"24 Charles Street, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2044,52.52844525,-1.480114944,0.04,not owned by a public authority,not permissioned,,,,yes,7,,,"""Full planning permission Ref: 033133 granted for 7 flats, but not implemented, expired 31/3/2018.  
Site currently comprises of a residential property and a Repairs and Service Garage.
No new planning applications have been submitted.
Applications for residential developments may be considered.




",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF029,"225 Heath End Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2045,52.51336814,-1.486098926,0.07,not owned by a public authority,permissioned,full planning permission,2016-04-11,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,8,,,"Planning permission Ref: 033863 gives permission for 8 flats. There are currently buildings on site. The planning permission is for an extension and proposed demolition works.

2018/19 Development has commenced on site",2019-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF030,"The Carousel, Dark Lane, Bedworth",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2046,52.47164797,-1.501453944,0.18,not owned by a public authority,permissioned,full planning permission,2016-07-27,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,16,,,"""Planning permission Ref: 033551 gives permission for 3 houses and 14 flats. There is a public house on site which has been demolished.

2018/19: Trenches & footings have been dug""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF031,"Site 52C043 (formerly offices 1A-1D The Lodge), School Walk, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2047,52.51581816,-1.454961534,0.15,not owned by a public authority,permissioned,full planning permission,2019-11-21,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,6,,,Planning permission Ref: 034403 gives permission for 6 flats. Vacant offices on site.,
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF032,"Site 51B028 - Land and garages, Regent Street, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2048,52.52404033,-1.462022976,0.03,not owned by a public authority,permissioned,full planning permission,2017-02-22,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,6,,,"Planning permission Ref: 031929  for two houses expired 22/05/2015 without being implemented.

Planning permission Ref: 34193 gives permission for 6 apartments. Lock up garages currently on site.

2018/19: Trenches have been dug and filled with concrete

 ",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF033,"Cherry Tree, Haunchwood Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2049,52.52097068,-1.500129212,0.52,not owned by a public authority,permissioned,full planning permission,2016-06-30,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,2,,,"Planning permission Ref: 33300  for a mixed use, including a conversion for two flats. Disused pub and carpark on site, currently being used as a hand carwash.   

June 2019: Building Control have reported completion",2019-06-03
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF034,"Corner House Garage, Nuneaton Road, Bulkington",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2050,52.49656486,-1.432692248,0.29,not owned by a public authority,permissioned,full planning permission,2017-08-30,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,11,,,"""Planning permission Ref: 034349  is for 11 dwellings. 
2017/18 the sales garage and workshop have been demolished and the site has been cleared.""
",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF035,"120 Lutterworth Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2051,52.50760576,-1.440491498,0.05,not owned by a public authority,permissioned,full planning permission,2017-08-23,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,5,,,Planning permission Ref: 034761 is for 5 flats. There is currently an occupied bungalow on this corner plot.,
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF036,"Site 27c003:  Former Reservoir, Mancetter Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2052,52.53824548,-1.499195633,1.73,not owned by a public authority,permissioned,reserved matters approval,2017-09-14,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,38,,,"Planning permission Ref: 34919 is for 38 dwellings. The site currently accommodates the former Tuttle Hill covered reservoir, which has been decommissioned by Severn Trent.

18/19: Development had commenced with some completions",2019-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF037,"187 Heath End Road, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2053,52.51325735,-1.483359405,0.12,not owned by a public authority,permissioned,full planning permission,2017-09-18,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,10,,,Planning permission Ref: 034568 is for 10 apartments. The site currently accommodates  a single residential property.,
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF038,"Camp Hill Phase 3, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2054,52.53197322,-1.512814753,3.2,mixed ownership,permissioned,reserved matters approval,2009-11-11,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,154,,,"""This is the Outline planning permission for the major regeneration project for Camp Hill. Ref: 029715.  The site is being delivered by the Pride in Camphill project on a phased approach.  The remaining land to which the Outline permission relates is occupied by residential dwellings,  which are to be demolished a part of the redevelopment project. 
The Area (Ha) is approximate

2018/19 Several Resevered matters applications have been granted.""",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF039,"Site 51B012: P & C Coils Ltd, Anker Street, Nuneaton, Warwickshire",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2055,52.52097921,-1.461028725,0.19,not owned by a public authority,not permissioned,,,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,7,,,"""Outline planning permission Ref  032266 granted for  residential development, but not implemented, expired 21/10/2017.

New Full planning application 036046 has been submitted and accepted on 11/12/2018 - the application is pending decision. Application for 14 appartments (WITHDRAWN)

The site currently accommodates operational factory units , which are proposed to be demolished.""




",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF040,"2 Royal Oak Lane & 347 Goodyers End Lane, Ash Green",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2056,52.46628236,-1.51044898,0.2,not owned by a public authority,permissioned,outline planning permission,2015-02-12,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,12,,,"Outline planning permission 031685 for a  residential development of 12 flats. The site currently accommodates two residential houses (Expired 17/2/2018)

2018/19: Full planning permission  036470 granted 19/07/2019 . ",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF042,"12-18 Lister Street, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2057,52.51832447,-1.458467463,0.1,not owned by a public authority,permissioned,outline planning permission,2015-11-05,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,12,,,"Outline planning permission 033203 for a residential development of 12 dwellings. The site currently accommodates a series of buildings (Expired 5/11/2018).

No new planning applications have been submitted.
Applications for residential developments may be considered.
",
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,BF043,"Queen's Rd, 207-223, Nuneaton",https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2058,52.52295652,-1.479015437,0.19,not owned by a public authority,permissioned,full planning permission,2018-05-25,https://customer.nuneatonandbedworth.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-bb4f1551-25f7-4c9d-9504-359555b4764c/AF-Stage-52bb890a-7580-4889-8b19-31d27fd8a3bd/definition.json&redirectlink=/en&cancelRedirectLink=/en&consentMessage=yes&noLoginPrompt=1,yes,32,,,"""Full planning permission 030291 granted, but not implemented  expired on 06/10/2014. The land is still vacant.
New Full Planning Permission (034542)  granted  to replace previous expired permission. New permission granted 25/05/2018.""",
