OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority,DataUpdate
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/01450/FULL,,"20-24 Broadwick Street, London, W1F 7DD",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/01450/FULL,OSGB36,529246.55975843605,181014.67617905099,0.0051056249999999999,Unknown ownership,yes,Permissioned,full planning permis,2015-06-15,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,,24,"Redevelopment of 20-24 Broadwick Street and 85 Berwick Street, including the creation of new facades and extensions at main roof level, installation of plant in the basement and at main roof level wit",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,5-15 House Supply,2017-11-30,2017-11-30,Westminster,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2016/0444,,Land adjoining The Beehive Stoneleigh Road London N17 9BQ,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=287887,ETRS89,-0.069030999999999995,51.592204000000002,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2016-07-08,,,3,Demolition of existing garages and redevelopment to provide three studio flats (Class C3 Residential); new matching balustrade and access over existing single storey structure; together with associate,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2773,,Land Rear Of 144a Croxted Road Aka Garage No 3 Turney Road SE21 8NW,,OSGB3,532449.52000000002,173679.56,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-11-09,,,1,"Demolition of existing single storey garage building and construction of a two bedroom dwelling over two
storeys",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-0276,," 13 Stories Mews, 153 Rear Of Grove Lane  SE5 8JJ",,OSGB3,533101.30000000005,175999.89000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-07-21,,,1,"Construction of a two-storey, 2 Bedroom dwelling to replace an existing garage/coach-house at 13 Stories mews (to the rear of 153 Grove Lane).",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,14-AP-3856,, 2a Bawdale Road  SE22 9DN,,OSGB3,533786.5,174708.54000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-02-13,,,1,"Change of use from MOT/car repair centre (Use Class B2) and ancillary office space to a single residential
dwelling (Use Class C3) with alterations to the front and rear elevations.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2137,, 137 Southwark Bridge Road  SE1 0EY,,OSGB3,532216.21999999997,179909.92000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-07-20,,,1,Change of use of retail (Use Class A1) with ancillary residential to a single 3 bedroom dwellinghouse (Use Class C3),,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/3434,,2A & 3A Collins Yard Scotland Green London N17 9TS,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=278210,ETRS89,-0.067747000000000002,51.596677999999997,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2016-09-25,,,1,Demolition of existing storage unit (with change of use permission to residential) and construction of single storey house incorpating a basement and mezzanine level.,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2016/3756,,Land rear of 1 Vicarage Parade West Green Road London N15 3BL London,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=299074,ETRS89,-0.089436000000000002,51.586084,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2016-12-19,,,1,Erection of three storey building to form 1 x 3 bed self-contained flat,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-0124,, 96 Friary Road  SE15 1PX,,OSGB3,534459.03000000003,177205.89999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-03-21,,,1,"Change of use from Hair Salon (A1 Use Class) to self contained studio flat (Use Class C3) and alterations to
the front ground floor elevation comprising the insertion of a new front door and sash win",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR009,,"Land at Goldsmith's House and adjoining land, Cumberland Market Estate, Park Village East/ Augustus St",https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.119397,51.523431000000002,0.01,Not owned by a public authority,,Not permissioned,,,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-d,,60,"Provision of permanent (Class C3) residential development, including affordable housing, if it can be demonstrated that it is no longer appropriate to provide a hostel on the site; reprovision and exp","Provision of permanent (Class C3) residential development, including affordable housing, if it can be demonstrated that it is no longer appropriate to provide a hostel on the site; reprovision and exp",,,,,,,2018-10-12,2018-10-12,Camden,2018
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR023,,Fire Station 20 Highgate Road,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.119397,51.523431000000002,0.01,Owned by a public authority,,Not permissioned,,,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-d,,26,Redevelopment of the site to provide a mix of uses. Development will be expected to:â€¢ Safeguard the provision of fire station facilities or support alternative local fire service and facility provis,Redevelopment of the site to provide a mix of uses.,,,,,,,2018-10-12,2018-10-12,Camden,2018
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR012,,"Westminster Kingsway College, Regents Park Centre, Longford Street, NW1 3HB",https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.119397,51.523431000000002,0.01,Not owned by a public authority,,Not permissioned,,,Site allocation in Camden Site Allocations Plan 2013 https://www.camden.gov.uk/ccm/content/environment/planning-and-built-environment/two/planning-policy/local-development-framework/site-allocations-d,,55,"Continued education/ D1 use, or subject to the satisfactory relocation of existing uses redevelopment to include permanent (C3) residential use, including affordable housing. Development will be expec","Continued education/ D1 use, or subject to the satisfactory relocation of existing uses redevelopment to include permanent (C3) residential use, including affordable housing.",,,,,,,2018-10-12,2018-10-12,Camden,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-3638,, The Priory Webber Street  SE1 0RQ,,OSGB3,531740.35999999999,179698.62,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-11-03,,,1,"Construction of a single storey extension to the roof of Block 2 (i.e. at new fourth floor level) to create 1
self-contained residential unit.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2160,, Garage Rear Of 34 Peckham Road  SE5 8QA,,OSGB3,533335.17000000004,176621.26999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-07-22,,,1,"Partial demolition of existing vacant garage and construction of a 1-bed, 2-storey house.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2016/2342,,61 Farrer Road London N8 8LD,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=291565,ETRS89,-0.132714,51.586427999999998,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2017-03-31,,,1,Demolition of existing single storey outbuilding and erection of a small two bedroom residential dwelling.,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-1527,, Land Adjacent To 91 Melbourne Grove Melbourne Grove  SE22 8RR,,OSGB3,533613.40000000002,174878.81,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-06-30,,,2,"Erection of a four storey building in connection with the provision of 2 x 2
bedroom maisonettes, with a garden to rear.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-2952,, 83 Bushey Hill Road  SE5 8QQ,,OSGB3,533577.14000000001,176455.10000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-11-19,,,1,"Erection of a rear dormer and formation of roof terrace on part of three
storey rear outrigger and conversion of house into two flats ( 1x one
bedroom flat & 1 x two bedroom flat).",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-2807,, Land To The Rear Of 66 East Dulwich Grove  SE22 8PS,,OSGB3,533545.92000000004,175135.06,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-09-16,,,1,"Erection of a two storey two-bedroom detached house with accommodation at basement level; associated
landscaping and erection of front boundary wall",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-0586,, Land To The Rear Of 37 Denmark Hill Accessed From Ally B'Tween Back Of 43 Dh &3 Danville Rd SE5 8RS,,OSGB3,532573.33999999997,176539.37,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-05-14,,,1,CHANGE OF USE FROM ANCILLARY STORAGE (A2) TO A ONE BEDROOM DWELLING HOUSE INCORPORATING: A SINGLE STOREY SIDE EXTENSION; LOWERING OF LEVELS TO FACILITATE TWO STROEYS AND A SIDE DORMER EXTENSION,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/city-of-london,City of London,15/00329/FULL,,6 New Street London EC2M 4TP,http://www.mapping.cityoflondon.gov.uk/geocortex/mapping/?viewer=compass,OSGB36,533352,181566,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-06-04,http://www.planning2.cityoflondon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMKVFWFHLB000,,5,Change of use from a single dwelling house to 5no. self-contained studios flats and installation of smoke vents at roof level.,,,5,5,,,,2017-12-31,2017-12-31,City of London,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2012/1572,,Garages Rear of 269 Archway Road London N6 5BT,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=261175,ETRS89,-0.144396,51.576090000000001,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2013-03-04,,,1,"Demolition of existing garages and erection of 1 x 2 storey, two bed dwelling",,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,14-AP-4623,, 59-61 Borough High Street  SE1 1NE,,OSGB3,532663.06999999995,180135.72,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-02-11,,,4,"Change of use of the hostel/hotel rooms (Use Class C1/sui generis) on the upper floors of the existing building
and construction of a two storey rooftop extension to provide four residential apartmen",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/12315/P3JPA,,"6 London StreetLondonW2 1HL",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/12315/P3JPA,OSGB36,526745.80714765401,181212.31009046201,0.0071346250000000003,Unknown ownership,yes,Permissioned,full planning permis,2017-02-17,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIXXT4RP02T00,,14,"Change of use from office (Class B1(a) to residential (Class C3) on lower ground, first, second, first, second, third and attic storeys to create 14 studio flats. Application for prior approval under ",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIXXT4RP02T00,5-15 House Supply,2017-11-30,2017-11-30,Westminster,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-1486,, 80 Peckaham High Street  SE15 5ED,,OSGB3,534188.27000000002,176718.67000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-07-09,,,2,Erection of mixed use development comprising ground floor Class A1 retail space and 2 x self contained flats above.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-3007,, 117 Southampton Way  SE5 7EW,,OSGB3,533068.82999999996,177247.16,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-11-14,,,2,Change of use from A5 (take away) to C3 (residential) at ground floor level into 1x Studio flat and erection of extensions and mansard roof to create 1x2 bedroom duplex flat at first and second floor.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/camden,London Borough of Camden,LBCBLR031,,10 Gate Street London WC2,https://opendata.camden.gov.uk/Environment/Camden-Brownfield-Register-Polygons/wi65-z696/data,WGS84,-0.119016,51.517274999999998,0.01,Unkown ownership,Yes,Permissioned,full planning permis,2015-03-09,http://planningrecords.camden.gov.uk/Northgate/PlanningExplorer17/Generic/StdResults.aspx?PT=Planning%20Applications%20On-Line&SC=Application%20Number%20is%202013/4980/P%20and%20Date%20Validated%20is%,,4,The erection of a seven storey rear extension on Little Turnstile and mansard roof extension in association with change of use of office (B1a) and restaurant (A3) to residential 2 x 1 bedroom unit and,,,,,,,,2018-10-12,2018-10-12,Camden,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-1040,,Rear Of 214 Crystal Palace Road  SE22 9EL,,OSGB3,534020.45999999996,174596.14999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-05-10,,,1,"Construction of a single storey, one bedroom dwelling on the site of former
commercial buildings.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2014/1906,,Land at rear of 97 Muswell Hill Broadway London N10 3RS,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=274602,ETRS89,-0.14405399999999999,51.590421999999997,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2014-09-01,,,1,Demolition of rear store and erection of 1 x one bed flat,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2382,, 3 Draymans Mews Chadwick Road  SE15 4PW,,OSGB3,533759.22999999998,176110.34,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-08-08,,,1,"Conversion of four storey house into a ground floor one bedroom self-contained flat and a three storey
maisonette, including minor alterations to the ground floor elevation.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-0580,, Land To The Rear Of 489 And 491 Lordship Lane  SE22 8JY,,OSGB3,534350.98999999999,173471.60999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-07-08,,,1,CONVERSION OF AN EXISTING OUTBUILDING TO THE REAR OF NO. 489 LORDSHIP LANE INTO A TWO STOREY DWELLING HOUSE WITH A SINGLE STOREY EXTENSION TO SIDE AND ASSOCIATED AMENITY SPACE AND REFUSE STORES TO FRO,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-4191,, 11a New Church Road  SE5 7JH,,OSGB3,532487.96999999997,177346.28,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-12-12,,,1,Construction of additional floor to existing one bedroom flat to create a 2 bedroom flat,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-1021,, 88 Camberwell Road  SE5 0EG,,OSGB3,532392.33999999997,177554.39000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-05-11,,,2,"Conversion of offices (B1) and non-residential institution (D1) to residential (C3)(a) to provide two 2-bedroom
flats.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-2063,, 239 Waterloo Road  SE1 8XH,,OSGB3,531525.05000000005,179551.64999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-07-16,,,2,"CONVERSION OF HOUSE IN MULTIPLE OCCUPATION (HMO) INTO X2 TWO BEDROOM DUPLEXES, WITH CYCLE STORAGE, REFUSE STORAGE AND PRIVATE AMENITY SPACE.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-3406,, 77 Tower Bridge Road  SE1 4TW,,OSGB3,533167.34999999998,179205.98999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-11-16,,,1,Creation of x1 two bedroom self contained flat on the first and second floor; alterations to shop-front,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2009/1559,,Site between 186-188 Hermitage Road London N4 1NN London,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=204646,ETRS89,-0.089887999999999996,51.576441000000003,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2009-12-09,,,1,Demolition of existing garage and erection of 1 x 2 storey two bedroom self-contained dwelling.,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-1622,, 14b And 14c Grove Lane  SE5 8SY,,OSGB3,532734.21999999997,176648.12,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-06-10,,,1,"Conversion of flats 14B and 14C into one dwelling including alterations to fenestrations, two new lights and
reconfiguration of rooflights.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2506,, Land At 206 Bermondsey Wall East  SE16 4TT,,OSGB3,534452.22999999998,179689.01000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-09-09,,,1,"Erection of a two-storey 1-bed dwellinghouse with a single-storey basement between 206 Bermondsey Wall
East and the Old Justice Public House",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-0138,, Land Adjacent To 134 Kimberly Avenue  SE15 3XG,,OSGB3,535367.55000000005,175932.10999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-07-07,,,1,ERECTION OF A THREE STOREY DWELLINGHOUSE OF WHICH THE UPPER STOREY COMPRISES AN OCCUPIED LOFT,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-1269,," 128 Brayards Road,  SE15 2BU",,OSGB3,535064.83999999997,176294.45999999999,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-05-24,,,1,Change of use from takeaway (A5 use class) to a self-contained one bedroom flat (C3 use class) and erection of a single storey rear extension.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,17-AP-1077,, 79a Grosvenor Terrace  SE5 0NN,,OSGB3,532039.98999999999,177478.04000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-05-19,,,1,Demolition of an existing single storey vacant lock-up shop and construction of a new four storey dwelling.,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/islington,London Borough of Islington,P2014/0954/FUL,,8-9 Tilney Court,http://mapapp.islington.gov.uk/mapthatol/Login.aspx?user=public&utm_content=stcms2.islington.gov.uk,ETRS89,3976518.8309999998,-6392.1854000000003,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-01-20,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning Applications On-Line&TYPE=PL/PlanningPK.xml&PARAM0=385155&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,,4,"Erection of a five storey side extension to existing dwelling, roof extension and lower ground floor basement level to create 4 two-bedroom flats and 1 one-bedroom flat (gross).",,,,,,,Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.,2017-11-24,2017-11-24,Islington,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,15-AP-0595,," Surgery, Rowland Hill House Nelson Square Corner Of Union St And Blackfriars Rd SE1 0LT",,OSGB3,531682.59999999998,179978.41,0.01,Unknown ownership,yes,Permissioned,full planning permis,2015-06-26,,,1,CHANGE OF USE OF EXISTING GROUND FLOOR FROM DOCTORS SURGERY (USE CLASS D1) TO A ONE-BEDROOM SELF CONTAINED FLAT (USE CLASS C3) WITH REPLACEMENT WINDOWS AND FRONT ENTRANCE AND REAR DOORS,,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-2454,, 43a Trinity Street  SE1 4JA,,OSGB3,532549.29000000004,179459.89000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2016-08-12,,,1,"Convert the existing basement into a 2 bedroom three person self contained dwelling, including replacing existing windows with traditional doors and adding a new window to the rear elevation",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
http://opendatacommunities.org/id/london-borough-council/haringey,Haringey Council,HGY/2015/1071,,Rear of 74A Manor Road London N17 0JJ,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=280788,ETRS89,-0.059284000000000003,51.601512999999997,0.01,Not owned by a public authority,yes,Permissioned,full planning permis,2015-12-14,,,2,Erection of 2 x 2 bed houses,,,,,,,,,,Haringey,2018
http://opendatacommunities.org/id/london-borough-council/southwark,Southwark Council,16-AP-5045,, 34b Sutherland Square  SE17 3EE,,OSGB3,532180.83999999997,178005.98000000001,0.01,Unknown ownership,yes,Permissioned,full planning permis,2017-04-24,,,1,"Demolition of the existing single-storey structure; construction of a three-storey, two-bedroomed house with a rooftop amenity space and associated stairwell structure.",,,0,0,,,,2017-12-20,2017-12-20,Southwark,2018
