Organisation Label,Organisation Uri,Brownfield Register Reference,Local Plan Site Allocation Reference / SLAA Site Reference,Site Address ,Co-ordinate Reference System,Eastings (Geo X),Northings (Geo Y),Area (ha),Ownership Status,Type of Permission ,Planning Status,Planning Application Reference,Site Plan URL,Planning History URL,Description of Proposed Development,Minimum amount of Dwellings,Maximum amount of Dwellings,Non-housing development,Additional Notes ,Date Entered on Part 1 of Brownfield Register,Information Updated
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR011,CHIG.R8,105 Manor Road Chigwell IG7 5PN,OSGB36,544237.0,192223.0,0.07,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR012,CHIG.R11,146 Hainault Road Chigwell IG7 5DL,OSGB36,544243.0,192362.0,0.17,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,7,7,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR013,ONG.R8,The Stag Pub Brentwood Road Ongar CM5 9DH,OSGB36,555368.0,202130.0,0.28,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR014,COOP.R1,28-91 Parklands Coopersale CM16 7RE,OSGB36,547691.0,202894.0,0.16,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR015,EPP.R3,Epping Station Epping CM16 4HW,OSGB36,546183.0,201552.0,1.6,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,89,89,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR016,EPP.R4,Land at St John Road Epping CM16 5DU,OSGB36,546084.0,202008.0,1.49,Mixed Ownership,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,34,34,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR017,EPP.R5,25 Hemnall Street Epping CM16 4LU,OSGB36,545899.0,201803.0,0.43,Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,43,43,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR018,EPP.R6,Cottis Lane Epping CM16 4BL,OSGB36,545973.0,202294.0,0.56,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,47,47,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR019,EPP.R7,Car Park Bakers Lane Epping  CM16 5,OSGB36,545871.0,202284.0,0.42,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,31,31,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR020,EPP.R8,Civic Offices 323 High Street Epping CM16 4BX,OSGB36,546189.0,202409.0,0.66,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,44,44,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR021,EPP.R9,17 Bower Vale Epping CM16 7AS,OSGB36,546192.0,201443.0,0.4,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,50,50,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR022,EPP.R10,287-291 High Street Epping CM16 4DA,OSGB36,546119.0,202349.0,0.05,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR023,EPP.R11,Epping Library St Johns Road Epping CM16 5DN,OSGB36,545896.0,202144.0,0.13,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,11,11,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR024,FYF.R1,Land at Gypsy Mead Ongar Road Fyfield CM5 0RB,OSGB36,556559.0,206790.0,0.81,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,14,14,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR025,LOU.R1,Loughton Station Car Park Station Road Loughton IG10 4NZ,OSGB36,542234.0,195588.0,1.62,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,165,165,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR026,LOU.R2,Debden Station Car Park Chigwell Lane Loughton IG10 3TG,OSGB36,544273.0,196165.0,1.66,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,192,192,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR027,LOU.R3,Land at Vere Road Loughton IG10 3S,OSGB36,544299.0,196480.0,0.18,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR028,LOU.R7,Loughton Library Traps Hill Loughton IG10 1HD,OSGB36,542538.0,196484.0,0.26,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,20,20,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR029,LOU.R8,"Car Park, High Road, Loughton",OSGB36,542348.0,196520.0,0.18,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,29,29,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR030,LOU.R9,Former Epping Forest College Borders Lane Loughton IG10 3SA ,OSGB36,543687.0,196451.0,1.02,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,111,111,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR031,LOU.R10,46-48 Station Road Loughton IG10 4NX,OSGB36,542257.0,195850.0,0.14,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR032,LOU.R11,Former Electricity Substation Roding Road Loughton IG10 3ED,OSGB36,542451.0,195666.0,0.19,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR033,LOU.R12,63 Wellfields Loughton IG10 1PA ,OSGB36,543488.0,196987.0,0.26,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,10,10,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR034,LOU.R13,70 Wellfields Loughton IG10 1NY,OSGB36,543559.0,196948.0,0.23,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR035,LOU.R14,13 Alderton Hill Loughton IG10 3JD,OSGB36,542523.0,195783.0,1.28,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,33,33,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR036,LOU.R15,60 Traps Hill Loughton IG10 1TD,OSGB36,543057.0,196451.0,0.14,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR037,LOU.R16,St Thomas Moore Church 106 Willingale Road Loughton IG10 2DA,OSGB36,544547.0,197565.0,0.5,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,18,18,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR038,LOU.R17,268-278 High Road Loughton IG10 4BG,OSGB36,542403.0,196619.0,0.11,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0055/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR039,LOU.R18,9-11 High Beech Road Loughton IG10 4BN,OSGB36,542082.0,196146.0,0.06,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0719/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR040,RUR.R1,"Avenue Home London Road, Latton Common, CM17 9NJ",OSGB36,547348.0,208144.0,0.38,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,11,11,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR041,RUR.R2,Norton Heath Riding Centre Fingrith Hall Lane High Ongar CM4 0JP,OSGB36,560393.0,203827.0,1.95,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3034/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,30,30,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR042,NAZE.R2,Fencing Centre Pecks Hill Nazeing EN9 2NY,OSGB36,592272.0,206930.0,0.86,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,29,29,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR043,ROYD.R2,Kingsmead School Epping Road Roydon CM19 5HU,OSGB36,540954.0,209415.0,1.36,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,21,21,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR044,THYB.R2,Theydon Bois London Underground Car Park Station Approach Theydon Bois CM16 7HR,OSGB36,546162.0,201543.0,0.3,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR045,THYB.R3,Wain Coppice Row Theydon Bois CM16 7ER,OSGB36,545119.0,199152.0,0.15,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR046,WAL.R4,Fire Station Sewardstone Road Waltham Abbey EN9 1PA,OSGB36,538471.0,200224.0,0.24,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,16,16,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR047,WAL.R5,Waltham Abbey Community Centre Saxon Way Waltham Abbey EN9 1QD ,OSGB36,538463.0,200816.0,0.51,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,67,67,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR048,WAL.R6,"Waltham Abbey Swimming Pool, Roundhills, Waltham Abbey, EN9 1UP",OSGB36,538875.0,199965.0,0.6,Owned by a public authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,27,27,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR049,WAL.R7,Pine Tree Nursery Avey Lane Waltham Abbey EN9 3QH,OSGB36,538884.0,199054.0,0.65,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,8,8,,,2018-03-05,
,,BR050,NWB.R4,Chase Farm Business Centre Vicarage Lane West North Weald CM16 6AL,OSGB36,,,0.81,Not Owned by a Public Authority,Other,Not Permissioned ,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Submission Version Local Plan 2017 Allocation Site ,27,27,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR051,,"Land and Garages Chequers Road Site B 
Loughton 
Essex 
IG10 3QF",OSGB36,543501.0,195817.0,0.11,Owned by a public authority,Full Planning Permission,Permissioned,EPF/2609/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of garages and replacement with 5 x 2 bed two storey affordable homes with 10 parking spaces and associated landscaping.,5,5, ,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR052,,"Bridge House
Roding Road 
Loughton 
Essex 
IG10 3ED",OSGB36,542496.0,195577.0,0.07,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/1997/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing house and erection of 3 two bedroom and 3 one bedroom flats in three storey block,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR053,,Hillview   St Leonards Road   Nazeing   Waltham Abbey   Essex  EN9 2HQ,OSGB36,539055.0,205629.0,0.06,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2548/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing house and erection of 2 two bedroom flats and 4 one bedroom flats. The 3 ground floor flats to be provided for disabled residents and their families. ,6,6,,,2018-03-05,
