OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alternative Reference
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC018,,68-72 West Street Rochford,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,587454.51,190540.72,0.21,not owned by a public authority,yes,not permissioned,,,,,6.0,,,,6.0,13,,,Site from 2017 SHELAA. Site falls within Rochford Town Centre Conservation Area and Rochford Town Centre Area Action Plan policy area.,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC019,,162-168 High Street Rayleigh,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580349.54,190476.46,0.17,not owned by a public authority,yes,not permissioned,,,,,5.0,,,,5.0,10,,,Site from 2017 SHELAA. Site falls within Rayleigh Air Quality Management Area (AQMA) ,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC020,,247 London Road Rayleigh SS6 9DW,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,579200.05,191715.68,0.2,not owned by a public authority,yes,not permissioned,,,,,6.0,,,,6.0,12,,,Site from 2017 SHELAA.,2017-12-28,2019-11-21,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC022,,"Former Dairy Crest Site, Rear of 98 to 128 High Street, Rayleigh",https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580498.08,190628.05,0.22,not owned by a public authority,yes,not permissioned,,,,,7.0,,,,7.0,9,,,Site owner has previously submitted pre-application advice request and full planning application,2017-12-28,2019-11-21,19/00335/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC024,,Garage Block Between 28 And 29 Althorne Way Canewdon,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,590342.27,194576.35,0.12,not owned by a public authority,yes,permissioned,full planning permission,2018-03-28,https://maps.rochford.gov.uk/DevelopmentControl.aspx?requesttype=parsetemplate&template=DevelopmentControlApplication.tmplt&basepage=DevelopmentControl.aspx&Filter=^REFVAL^='17/00783/FUL'&history=ca7c5efce7014cadbeae01c104a7391a,,6.0,Demolish Garages and Construct Two Buildings to Provide 4 No. Two Bedroomed and 2 No. One Bedroomed Flats (6 Flats in Total) With Associated Vehicle and Cycle Parking,,,6.0,6,,,Site with planning permission for 6no. residential development,2018-11-12,2019-11-21,17/00783/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC025,,41  Crown Hill Rayleigh SS6 8HB,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580320.41,190793.56,0.07,not owned by a public authority,yes,permissioned,outline planning permission,2019-02-27,https://maps.rochford.gov.uk/DevelopmentControl.aspx?requesttype=parsetemplate&template=DevelopmentControlApplication.tmplt&basepage=DevelopmentControl.aspx&Filter=^REFVAL^='18/01144/OUT'&history=52dfca16bb2541dfb1197e4752e307a7,,5.0,Outline Application with All Matters Reserved for Demolition of Existing Dwelling and Construction of Two Storey Building for 5 Flats,,,5.0,5,,,Site with planning permission for 5no. Residential development,2019-09-16,2019-11-21,18/01144/OUT
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC026,,Brandy Hole Yacht Club Kingsman Farm Road Hullbridge,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,582419.17,195766.0,1.03,not owned by a public authority,yes,permissioned,full planning permission,2019-01-16,https://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=eaa87729112a4a0fa86310f5f3130812&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=Brandy+Hole+Yacht+club,,14.0,Demolition of Existing Holiday Home Caravans and Erect 14no 2 bedroom Raised Dwellings,,,14.0,14,,,Site with planning permission for 14no. Residential development,2019-09-16,2019-11-21,17/00750/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC28,,87 Canewdon View Rd Ashingdon,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,587087.33,192954.43,1.52,not owned by a public authority,yes,permissioned,full planning permission,2019-07-31,https://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=eaa87729112a4a0fa86310f5f3130812&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=87+canewdon+view+road,,5.0,Demolish existing buildings on site and constuct 5 No. three bed bungalows (revised appllication),,,5.0,5,,,Site with planning permission for 5no. Residential development,2019-09-16,2019-11-21,19/00233/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC29,,Fairways Garden Centre Hullbridge Road Rayleigh SS6 9QS,https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580697.0,193558.0,1.17,not owned by a public authority,,not permissioned,outline planning permission,2019-11-27,https://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=355ae8814f71480e9b8832232a30dd90&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=Fairways+Garden+Centre+Hullbridge+Road,,16.0,"Outline Application to Demolish Commercial and Retail Units and Construct  4no. Two Bedroom, 7no. Three Bedroom Dwellings and 5no. Four Bedroom Dwellings (16 Dwellings in Total) With Access Onto Hullbridge Road.",,,16.0,16,,,Site with planning permission for 16no. Residential development,2019-09-18,2019-11-21,17/00431/OUT
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC30,,"Rochford Police Station
Site Of 43 To 45 
South Street
Rochford
Essex

",https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,587691.0,190317.0,0.17,not owned by a public authority,,not permissioned,,,,,5.0,,,,5.0,8,,,Site from 2017 SHELAA and subject to planning application (pending decision),2019-09-19,2019-11-21,PA/18/0025/PREAPP
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC31,,"Land Rear of 12 To 26 Eastwood RoadRayleighSS6 7JQ",https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,580643.0,190516.0,0.36,not owned by a public authority,,permissioned,,,https://maps.rochford.gov.uk/DevelopmentControl.aspx?pageno=1&pagerecs=10&maxrecords=100&template=DevelopmentControlResults.tmplt&requestType=parseTemplate&history=cfbefefaa19749fbaf21f2f17ddbc79c&usesearch=true&order=DATEAPRECV%3ADESCENDING&q%3ALIKE=17%2F00488%2FFUL,,41.0,Demolish existing buildings and construct development of 41 no two bedroomed flats with associated parking and amenity space,,,41.0,41,,,"Site with resolution to grant planning permission for 41 flats, subject to legal agreement",2019-09-20,2019-11-21,17/00488/FUL
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC32,,"190 Lower Road
Hullbridge
SS5 6BD",https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,581581.0,194610.0,0.52,not owned by a public authority,,not permissioned,,,,,15.0,,,,15.0,15,,,"The site falls within the Metropolitan Green Belt and any redevelopment would therefore be subject to the provisions of Paragraph 145(g) of the NPPF. The quoted capacity of this site is without consideration of how redevelopment would impact on openness and is based on a density assumption of 30 dwellings per hectare. The estimated capacity of the site is therefore without prejudice to further consideration of the appropriate density of the site, such as would be required through a planning application",2020-02-04,2020-02-04,
http://opendatacommunities.org/id/district-council/rochford,Rochford District Council,ROC33,,"Rayleigh Garden Centre
Eastwood Road
Rayleigh
SS6 7LU",https://rochford.maps.arcgis.com/apps/webappviewer/index.html?id=ca07a079366f435a8942ddef236add3a,OSGB36,582581.0,189647.0,1.02,not owned by a public authority,,not permissioned,,,,,30.0,,,,30.0,30,,,"The site falls within the Metropolitan Green Belt and any redevelopment would therefore be subject to the provisions of Paragraph 145(g) of the NPPF. The quoted capacity of this site is without consideration of how redevelopment would impact on openness and is based on a density assumption of 30 dwellings per hectare. The estimated capacity of the site is therefore without prejudice to further consideration of the appropriate density of the site, such as would be required through a planning application",2020-02-04,2020-02-04,
,,,,,,,,,,,,,,,,,,,,,,883,,,,,,
