SiteReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
BR11,Former Newtown Social Club,"Tennant Street, Hebburn",,EPSG,430601,564160,0.07,Not Permissioned,,,Unknown,,5,5,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR12,Land at 1 Robinson Street,South Shields,,EPSG,436679,566499,0.03,Not Permissioned,Allocated for housing development in the LDF,,Unknown,,8,8,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR13,Neon Social Club/The Red Hackle,"Perth Avenue, Jarrow",,EPSG,434344,563237,0.6,Not Permissioned,Allocated for housing development in the LDF,,Unknown,,22,22,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR14,Land at Martin Hall,"Monkton Terrace, Jarrow",,EPSG,433047,564809,0.4,Not Permissioned,,,Public Ownership,,20,20,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR15,Land at Nolan Hall,"Concorde Way, Jarrow",,EPSG,432955,564941,0.5,Not Permissioned,,,Public Ownership,,23,23,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR16,Land at Ambleside Avenue/Harton Lane/Temple Park Road,South Shields,,EPSG,437022,564822,0.4,Not Permissioned,Allocated for housing development in the LDF,"Surface water flooding issues have been identfied on the site, it is also located within a Critical Drainage Area.",Unknown,,14,14,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR17,Land to rear of Simonside arms PH,"Hyperion Avenue, South Shields",,EPSG,435046,564429,0.2,Not Permissioned,Allocated for housing development in the LDF,,Not in Public Ownership,,5,5,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR18,Elizabeth Diamond House,"Ethel Terrace, South Shields",,EPSG,435867,564357,0.1,Not Permissioned,,,Public Ownership,,5,5,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR19,Land at health clinic and car park,"Boldon Lane, South Shields",,EPSG,435985,564008,0.14,Not Permissioned,Allocated for housing development in the LDF,The site is within an area for further investigation in relation to contamination.,Unknown,,7,7,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR20,Residential garages and former LA housing area,"Green Lane, South Shields",,EPSG,435482,563841,0.1,Not Permissioned,Allocated for housing development in the LDF,Surface water flooding issues identified on the majority of the site by the SFRA 2011.,Public Ownership,,4,4,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR21,Land at West Harton Action Station,"Boldon Lane, South Shields",,EPSG,436022,564028,0.11,Not Permissioned,,Within an area for further investigation with regards to contamination.,Public Ownership,,6,6,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR22,Residential Care Home,"Marsden Lane, South Shields",,EPSG,439249,565125,0.5,Not Permissioned,,,Unknown,,14,14,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR23,Coast Road Garage and caravan Storage Site,"Mill Lane/Coast Road, Whitburn",,EPSG,440696,563288,0.18,Not Permissioned,Allocated for housing development in the LDF,,Unknown,,4,4,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
BR24,Land at Croftside Court,"Croftside Avenue, Whitburn",,EPSG,440637,562066,0.6,Not Permissioned,,,Public Ownership,,16,16,,Link to site on a map,http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,South Tyneside Council,30/06/2016,30/06/2016
