OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/014,"Pipers House 28 Manor Row, City Centre",-1.754892,53.797339,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416228.0,433464.0498,416256.3,433488.9998,27700",0.03,not owned by a public authority,,permissioned,full planning permission,2016-06-05,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=O8PRDGDH0IM00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6KEBADH8C000&activeTab=summary|https://planning.bradford.,0,0,yes,. Site has planning permission for change of use 7 apartments,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/018,"Stott Hill West/Bolton Road Junction, City Centre",-1.748243,53.796354,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416650.7,433317.25,416711.05,433436.6,27700",0.3,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203523ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8102645COU&activeTab=summary|https://planning.bradford.gov.uk,30,75,yes,The site is identified for residential development in the City centre AAP alongside CC/096 for 100 units. CC/096 has outline permission for 77. This site can accommodate at least 30,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/022,"Midland Mills, Cape Street, City Centre",-1.751389,53.800327,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416395.95,433759.0,416542.5,433870.0,27700",0.95,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KZ61Y4DH02F00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9403912OUT&activeTab=summary|https://planning.bradford.gov,200,200,yes,Land and buildings with expired permissions and identified in the city centre AAP ref CH/1.13 as a site suitable for residential redevelopment with a minimum 200 unit target. There has been some recent interest in the site,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/024,"Thornton Road Car Park/ Water Lane, City Centre",-1.765608,53.795081,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415435.6158,433154.47,415647.03,433308.35,27700",1.66,mixed ownership,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7908787OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9602591FUL&activeTab=summary|https://planning.bradford.gov.uk,400,400,,Unsurfaced level car park and adjacent car wash. The site is a former gas work site  but is identified as suitable for residential/mixed use in the city centre AAP (ref V/1.2) with a minimum 400 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/025,"179 Sunbridge Road, City Centre",-1.763401,53.795445,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415645.55,433229.0,415720.75,433299.2,27700",0.27,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8100367COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OHYMA0DHLOC00&activeTab=summary|https://planning.bradford.gov,27,67,yes,Permission has expired despite details being approved in November 2016. There are no records to suggest that development has started prior to the expiry of the permission,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/026,"122 Sunbridge Road, City Centre",-1.758784,53.794677,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415964.05,433141.6,416010.8,433213.0,27700",0.27,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9303399COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9701284COU&activeTab=summary|https://planning.bradford.gov.uk,75,75,,Cleared vacant site and pub on the corner.  Owner intentions are not presently known but the site is identified in the City Centre AAP (ref M/1.5) as having potential for around 75 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/037,"Goitside Urban Village, off Grattan Road, City Centre",-1.761872,53.796409,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415717.8,433309.4,415848.9,433438.3,27700",0.62,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8041747COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9204009REG&activeTab=summary|https://planning.bradford.gov.uk,400,400,,"The site is in mixed ownership but is identified as being suitable for residential development in the city centre AAP (ref V/1.1) min 400 units. Many parts of the site could come forward for residential, but may involve land assembly in the short term.",2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/038,"Market Urban Village, Rawson Road, City Centre",-1.758375,53.797413,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415944.8,433430.88,416086.3,433544.55,27700",0.55,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I6AR69DHK7000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300284LBC&activeTab=summary|https://planning.bradford.gov,200,200,,Underused Land and buildings including market hall and car parks. The City Centre AAP identified this area as one suitable for mixed use with potential for around 200 new homes (ref M/1.1),2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/042,"Thornton Road north, City Centre",-1.764568,53.795448,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415536.6,433212.6,415668.4,433306.1,27700",0.4,mixed ownership,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LW50W4DH0B200&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MGPTASDHLT000&activeTab=summary|https://planning.bradford.,100,100,,Land partially in use for storage and car wash. The land is identifed in the City centre AAP with residential potential of around 100 units.It is understood that one of the landowners intends to seek planning permission in the near future. AAP ref V/1.10,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/045,"North Brook Stree/Leeming Street, City Centre",-1.750372,53.798864,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416434.9082,433538.45,416642.8,433753.15,27700",3.16,mixed ownership,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HHNU4MDHH1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IZCQ7WDH6A000&activeTab=summary|https://planning.bradford.,600,600,,The site is identified in the city centre AAP for residential use with a mimimum unit threshold of 600 units (ref CH/1.1). Part of site has temporary parking permission but the owner intends bringing the site forward for residential in time,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/047,"Westgate/Grattan Road, City Centre",-1.758616,53.795438,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415977.55,433232.0,416019.7,433289.0,27700",0.12,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0102765FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HM4THIDHH1000&activeTab=summary|https://planning.bradford.gov,80,80,,"Former office building, now vacant. The site has had planning permission previously but this has now expired. The site appears in the City Centre AAP (ref M/1.4) as having potential for around 80 units",2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/050,"31-35 Piccadilly, City Centre",-1.754937,53.796352,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416222.2,433342.7,416259.75,433388.75,27700",0.07,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300695FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9902844FUL&activeTab=summary|https://planning.bradford.gov.uk,7,18,,Permission for 68 units has expired and a renewal was withdrawn with no further applications since. The site remains suitable for residential development.,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/073,"Yorkshire Stone Yard and Mill, Thornton Road/Lower Grattan Road, City Centre",-1.76234,53.794324,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415702.5,433095.2,415802.1,433181.3,27700",0.3,not owned by a public authority,,permissioned,full planning permission,2015-12-04,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J4HXKZDH6A000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7403617FUL&activeTab=summary|https://planning.bradford.gov,0,0,yes,"The site is likely to have further potential. Part of the site has planning permission for 88, studio and duplex apartments.",2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/074,"Sunwin House, Godwin Street/Sunbridge Road, City Centre",-1.756906,53.793508,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416075.64,433013.8,416146.4,433087.4,27700",0.39,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0102841FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301211VOC&activeTab=summary|https://planning.bradford.gov.uk,50,50,,Vacant former department store and service yard identified in the city centre AAP for mixed use (ref V/1.9) with further residential potential of 50 units. Part of the building has permission and is being converted to offices for neighbouring business. T,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/076,"Burnett Street Car Park, City Centre",-1.744476,53.795918,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416894.6,433263.3,416957.8163,433375.15,27700",0.31,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201997FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202001LBC&activeTab=summary|https://planning.bradford.gov.uk,50,50,,Surface Car Park. The site is identified in the City Centre AAP (ref CH/1.5) as a site with residential potential of around 50 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/078,"East Parade Car Park, City Centre",-1.745227,53.793658,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416854.1266,433033.05,416908.87,433107.36,27700",0.14,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0003428COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202092FUL&activeTab=summary|https://planning.bradford.gov.uk,40,40,yes,Surface Car Park identified in the city centre AAP (ref CH/1.7) as having residential potential for around 40 units. The site has had recent interest.,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/081,"Wilton Car park and buildings, City Centre",-1.758358,53.790452,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415951.6,432670.05,416070.2,432740.9,27700",0.42,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201423ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8094925REM&activeTab=summary|https://planning.bradford.gov.uk,50,50,,"The site is identified in the City Centre AAP as a site with residential potential, possibly through conversion where around 50 units are expected",2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/086,"43 Darley Street, City Centre",-1.755096,53.795838,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416217.8,433295.7,416240.6,433321.8,27700",0.03,not owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8308036FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8604329EXT&activeTab=summary|https://planning.bradford.gov.uk,0,0,,Building with expired permission with redevelopment potential still for more than 5 homes,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/092,"126-128 Thornton Road, City Centre",-1.761528,53.793978,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415793.45,433085.6,415820.35,433114.6,27700",0.04,not owned by a public authority,,permissioned,full planning permission,2017-10-16,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7403617FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NOA0UDDHLT000&activeTab=summary|https://planning.bradford.gov,0,0,yes,. Site has planning approval for conversion to 16 flats,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/093,"153 Sunbridge Road, City Centre",-1.761357,53.794594,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415804.75,433151.3781,415829.95,433184.8,27700",0.04,not owned by a public authority,,permissioned,other,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7501183FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7505107COU&activeTab=summary|https://planning.bradford.gov.uk,0,0,yes,. Site with prior notification approval for change of use to 40 apartments under permitted development rights,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/094,"Oastler Centre, John Street",-1.757916,53.796352,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415962.1,433292.2,416124.8,433444.8,27700",1.3,owned by a public authority,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201589ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101163FUL&activeTab=summary|https://planning.bradford.gov.uk,1000,1000,yes,Buildings identified for redevelopment. Currently market hall. The Council are progressing plans to replace the market and have announced plans to bring this site forward for residential use,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/095,"Land west of Wharf Street, City Centre",-1.748557,53.798913,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416617.6,433573.7029,416695.3147,433734.68,27700",0.49,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301342ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8040894COU&activeTab=summary|https://planning.bradford.gov.uk,100,100,,Site identified by canal road AAP ref CH/1.8,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/096,"Cathedral Quarter, City Centre",-1.747511,53.797119,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416687.2228,433367.2,416770.95,433516.0141,27700",0.7,,,permissioned,outline planning permission,2017-10-13,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7504226OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8801610COU&activeTab=summary|https://planning.bradford.gov.uk,0,0,yes,. Permission for 90 units on part of the site,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/097,"Church Bank/Peckover Street, City Centre",-1.746861,53.795282,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416748.6,433232.95,416792.6,433266.5,27700",0.08,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7904672COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=N3GLXBDHLT000&activeTab=summary|https://planning.bradford.gov,20,20,,Land identified by city centre AAP (CH/1.10) for at least 20 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/098,"Church Bank/Vicar Lane, City Centre",-1.747952,53.794687,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416662.0412,433146.6702,416740.55,433214.75,27700",0.29,not owned by a public authority,,permissioned,planning permission granted under an order,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IG0PUQDHT8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203872FUL&activeTab=summary|https://planning.bradford.gov,0,0,yes,Site identified by city centre AAP (ref CH/1.9) for at least 20 units with listed building consent order for 110 units. Listed building consent order,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/099,"Gatehaus 2, City Centre",-1.744817,53.793457,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416887.4266,433021.71,416927.3686,433076.8036,27700",0.14,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HN5N68DHT3000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0002053FUL&activeTab=summary|https://planning.bradford.gov,20,20,,Land identified by city centre AAP (ref CH/1.11) for at least 20 units,2017-11-01,2018-11-01,
http://opendatacommunities.org/id/metropolitan-district-council/bradford,CC/100,"Stone Street Car Park, City Centre",-1.754364,53.79735,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416246.75,433449.75,416303.9377,433507.6739,27700",0.1,,,not permissioned,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9400172REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7808115COU&activeTab=summary|https://planning.bradford.gov.uk,100,100,,The site is identified in the city centre AAP (ref M/1.3) for  100 units,2017-11-01,2018-11-01,
