OrganisationURI,OrganisationLabel,SiteReference,AlternateReferences,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdated
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0034,4089,BLR17,"""938-946 Ringwood Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=405320.244539999&y=95570.7631099999&scale=1000,ETRS89,-1.92593709,50.75970702,0.08,not owned by a public authority,Yes,permissioned,full planning permission,24/03/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,15,"""Erection of a building comprising of 15 flats with below ground parking and cycle storage""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0035,3789,BLR17,"""The Punshon Memorial Church, Exeter Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408695.196959999&y=90870.19775&scale=1000,ETRS89,-1.87819769,50.71739652,0.19,not owned by a public authority,Yes,permissioned,outline planning permission,16/02/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,97,"""Outline submission for the erection of a building ranging in height between 1-7 storeys comprising 2 ground floor commercial units with 96 flats, lower ground floor parking and associated bin and cycle stores. Installation of substation and enclosure""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0037,3650,BLR17,"""107 Southwick Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=413567.716429999&y=92898.7707499999&scale=1000,ETRS89,-1.80910528,50.73554632,0.16,not owned by a public authority,Yes,permissioned,outline planning permission,20/03/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,12,"""Outline submission for the erection of 12 dwellinghouses and 6 car ports and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0039,4172,BLR17,"""19 & 23 Boscombe Spa Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410948.705699999&y=91375.3889199999&scale=1000,ETRS89,-1.84626224,50.72190189,0.21,not owned by a public authority,Yes,permissioned,full planning permission,12/06/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Demolition of 19 Boscombe Spa Road and the erection of a 3/5 storey building comprising of 10 flats with associated access and parking and installation of replacement windows to 23 Boscombe Spa Road""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0040,4185,BLR17,"""17 West Cliff Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407932.914359999&y=90772.96631&scale=1000,ETRS89,-1.88899739,50.71653291,0.14,not owned by a public authority,Yes,permissioned,outline planning permission,08/07/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,11,"""Demolition of existing building and outline submission for erection of a 4 storey block comprising of 20 flats arranged as 12 residential and 8 holiday flats with car parking, bin and cycle stores""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0041,4087,BLR17,"""558-560 Christchurch Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411326.755669999&y=91888.6390399999&scale=1000,ETRS89,-1.84089111,50.72651018,0.28,not owned by a public authority,Yes,permissioned,full planning permission,09/07/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,12,"""Alterations and extensions including new 3rd and 4th floor levels and conversion of 1st and 2nd floor levels to form 15 flats, erection of bin and cycle stores and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0042,4190,BLR17,"""6 Valette Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409254.1559&y=95483.5812399999&scale=1000,ETRS89,-1.8701657,50.75887441,0.1,not owned by a public authority,Yes,permissioned,full planning permission,01/05/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,6,"""Alterations, extensions and conversion of premises into 6 flats, erection of new dwelling house, alterations to vehicular access and formation of additional parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0043,4198,BLR17,"""61-63 Christchurch Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410669.39029&y=91497.8451199999&scale=1000,ETRS89,-1.85021558,50.72300823,0.07,not owned by a public authority,Yes,permissioned,reserved matters approval,04/06/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,13,"""Demolition of existing buildings and erection of a 4 storey block of 15 flats with surface and basement parking - Approval of reserved matters in respect of application no. 7-2015-10633-D""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0045,4213,BLR17,"""16 and land rear of 16 Truscott Avenue""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409103.9&y=93425.6543399999&scale=1000,ETRS89,-1.87234617,50.74037064,0.17,not owned by a public authority,Yes,permissioned,full planning permission,29/09/2015,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Erection of 7 dwellinghouses and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0046,4269,BLR17,"""Woodland Point, Wootton Mount""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409323.76001&y=91374.7103499999&scale=1000,ETRS89,-1.86928159,50.72192381,0.13,not owned by a public authority,Yes,permissioned,full planning permission,03/12/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,18,"""Outline submission for demolition of the existing building and the erection of a 7 storey block of 36 flats with cycle and bin store and formation of parking spaces. Minor material amendment to vary condition no.4 of application 7-2016-8627-J to vary plans""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0047,4276,BLR17,"""17-21 Redhill Drive""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408650.02867&y=95774.5615299999&scale=1000,ETRS89,-1.87872389,50.76150028,0.32,not owned by a public authority,Yes,permissioned,full planning permission,10/02/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Erection of eight dwellinghouses with cycle stores, formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0048,4284,BLR17,"""13 Durley Road South""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407983.799129999&y=90805.1845199999&scale=1000,ETRS89,-1.88827594,50.71682195,0.17,not owned by a public authority,Yes,permissioned,reserved matters approval,18/10/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,19,"""Demolition of building and erection of a 5 storey block of 20 open market flats and 6 holiday flats. Application for Reserved Matters in respect of application 7-2015-6344-R""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0049,4290,BLR17,"""Wingfield Court, Manor Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410152.79285&y=91216.7243699999&scale=1000,ETRS89,-1.85754163,50.72048937,0.27,not owned by a public authority,Yes,permissioned,full planning permission,01/02/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,8,"""Erection of an additional floor to form 8 flats and formation of cycle store""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0051,3969,BLR17,"""Lansdowne Drill Hall, 14 Lansdowne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409430.196579999&y=91468.2843399999&scale=1000,ETRS89,-1.86777142,50.72276359,0.1,not owned by a public authority,Yes,permissioned,outline planning permission,31/08/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,26,"""Outline Submission for a 3/4/5 storey mixed use development comprising 8 commercial units (Class B1) and 32 flats (Class C3) with communal amenity space including rooftop terraces, bike store, refuse store and basement car parking""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0052,3798,BLR17,"""46-48 Southbourne Grove""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=413156.08727&y=91889.9249399999&scale=1000,ETRS89,-1.81497387,50.72648356,0.04,not owned by a public authority,Yes,permissioned,full planning permission,25/02/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Alterations and conversion of 1st and 2nd floor gymnasiums (Class D2) into 10 flats with bin and cycle stores""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0054,4311,BLR17,"""55 Lansdowne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409395.51821&y=92057.0663099999&scale=1000,ETRS89,-1.86824788,50.72805885,0.13,not owned by a public authority,Yes,permissioned,full planning permission,15/04/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,8,"""Demolition of existing outbuildings, alterations, conversion of existing building to 8 flats and two storey extension to form 1 maisonette, erection of bin and cycle stores and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0058,4365,BLR17,"""65-67 Southbourne Grove""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=413175.37904&y=91831.32046&scale=1000,ETRS89,-1.81470263,50.72595612,0.05,not owned by a public authority,Yes,permissioned,other,20/07/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,10,"""Change of use of offices (Class B1(a)) to 10 flats (Class C3) - Prior Approval Procedure""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0059,4374,BLR17,"""81, 83 & 83a Gladstone Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411608.573009999&y=92207.01128&scale=1000,ETRS89,-1.83688851,50.72936768,0.1,not owned by a public authority,Yes,permissioned,full planning permission,09/08/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Erection of 4 houses and 2 flats with associated parking, bin, cycle stores and modification of existing vehicular access""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0060,4387,BLR17,"""14 Bath Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409198.195339999&y=91161.3418199999&scale=1000,ETRS89,-1.87106562,50.72000704,0.46,not owned by a public authority,Yes,permissioned,full planning permission,21/08/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,54,"""Non-material amendment to application no. 7-2017-5940-U to remove the residential units from the 7th and 8th floors of the hotel building, and replace them with hotel rooms and suites""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0061,4413,BLR17,"""Jecco House, Boscombe Grove Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410806.69082&y=92291.1133899999&scale=1000,ETRS89,-1.84824751,50.73013929,0.37,not owned by a public authority,Yes,permissioned,full planning permission,29/06/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,29,"""Erection of 29 dwellinghouses, formation of new vehicular access and parking spaces""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0064,4428,BLR17,"""Burlington House, Burlington Arcade Old Christchurch Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408860.46246&y=91308.2393299999&scale=1000,ETRS89,-1.87584635,50.72133322,0.13,not owned by a public authority,Yes,permissioned,full planning permission,08/11/2016,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Alterations and extensions to form 9 additional flats, formation of bin and cycle stores""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0065,4437,BLR17,"""23 Glenville Road and Land rear of 247-251 Columbia Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407181.11369&y=94792.1956899999&scale=1000,ETRS89,-1.8995693,50.752686,0.07,not owned by a public authority,Yes,permissioned,reserved matters approval,28/03/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,7,"""Erection of 2 dwellinghouses and a terrace of 2 bungalows and 3 dwellinghouses and formation of vehicular accesses and parking spaces Approval of reserved matters in respect of application no. 7-2015-956-J""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0068,4467,BLR17,"""1 Poole Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407940.517709999&y=91118.5776&scale=1000,ETRS89,-1.88888236,50.71964077,0.13,not owned by a public authority,Yes,permissioned,other,03/11/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,20,"""Change of use of offices (Class B1(a)) to 20 flats (Class C3) - Prior Approval Procedure""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0070,4492,BLR17,"""194 Charminster Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409702.99641&y=93109.72556&scale=1000,ETRS89,-1.86386412,50.73752003,0.02,not owned by a public authority,Yes,permissioned,full planning permission,21/03/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Alterations, extensions, formation of balcony and terrace and conversion of Conservative Club to five flats""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0073,4543,BLR17,"""1 Burnaby Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407257.29417&y=90226.5564999999&scale=1000,ETRS89,-1.89857786,50.71162793,0.07,not owned by a public authority,Yes,permissioned,full planning permission,26/01/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,10,"""Erection of a 4 storey building comprising 10 flats with bin and cycle stores and formation of parking spaces""",,,,,,,,21/12/2017,17/12/2018
