OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Uni_ID,Settlement,Parish,SHLAA2018_Suitable,SHLAA2018_Available,SHLAA2018_Achievable,SHLAA2018_Timescale,SHLAA2018_Capacity,Latest_MostRelevantResidentialApplication,Total_ha,BF_ha,CoordinateReferenceSystem_WGS84,GeoX_WGS84,GeoY_WGS84,CoordinateReferenceSystem_ETRS89,GeoX_ETRS89,GeoY_ETRS89
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,0429x,0429,"""Thropton 4x4 Centre (brownfield parcel), Thropton""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,402511,602429,0.27,unknown ownership,yes,permissioned,outline planning permission,2015-12-02,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000D3CTGLI000,,7,"Permitted site for 60 units with outline permission -  mixed site of both greenfield and brownfield  land at edge of settlement. Brownfield element (0.27 ha) - indicative yield of around 8 dwellings can be calculated based on methodological approach. For indicative purposes in the BF Register, the original SHLAA site (ref 0429) is split to reflect brownfield and greenfield elements - total area of 3.26 ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Residential development of approximately 60 dwellings approved through outline consent for wider site - 13/03894/OUT. Development yet to commence,2017-12-17,2017-12-17,11,Thropton,Thropton CP,Suitable,Available,Achievable,0-5 Years,8,13/03894/OUT,3.26,0.27,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1019,,"""Former Coating and Blending Mill, Dock Road, Tweedmouth""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,399641,652297,0.32,not owned by a public authority,,permissioned,full planning permission,2005-07-09,https://publicaccess.northumberland.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZVRCLWXC287,,30,"Extant permission for 30 units. Site has been cleared and access road has been constructed, therefore consent has been implemented, although residential aspect of development has not commenced. Deliverability in the short term has been questioned and it is anticipated that it is likely to be a developed in the medium-term. Until housebuilding commences, the site will remain on the BF Register. Identified yield appropriate for urban location",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Scheme for 30 units permitted - 04/B/0337. Permission has technically been implemented through commencement  of site works so the application will remain live and will not lapse,2016-06-30,2017-12-17,12,Berwick-upon-Tweed,Berwick CP,Suitable,Available,Achievable,6-10 Years,30,N/04/B/0337,0.32,0.32,WGS84,-2.00728,55.76406,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1023,,"""Police House, South of Prince Charles Crescent, Scremerston""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,400728,648921,0.07,unknown ownership,,not permissioned,,2007-07-10,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=KS9ZTALW00500,,5,Potential small-scale redevelopment opportunity at edge of existing residential area involving redevelopment of plot currently occupied by a single residential dwelling - previous permission lapsed without implementation. Indicative yield of 5 units considered to maximise potential of the site,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Previous proposal for residential developments of 5 dwellings lapsed prior to commencement - 07/B/0342,2016-06-30,2017-12-17,13,Scremerston,Ancroft CP,Suitable,Available,Achievable,6-10 Years,5,N/07/B/0342,0.07,0.07,WGS84,-1.98997,55.73372,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1024,,"""Warehouse No. 46-52, West End, Tweedmouth""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,399323,652801,0.05,not owned by a public authority,,not permissioned,,2010-07-23,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002W7LTGLI000,,5,Potential redevelopment of existing buildings and vacant land within urban area - previous consent lapsed before implementation. Relatively high density development preferred given location,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Previous proposal for residential development of 5 three-storey town houses was not implemented and has lapsed - 10/B/0237,2016-06-30,2017-12-17,14,Tweedmouth,Berwick CP,Suitable,Available,Achievable,6-10 Years,5,N/10/B/0237,0.05,0.05,WGS84,-2.01235,55.76859,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1030,,"""Sea View Works, Main Steet, Spittal""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,400820,651108,1.24,not owned by a public authority,,not permissioned,,1999-07-05,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002ZPRTGLI000,,13,"Potential redevelopment within urban area, opportunity for redevelopment of industrial buildings and land - previous consent lapsed before implementation. Yield appropriate for redevelopment on existing footprint of built development",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Previous outline permission for 14 dwellings has lapsed - 99/B/0268. A number of other applications also relate to site. The above application extended the time limit of previous outline consents - N/96/B/0206/P, N/92/B/0651/P",2016-06-30,2017-12-17,15,Spittal,Berwick CP,Suitable In Part,Available,Achievable In Part,6-10 Years,14,99/B/0268,1.24,1.24,WGS84,-1.98850,55.75337,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1043x,1043,"""Land at Clovelly, Cornhill-on-Tweed (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,386277,639332,0.19,unknown ownership,,not permissioned,,2006-03-03,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002PU8TGLI000,,5,"Edge of settlement location with site being occupied by a number of buildings - previous permission lapsed before commencement. Brownfield in part (0.19ha) - indicative yield of around 6 dwellings appropriate for this parcel. For indicative purposes in the BF Register, the original SHLAA site (ref 1043) is split to reflect brownfield and greenfield elements - total area of 0.38ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Previous proposal relating to wider site for 4 dwellings not taken forward and permission has now lapsed - N/06/B/0029. Application for scheme of 2 units refused - N/06/B/0559,2017-12-17,2017-12-17,16,Cornhill-on-Tweed,Cornhill-on-Tweed CP,Suitable,Available,Achievable,6-10 Years,6,N/06/B/0029,0.38,0.19,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1045,,"""St Aidan's, Palace Green, Berwick-upon-Tweed""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,399951,652525,0.14,unknown ownership,yes,permissioned,full planning permission,2017-04-25,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002ZTPTGLI000,,6,Permitted site for 6 units - yet to commence but forecast to be delivered within next 5 years. Redevelopment of former council buildings and associated land,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Full application for scheme of 6 units through conversion permitted in April 2017 - 16/04185/FUL. Application for 3 homes withdrawn in July 2017 - 17/01852/FUL. Previous application for conversion to 3 dwellings permitted - 12/00144/FUL,2017-12-17,2018-12-31,17,Berwick-upon-Tweed,Berwick CP,Suitable In Part,Available,Achievable,0-5 Years,6,16/04185/FUL,0.14,0.14,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1058,,"""Land to the rear of Station Gardens, Cornhill-on-Tweed""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,386209,639561,1.18,not owned by a public authority,,not permissioned,,2009-03-31,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=LGTFZ6QS04N01,,23,"Opportunity for redevelopment of site, including existing buildings and hardstanding within village - previous permission lapsed prior to implementation. This consent was for 40 homes but a yield of 25 units is identified through the SHLAA, considered more appropriate for the setting and location",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Proposal for development of 40 homes previously permitted but has now lapsed. - 07/B/0304. Subsequently application to renew this consent was withdrawn - 11/02912/FUL,2016-06-30,2017-12-17,18,Cornhill-on-Tweed,Cornhill-on-Tweed CP,Suitable,Available,Achievable,6-10 Years,25,07/B/0304,1.18,1.18,WGS84,-2.22070,55.64942,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1083,,"""Longstone House Hotel, 182 Main Street, North Sunderland""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,421048,631491,0.08,not owned by a public authority,,not permissioned,,2007-03-30,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0032FUTGLI000,,8,"Potential opportunity for redevelopment of existing hotel site in village centre - previous permission lapsed without implementation. Indicative yield is of a relatively high density, but reflective of conversion scheme for former hotel and fitting to location",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Proposal for redevelopment for 9 homes permitted but not progressed and has now lapsed - 10/B/0121. The above extended the time limit of previous applications - 06/b/1002 & 06/b/1003,2016-06-30,2017-12-17,20,Seahouses,North Sunderland CP,Suitable,Available,Achievable,6-10 Years,9,10/B/0121,0.08,0.08,WGS84,-1.66771,55.57667,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1084,,"""Slate Hall Farm, North Lane, North Sunderland""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,421073,631551,0.17,not owned by a public authority,yes,permissioned,full planning permission,2016-04-25,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=LJ6L71QS04O00,,6,Permitted site for 6 units - yet to commence but forecast to be delivered within next 5 years. Scheme to involve redevelopment of a range of existing buildings,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Full application for 6 6 two-storey dwellings following demolition approved - 15/02434/FUL. A number of applications for residential development have been approved but not progressed. Includes previous proposals for development of 6 units - 11/00226/FUL and N/07/B/0594,2016-06-30,2017-12-17,21,North Sunderland,North Sunderland CP,Suitable,Available,Achievable,0-5 Years,6,15/02434/FUL,0.17,0.17,WGS84,-1.66731,55.57720,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1086,,"""39 Main Street, Seahouses""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,421900,631967,0.03,not owned by a public authority,,not permissioned,,1994-09-22,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00327PTGLI000,,7,Potential opportunity for redevelopment of existing buildings through conversion scheme - previous permission lapsed prior to commencement. High density of identified indicative of conversion of existing building within urban environment,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Planning permission for a previous proposal for conversion of guest house to 6 flats and annexe to 2 dwellings lapsed without progressed - 94/B/0456/P,2016-06-30,2017-12-17,22,Seahouses,North Sunderland CP,Suitable,Available,Achievable,6-10 Years,8,94/B/0456/P,0.03,0.03,WGS84,-1.65415,55.58090,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1110,,"""Land West of South Road, Wooler""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,399399,627927,1.03,not owned by a public authority,,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002PQ8TGLI000,,23,Opportunity for redevelopment of existing industrial buildings and associated land within urban area. Site has been utilised for storage and distribution purposes in recent years,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Application permitted for change of use from haulers yard to agricultural merchants, retail and café - 13/01053/FUL Previous application for proposed retail development withdrawn - 09/B/0465",2016-06-30,2017-12-17,23,Wooler,Wooler CP,Suitable,Available,Achievable,6-10 Years,25,,1.03,1.03,WGS84,-2.01108,55.54509,,,
