SiteReference,OrganisationURI,OrganisationLabel,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,DevelopmentDescription,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeto,FirstAddedDate,Last_updated_Date,PreviouslyPartOf,Alternate_CoordinateReferenceSystem,ALT_X_Ref,ALT_Y_Ref
BLR1004,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land at Former New York Hotel, Anlaby Road HU3 2LL""",http://hullcc.limehouse.co.uk/file/4808583,WGS84,-0.347378446248934,53.7427817436503,0.172799492835788,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,"""Potential for housing - 24 Flats""",24,24,24,2017-12-20,2018-12-01,Not applicable,OSGB36,509091.532785497,428645.314995555
BLR1021,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Perth Street Club, 229 Perth Street West. HU5 3TZ""",http://hullcc.limehouse.co.uk/file/5159074,WGS84,-0.379419366704391,53.7531830866141,0.0385966566494016,not owned by a public authority,True,Permissioned,full planning permission,2017-06-16,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OHVJ8PSOKXX00,"""16/01727/FULL - Erection of 2 storey building with accommodation in roofspace to provide 9 Apartments with associated parking and bin storage.""",9,9,9,2018-10-23,2018-12-01,Not applicable,OSGB36,506952.139495531,429753.745675191
BLR1051,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Cherry Court, 36 Ferensway, HU2 8LP""",http://hullcc.limehouse.co.uk/file/5159073,WGS84,-0.347033580974762,53.7469732543446,0.315826813306578,not owned by a public authority,True,Permissioned,full planning permission,2018-02-16,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OWH67NSO03400,"""17/01258/PCOU - Prior approval change of use from offices to 48 residential units ( Class C3 )""",48,48,48,2018-10-23,2018-12-01,Not applicable,OSGB36,509103.426579698,429112.129307782
BLR120,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land to the east of Stoneferry Road, south west of Foredyke Avenue, Hull Local Plan Housing Allocation H120, HU7 0DZ""",http://hullcc.limehouse.co.uk/file/4808534,WGS84,-0.326854938104322,53.7691629400386,0.807204855559943,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 28  dwellings.""",22,22,28,2017-12-20,2018-12-01,Not applicable,OSGB36,510375.861325146,431611.76979605
BLR190,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Hollywell Close, Hull Local Plan Housing Allocation H190,  HU9 4HW""",http://hullcc.limehouse.co.uk/file/4808540,WGS84,-0.254933057147637,53.7651064015375,0.207435471025296,owned by a public authority,False,Permissioned,full planning permission,1996-10-02,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=9600247PR,"""Hull Local Plan 2016 to 2032 - Housing Allocation (implemented) with an indicative remaining capacity of 10 dwellings. 96/00247/PR Erection of 34 semi detached dwellings.""",10,10,10,2017-12-20,2018-12-01,Not applicable,OSGB36,515126.94568066,431274.573224989
BLR198,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Fruit Market Local Plan Mixed Use Site 7, HU1 1UP""",http://hullcc.limehouse.co.uk/file/4808542,WGS84,-0.33444564959973,53.7389491952343,0.236987847131389,mixed ownership,False,Permissioned,,2007-12-04,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OY4HIVSOGFZ00,"""Hull Local Plan 2016 to 2032 - Mixed use Allocation 7  (Residual housing number following completions)""",29,29,29,2017-12-20,2018-12-01,Not applicable,OSGB36,509954.401910204,428238.880531855
BLR201,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Former Lloyds TSB Bank George Street, Upper Floors, 1-7 George Street, HU1 3BB""",http://hullcc.limehouse.co.uk/file/4808549,WGS84,-0.338731291337179,53.7457638686367,0.126541799000983,not owned by a public authority,True,Permissioned,other,2018-06-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=P6RPSGSO00300,"""17/00206/PCOU - Change of Use from vacant bank offices on upper floors to 10 (one, two, three bedroom apartments)""",10,10,24,2017-12-20,2018-12-01,Not applicable,OSGB36,509654.026298618,428990.361025759
BLR219,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land to rear of Goodfellowship Inn Pub, Cottingham Road, Hull Local Plan Housing Allocation H219, HU5 4BG""",http://hullcc.limehouse.co.uk/file/4808550,WGS84,-0.381553532025302,53.7689594412839,0.298185446338171,not owned by a public authority,False,Not Permissioned,,2012-04-10,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=LMKUXVSO05500,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 8  dwellings. 11/00553/FULL Erection of 8 dwellings with associated garages and parking.""",8,8,8,2017-12-20,2018-12-01,Not applicable,OSGB36,506771.442844265,431505.594113462
BLR226,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""173 to 187 Cottingham Road, Hull Local Plan Housing Allocation H226, HU5 2EG""",http://hullcc.limehouse.co.uk/file/4808543,WGS84,-0.367115937136395,53.7686136589331,1.01246168849154,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 35 dwellings. Development to include change of use and new build university apartment accomodation.""",30,30,35,2017-12-20,2018-12-01,Not applicable,OSGB36,507723.850696294,431488.907046274
BLR293,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""374A Anlaby Road (Upper floors), Kingston Upon Hull, HU3 6NS""",http://hullcc.limehouse.co.uk/file/5159075,WGS84,-0.374554106959914,53.7440103340317,0.0450140950003462,not owned by a public authority,False,Not Permissioned,,2014-10-13,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=N7VQTGSOI7T00,"""Lapsed 14/00793/FULL- Change of use of first and second floors from office/storage to 10 no. 1 bedroom self contained flats.""",10,10,10,2018-10-20,2018-12-01,Not applicable,OSGB36,507296.25714958,428740.645439643
BLR297,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""363 Anlaby Road, Kingston Upon Hull, HU3 6AB""",http://hullcc.limehouse.co.uk/file/4808553,WGS84,-0.369067293128824,53.7433413025707,0.0203784749997715,not owned by a public authority,True,Permissioned,,2014-12-18,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NAPA77SO05400,"""Lapsed 14/01031/FULL - Erection of 3 storey building to provide 6 self contained flats following demolition of existing building.""",6,6,6,2017-12-20,2018-12-01,Not applicable,OSGB36,507659.793702538,428674.510929175
BLR313,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Former Baker Street Garage, Hull Local Plan Housing Allocation H313, HU2 8JL""",http://hullcc.limehouse.co.uk/file/4808546,WGS84,-0.340553011396467,53.7475702165272,0.14578614631409,not owned by a public authority,False,Not Permissioned,,2015-12-23,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NU5O9ZSOFIM00,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 55 dwellings. 15/01099/FULL-17/01105/CONDET Erection of 55 flats.""",55,55,55,2017-12-20,2018-12-01,Not applicable,OSGB36,509529.204667329,429188.500838059
BLR314,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Story Street, Upper Floors, Hull Local Plan Housing Allocation H314, HU1 3SG""",http://hullcc.limehouse.co.uk/file/4808545,WGS84,-0.342344917521671,53.7461857864392,0.0550144056622,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MXJ6ABSO3B000,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 8 dwellings. 13/01252/FULL - Change of use of upper floors eight residential flats.""",8,8,8,2017-12-20,2018-12-01,Not applicable,OSGB36,509414.641548548,429031.731235836
BLR315,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""10-12 School Street, HU1 3SA""",http://hullcc.limehouse.co.uk/file/4808554,WGS84,-0.341490607645687,53.7458713865139,0.0220347404988061,not owned by a public authority,True,Permissioned,full planning permission,2017-04-13,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NG3VXJSOH4A00,"""15/00344/FULL - Erection of 4 storey building to form 9 apartment units, with car parking on ground floor.""",9,9,9,2017-12-20,2018-12-01,Not applicable,OSGB36,509471.792385834,428998.070583666
BLR318,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""31-53 Ferensway, Hull Local Plan Housing Allocation H318, HU2 8NG""",http://hullcc.limehouse.co.uk/file/4808551,WGS84,-0.345960047111568,53.7470941785838,0.278107063618038,mixed ownership,False,Not Permissioned,,2015-01-13,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MJAR41SO3B000,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 100 dwellings. Lapsed - 13/00212/OUT - Erection of building to provide flats, access via North Street.""",80,80,100,2017-12-20,2018-12-01,Not applicable,OSGB36,509173.902410058,429127.229037787
BLR364,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land between Stanley Street and Derringham Street (Northern Site), Spring Bank, Hull Local Plan Housing Allocation H364, HU3 1JP""",http://hullcc.limehouse.co.uk/file/4808564,WGS84,-0.359100732885544,53.7509101533189,0.359791273363981,not owned by a public authority,True,Permissioned,full planning permission,2015-02-20,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NBQSJ2SOGNH00,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 16 dwellings. 14/01116/FULL Erection of 2 buildings (one 4 storey one up to 7 storeys high) to provide 37 self contained flats""",37,37,37,2017-12-20,2018-12-01,Not applicable,OSGB36,508297.600315677,429531.64472856
BLR367,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land east of Hawthorn Avenue, Hull Local Plan Housing Allocation H367,  HU3 6HE""",http://hullcc.limehouse.co.uk/file/4808560,WGS84,-0.380358610392449,53.7407306889286,3.30766631459078,mixed ownership,True,Permissioned,reserved matters approval,2016-05-24,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NXA3G9SOMPJ00,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 277 dwellings. 15/01344/RES - Erection of 277 dwellings with associated access roads. Under construction 264 remaining.""",264,187,187,2017-12-20,2018-12-01,Not applicable,OSGB36,506921.798438069,428367.056403869
BLR372,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Tivoli House (Upper Floors), South Street, Hull, Hull Local Plan Housing Allocation H372, HU1 3QH""",http://hullcc.limehouse.co.uk/file/4808563,WGS84,-0.342917999797463,53.7437352312693,0.095955158683072,not owned by a public authority,True,Permissioned,,2015-07-31,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NPEV9DSO05400,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative remaining capacity of 30  flats/dwellings. Lapsed15/00669/PCOU - Change of Use from vacant officesTo 30 flats""",30,30,30,2017-12-20,2018-12-01,Not applicable,OSGB36,509383.210413051,428758.237399514
BLR373,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Humber Quays, South of Wellington Street West, Hull Local Plan Housing Allocation H372, HU1 2DN""",http://hullcc.limehouse.co.uk/file/4808555,WGS84,-0.340066506493199,53.7373188051139,1.67709875800543,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,"""Erection of Flats - Local Plan Housing Allocation Indicative capacity 150-200 dwellings.""",150,150,200,2017-12-20,2018-12-01,Not applicable,OSGB36,509587.929056274,428048.832517625
BLR375,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Suffolk House, 21 Silver Street, HU1 1JG""",http://hullcc.limehouse.co.uk/file/4808558,WGS84,-0.333765726835553,53.7430068671468,0.0269686516498093,not owned by a public authority,True,Permissioned,full planning permission,2017-06-09,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OOCMWLSOLM700,"""17/00505/FULL -Proposed change of use of vacant offices to 10 flats to the upper floors.""",10,10,10,2017-12-20,2018-12-01,Not applicable,OSGB36,509988.658413267,428691.326956949
BLR376,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""63-71 High Street, City Centre, Hull Local Plan Housing Allocation H376, HU1 1QE""",http://hullcc.limehouse.co.uk/file/4808556,WGS84,-0.331339773171465,53.7412284116569,0.387349036587967,not owned by a public authority,False,Not Permissioned,,2009-09-14,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=KGPJMOSO00200,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 80  flats/dwellings. Erection of building - 1 and 2 bed flats.""",80,80,100,2017-12-20,2018-12-01,Not applicable,OSGB36,510153.287618509,428497.237743584
BLR377,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Oriel House, 49 High Street, HU1 1QJ""",http://hullcc.limehouse.co.uk/file/4808568,WGS84,-0.330879212917077,53.7422586788225,0.186248640760304,not owned by a public authority,False,Not Permissioned,,2014-06-04,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MUCO3NSO3B000,"""Erection of Flats - Local Plan Housing Allocation Indicative capacity 33 dwellings. Previous application lapsed 13/01054/FULL - Change of use of floors 1-5 from offices to 33 self contained flats Ground floor 2 no. office units""",33,33,33,2017-12-20,2018-12-01,Not applicable,OSGB36,510180.968466824,428612.563192652
BLR381,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""52-54 George Street,  HU1 3AJ""",http://hullcc.limehouse.co.uk/file/4808567,WGS84,-0.337251475953811,53.7457799234592,0.0138139274998428,not owned by a public authority,True,Permissioned,,2015-08-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NHY8SHSOHRZ00,"""15/00053/FULL - Change of use from offices to café/restaurant and 6no. Self contained flats.""",6,6,6,2017-12-20,2018-12-01,Not applicable,OSGB36,509751.566408201,428994.429951262
BLR398,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""High Street East of Blaydes Staith, City Centre, Hull Local Plan Housing Allocation H398, HU1 1HA""",http://hullcc.limehouse.co.uk/file/4808562,WGS84,-0.329203542428077,53.7454816968484,0.214081653543208,mixed ownership,False,Not Permissioned,,2008-01-16,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=JNWHHGSO03800,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 64 flats/dwellings. Lapsed 07/01291/FULL  Erection of building to form 64 apartments,  accesses off Blaides Staithe, 5 floors maximum.""",64,64,64,2017-12-20,2018-12-01,Not applicable,OSGB36,510283.042315683,428973.704743638
BLR399,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""2-5 High Street, City Centre,Hull Local Plan Housing Allocation H399, HU1 1HA""",http://hullcc.limehouse.co.uk/file/4808566,WGS84,-0.329235381749029,53.7459047901049,0.186123494888516,not owned by a public authority,True,Permissioned,full planning permission,2006-02-01,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=IPU9ABSO33000,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 33 flats/dwellings. 05/01645/FULL -Erection of a 4 and 5 storey residential apartment block (with 33 apartments).""",33,33,33,2017-12-20,2018-12-01,Not applicable,OSGB36,510279.835878595,429020.722321615
BLR406,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Valbon Nightclub, 135-141 George Street,  Hull, HU1 3BN""",http://hullcc.limehouse.co.uk/file/4808581,WGS84,-0.334298882794979,53.7472244023477,0.0921545000005504,mixed ownership,True,Permissioned,full planning permission,2017-03-10,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=O8JYN9SOMU600,"""16/00863/FULL Change of use from nightclub to 18 flats.""",18,18,18,2017-12-20,2018-12-01,Not applicable,OSGB36,509942.498302051,429159.681912
BLR428,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land North of George Street, between Carroll Place and Trippet Street, City Centre,Hull Local Plan Housing Allocation H428, HU2 8AE""",http://hullcc.limehouse.co.uk/file/4808574,WGS84,-0.332160203330038,53.7476552856536,0.153235815751894,owned by a public authority,True,Permissioned,full planning permission,2017-10-20,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OTG105SO00300,"""Hull Local Plan 2016 to 2032 - 17/00996/FULL - housing Allocation with an indicative capacity of 36 flats/dwellings. Erection of Building to form apartments.""",36,36,67,2017-12-20,2018-12-01,Not applicable,OSGB36,510082.396603561,429210.92419713
BLR429,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land To The West Of And Burnett House, Castle Street, City Centre, Hull Local Plan Housing Allocation H429, HU1 1SD""",http://hullcc.limehouse.co.uk/file/4808580,WGS84,-0.334552594008927,53.7409587942506,0.0282322584049366,owned by a public authority,False,Not Permissioned,,2014-03-06,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=M3HUJYSO3B000,"""Hull Local Plan 2016 to 2032 -  housing Allocation with an indicative capacity of 17 flats/dwellings.""",17,17,17,2017-12-20,2018-12-01,Not applicable,OSGB36,509942.108428717,428462.272625412
BLR447,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""109- 111 Beverley Road (Upper floors), Hull Local Plan Housing Allocation H447, HU3 1TS""",http://hullcc.limehouse.co.uk/file/4808582,WGS84,-0.348755911710096,53.7538456284201,0.0700144768061018,not owned by a public authority,False,Not Permissioned,,2013-07-17,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MBF17QSO3B000,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 20 flats/dwellings. 13/00374/FULL (Lapsed) - Change of use and erection of 3 storey rear extension to form 20 self contained flats.""",20,20,20,2017-12-20,2018-12-01,Not applicable,OSGB36,508972.085172936,429874.007305236
BLR503,http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""","""Land to the east of Wincolmlee fronting the River Hull, City Centre, Hull Local Plan Housing Allocation H503, HU2 8AG""",http://hullcc.limehouse.co.uk/file/4808572,WGS84,-0.331660480337235,53.7489357346823,0.625466745901676,not owned by a public authority,False,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=LBNX3YSO05500,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of upto 200 flats/dwellings.""",100,100,200,2017-12-20,2018-12-01,Not applicable,OSGB36,510112.004377188,429354.140065677
