SiteReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
Selby-9,"Olympia Park, Barlby Road, Barlby",,10093090475,OSGB36,462532,432561,42.71,Permissioned,2012/0541/EIA,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,BOCM PAULS Ltd,863,863,,Entire site lies within flood zones 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing works,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
SMilford-11,"Barkers Of Oakwood Ltd, Low Street",,10093090477,OSGB36,449595,431301,0.18,Permissioned,2014/0782/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Imperial Mews Limited,8,8,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
SMilford-29,"Milford Hall, Lumby Lane, South Milford",,10093090478,OSGB36,449787,430893,0.39,Permissioned,2015/0691/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Wellington Pub Company,14,14,,,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Tadcaster-10,46 Wighill Lane,,200001029722,OSGB36,448846,443778,0.22,Permissioned,2014/0997/REM,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr C Smith,7,7,,Whole of site is in a groundwater source protection zone 3,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Tadcaster-21,"The Old Coal Yard, Wighill Lane, Tadcaster",,10093090479,OSGB36,448891,443751,0.15,Permissioned,2014/0645/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Samuel Smith Old Brewery,8,8,,Whole of site is in a groundwater source protection zone 2,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Tadcaster-5,"Land at Edgerton Drive, Tadcaster",,10093090480,OSGB36,447906,443234,0.36,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,Selby District Council,11,11,,Whole of site is in a groundwater source protection zone 3,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
ThorpeW-15,"Thorpe Hall Farm, Dam Lane, Thorpe Willoughby (Selby Parish)",,10093090481,OSGB36,457711,431698,0.32,Permissioned,2014/0952/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr Chris Taylor,6,6,,Site has a scheduled ancient monument on its eastern edge. All but northern boundary of site within flood zone 2. South eastern boundary lies with flood zone 3 and is also benefiting from flood defences. Site is in a groundwater source protection zone 3. Listed building on site.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
ThorpeW-8,"Land at Hollygarth, Thorpe Willoughby",,10093089081,OSGB36,457759,431135,0.48,Not Permissioned,No relevant planning history,http://www.selby.gov.uk/authorities-monitoring-report,Public Ownership,North Yorkshire County Council,14,14,,Whole of site is in a groundwater source protection zone 3,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Ulleskelf-11,"RAF Church Fenton, Busk Lane, Church Fenton",,10093090482,OSGB36,452174,437775,3.14,Permissioned,2015/0318/FUL,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr K Joyce,39,39,,Areas of floodzone 2 on the western edges of the site.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
Ulleskelf-6,"RAF Church Fenton, Busk Lane, Church Fenton",,10093090483,OSGB36,452337,438033,5.29,Permissioned,2013/0811/OUT,http://www.selby.gov.uk/authorities-monitoring-report,Not in Public Ownership,Mr Tejpartap Sahota,65,65,,Possible ground contamination on the majority of site  from the former airfield.,http://opendatacommunities.org/id/district-council/selby,Selby District Council,2016-06-22,2016-06-22
