OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,Planning ref,Current Status
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0026,,MabledonLondon RoadSouthboroughRoyal Tunbridge WellsKentTN4 0UH,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558037,144680,0.6,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-23,15/500591/LBC (approved),,9,"Conversion of Listed Mansion house to 9 no. self-contained apartments, removal of flat roofed extension and provision of parking spaces with internal and external alterations pursuant to withdrawn applications no.s 14/0533/FUL and 14/0535/LBC",,,9,9,,LB/MGB/AONB/Historic Park and Garden/Grade 4 Agriculturalland/TPO,,2017-11-27,2017-11-27,,15/500589/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0028,,Land at the Rifle Range Warwick Park Royal Tunbridge WellsKent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,559051,138199,0.99,unknown ownership,Yes,,,,None recent,,24,SALP allocation AL/RTW8,,,24,24,,AL/RTW8/LBD/Area of Landscape Importance,,2017-11-30,2017-11-30,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0029,,Lifestyle Motor Europe Langton Road Royal Tunbridge Wells,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,557217,139193,0.32,not owned by a public authority,Yes,,,,12/00057/FUL (gararge related approved),,15,SALP allocation AL/RTW9,,,15,15,,AL/RTW9/LBD/CA,,2017-11-30,2017-11-30,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0030,,Former Gas Works Sandhurst Road Royal Tunbridge Wells TN2 3TQ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,559406,141174,1.78,unknown ownership,,,,,adjoining site 04/01948/FULMJ (176 dwellings approved),,170,SALP allocation AL/RTW10,,,170,170,,AL/RTW19/LBD,,2017-12-04,2017-12-04,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0031,,Land at Goods Station Road Royal Tunbridge Wells TN1 2BT,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558606,139916,0.17,unknown ownership,,,,2017-12-13,17/00987/FULL (approved),,47,SALP allocation AL/RTW11,,,47,47,,AL/RTW11/LBD/Part inside Town Centre Boundary,,2017-12-04,2017-12-04,,17/01399/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0033,,Land at Medway Road Royal Tunbridge Wells TN1 2EZ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558929,140352,0.25,unknown ownership,,,,,None recent,,20,SALP allocation AL/RTW14,,,20,20,,AL/RTW14/LBD/Central Access Zone,,2017-12-04,2017-12-04,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0034,,123-125 Silverdale Road Royal Tunbridge Wells TN4 9HX,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558947,141059,0.23,not owned by a public authority,Yes,permissioned,full planning permission,2019-10-11,07/00343/FULMJ (74 dwellings Refused),,13,"Residential redevelopment to accommodate 18 apartments in 3 blocks comprising 5 x 1 bed, 11 x 2 bed and 2 x 3 bed apartments, with parking and retained access to Silverdale Road.",,,13,13,,AL/RTW15/LBD/Falls in AL/RTW29 Silverdale Neighbourhood Centre,,2017-12-04,2017-12-04,,18/01876/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0035,,Lifestyle Ford 3 Mount EphraimRoyal Tunbridge Wells TN4 8AG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558316,139925,0.45,not owned by a public authority,,,,,13/01769/ADV (approved advertisement sign),,30,SALP allocation AL/RTW22,Part B1 use,,30,30,,AL/RTW22/LBD/CA/Central Parking Zone,,2017-12-04,2017-12-04,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0036,,Land at Yew Tree Road (Southborough Library) TN4 0BB,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558204,141898,0.12,owned by a public authority,Yes,,,,None recent,,10,SALP allocation AL/SO1,,,10,10,,AL/SO1/LBD/ within Town Centre Boundary/Area of Special Landscape Importance,,2017-12-04,2017-12-04,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0037,,Police Station Wheatfield Drive Cranbrook TN17 3LT,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,577048,135994,0.2,owned by a public authority,Yes,,,,None recent,,7,SALP allocation AL/CR1,,,7,7,,AL/CR1/LBD,,2017-12-04,2017-12-04,,,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0039,,Charles Trent Ltd Willow Lane Paddock Wood,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,569133,144266,1.1,not owned by a public authority,Yes,permissioned,outline planning permission,2019-05-30,16/504124/OUT (Approved)14/506196/OUT (residential refused),,6,Outline application for the residential redevelopment of existing car salvage/ end-of-life vehicle processing and storage operation into six residential dwellings. Access not reserved.,,,6,10,,Outside LBD/Potential contamination/Rural Lane/Flood Zones 2 and 3 at site entrance,,2017-12-06,2017-12-06,,17/04224/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0041,,The Velo House 5 St Johns Road Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558296,140030,0.049023,not owned by a public authority,Yes,permissioned,full planning permission,2017-10-13,"13/03154/FULMC (approved) 17/00590/FULL (Refused), 18/01069/FULL (approved)",,8,"Demolition of part of existing building;  Erection of an apartment block extension, conversion of existing building to apartments, new access, landscaping and parking;  Commercial unit on ground floor",Commercial unit on ground floor frontage,,8,8,,LBD/adjoins CA/AQMA/S106,,2018-11-20,2018-11-20,,17/02720/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0043,,Kenwood House 1 Upper Grosvenor Road Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558431,139865,0.100066,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-03,,,14,Prior Notification - Change of use of first and second floors from Class B1(a) to Class C3 to 14 studio flats,,,14,14,,LBD/Adjoins CA,,2018-11-20,2018-11-20,,17/00842/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0044,,Lonsdale Gate Lonsdale Gardens Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558413,139281,0.141384,not owned by a public authority,Yes,permissioned,full planning permission,2017-12-19,17/02252/PNOCLA (Refused),,15,Notification for Prior Approval for a Proposed Change of use of a Building from Office Use (Class B1(a)) to Dwellinghouse (Class C3) to create 15 flats,,,15,15,,LBD/CA/close to National Rail Tunnel,,2018-11-20,2018-11-20,,17/03739/PNOCLA,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0045,,Site Of 141 And 151 London Road Southborough Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558169,142028,0.21,not owned by a public authority,Yes,permissioned,full planning permission,2018-09-20,"17/00805/FULL (Approved), 17/03336/LBC (Approved)",,20,Restoration and conversion of the former Water Margin to create 3no. cottages & development of former Lloyds Bank site to form 17no. residential units with 17no. parking spaces; and laying out of 5 additional parking spaces to serve the adjacent site,,,20,20,,LBD/Primary Shopping Area/Grade II LB,,2018-11-20,2018-11-20,,17/03335/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0047,,40 Broadwater Down Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,557418,137601,0.236661,not owned by a public authority,Yes,permissioned,full planning permission,2017-12-18,16/07058/FULL (Refused),,5,"Demolition of swimming pool building and conversion and extension of existing building to provide 1 x 3 bed unit and 4 x 2 bed units with new parking and landscaping, including retaining walls",,,5,5,,LBD/CA/Ashdown Forest HRA Zone/TPO,,2018-11-20,2018-11-20,2020-03-20,17/03479/FULL,
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0048,,RTA Joinery rear of 5 Birling Road Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558348,137886,0.22,not owned by a public authority,Yes,permissioned,full planning permission,2018-05-15,,,9,Demolition of existing commercial buildings and erection of 9 No. dwellings with car parking,,,9,9,,LBD/Part in CA/Potentialcontamination,,2018-12-12,2018-12-12,,17/03228/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0049,,Bus Depot 36-40 St Johns Road Tunbridge Wels Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558360,140145,0.54,not owned by a public authority,Yes,permissioned,full planning permission,2017-12-15,16/07353/ENVSCR (Not required),,89,"Demolition of existing buildings and structures and construction of 3 new buildings comprising 89 units (29 one-bed units, 48 two-bed units and 12 two+ bed units) to provide accommodation for older people comprising of residential units, guest suite, staff accommodation, communal facilities and storage facilities;  Car parking and storage for mobility scooters and cycle parking;  Comprehensive landscape strategy comprising communal spaces and gardens for use by residents and provision of refuse storage;  Creation of new vehicular access from Woodbury Park Road and drop-off point along St Johns Road and associated infrastructure and earthworks",,,89,89,,LBD/Adj LB/Potential contamination,,2018-12-12,2018-12-12,,17/00731/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0050,,Hurstway Construction Co Ltd Hartley Road Cranbrook Kent TN17 3QX,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,576299,135108,0.662609816,not owned by a public authority,Yes,permissioned,full planning permission,2018-05-15,"19/00136/REM (Approved),",,7,"Outline (Access not reserved) - Removal of existing commercial buildings, associated yard and hardstanding; removal of tennis court within garden area of 'Flagstones' and replacement with a residential development comprising up to 7 dwellings",,,7,7,,Outside LBD/AONB/Potential contamination,,2019-12-13,2019-12-13,,18/00597/OUT,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0051,,24 Church Road Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558248,139459,0.069558933,not owned by a public authority,Yes,permissioned,full planning permission,2019-03-01,"16/05883/FULL (Approved), 16/07267/FULL (Approved)",,6,Demolition of existing garage; construction of a first-floor roof extension to the approved dwelling house; conversion of the approved dwelling house into 4 no. 2 bedroom apartments and the construction of 3 no. dwelling houses on land to the rear.,,,6,6,,LBD/CA/Listed Buildings close by/Town Centre Boundary/Central Access Zone Residential and Commercial,,2019-12-13,2019-12-13,,18/03978/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0052,,Speeds Farm Farnham Lane Langton Green Tunbridge Wells Kent TN3 0JT,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,555042,139628,0.750819087,not owned by a public authority,Yes,permissioned,full planning permission,2019-12-13,18/01098/FULL (Approved),,8,Redevelopment of site to provide 8 dwellings including alterations to site access and realignment of access road,,,8,8,,"Outside,adjoining LBD/MGB/Ancient Woodland to NW/AONB close by",,2019-12-13,2019-12-13,,19/02535/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0053,,Broadwater House 46 Broadwater Down Royal Tunbridge Wells Kent TN2 5PE,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,557139,137676,0.371052086,not owned by a public authority,Yes,permissioned,full planning permission,2019-02-14,,,9,"Demolition of single-storey and part two-storey parts of building, extension and refurbishment of existing 5-flat Victorian house to provide an additional 9 flats (resulting in a total of 14 units)  including restoration of period features and rearrangement of internal layout, additional car parking and changes to landscaping.",,,9,9,,LBD/CA/Arcadian Area/Area of Landscape Importance/TPOs,,2019-12-13,2019-12-13,,18/02773/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0054,,First Church Of Christ Scientist Linden Park Road Royal Tunbridge Wells Kent TN2 5QL,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558063,138621,0.06066547,not owned by a public authority,Yes,permissioned,full planning permission,2018-07-12,19/00810/FULL (Approved),,9,Demolition of the redundant church and erection of a 6 storey apartment block consisting of 5 floors of apartments (nine new dwellings in total) and 1 floor to be used as undercroft parking and new access from Linden Park Road,,,9,9,,LBD/CA/Listed Buildings on Pantiles close by,,2019-12-13,2019-12-13,,18/01134/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0055,,"High Brooms Working Mens Club & Institute High Brooms Road Southborough Royal Tunbridge Wells Kent, TN4 9BE",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,559280,141335,0.15571776,not owned by a public authority,Yes,permissioned,full planning permission,2018-12-10,,,9,Part demolition and part retention and refurbishment of existing Club building along with the erection of a separate three storey building to provide 9 flats.,,,9,9,,LBD/Potential contamination,,2019-12-13,2019-12-13,,18/03303/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0056,,Auto Bavaria North Side North Farm Road Royal Tunbridge Wells Kent TN2 3DH,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,559421,141517,0.061826717,not owned by a public authority,Yes,permissioned,full planning permission,2019-02-06,,,9,Redevelopment of site to provide building containing office floorspace and 9 apartments with ancillary parking (re-submission of scheme),Part B1 use,,9,9,,LBD/Potential contamination/within 250m of landfill/quarry,,2019-12-13,2019-12-13,,18/01649/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0057,,Calverley House 55 Calverley Road Royal Tunbridge Wells TN1 2TU,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558694,139615,0.216620013,not owned by a public authority,Yes,permissioned,full planning permission,2018-08-31,"18/02408/PNOCLA (Granted), 18/00479/PNOCLA (Granted), 17/02345/PNOCLA (Granted), 16/06195/PNOCLA (Granted)",,9,"Change of use of existing fourth floor from office space to residential use including reconstruction and rooftop reconfiguration; erection of new recessed 5th floor to provide 9 units, and associated alterations and design improvements to the fenestration/elevations. Construction of a steel structure walkway and glass canopy for residential access (already approved through Planning Permission 18/01053/FULL)",,,9,9,,LBD/CA/Listed Buildings Close by/Town Centre Boundary/Central access Zone Commercial and Residential,,2019-12-13,2019-12-13,,18/02102/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0058,,Multi Storey Car Park Garden Street Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558746,139671,0.097856887,not owned by a public authority,Yes,permissioned,full planning permission,2018-09-27,17/02182/FULL (Refused),,18,Demolition of existing multi-storey car park; Redevelopment of site with 18 apartments together with associated amenity space and car club facility and replacement trees,,,18,18,,LBD/CA/Central Access Zone Commercial and Residential,,2019-12-13,2019-12-13,,18/00052/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0059,,Sturgeons 32 - 34 Henwood Green Road Pembury Tunbridge Wells Kent TN2 4LG,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,563157,140658,0.458542973,not owned by a public authority,Yes,permissioned,full planning permission,2019-01-18,,,19,Demolition of existing buildings and change of use of site to residential comprising 12 No. houses and 7 No. apartments,,,19,19,,Mainly LBD/Part MGB/AONB adjoins eastern boundary/Potential contamination/Listed Buildings close by/within Aquifer Protection Zone,,2019-12-13,2019-12-13,,17/00756/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0060,,Brook House Cranbrook Road Hawkhurst Cranbrook Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,575852,130994,0.667661667,not owned by a public authority,Yes,permissioned,full planning permission,2018-09-11,18/03385/OUT (Refused),,25,"Outline (Access not reserved) - Demolition of existing building and erection of 25 apartments with affordable housing, parking provision, new highway access and other ancillary works",,,25,25,,LBD/AONB/Area of Landscape Importance in southern section/TPOs/Biodiversity Opportunity Area,,2019-12-13,2019-12-13,,17/03780/OUT,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0061,,Calverley House 55 Calverley Road Royal Tunbridge Wells Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,558694,139615,0.216620013,not owned by a public authority,Yes,permissioned,full planning permission,2018-04-04,"18/02102/FULL (Approved), 18/02408/PNOCLA (Granted), 17/02345/PNOCLA (Granted), 16/06195/PNOCLA (Granted)",,85,Notification for Prior Approval for a Proposed Change of use of a Building from Office use (Class B1(a)) to Dwellinghouses (Class C3) To create 85 residential units,,,85,85,,LBD/CA/Listed Buildings close by/Town Centre Boundary/Central Access Zone Residential and Commercial,,2019-12-13,2019-12-13,,18/00479/PNOCLA,Extant
