OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR011,,"Merstham Library, Weldon Way, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3827/rbbcblr011,OSGB36,529472.00,152743.00,0.26,Owned by a public authority,No,Not permissioned,,,,6,,,6,,,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings unless it can be satisfied that there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The library has recently closed following the re-location to the new Community Hub. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use development including housing and community/ faith facilities (RED5). 
The site is partially affected by flood risk (Zone 2 and 3).",31/12/17,,M12
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR012,,"Former Oakley Centre, Radstock Way, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3821/rbbcblr012,OSGB36,530403.00,153030.00,0.58,Owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,,,10,,,"Borough Local Plan Policy Cf1 resists the loss of community buildings unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality and no other community facility or service can make use of the premises or site. 
The Oakley Centre has been closed for a number of years. 
A new community hub has recently opened in Merstham. 
During the course of the recent planning permission (15/02200/F) which was refused for other reasons, the loss of community uses was established. The site has been identified, as part of a wider site, for housing development in the Regulation 19 Development Management Plan (RED6).",31/12/17,,M13
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR013,,"Oakley Farm, 143 Bletchingley Road, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3835/rbbcblr013,OSGB36,530364.00,152802.00,0.67,Not owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000AAPMVLI000,13,,,13,,,"The site has been identified, as part of a wider site, as a Sustainable Urban Extension (ERM5) in the Regulation 19 Development Management Plan. 
Upon adoption, its delivery will be subject to phasing policy (MLS1).",31/12/17,,M14
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR014,,"Bellway House, Station Road North, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3838/rbbcblr014,OSGB36,529041.00,153423.00,0.03,Not owned by a public authority.,Yes,Permissioned,Prior Approval,25/09/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,15,Notification of proposed change of use of class B1(a) office to class C3 (dwellings houses) consisting of 15 flats.,,,,,"The site has been identified, as part of a wider site (RED2), in the Development Management Plan for housing development.",31/12/17,,M15
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR015,,"Portland Drive, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3845/rbbcblr015,OSGB36,529493.00,152958.00,0.95,Not owned by a public authority.,Yes,Permissioned,Full planning,21/03/14,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,48,"Demolition of existing 2-48 (retail) & 50-132 (residential) Portland Drive and associated garages and erection of 48 1, 2 and 3 bed dwellings.",,,,,,31/12/17,,M19
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR016,,"Church of the Epiphany, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3836/rbbcblr016,OSGB36,529758.00,153080.00,0.32,Not owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,,,10,,,"Borough Local Plan Policy Cf1 resists the loss of community uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The church has been closed for a number of years. 
There are a number of Anglican churches within the immediate locality.  
The site has been identified in the Regulation 19 Development Management Plan for housing development (RED4).",31/12/17,,M22
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR017,,"23-27 Endsleigh Road, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3834/rbbcblr017,OSGB36,529252.00,152633.00,0.33,Not owned by a public authority.,Yes,Permissioned,Prior Approval,31/08/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Change of use from B1(a) offices to 6 residential flats.,,,,,,31/12/17,,M23
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR018,,"Elgar Works, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3833/rbbcblr018,OSGB36,529101.00,152547.00,0.42,Not owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,,,14,,,,31/12/17,,M27
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR019,,"Redhill Railway Station, Princess Way, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3847/rbbcblr019,OSGB36,528111.00,150596.00,0.90,Not owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,,,150,,,The site previously had planning permission for mixed-use housing and retail development. This permission (13/00848/F) has since lapsed.,31/12/17,,RE01
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR020,,"Land at Marketfield Way/ High Street, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3848/rbbcblr020,OSGB36,528011.00,150525.00,0.65,Mixed,Yes,Permissioned,Full planning,20/01/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,"Demolition of existing buildings and redevelopment to provide new multi-screen cinema and flexible retail, restaurant and café units at ground and first floor level and residential.","7,141sqm A1/A3/D2",,,,,31/12/17,,RE02
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR021,,"Colebrook Centre, Noke Drive, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3844/rbbcblr021,OSGB36,528349.73,150720.60,1.30,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,110,,The site would be most suited to deliver a range of housing and community uses.,110,,,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings or uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The site has been identified in the Regulation 19 Development Management Plan (RTC4) for mixed-use housing (potentially housing for older people) and community use.  
The site is situated in a highly accessible location, in close proximity to Redhill town centre and adjacent to the rail station. 
The site provides an opportunity for intensification of an existing previously developed site. 
The site is partially affected by Flood Zones 2 and 3a and there are a number of protected trees on the site.",31/12/17,,RE04
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR022,,"Reading Arch Road Industrial Estate, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3832/rbbcblr022,OSGB36,527946.00,150246.00,1.75,Mixed,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,,The site would be most suited to delivering mixed-use development including bulky goods retail and residential.,150,,,"Borough Local Plan (2005) policy EM1A resists the loss of employment uses within areas identified for employment. 
The site in its current state is not considered to provide a fitting approach to the town centre gateway along the important approach route. 
The site also does not currently maximise the sites capacity potential. 
Redevelopment of the site would need to secure the relocation of the active uses to suitable alternative premises elsewhere in the Borough. 

The site has been identified in the Regulation 19 Development Management Plan for mixed-use development.   
Development of the site for retail uses would be dependent upon a full assessment of the impact on the town centre.  
The site partially falls within Flood Zones 2 and 3. 
The Redhill Brook is partially culverted under the site.",31/12/17,,RE05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR023,,"Former Liquid & Envy, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3840/rbbcblr023,OSGB36,528070.00,150534.00,0.29,Not owned by a public authority.,Yes,Permissioned,Full planning,18/08/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,133,Planning permission for the development of up to 133 apartments.,,,,,,31/12/17,,RE06
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR024,,"Former Copyhold Works, Nutfield Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3841/rbbcblr024,OSGB36,528811.00,150392.00,1.68,Not owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,35,,,35,,,"The site has been identified, as part of a wider site, as a  Sustainable Urban Extension (ERM 2/3) in the Regulation 19 Development Management Plan. 
Upon adoption, its delivery will be subject to phasing policy (MLS1).",31/12/17,,RE20
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR025,,"Quarryside Business Park, Thornton Side, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3852/rbbcblr025,OSGB36,528946.00,152057.00,1.20,Not owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,60,,The site would be most suitable for delivering mixed-use residential and community development.,60,,,"Borough Local Plan Policy (2005) Em1a resists the loss of employment uses. 
The site has been identified for residential development in the Land at Holmethorpe Development Brief (2001). 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use residential and community development (RED1).
Provision of community services would be dependent upon demand.   
The site is partially affected by surface water flooding.",31/12/17,,RE21
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR026,,"26-28 Station Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3849/rbbcblr026,OSGB36,528003.00,150600.00,0.26,Not owned by a public authority.,Yes,Permissioned,Full planning,06/08/14,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,Change of use from office to residential plus five storey extension providing residential accommodation.,,,,,,31/12/17,,RE26
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR027,,"Patteson Court, Nutfield Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3842/rbbcblr027,OSGB36,529383.03,150303.39,0.40,Not owned by a public authority.,Yes,Permissioned,Prior Approval,24/05/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,Change of use from offices (B1(A)) to 10 residential dwelling houses (C3).,,,,,,31/12/17,,RE28
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR028,,"126 London Road, 2-10 Claremont Road and 1-11 Ranmore Close, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3837/rbbcblr028,OSGB36,528167.00,151850.00,0.52,Not owned by a public authority.,Yes,Permissioned,Full planning,12/08/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,34,Demolition of existing Ranmore House and 16 bungalows and erection of 34 new dwellings.,,,,,,31/12/17,,RE29
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR029,,"Furness House, Brighton Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3843/rbbcblr029,OSGB36,527786.00,150037.00,0.30,Not owned by a public authority.,Yes,Permissioned,Prior Approval,28/09/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,72,"Change of use from B1(A) to C3 (dwelling house). 
It is proposed that 72 residential units will be created on ground, first, second and third floors.",,,,,,31/12/17,,RE32
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR030,,"Oakdene House, Oakdene Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3839/rbbcblr030,OSGB36,527658.00,150360.00,0.03,Not owned by a public authority.,Yes,Permissioned,Full planning,30/11/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Three storey side extension and conversion of property into five self-contained flats.,,,,,,31/12/17,,RE52
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR031,,"49 Ladbroke Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3850/rbbcblr031,OSGB36,528127.00,150827.00,0.04,Not owned by a public authority.,Yes,Permissioned,Full planning,22/06/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Demolition of the existing detached garage and single storey rear extension. Conversion of existing dwelling to provide 5 flats.,,,,,,31/12/17,,RE53
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR032,,"Land at Cromwell Road/ Sincotts Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3846/rbbcblr032,OSGB36,527851.00,150469.00,0.08,Owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,32,,The site would be most suitable for delivering mixed-use development with retail/ commercial/ leisure uses on the ground floor.,32,,,"The site forms part of the secondary shopping frontage and secondary shopping area. 
Borough Local Plan (2005) policy Sh7 resists the loss of retail uses.
Borough Local Plan (2005) policy Cf1 resists the loss of community uses. 
The current units are in a poor condition. 
There are a number of long-term vacant units within the frontage. 
The existing quality of the retail frontage does not provide an appropriate gateway into the town centre. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use development with retail/ commercial/ leisure uses on the ground floor (RTC2). 
The site is partially affected by surface water flooding.",31/12/17,,RW01
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR033,,"Land at Gloucester Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3851/rbbcblr033,OSGB36,527888.00,150958.00,0.76,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,60,,"The site would be most suitable for delivering higher density units (flats), potentially as part of a mixed-use scheme including office accommodation.",60,,,"The site has been identified in the Regulation 19 Development Management Plan for residential development, potentially as part of a mixed-use scheme with office accommodation (RTC6).  
The Core Strategy identifies the need to provide employment accommodation within Redhill town centre. 
The site is partially affected by surface water flooding. 
Loss of town centre car parking capacity would need to be fully assessed and retained or re-provided.",31/12/17,,RW02
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR034,,"Former Longmead Adult Education Centre, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3831/rbbcblr034,OSGB36,527725.00,150494.00,0.22,Owned by a public authority,No,Not permissioned,,,,20,,,20,,,"Borough Local Plan Policy (2005) Cf1 resists the loss of community uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The site has been vacant for a number of years. 
The site provides the opportunity for intensification of an existing previously developed site. 
The site has been identified in the Regulation 19 Development Management Plan for residential development (RTC5). 
The site is largely affected by surface water flooding.",31/12/17,,RW03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR035,,"Grosvenor House, London Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3856/rbbcblr035,OSGB36,527981.00,151053.00,0.45,Not owned by a public authority.,Yes,Permissioned,Full planning,10/08/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,100,The proposal relates to the change of use from offices to residential apartments.,,,,,,31/12/17,,RW39
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR036,,"Prospect Housing Association, 5 Gloucester Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3873/rbbcblr036,OSGB36,527826.00,150855.00,0.40,Not owned by a public authority.,Yes,Permissioned,Full planning,08/09/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,9,"Redevelopment of the site and premises to accommodate a development of 9 no.1-bedroom apartments in 2 residential blocks with a common room, staff room and staff bedroom as supported accommodation for young people and adults with learning difficulties.",,,,,,31/12/17,,RW41
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR037,,"City Space Filestores, Lesbourne Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3857/rbbcblr037,OSGB36,525724.00,149841.00,0.04,Not owned by a public authority.,Yes,Permissioned,Prior Approval,11/08/15,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Proposed change of use from storage to residential.,,,,,,31/12/17,,MSJ04
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR038,,"Bourne House, Lesbourne Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3854/rbbcblr038,OSGB36,525707.00,149831.00,0.03,Not owned by a public authority.,Yes,Permissioned,Prior Approval,25/01/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,13,Change of use from offices (class B1(A)) to living accommodation (class C3).,,,,,,31/12/17,,MSJ05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR039,,"Garages Arbutus Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3859/rbbcblr039,OSGB36,526479.00,149012.00,0.20,Not owned by a public authority.,Yes,Permissioned,Full planning,27/10/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,"Demolition of 40 garages for the construction of 7 two storey houses, 3 houses in a terrace and 4 houses as pairs of semi-detached.",,,,,,31/12/17,,MSJ06
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR040,,"Group House, Albion Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3861/rbbcblr040,OSGB36,526036.00,149824.00,0.07,Not owned by a public authority.,Yes,Permissioned,Full planning,02/03/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,8,"Demolition of existing building and erection of 2 storey building, with accommodation in the roof space, containing 8 2-bedroom flats.",,,,,,31/12/17,,MSJ19
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR041,,"Land at 50-52, Unit 54 and 61 Albert Road North, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3876/rbbcblr041,OSGB36,524605.00,150911.00,1.27,Not owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,40,,The site would be most suitable for mixed-use development including housing and employment uses.,40,,,"Borough Local Plan (2005) policy EM1a resists the loss of employment uses within designated employment areas. 
The site has been identified in the Regulation 19 Development Management Plan as there is conflict between the more intensive industrial uses on the site and the surrounding residential area. 
The site has been identified in the Regulation 19 Development Management Plan as part of a wider site for mixed-use redevelopment including employment and residential uses (REI3). 
The site is partially affected by surface water flooding risk.",31/12/17,,RC03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR042,,"51-57 Albert Road North, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3868/rbbcblr042,OSGB36,524649.00,150801.00,0.59,Not owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,20,,The site would be most suitable for mixed-use development including housing and employment uses.,20,,,"Borough Local Plan (2005) policy EM1a resists the loss of employment uses within designated employment areas. 
The site has been identified in the Regulation 19 Development Management Plan as there is conflict between the more intensive industrial uses on the site and the surrounding residential area. 
The site has been identified in the Regulation 19 Development Management Plan as part of a wider site for mixed-use redevelopment including employment and residential uses (REI3). 
The site is partially affected by surface water flooding risk.",31/12/17,,RC04
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR043,,"Surrey Police Headquarters, Reigate Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3875/rbbcblr043,OSGB36,526643.00,150197.00,0.57,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,25,,,25,,,Availability of the site for housing development will be dependent upon an alternative location for a police station being found. The landowner has indicated that this will be likely in the next 5-10 years.,31/12/17,,RC06
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR044,,"Former Priory Stables, Park Lane, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3864/rbbcblr044,OSGB36,524969.00,150089.00,0.09,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,,,5,,,,31/12/17,,RC15
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR045,,"Town Hall, Castlefield Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3869/rbbcblr045,OSGB36,525393.61,150426.18,0.25,Owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,23,,The site would be most suited to delivering a mixed-use scheme including offices and residential.,23,,,"The site has been identified in the Regulation 19 Development Management Plan for housing or office development (REI2). The site is within the Reigate Town Centre Conservation Area. 
The site is adjacent to the Grade II Listed Town Hall, Scheduled Monument, Regionally Important Geological Site and Urban Open Space designation.",31/12/17,,RC22
