OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00019,,"""Office Building, Linton Spring, Sicklinghall Road, Wetherby""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00019,ETRS89,-1.4251052,53.928706,0.44,not owned by a public authority,yes,permissioned,full planning permission,25/01/2018,,,7,"Change of use, alterations and single storey extension of offices to form three townhouses and four flats",,,7,7,,,,01/02/2019,01/02/2019,70,437847,448217
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00212,,"""Portland Crescent LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00212,ETRS89,-1.5475959,53.80311,0.92,mixed ownership,,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,01/02/2019,454,429893,434185
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00026,,"""St Vincents School, 27 Church Street, Boston Spa""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00026,ETRS89,-1.3495808,53.903325,0.54,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,13,,,,11/07/2016,01/02/2019,90,442832,445436
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00028,,"""Meanwood Road Working Mens Club Meanwood Road Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00028,ETRS89,-1.5655592,53.829467,0.47,not owned by a public authority,yes,permissioned,full planning permission,09/03/2017,,,54,Demolition of existing working mens club; residential development 54No. units and replacement working mens club,,,54,54,,,,11/07/2016,01/02/2019,97,428692,437110
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00039,,"""77 - 79 Aberford Road Oulton Leeds LS26 8HS""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00039,ETRS89,-1.4482483,53.752173,1.33,not owned by a public authority,,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,01/02/2019,130,436480,428564
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00042,,"""Site At Alma Villas, Woodlesford, Leeds, LS26 8PW""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00042,ETRS89,-1.447677,53.759891,0.73,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,12,,,,19/12/2017,01/02/2019,136,436511,429423
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00044,,"""Tingley Mills Tingley Common Morley Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00044,ETRS89,-1.5939307,53.736081,0.99,not owned by a public authority,,not permissioned,,,,,100,,,,100,100,,,,11/07/2016,01/02/2019,141,426884,426709
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00045,,"""Site Of Glenoit And Minerva Mills Aberford Road Oulton""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00045,ETRS89,-1.4385573,53.756747,2.32,not owned by a public authority,yes,not permissioned,,,,,70,,,,70,70,,,,11/07/2016,01/02/2019,143,437115,429078
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00049,,"""Salvation Army, 139 Broad Lane, Bramley, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00049,ETRS89,-1.6197665,53.814614,1.09,not owned by a public authority,yes,permissioned,full planning permission,25/03/2015,,,28,"Change of use and extensions to hostel to form 29 self contained flats, detached blocks of 31 new flats and 23 new houses; laying out of access road and associated parking and landscaping",,,28,28,,,,11/07/2016,01/02/2019,163,425133,435437
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00052,,"""University Of Leeds Tetley Hall 40-42 Moor Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00052,ETRS89,-1.5782757,53.826465,2.56,not owned by a public authority,yes,permissioned,full planning permission,02/08/2012,,,55,"Redevelopment of former halls of residence site comprising 4 storey residential care home, 3 blocks of 54 flats, 2 blocks of 14 townhouses, conversion of stables to detached house, with landscaping and public open space",,,55,55,,,,11/07/2016,01/02/2019,174,427857,436771
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00055,,"""Brookfield Nursing Home, Swaine Hill Terrace, Yeadon""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00055,ETRS89,-1.6941637,53.867918,0.42,not owned by a public authority,,not permissioned,,,,,7,,,,7,7,,,,11/07/2016,01/02/2019,180,420209,441344
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00057,,"""19 Springfield Mount Woodhouse Leeds LS2 9ng""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00057,ETRS89,-1.5585589,53.804517,0.14,not owned by a public authority,yes,not permissioned,,,,,7,,,,7,7,,,,11/07/2016,01/02/2019,182,429170,434337
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00060,,"""Westgate - Brotherton House LS1 2RS""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00060,ETRS89,-1.5547157,53.798931,0.27,mixed ownership,,not permissioned,,,,,63,,,,63,63,,,,19/12/2017,01/02/2019,187,429427,433717
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00061,,"""St Marks Flats St Marks Walk Woodhouse Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00061,ETRS89,-1.5551439,53.81156,1.08,not owned by a public authority,yes,permissioned,full planning permission,26/10/2010,,,28,"Demolition of existing student flats and erect replacement multi storey student accommodation, comprising 2, 3, 4, 5, and 6 storeys, with  526 student bed spaces, warden accommodation, an energy centre  and central reception building with  landscaping, amenity spaces and car parking areas.",,,28,28,,,,11/07/2016,01/02/2019,188,429390,435122
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00064,,"""Land At Bridge Street, Gower Street, Regent Street""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00064,ETRS89,-1.5348394,53.800554,0.91,not owned by a public authority,yes,permissioned,full planning permission,27/05/2011,,,636,"Erection of four buildings varying in height from 23 to 40 storeys over two podiums incorporating  636 residential units (Class C3); 99 serviced apartments (Class C1); 108 long-stay hotel apartments (Class C1); 204 bedroom hotel (C1); 4347sqm. retail (Class A1); 3427sqm. health spa, gymnasium and swimming pool (Classes D1/D2); 2524sqm. landscaping and public open space; 635 car parking spaces over 3 basement levels; related access and serviced facilities.",,,636,636,,,,11/07/2016,01/02/2019,197,430735,433906
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00065,,"""Land at Kirkstall Road and land off Wellington Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00065,ETRS89,-1.5654966,53.79879,2.08,not owned by a public authority,yes,permissioned,reserved matters approval,02/08/2018,,,1010,"Reserved Matters for appearance, layout, landscaping and scale of the mixed use development comprising residential (C3/C4), student accommodation (C3/C4), A1-A5, B1, D1 and D2 units, public open space, landscaping, pedestrian river bridge, alterations to site access and highway improvements as approved under outline planning permission 15/06844/OT",,,1010,1010,,,,11/07/2016,01/02/2019,198,428717,433697
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00068,,"""Midland Mills, Silver Street, Leeds, LS11 9yw""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00068,ETRS89,-1.5561396,53.790613,0.37,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,01/02/2019,202,429339,432791
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00071,,"""Granary Wharf Car Park, Off Water Lane, Leeds, LS11 5ps""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00071,ETRS89,-1.5512625,53.792464,0.40,not owned by a public authority,yes,permissioned,full planning permission,21/11/2017,,,250,"Mixed use development across three buildings, comprising residential apartments (use class C3), flexible office (use class B1),  restaurants and cafés  (use class A3), clinics and health centres (use class D1), drinking establishments (use class A4),  undercroft parking and associated landscaping.",,,250,250,,,,11/07/2016,01/02/2019,205,429659,432999
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00072,,"""Adjacent To Rose Wharf, 78 East Street, Leeds, LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00072,ETRS89,-1.527376,53.790512,0.46,not owned by a public authority,yes,not permissioned,,,,,72,,,,72,72,,,,19/12/2017,01/02/2019,206,431234,432792
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00073,,"""Lowfold, East Street, Leeds, LS9 8""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00073,ETRS89,-1.52548,53.78904,2.82,mixed ownership,yes,permissioned,full planning permission,29/06/2018,,,312,Variation of condition 2 (approved plans) of approval 15/00415/FU to amend the approved drawings to reflect layout and design changes including an increase in units to 316 from 312 dwellings,,,312,312,,,,11/07/2016,01/02/2019,207,431360,432629
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00074,,"""Land Between Mabgate, Macaulay Street, Argyll Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00074,ETRS89,-1.5303161,53.801804,1.18,not owned by a public authority,,permissioned,reserved matters approval,05/10/2017,,,428,Reserved Matters application for approval of appearance for Blocks B and D of multi-level mixed use development pursuant to outline planning permission 12/04953/EXT,,,428,428,,,,11/07/2016,01/02/2019,208,431032,434047
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00078,,"""79 Clarence Road, Hunslet, Leeds, LS10 1lw""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00078,ETRS89,-1.5297867,53.789407,0.17,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,01/02/2019,215,431076,432668
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00083,,"""Westbank, Water Lane, Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00083,ETRS89,-1.5496661,53.791272,2.20,not owned by a public authority,,not permissioned,,,,,288,,,,288,288,,,,11/07/2016,01/02/2019,225,429765,432867
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00084,,"""46 Burley Street Burley Leeds LS3 1dh""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00084,ETRS89,-1.5622586,53.800648,0.14,not owned by a public authority,yes,permissioned,full planning permission,10/03/2017,,,87,"Student residential accommodation building comprising 87 studio flats, including ancillary communal facilities and retail unit, associated landscaping and car parking",,,87,87,,,,11/07/2016,01/02/2019,226,428929,433905
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00086,,"""Evans Halshaw, Hunslet Road, Hunslet, Leeds, LS10 1ld""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00086,ETRS89,-1.5347541,53.789049,2.42,not owned by a public authority,yes,not permissioned,,,,,978,,,,978,978,,,,11/07/2016,01/02/2019,228,430749,432626
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00088,,"""Leeds International Swimming Pool Westgate Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00088,ETRS89,-1.5558468,53.798216,1.32,owned by a public authority,,not permissioned,,,,,209,,,,209,209,,,,11/07/2016,01/02/2019,230,429353,433637
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00092,,"""Land At Clarence Road Horsforth Leeds LS18 4lb""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00092,ETRS89,-1.6402888,53.830181,0.71,not owned by a public authority,yes,permissioned,full planning permission,10/11/2017,,,8,"Demolish extensions, shed and garages at Low Wood and Four Gables; erection of eight dwellings with associated landscaping and parking",,,8,8,,,,11/07/2016,01/02/2019,235,423773,437162
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00111,,"""Miles Hill Primary School, Beckhill Approach""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00111,ETRS89,-1.5570127,53.82877,2.63,owned by a public authority,yes,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,01/02/2019,262,429255,437036
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00112,,"""Hill Top Public House, Beckhill Grove""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00112,ETRS89,-1.5535215,53.825612,0.49,owned by a public authority,yes,permissioned,full planning permission,12/03/2018,,,14,"Residential development of 28 houses and 2 bungalows, including access works and greenspace improvements",,,14,14,,,,11/07/2016,01/02/2019,263,429487,436686
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00114,,"""Ash Tree Primary School, Leeds Road, Kippax""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00114,ETRS89,-1.3711176,53.768358,0.55,owned by a public authority,yes,not permissioned,,,,,22,,,,22,22,,,,11/07/2016,01/02/2019,265,441550,430407
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00116,,"""Wykebridge Depot, Killingbeck Bridge, LS14""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00116,ETRS89,-1.4817049,53.802565,0.64,not owned by a public authority,yes,not permissioned,,,,,25,,,,25,25,,,,11/07/2016,01/02/2019,267,434233,434154
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00121,,"""Compton Arms, Compton Road, Burmantofts, Leeds, LS9 7b""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00121,ETRS89,-1.5110012,53.808486,0.45,not owned by a public authority,yes,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,01/02/2019,278,432299,434799
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00122,,"""St Marys Church And Presbytery Church Road Richmond Hill""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00122,ETRS89,-1.5260468,53.793967,0.78,not owned by a public authority,yes,not permissioned,,,,,171,,,,171,171,,,,11/07/2016,01/02/2019,279,431319,433177
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00123,,"""Radial Park, Phase One Manston Lane Cross Gates""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00123,ETRS89,-1.4397897,53.80661,3.98,not owned by a public authority,yes,permissioned,reserved matters approval,02/12/2011,,,22,Reserved Matters Application for 129 houses and 19 flats,,,22,22,,,,11/07/2016,01/02/2019,281,436990,434625
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00124,,"""Manston Lane""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00124,ETRS89,-1.4365554,53.808869,6.30,not owned by a public authority,yes,permissioned,reserved matters approval,20/06/2013,,,43,"Reserved matters application for 177 houses, one block of 9 apartments and one block 6 apartments including associated landscaping",,,43,43,,,,11/07/2016,01/02/2019,282,437201,434878
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00130,,"""Upper Accomodation Road, LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00130,ETRS89,-1.5239395,53.795064,0.41,not owned by a public authority,yes,not permissioned,,,,,26,,,,26,26,,,,11/07/2016,01/02/2019,301,431457,433300
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00136,,"""Barnsdale Road, Allerton Bywater""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00136,ETRS89,-1.3576993,53.744936,1.80,not owned by a public authority,yes,not permissioned,,,,,55,,,,55,55,,,,11/07/2016,01/02/2019,310,442458,427809
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00137,,"""Westgate, Otley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00137,ETRS89,-1.6957981,53.904674,0.74,mixed ownership,,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,01/02/2019,313,420084,445433
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00141,,"""Ashfield Works, Westgate, Otley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00141,ETRS89,-1.6970548,53.905584,1.86,owned by a public authority,,not permissioned,,,,,50,,,,50,50,,,,11/07/2016,01/02/2019,320,420001,445534
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00142,,"""South Accommodation Road And Atkinson Street Leeds""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00142,ETRS89,-1.525757,53.786012,1.18,not owned by a public authority,,not permissioned,,,,,35,,,,35,35,,,,19/12/2017,01/02/2019,331,431344,432292
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00143,,"""Off Whitehall Road Drighlington BD11 1bx""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00143,ETRS89,-1.668718,53.752786,1.58,not owned by a public authority,,not permissioned,,,,,49,,,,49,49,,,,11/07/2016,01/02/2019,333,421942,428542
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00147,,"""Former Motor Dealers Premises Church Street Hunslet""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00147,ETRS89,-1.5319562,53.777219,1.29,not owned by a public authority,,not permissioned,,,,,23,,,,23,23,,,,11/07/2016,01/02/2019,340,430942,431311
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00148,,"""Jubilee Works, Old Lane, Beeston""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00148,ETRS89,-1.5651237,53.768778,1.23,not owned by a public authority,yes,not permissioned,,,,,44,,,,44,44,,,,11/07/2016,01/02/2019,341,428762,430358
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00157,,"""Ring Road West Park, Silk Mill Way And Iveson Drive""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00157,ETRS89,-1.6138799,53.840381,24.38,mixed ownership,yes,permissioned,outline planning permission,22/09/2016,,,335,"Outline application (all matters reserved except for partial means of access to, but not within, the site) for circa 335 residential units and 149 sq m of ancillary retail (Class A1)",,,335,335,,,,11/07/2016,01/02/2019,376,425505,438306
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00163,,"""Beckhill Garth/Approach""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00163,ETRS89,-1.5586367,53.827482,2.70,owned by a public authority,yes,not permissioned,,,,,34,,,,34,34,,,,11/07/2016,01/02/2019,383,429149,436892
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00166,,"""36 The Calls LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00166,ETRS89,-1.5386381,53.794744,0.04,not owned by a public authority,,not permissioned,,,,,14,,,,14,14,,,,11/07/2016,01/02/2019,395,430489,433258
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00171,,"""Cropper Gate LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00171,ETRS89,-1.5586326,53.797498,0.22,mixed ownership,yes,permissioned,other,22/07/2011,,,272,"Extension of time planning application 20/207/05/FU (10-28 storey block-272 flats offices, A3 use and basement parking).",,,272,272,,,,11/07/2016,01/02/2019,402,429170,433556
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00174,,"""Tower Works, Globe Road LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00174,ETRS89,-1.552416,53.792478,1.13,not owned by a public authority,yes,permissioned,full planning permission,12/07/2016,,,160,"22Mixed use three-phased development of 160 dwellings (C3) with 29 car parking spaces; 11,808sqm of B1 offices; up to 366sqm of A1 retail; 1,495sqm of A2, A3, A4 or D1; and new public realm",,,160,160,,,,11/07/2016,01/02/2019,405,429583,433000
