OrganisationURI,OrganisationLabel,Site Reference,Last Updated Date,Previously Part Of,Site Name Address,Ward,Source,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PiP,Min Net Dwellings,Residential Development Description,Non Housing Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR12,,,"Small Halls York Rise, Orpington, BR6 8AD",Farnborough and Crofton,LP  Housing Trajectory/LP Site Allocation/CFS,Link to the site boundary of Small Halls York Rise Orpington associated with the Site Allocation in the Local Plan,ETRS89,51.37348597,0.086481679,0.46,Owned by the London Borough of Bromley,Yes,Not permissioned,,,Link to Temporary Planning Permission 16/02808/REG3 for Temporary use of site as public car park for 60 spaces (including 6 disabled bays) for up to 3 years,,35,The site is allocated for around 35 residential units in Bromley's Local Plan.,The site also has Temporary approval for use as a car park.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR13,,,"18-44 Homefield Rise Orpington, BR6 ORU",Orpington,LP  Housing Trajectory/LP  Site Allocation/CFS,Link to the site boundary of Homefield Rise Orpington associated with the Site Allocation in the Local Plan,ETRS89,51.37475659,0.101425519,0.75,Unknown Ownership,Yes,Not permissioned,,,None relevant.,,87,The site is allocated for around 100 units in Bromley's Local Plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR14,,,"6 Woodlands Road,  BR1 2AF, Bickley",Bickley,WS/LDD/PP,Link to the map of  6 Woodlands Road associated with Outline planning permission 1404512/OUT,ETRS89,51.40367828,0.045971807,0.89,Unknown Ownership,Yes,Permissioned,Hybrid Full/Outline planning permission with All Matters Reserved.,2015-03-02,Link to Hybrid Full Outline planning permission 1404512/Full for 6 Woodlands Road,,3,Proposed partial demolition of the existing building at 6 Woodlands Road and conversion into 3 dwellings. Demolition of outbuildings and erection of two detached dwellings.,"Also provision of detached garage, associated landscaping. parking/garaging and retention of existing access points.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR17,,,"42 Orchard Road,  BR1 2PS",Bickley,WS/LDD/PP,Link to the map of 42 Orchard Road associated with Full planning permission 17/01241/FULL1,ETRS89,51.40957602,0.034170679,0.17,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-08-07,Link to Full planning permission 17/01241/FULL1 for 42 Orchard Road,,8,"Proposal for the demolition of existing dwelling and erection of 8 flats (2x3 bed, 4x2 bed and 2x1 bed).",Associated parking and landscaping.Revised plans showing private amenity space with screening for ground floor units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR19,,,"Site of Former 41 Sunningvale Avenue, Sunningvale Close,  TN16 3BX",Biggin Hill,WS/LDD/PP,Link to the map of the Site of former 41 Sunningdale Avenue Sunningdale Close associated with planning permission 17/02081/FULL1,ETRS89,51.31729941,0.030059865,0.3,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-07-20,Link to Full planning permission for the Site of Former 41 Sunningvale Avenue Sunningvale Close reference 17/02081/FULL1,,8,Proposal for the erection of a total of 8 houses (comprising of 6x semi- detached  3 bedroom houses and 2x detached dwellings inc. one detached 3 bedroom house and one detached four bedroom house).,"Proposal for an associated access road, ancillary carparking and bin store to the northern end of Sunningvale Close.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR23,,,"7 Sandford Road, BR2 9AL",Bromley Town,WS/LDD/PP,Link to the map of 7 Sandford Road associated with Full planning permission16/04621/FULL1,ETRS89,51.39770278,0.017154833,,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-11-30,Link to Full planning permission 16/04621/FULL1 for 7 Sandford Road Bromley,,5,"Proposed elevational alterations, two storey rear extension and conversion of dwelling into 5 flats with accommodation in enlarged roof space",Proposed rear parking and ancillary development.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR25,,,"9 London Road,  BR1 1BY",Bromley Town,WS/LDD/PP,Link to the map of 9 London Road Bromley associated with Full planning permission 16/00859/FULL3,ETRS89,51.40801658,0.010922487,0.05,Unknown Ownership,Yes,Permissioned,Full Planning Permission Subject to Legal Agreement,2016-11-02,Link to Full planning permission 16/00859/FULL3 for 9 London Road Bromley,,6,"Proposal for change of use of first, second and third floors from offices to flats; alterations and extension to existing building to provide  six  one bed, two person flats.","Proposal for  alterations and extension to existing building to provide increased office space, excavation to provide basement office.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR26,,,"Upfield Hillbrow Road,  BR1 4JL",Bromley Town,WS/LDD/PP,Link to the map of Upfield Hillbrow Road associated with Full planning permission 16/04910/FULL1,ETRS89,51.41717487,0.000207456,0.1,Unknown Ownership,Yes,Permissioned,Full planning permission,2016-11-02,Link to Full planning permission 16/04910/FULL1 for Upfield Hillbrow Road Bromley,,6,Proposed redevelopment of the site to provide 6no. two bedroom apartments & 1 bedroom unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR29,,,"Hasells Nursery, Jackson Road,  BR2 8NS",Bromley Common and Keston,WS/LDD/PP,Link to the map of Hasells Nursery Jackson Road BR28NS associated with Full planning permission 16/05353/FULL1,ETRS89,51.37488756,0.049876478,0.7,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-08-10,Link to Full planning permission 16/05353/FULL1 for Hasells Nursery Jackson Road,,9,Proposal for the construction of 6 x 4 bedroom and 3 x 5 bedroom two storey detached houses.,"Demolition of existing commercial buildings and removal of existing parking/hardstanding, associated widening of the access road, car parking, landscaping, tree and orchard planting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,BLR30,,,"Ontario Centre, Helegan Close,  BR6 9XJ",Chelsfield and Pratts Bottom,WS/LDD/PP,Link to the map of Ontario Centre Helegan Close associated with Outline Planning Permission 16/05900/OUT,ETRS89,51.36478243,0.094964367,0.18,Unknown Ownership,Yes,Permissioned,Outline Planning Permission,2017-05-19,Link to Outline Planning Permission 16/05900/OUT for Ontario Centre 9 Helegan Close Orpington,,14,"Proposal for the erection of 8 dwellings comprising a row of 3 and a row of 5 terraced houses with car parking, vehicular access from Helegan Close","Associated proposal for carparking, vehicular access from Helegan Close and ancillary development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR31,,,"63-65 Chislehurst Road,  BR7 5NP",Chislehurst,WS/LDD/PP,Link to the map of 63-35 Chislehurst Road associated with Full planning application 16/01032/FULL1,ETRS89,51.40774043,0.055887687,0.035,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-09-14,Link to Full planning permission 16/01032/FULL1 for 63 - 65 Chislehurst Road Chislehurst,,5,Proposed two/four storey rear extension with accommodation in the roofspace with a total of five residential apartments.,"Proposal for the provision of an enlarged shop and stock room facilities, ancillary development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR33,,,"3 Beckenham Road,  BR3 4ES",Clock House,WS/LDD/PP,Link to the map of 3 Beckenham Road associated with Full planning permission 16/04145/FULL1,ETRS89,51.4070294,-0.032659557,0.10,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-12-22,Link to Full planning permission 16/04145/FULL1 for 3 Beckenham Road Beckenham,,8,Proposal for the construction of a part one and two storey upper level extension to provide an additional two storeys comprising 6 two bedroom and 2 one bedroom flats.,"Proposal for associated  parking, refuse and recycling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR37,,,"Beechers Court, High Street,  BR3 1AQ",Copers Cope,WS/LDD/PP,Link to the map of Beechers Court High Street Beckenham associated with Full planning permission 17/01348/FULL1,ETRS89,51.40679456,-0.027780867,0.030,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-05-26,Link to Full planning permission 17/01348/FULL1 for Beechers Court High Street Beckenham,,8,Proposal for the reconfiguration of first and second floors from 4x2 bedroom flats to form 8x1 bedroom flats (4 additional units).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR39,,,"28 Park Hill Road,  BR2 0LF",Copers Cope,WS/LDD/PP,Link to the map of 28 Park Hill Road Shortlands associated with Outline planning application 16/00218/OUT,ETRS89,51.4050238,-0.000754457,0.260,Unknown Ownership,Yes,Permissioned,Outline Planning Permission,2016-06-23,Link to Outline Planning Permission 16/00218/OUT for 28 Park Hill Road Shortlands Bromley allowed on Appeal (re: 16/00381/S78),,9,"Proposed erection of part 3 storey, part 4 storey building comprising 6 three bedroom and 3 two bedroom apartments,on land adjacent to No.28 Park Hill Road.","Proposal for associated  basement/lower ground floor vehicle and cycle parking, provision of bin store, access and associated landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR40,,,"Beck House 36a, Copers Cope Road,  BR3 1NH",Copers Cope,WS/LDD/PP,Link to the map of Beck House 36A Copers Cope Road Beckenham associated with planning application 16/02136/FULL1,ETRS89,51.41340283,-0.031436903,0.250,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-07-15,Link to Full Planning Permission 16/02136/FULL1 for Beck House 36A Copers Cope Road Beckenham BR31NH,,14,"Proposed construction of four storey rear extension, front extension and additional upper storey level extension to the existing building forming an additional 8 x 2-bedroom flats and 1 x 3 bedroom flat in connection with a revised flat layout in the existing building forming 4 x 2 bedroom flats and 1 x 3 bedroom duplex flat.","Proposal for the provision of front and rear parking, amenity space, cycle storage together with formation of new vehicular access and associated landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR41,,,"Conifer House, Southend Road , BR3 1SL",Copers Cope,WS/LDD/PP,Link to the Map of  Conifer House 44 Southend Road Beckenham associated with Planning Permission 16/02179/FULL1,ETRS89,51.41788353,-0.023017784,0.150,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-07-17,Link to Full Planning Permission 16/02179/FULL1 for Conifer House 44 Southend Road Beckenham,,18,"Proposal for the construction of four storey rear extensions, four storey front extensions and roof alterations to add an additional storey to the existing building forming an additional 9 flats (18 flats total) comprising one 1 bedroom, four 2 bedroom and three 3 bedroom flats within the extended sections of the building in connection with revised flat layouts in the existing building forming two 1 bedroom, six 2 bedroom and two 3 bedroom flats.","Associated provision of front, rear and flank parking with in/out access driveway, amenity space, balconies, refuse and cycle storage and associated landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR43,,,"122 Anerley Road,  SE20 8DL",Crystal Palace,WS/LDD/PP,Link to Map of 122 Anerley Road Penge London associated with Full planning permission 17/02975/FULL1,ETRS89,51.41522245,-0.071641046,0.036,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-04-21,Link to Full Planning Permission 17/02975/FULL1 for 122 Anerley Road Penge London,,7,Proposed demolition of existing building and construction of a mixed use part four and five storey building comprising a commercial unit (Use Class A1) at ground and lower ground level together with 4 one bedroom and 3 two bedroom flats .,Associated  commercial unit (Use Class A1) and lower ground (Class A1) and associated community spaces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR44,,,"69-71 Church Road,  SE19 2TA",Crystal Palace,WS/LDD/PP,Link to the map of 69-71 Church Road associated with Full planning permission 16/01297/FULL1,ETRS89,51.41779454,-0.080406629,0.090,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-10-17,Link to Full planning permission 16/01297/FULL1 for 69 - 71 Church Road Anerley,,7,"The demolition of the existing retail and rear residential units, and the building of a new taller infill structure reinstating rear residential unit, whilst introducing a new part 4, part 3, storey residential block incorporating 7 x self-contained flats, accommodating 2 x 3 bedroom, 3 x 1 bedroom and 2 x 2 bedroom flats with internal and external alterations and demolitions.",Part of mixed use scheme which includes the existing shop reinstated as part of redevelopment following demolition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR46,,,"Crystal Palace Park Crystal Palace Park Road, Thicket Road, Crystal Palace Parade, Anerley Hill, SE20 8DT",Crystal Palace,WS/LDD/PP,Link to the map of Crystal palace Park associated with Outline planning permission 07/03897/OUT,ETRS89,51.42091634,-0.067359812,1.973,Owned by the London Borough of Bromley,Yes Part,Permissioned,Part Outline Part Full Planning Permission,2010-12-14,Link to Outline Planning Permission 07/03897/OUT associated with Crystal Palace Park Thicket Road London,,180,Proposal for up to 180 residential dwellings on the Rockhill and Sydenham Gates sites.,Part of a comprehensive phased scheme for landscaping and improvement of Park comprising demolition of and alterations to existing buildings and structures including removal of existing hard surfaces; changes of use including of part of the caravan site to public open space and museum to park rangers base; erection of new buildings and structures for various uses including museum/ park maintenance facilities/ community facility/ information kiosk/ greenhouses/ retail kiosks/ cafes/ toilets/ classroom/ children's nursery/ treetop walk/ college; erection of new regional sports centre including indoor swimming pool; alterations to ground levels with new pedestrian paths/ vehicular access roads/ car park/ highway works/ water features together with associated and ancillary works/ plant and equipment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR47,,,"Warren Farm, Berrys Green Road,  TN16 3AJ",Darwin,WS/LDD/PP,Link to the map of Warren Farm Berrys Road associated with Outline Planning Permission 17/01895/FULL1,ETRS89,51.31107728,0.061381446,0.740,Unknown Ownership,Yes,Permissioned,Outline Planning Permission,2016-08-01,Link to Outline Planning Application 16/01961/OUT for Warren Farm Berrys Green Road Berrys Green Westerham,,,Proposed demolition of all existing buildings and erection of six detached dwellings.,Proposed reconfigured access road and dedicated parking spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR48,,,"39 Oregon Square,  BR6 8NH",Farnborough and Crofton,WS/LDD/PP,Link to the map of 39 Oregon Square Orpington  associated with Outline planning permission 16/00634/OUT,ETRS89,51.37441572,0.078190146,0.267,Unknown Ownership,Yes,Permissioned,,,Link to Outline planning permission 16/00634/OUT for 39 Oregon Square Orpington,,8,"Proposal for the demolition of Nos. 39 and 41 Oregon Square and retention of No 43, and erection of 8 dwellings comprising 3 pairs of semi-detached dwellings and 2 detached dwellings.",Associated access road and car parking (Outline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR49,,,"Lubbock House, 1 Northolme Rise,  BR6 9RF",Farnborough and Crofton,WS/LDD/PP,Link to the map associated with Full Planning Permission 16/04956/FULL1 for Lubbock House 1 Northolme Rise Orpington,ETRS89,51.3701222,0.084992758,0.137,Unknown Ownership,Yes,Permissioned,,,Link to Full Planning Permission 16/04956/FULL1 for Lubbock House 1 Northolme Rise Orpington,,-21,"Proposal for the demolition of existing building and construction of nine 2-storey 4-bedroomed dwellings with accommodation in the roof, within three terraces of three units each.",Associated access road and car parking (Outline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR51,,,"Eden Parade, Eden Road,  BR3 4AU",Kelsey and Eden Park,WS/LDD/PP,Link to the map for Eden Parade Eden Road Beckenham  associated with Full planning permission 17/01579/FULL1,ETRS89,51.39823943,-0.045328225,0.051,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-07-12,Link to Full planning application 17/01579/FULL1 for Eden Parade Eden Road Beckenham,,5,Proposal for the erection of 4 three bedroom and 1 one bedroom terraced houses over 2/3 storeys .,"Demolition of six lock-up units and garages , associated landscaping, parking and refuse stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR52,,,"Jacanda Lodge, North Drive,
BR3 3XQ",Kelsey and Eden Park,WS/LDD/PP,Link to the map of  Jacanda Lodge North Drive Beckenham associated with Full Planning Permission 16/01330/FULL1,ETRS89,51.39841756,-0.017905538,0.088,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2016-10-10,Link to Full Planning Permission 16/01330/FULL1 for Jacanda Lodge North Drive Beckenham,,7,Proposal for the demolition of two detached dwellinghouses and construction of a crescent terrace of 7 three storey four bedroom plus roof accommodation townhouses,"Associated basement car parking, refuse store and associated landscaping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
