OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/wyre-forest,BW/1,Churchfields Business Park Clensmore Street,Churchfields and Limekiln Bridge siteplan,-2.250029,52.392265,7.09,not owned by a public authority,permissioned,outline planning permission,2019-06-05,18/0285/OUTL,yes,231.0,241.0,,reserved matters application being drawn up to include conversion of 1902 building,2017-12-31,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,BW/2,Limekiln Bridge Clensmore Street,Churchfields and Limekiln Bridge siteplan,-2.252731,52.391827,1.164,mixed ownership,not permissioned,,,,yes,80.0,,,Allocated under KCA.Ch.6 for mix of residential and small scale A3 uses,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BW/3,Sladen School Hurcott Road,Sladen School siteplan,-2.241929,52.394385,0.709,owned by a public authority,not permissioned,,,,yes,20.0,20.0,,Allocated under KCA.Ch.4 for dwelling houses and residential institutions. Site now likely to be required for new special school,2017-12-31,2019-12-04,2019-12-01
http://opendatacommunities.org/id/district-council/wyre-forest,FPH/5,Ambulance Station Stourport Road,Ambulance station and Oasis siteplan,-2.261032,52.374171,0.21,owned by a public authority,not permissioned,,,,yes,12.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,FPH/10,British Sugar phase 2 Silverwoods Way,British Sugar phase 2 siteplan,-2.253219,52.371913,2.86,not owned by a public authority,permissioned,full planning permission,2019-04-30,18/0446/FULL,yes,58.0,70.0,,site under construction,2017-12-31,2017-12-31,2019-07-01
http://opendatacommunities.org/id/district-council/wyre-forest,FPH/15,Rifle Range Shops Severn Grove,Rifle Range Shops siteplan,-2.269911,52.372964,0.586,not owned by a public authority,not permissioned,,,,yes,12.0,,,Allocated under SAL.KSS,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,FHN/9,Land at 78 Mill Street,78 Mill Street and BT building siteplan,-2.256393,52.390003,0.2,not owned by a public authority,not permissioned,,,,yes,13.0,,,lapsed permission for 13 dwellings,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,FHN/11,BT building Mill Street,78 Mill Street and BT building siteplan,-2.257262,52.390262,0.599,not owned by a public authority,permissioned,other,2019-07-09,19/3023/PNRES,yes,10.0,40.0,,PNRES being implemented to convert building rather than redevelop site,2017-12-31,2017-12-31,2019-12-01
http://opendatacommunities.org/id/district-council/wyre-forest,OC/11,Stourminster School Comberton Road,Stourminster site siteplan,-2.225038,52.378839,2.15,owned by a public authority,pending decision,,,19/0521/FULL,yes,56.0,57.0,,approved Dec 19 subject to S106,2017-12-31,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/1,Former Lloyds Garage site Bridge Street,Bridge Street siteplan,-2.281516,52.338397,0.137,owned by a public authority,not permissioned,,,,yes,17.0,20.0,,Allocated under SAL.STC1,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/2,Cheapside Business Park Severn Road,Carpets of Worth Cheapside siteplan,-2.276951,52.335917,2.21,not owned by a public authority,not permissioned,,,,yes,72.0,,,Allocated under SAL.EA2,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/7,Land rear of Swan Hotel Lickhill Road,Swan Hotel and Working Mens Club siteplan,-2.280091,52.340585,1.018,not owned by a public authority,not permissioned,,,,yes,20.0,,,Allocated under SAL.STC4,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/8,Land adjacent Toll House Bridge Street,Land adjacent Toll House siteplan,-2.284025,52.336107,0.09,not owned by a public authority,not permissioned,,,,yes,6.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/10,Shops and garages Queens Road,Queens Road Shops siteplan,-2.285274,52.329461,0.468,not owned by a public authority,not permissioned,,,,yes,14.0,,,allocated under SAL.SSS1,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/11,The Squirrel Inn Areley Common,Squirrel Inn siteplan,-2.291985,52.328005,0.19,not owned by a public authority,permissioned,full planning permission,2018-12-06,18/0659/FULL,yes,7.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/18,Land off Yew Tree Walk,Yew Tree Walk siteplan,-2.291244,52.342526,2.489,not owned by a public authority,not permissioned,,,,yes,85.0,,,Land is no longer considered to be pdl,2017-12-31,2017-12-31,2019-06-01
http://opendatacommunities.org/id/district-council/wyre-forest,AKR/20,Carpets of Worth site Severn Road,Carpets of Worth Cheapside siteplan,-2.275079,52.337108,3.305,not owned by a public authority,not permissioned,,,,yes,170.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/1,County Buildings Worcester Street,County Buildings siteplan,-2.277202,52.343271,0.67,owned by a public authority,not permissioned,,,,yes,40.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/5,Land off Baldwin Road,Baldwin Road siteplan,-2.271601,52.341764,0.8316,not owned by a public authority,permissioned,full planning permission,,WF/0481/05,yes,55.0,72.0,,multiple permissions in place. See also http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0716/FULL; http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0603/FULL; http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0429/FULL,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/6,Land off Steatite Way,Steatite Way siteplan,-2.291554,52.349385,3.31,not owned by a public authority,pending decision,full planning permission,,19/0150/FULL,yes,106.0,,,approved Dec 19 subject to S106,2017-12-31,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/7,Car sales Worcester Road (southern parcel),Worcester Road Garage siteplan,-2.270235,52.336949,0.293,not owned by a public authority,not permissioned,,,,yes,15.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/11,3 Sandy Lane Titton,Sandy Lane Titton siteplan,-2.263805,52.329375,0.32,not owned by a public authority,not permissioned,,,,yes,13.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/12,Robbins Depot Manor Road,Robbins Depot siteplan,-2.272355,52.347633,0.19,not owned by a public authority,not permissioned,,,,yes,12.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/29,Former Chichester Caravans Vale Road,Chichester Caravans siteplan,-2.275581,52.342276,0.34,not owned by a public authority,permissioned,reserved matters approval,2018-01-18,17/0662/RESE,yes,28.0,,,,2017-12-31,2018-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,MI/34,106 Minster Road,106 Minster Road siteplan,-2.274961,52.343914,0.15,not owned by a public authority,not permissioned,,,,yes,,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,WFR/WC/15,Lea Castle Hospital Park Gate Road,Lea Castle Hospital siteplan,-2.221934,52.413115,48.66,owned by a public authority,permissioned,outline planning permission,2019-06-27,17/0205/OUTL,yes,600.0,600.0,,reserved matters application submitted. Decision pending,2017-12-31,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,WFR/WC/18,Sion Hill Middle School Sion Hill,Sion Hill School siteplan,-2.236853,52.404258,2.1,not owned by a public authority,permissioned,full planning permission,2019-06-07,18/0529/FULL,yes,56.0,56.0,,Site now cleared and under construction. Additional dwelling approved under 19/0731/full,2017-12-31,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,WFR/BR/5,Yieldingtree Packers Hackman Gate,Yieldingtree Packers siteplan,-2.155077,52.398568,0.91,not owned by a public authority,permissioned,full planning permission,2018-04-27,17/0764/FULL,yes,9.0,9.0,,Development well advanced,2017-12-31,2017-12-31,2018-11-01
http://opendatacommunities.org/id/district-council/wyre-forest,BR/BE/1,Bewdley Fire Station Load Street car park,Bewdley Fire Station siteplan,-2.316207,52.376796,0.186,owned by a public authority,not permissioned,,,,yes,15.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BR/RO/1,Land at Clows Top,Clows Top siteplan,-2.418649,52.343601,1.44,not owned by a public authority,permissioned,permission in principle,2019-12-13,19/0283/PIP,yes,5.0,9.0,,PIP covers 0.779ha (eastern part of site) Dwelling range reflects this,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,BR/RO/26,Bliss Gate Inn,Bliss Gate Inn siteplan,-2.372321,52.350318,0.158,not owned by a public authority,not permissioned,,,,yes,6.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,WA/UA/1,Land at Bellmans Cross Shatterford,Bellmans Cross siteplan,-2.310181,52.428631,0.8,not owned by a public authority,not permissioned,,,,yes,20.0,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/wyre-forest,WFR/ST/1,"Land at Captains, Bromsgrove Road",Captains siteplan,-2.22231,52.373918,2.6,not owned by a public authority,not permissioned,,,,yes,116.0,135.0,,,2019-12-16,2019-12-16,
http://opendatacommunities.org/id/district-council/wyre-forest,WFR/WC/30,"Land at Wolverley Lodge, Lea Lane",Wolverley Lodge siteplan,-2.246621,52.41876,1.754,not owned by a public authority,permissioned,permission in principle,2019-02-27,18/0748/PIP,yes,2.0,4.0,,,2019-12-18,2019-12-18,
,,,"52.373918, -2.222310",,,,,,,,,,,,,,,,
