OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR10,,Covers Richmond Road Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493518&y=99507&resolution=1.0&MapName=Helaa,ETRS89,-0.674666668400,50.78759146,1.19,not owned by a public authority,yes,not permissioned,,,,,32,,It has been idenitfied in the Bognor Regis Masterplan for mixed use development.,,32,34,,,,2017-11-10,2017-11-10,493518,99507,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,17LU9,,Littlehampton - West Bank,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501957&y=102175&resolution=1.0&MapName=Helaa,ETRS89,-0.554245249200,50.81015571,8.46,mixed ownership,yes,not permissioned,,,,,390,,"Currently hosts a variety of uses. Potential for comprehensive redevelopment including taller buildings, retention of marina facilities, commercial space, restaurant uses, public space, flood defences, school.",,390,620,,,,2017-11-10,2017-11-10,501957,102175,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU38c,,Works units at Gloucester Road and Howard Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502316&y=102375&resolution=1.0&MapName=Helaa,ETRS89,-0.549095775800,50.81189038,0.35,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,14,,,,2017-11-10,2017-11-10,502316,102375,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,P5408,,St Ninians Church Pagham,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=489033&y=98298&resolution=1.0&MapName=Helaa,ETRS89,-0.738569508,50.7774265,0.26,not owned by a public authority,yes,not permissioned,,,,,8,,,,8,10,,,,2017-11-10,2017-11-10,489033,98298,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR12,,"Car Park at London Road, Bognor Regis",http://www1.arun.gov.uk/webapps/wml/map.aspx?MapName=HELAA&resolution=0.5&X=493739&Y=99648,ETRS89,-0.671517,50.788834,0.33,owned by a public authority,yes,not permissioned,,,,,19,,,,19,21,,,,2018-12-11,2018-12-11,493739,99648,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWFG2,,"Land Rear of Henty Arms, Ferring Lane, Ferring",http://www1.arun.gov.uk/webapps/wml/map.aspx?MapName=HELAA&resolution=0.5&X=509663&Y=103134,ETRS89,-0.44465,50.81738,0.83,not owned by a public authority,yes,not permissioned,,,,,25,,,,,,,,,2018-12-11,2018-12-11,509663,103134,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR15515,,The Royal Hotel The Esplanade Bognor Regis,http://geognosis.in.arun.gov.uk/webmapeditor/Map.aspx?Scale=1250&Workspace=HELAA&x=493337&y=98805,ETRS89,-0.677411580500,50.78130927,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-09-26,http://www.arun.gov.uk/weekly-lists,,18,BR/130/17/PL: Change of Use of hotel & function room/licensed bar (C1 Hotel) to 18No. flats (C3 Dwelling houses).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493337,98805,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU11108,,The Locomotive Public House Terminus Road Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/45/16/PL,ETRS89,-0.545271490900,50.80980134,0.03,not owned by a public authority,yes,permissioned,full planning permission,2016-05-19,http://www.arun.gov.uk/weekly-lists,,9,LU/45/16/PL: 6 No. two bed & 3 No. one bed apartments with associated cycle & refuse storage,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,502590,102148,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU5515OUT,,Land South of Littlehampton Academy Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/55/15/OUT,ETRS89,-0.534296092000,50.81398956,2.42,owned by a public authority,yes,permissioned,outline planning permission,2016-09-28,http://www.arun.gov.uk/weekly-lists,,68,LU/55/15/OUT: Application for outline planning permission with some matters reserved for 68 No. dwellings (resubmission following LU/51/14/).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,503354,102629,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWWA15,,Progress Garage Yapton Lane Walberton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/103/16/OUT,ETRS89,-0.613734024200,50.83839657,0.17,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-02,http://www.arun.gov.uk/weekly-lists,,6,WA/103/16/OUT: Outline application with some matters reserved for construction of 6 no. dwelling houses & associated works.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497707,105235,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,Y2214,,Land to the west of Kings Close Yapton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/22/14/,ETRS89,-0.610815838000,50.81899914,0.35,not owned by a public authority,yes,permissioned,outline planning permission,2015-11-05,http://www.arun.gov.uk/weekly-lists,,10,"Y/56/15/OUT: Outline application for proposed mixed use development comprising 5 No.3 bedroom houses, 4 No. 2 bedroom houses & 1 No. 1 bedroom flat over car ports together with 4 No. B1 workshop/business units all with parking & access to main road via a redefined alignment of Kings Close & Highway improvement works at existing crossover.",4 No. B1 workshop/business units,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497953,103082,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU20516,,C M Wood Body Repair Centre Linden Park Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/205/16/PL,ETRS89,-0.548869868100,50.8118516,0.06,not owned by a public authority,yes,permissioned,full planning permission,2016-11-29,http://www.arun.gov.uk/weekly-lists,,10,LU/205/16/PL: Demolition of existing workshop buildings & erection of 10 No. flats consisting 4 No. 2 bed flats & 6 No. 1 bed flats.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,502332,102371,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,M4516,,Land West of Yapton Road (Poultry Farm) Middleton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/45/16/PL,ETRS89,-0.619480225500,50.79816574,0.55,not owned by a public authority,yes,permissioned,full planning permission,2017-02-07,http://www.arun.gov.uk/weekly-lists,,13,"M/45/16/PL: Demolition of redundant poultry farm buildings & dwelling & erection of 13 No. dwellings with associated access, car parking & landscaping.",,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497386,100754,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,AL5817PL,,Sack Lane Dairy Sack Lane Aldingbourne,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AL/58/17/PL,ETRS89, -0.659298,50.813263,0.26,not owned by a public authority,yes,permissioned,full planning permission,2017-12-13,http://www.arun.gov.uk/weekly-lists,,5,"AL/58/17/PL: Demolition of existing buildings, construction of 5 No. live / work units & creation of new pastureland.",5 No. live / work units,,,,,https://www.arun.gov.uk/weekly-lists,,2018-12-11,2018-12-11,494551,102380,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,18LU2,,46a and 47 Pier Road and land north of Clifton Road Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/287/17/PL,ETRS89,-0.542782,50.805696,0.6,not owned by a public authority,yes,permissioned,full planning permission,2017-12-19,http://www.arun.gov.uk/weekly-lists,,8,"LU/287/17/PL: Demolition of existing buildings, change of use & erection of 1 No. building incorporate office (B1) at ground floor & 8 No. dwellings at first and second floor level.",Erection of 1 No. building incorporate office (B1) at ground floor,,,,,https://www.arun.gov.uk/weekly-lists,,2018-12-11,2018-12-11,502776,101694,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,18LU1,,The Tap and Barrel 2-13 Duke Street Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/364/17/PL,ETRS89,-0.542591,50.810011,0.06,not owned by a public authority,yes,permissioned,full planning permission,2018-01-25,http://www.arun.gov.uk/weekly-lists,,9,LU/364/17/PL: Retention & conversion of former Public House building & the erection of two storey block to provide a total of 9 No. residential units with associated parking.,,,,,,https://www.arun.gov.uk/weekly-lists,,2018-12-11,2018-12-11,502780,102174,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,18LU3,,90 & 91 South Terrace Littlehampton,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/197/17/PL,ETRS89,-0.541629,50.804909,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-10-18,http://www.arun.gov.uk/weekly-lists,,6,"LU/197/17/PL: Change of use of existing leisure use of upper ground floor to form 3 No. flats, extension of first floor to form 2 No. flats & creation of 1 No. flat in roof space.",,,,,,https://www.arun.gov.uk/weekly-lists,,2018-12-11,2018-12-11,502859,101608,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,AW13817PL,,90 Rose Green Road Aldwick,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/138/17/PL,ETRS89,-0.721311,50.78689,0.23,not owned by a public authority,yes,permissioned,full planning permission,2017-10-18,http://www.arun.gov.uk/weekly-lists,,5,AW/138/17/PL: Demolition of existing buildings and construction of 5 dwellings.,,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,490233,99370,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BN6916PL,,Land East of Toll Cottage Lake Lane,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/69/16/PL,ETRS89,-0.631577,50.833634,0.38,not owned by a public authority,yes,permissioned,full planning permission,2017-04-26,http://www.arun.gov.uk/weekly-lists,,5,"BN6916PL: Application for 5 dwellings, access and ancillary works",,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,496462,104681,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,EP12117PL,,16 Worthing Road East Preston,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/121/17/PL,ETRS89,-0.487731,50.814888,0.11,not owned by a public authority,yes,permissioned,full planning permission,2017-10-25,https://www.arun.gov.uk/weekly-lists,,6,EP/121/17/PL: Application for Demolition of existing dwelling & construction of 6no. new flats and associated external works and storage,,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,506634,102794,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU24917PL,,Directors Cottage Toddington Lane,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/249/17/PL,ETRS89,-0.534785,50.825867,0.14,not owned by a public authority,yes,permissioned,full planning permission,2017-11-15,https://www.arun.gov.uk/weekly-lists,,5,LU/249/17/PL - Demolition of the existing bungalow & redevelopment of the site with 5 No. detached houses.,,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,503295,103948,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,18R1,,7 Sterling Parade The Street,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/87/17/PL,ETRS89,-0.507825,50.810192,0.24,not owned by a public authority,yes,permissioned,full planning permission,2017-06-29,https://www.arun.gov.uk/weekly-lists,,5,"R/87/17/PL - Second floor extension to create 4 No. dwellings & reconfigure existing second floor flat together with private balconies, secure bin storage & bicycle storage & allocated parking for the proposed new dwellings.",,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,505229,102243,,,
http://opendatacommunities.org/id/district-council/arun,Arun District Council,R11,,70 Woodlands Avenue Rustington,http://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/65/17/PL,ETRS89,-0.508305,50.811619,0.12,not owned by a public authority,yes,permissioned,full planning permission,2017-06-29,https://www.arun.gov.uk/weekly-lists,,6,"R/65/17/PL - Demolition of existing dwelling & erection of two-storey apartment building (6no
two-bedroom apartments)",,,,,,https://www.arun.gov.uk/weekly-lists,,2019-01-24,2019-01-24,505192,102401,,,
