OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PermissionHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OSEasting,OSNorthing,SHELAACrossReference
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR17,,The Holly Bush Inn Main Street Oakthorpe,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.714538,-1.522947,0.18,Not Owned by a Public Authority,,Permissioned,Full Planning Permission,43769,https://plans.nwleics.gov.uk/public-access/caseDetails.do?caseType=Application&keyVal=PQ5FPQLRJAO00,,5,Change of use and partial demolition and alteration of pub building to form two dwellings and erection of three dwellings,,,,,,,19/00763/FUL,43100,43830,432319,313076,Oa6
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR18,,Beasleys Nurseries Heather Lane Ravenstone,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.716975,-1.40767,1.59,Not Owned by a Public Authority,,Permissioned,Outline Planning Permission,42965,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=OEBOL9LRK5000,,36,Outline application for up to 37 dwellings together with associated public open space surface water attenuation and access (details of part access included),,,,,,,19/01581/REMM under consideration for 34 dwellings |19/01236/DEM prior notification of demolition | 16/01151/OUTM | Whole site 2.2ha - B/F element Circa 1.59ha,43100,43830,440137,313410,R13
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR21,,Garage 45 Tamworth Road Ashby De La Zouch,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.740351,-1.479638,0.18,Not Owned by a Public Authority,,Permissioned,Full Planning Permission,43335,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=P9MU4ZLRH0S00,,5,""" Demolition of Existing buildings, extensions and access to No 45 Tamworth Road and Erection of 5 no. dwellings and associated access""",,,,,,,18/01007/FUL with discharge of conditions in 2019,43465,43830,435224,315983,PP63
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR22,,The Oak Of Whitwick 27 Talbot Street Whitwick,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.7448,-1.363789,0.16,Not Owned by a Public Authority,,Permissioned,Outline Planning Permission,43054,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=OI86PNLRKPN00,,12,Demolition of former public house and erection of up to 12 apartments with associated parking area,,,,,,,16/01428/OUTM,43465,43830,443036,316539,PP53
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR24,,118 Station Road Kegworth,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.839991,-1.271424,0.35,Not Owned by a Public Authority,,Permissioned,Outline Planning Permission,43308,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=OY2AW5LR0I400,,14,Residential development (outline - all matters reserved),,,,,,,17/01576/OUTM,43465,43830,449172,327188,PP54
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR25,,The Plough Leicester Road Ravenstone,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.71903,-1.403461,0.3,Not Owned by a Public Authority,,Permissioned,Full Planning Permission,43581,https://plans.nwleics.gov.uk/public-access/caseDetails.do?caseType=Application&keyVal=P99VGCLRGZK00,,14,Demolition of existing public house and outbuildings and erection of 14 dwellings with alterations to existing access and provision of off-street parking and landscaping,,,,,,,18/00959/FULM with discharge of conditions in 2019,43465,43830,440389,313653,PP15
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR26,,Canalside Patios 7 Shortheath Road Moira,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.735797,-1.536395,0.13,Not Owned by a Public Authority,,Permissioned,Outline Planning Permission,42766,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?keyVal=NG2F72LR63000&activeTab=summary,,5,Erection of five dwellings (outline - access and layout only),,,,,,,19/02060/REM under consideration| 14/01099/OUT,43465,43830,431402,315445,PP35
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR27,,Saltersford Farm Measham Road Acresford,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.709067,-1.542767,0.63,Not Owned by a Public Authority,,Permissioned,Full Planning Permission,43336,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=P0G1UVLRFPF00,,5,"""Conversion of barns to two dwellings, erection of three detached dwellings, demolition of existing buildings and associated works.""",,,,,,,17/01805/FUL,43465,43830,430978,312481,
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR28,,117 London Road Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.721411,-1.361159,0.05,Not Owned by a Public Authority,,Permissioned,Other,43396,https://plans.nwleics.gov.uk/public-access/caseDetails.do?caseType=Application&keyVal=PEIWTJLR0L300,,15,Prior approval notification for change of use of offices to 15 self-contained apartments including associated off street parking,,,,,,,18/01631/PDNOTR,43465,43830,443248,313941,PP48
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR29,,Crusher Yard Site Pipeyard Lane Works Pipeyard Lane Newbold,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.77018,-1.410167,0.38,Not Owned by a Public Authority,,Permissioned,Outline Planning Permission,43594,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=PDUOTNLRHJD00,,6,"""Mixed use development comprising B1 (Office) premises and residential development of 6 no. dwellings, garaging and associated infrastructure (outline - access only)""",,,,,,,18/01534/OUT,43830,43830,439882,319323,EMP71
http://opendatacommunities.org/id/district-council/north-west-leicestershire,North West Leicestershire District Council,BLR30,,Snibston Discovery Park Ashby Road Coalville,https://www.nwleics.gov.uk/pages/brownfield_land_register,WGS84,52.725596,-1.386263,2.98,Owned by a Public Authority,,Permissioned,Outline Planning Permission,43633,https://plans.nwleics.gov.uk/public-access/applicationDetails.do?activeTab=summary&keyVal=OWXFIZLRMY100,,144,"""Residential development of up to 144 dwellings (Outline - all matters reserved) and erection of an extension to existing theatre to provide a cafe/visitor centre/rangers' office, installation of a play area, public realm works, landscaping and car parks (full)""","""erection of an extension to existing theatre to provide a cafe/visitor centre/rangers' office, installation of a play area, public realm works, landscaping and car parks (detailed element of the hybrid application)""",,,,,,17/01424/FULM (Hybrid application) | this is a hybrid application with the housing as the outline element,43830,43830,441578,314422,C56
