OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,OrganisationLabel,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0014,"""Charnwood House, Charnwood Street, Swinton, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3231513.43,3018353.13,0.62,owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,yes,15,20,,"Housing allocation in the Rotherham Local Plan,H50, LDF0827, RDF1677",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0015,"""The Howard Building, Howard Street, Rotherham, S65 1AX""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3225687.04,3009406.11,0.21,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,full planning permission,16/04/2015,http://rotherham.planportal.co.uk/?id=RB2014/1453|http://rotherham.planportal.co.uk/?id=RB2014/1499,yes,64,125,,"Part of site is subject to a prior approval for change from office to residential use (53 apartments; RMBC2014/1453). Remainder of the site has permission (RB2014/1499) for conversion to residential use for 72 apartments. Application to vary conditions 2018,",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0016,"""Techtronics, 22 St Georges Drive, Brinsworth, Rotherham, S60 5NG""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3238080.79,3009677.16,0.12,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2014/0502,,4,5,,RDF1826,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0018,"""31 Carlyle Road, Maltby, Rotherham, S66 7LP""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230943.11,3013381.12,0.03,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2004/1022,,1,6,,RDF0636,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0019,"""Land at Oldgate Lane, Thrybergh, Rotherham, S65 4JX""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229953.39,3012163.21,0.08,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/0226,,3,6,,"RDF0823, Current temporary permission for use of land as a car wash expires 31 October 2021.",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0020,"""Land at Herringthorpe Valley Road, Herringthorpe, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228046.33,3011766.40,0.14,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/2156,,4,8,,RDF0928,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0021,"""Land at Challenger Tyre & Exhaust, Wellgate, Rotherham Town Centre""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3238090.47,3009649.69,0.34,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2019/0773,,12,30,,"Current 2019 permission is for erection of tea rooms, gardens and parking,RDF0956",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0022,"""Land at Morrell Street, Maltby, S66 7LP""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228929.28,3019586.80,0.07,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/0839,,2,8,,RDF0997,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0023,"""Former Lordens Hotel, 64 Doe Quarry Lane, Dinnington, Rotherham, S25 2NN""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227542.48,3012093.79,0.31,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,22/11/2018,http://rotherham.planportal.co.uk/?id=RB2018/1231,yes,,15,,"RDF1942, Site cleared, Under Construction",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0024,"""Land at Cemetery Road, Wath-upon-Dearne, Rotherham, S63 6LL""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228274.42,3021325.79,0.23,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2008/0485,,7,27,,RDF1145,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0025,"""2-4 Essoldo Chambers, High Street, Rotherham Town Centre, S60 1PZ""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3235631.89,3002661.09,0.04,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2008/1271,,3,8,,RDF1207,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0027,"""Land at Hollowgate Avenue, Wath-upon-Dearne, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3225695.71,3012888.61,0.35,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2014/1376,,5,14,,RDF1290,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0028,"""13 Quarry Lane, North Anston, Rotherham, S25 4DB""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230865.29,3013302.29,0.17,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,06/11/2015,http://rotherham.planportal.co.uk/?id=RB2015/1258,yes,,,,RDF1321,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0030,"""20-22 Bradgate Lane, Rotherham, S61 1QH""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3232467.84,2999124.47,0.09,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2011/0877,,3,6,,RDF1385,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0031,"""1 Magna Lane, Dalton, Rotherham, S65 4HH""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230179.82,3012965.78,0.07,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2011/0863,,3,7,,RDF1387,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0032,"""The Rectory, 36 Union street, Harthill, Rotherham, S26 7YH""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229537.77,3009313.54,0.21,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,09/02/2018,http://rotherham.planportal.co.uk/?id=RB2017/1365,,5,5,,RDF1393,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0033,""" Former Laudsdale House Care Home, Laudsdale Road, East Herringthorpe, Rotherham, S65 3LY""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3235447.41,3004715.48,0.44,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2010/1467,,12,26,,RDF1458,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0035,"""7 Hunger Hill Lane, Whiston, Rotherham, S60 4BD""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3231806.43,3018170.12,0.2,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2012/1727,,3,5,,"Any redevelopment should retain the existing ground floor shop units,RDF1682",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0036,"""Land off Monksbridge Road, Dinnington, Rotherham, S25 3QS""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228784.07,3012547.30,1.4,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2013/0606,,34,45,,RDF1709,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0037,"""Station Works, Station Street, Swinton, Rotherham, S64 8AU""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227271.61,3014641.06,0.13,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2013/0741,,4,14,,RDF1717,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0038,"""Land at Ryton Road, South Anston, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3225825.89,3012163.86,0.93,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,25/04/2016,http://rotherham.planportal.co.uk/?id=RB2015/0472,,,,,"Housing allocation in the Rotherham Local Plan,H83",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0041,"""49 Potter Hill, Greasbrough, Rotherham, S61 4NX""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229405.66,3015807.43,0.13,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,full planning permission,29/08/2014,http://rotherham.planportal.co.uk/?id=RB2014/0012,yes,,,,"Permission Lapsed,RDF1784",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0042,"""24 Boswell Street, Broom, Rotherham, S65 2ED""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228858.94,3010263.80,0.07,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,15/07/2016,http://rotherham.planportal.co.uk/?id=RB2016/0071,yes,,,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0044,"""Land at DSR Demolition, 63 Psalters Lane, Rotherham, S61 1DL""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229068.40,3004199.00,0.05,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2014/0495,,2,11,,RDF1825,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0047,"""Lisle Road, Broom, Rotherham, S60 2RL""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227941.59,3012107.25,0.52,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,,12,17,,"RDF0031, LDF0013",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0049,"""Rawmarsh Progressive Sports & Social Club, Willowgarth, Rawmarsh, Rotherham, S62 5RB""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228410.13,3010856.90,0.23,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,,19/04/2018,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2018/0096,,7,13,,"RDF0453, LDF0063",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0050,"""Swinden Technology Centre, Moorgate Road, Rotherham, S60 3AR""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227471.39,3012194.84,6.68,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,outline submitted,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2018/0091,yes,,,,"Housing Allocation with planning permission pending dependent on CIL and S106,RDF0612, LDF0835",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0051,"""11 High Street, Swallownest, Rotherham, S26 4TT""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227432.95,3012178.61,0.09,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2011/1166,,1,9,,RDF1139,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0052,"""Former Garden Centre, Station Road, Wath upon Dearne, Rotherham, S63 7DQ""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227495.83,3011843.39,1.44,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,01/03/2017,http://rotherham.planportal.co.uk/?id=RB2018/1070,yes,,,,"Permission (Full plans) pending,",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0053,"""Former fire station, Knollbeck Lane, Brampton Bierlow, Rotherham, S73 0TX""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227318.81,3011773.69,0.56,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,,13,18,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0054,"""Garage and Van Hire, Church Street, Swinton, Rotherham, S64 0HG""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3235368.40,3004688.19,0.31,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2012/1775,,9,12,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0055,"""Land Off Chatham Street/Doncaster Gate, Rotherham, S65 1DJ""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228568.06,3011505.03,0.1,owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,,8,20,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0057,"""Rothwell Grange, Broom Valley Road, Rotherham, S60 2QU""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227722.07,3012255.23,0.53,owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,14/01/2019,http://rotherham.planportal.co.uk/?id=RB2018/1451,yes,42,42,,"Site cleared by demolition,RMBC development",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0058,"""32-34 Corporation Street, Rotherham, S60 1NG""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3237441.32,3004125.98,0.02,owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,,,5,5,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0059,"""Weir Side Site, Off Corporation Street, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3235520.89,3001875.12,0.27,owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/0529,,60,130,,,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0060,"""Millfold House, 70 Westgate, Rotherham, S60 1BD""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3237069.50,3003460.42,0.37,owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,29/11/2019,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2019/1501,yes,15,39,,"Permission granted for 14 houses, 25 flats",29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0061,"""Sheffield Road site, off Sheffield Road, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230122.75,3020982.82,0.87,owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,29/11/2019,http://rotherham.planportal.co.uk/?id=RB2019/1098,yes,35,87,,Permission for 78 dwellings,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0062,"""Askey Haulage and Storage, Monksbridge Road, Dinnington, Rotherham""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227330.89,3021196.25,0.82,not owned by a public authority,Rotherham Metropolitan Borough Council,not permissioned,,,http://rotherham.planportal.co.uk/?id=RB2012/1548,,20,35,,RDF0004,29/09/2017,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0063,"""land at 40 Morthen RoadWickersely""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3232502.23,3010098.68,0.18,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,11/05/2018,http://rotherham.planportal.co.uk/?id=RB2017/1777,yes,,8,,"RDF2071, Under Construction",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0064,"""Blenheim House Doncaster Road Eastwood""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3228325.86,3012381.63,0.16,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,13/04/2018,http://rotherham.planportal.co.uk/?id=RB2017/1833,yes,9,10,,RDF2072,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0065,"""land at 140 Swinston Hill Road Dinnington""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3237306.72,3003166.87,0.25,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,14/11/2017,http://rotherham.planportal.co.uk/?id=RB2017/1436,yes,4,16,,"RDF2100, Multiple full permissions for 6 units, site under construction",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0066,"""land at Southwell Road Rawmarsh""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229982.62,3015820.89,0.09,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,12/02/2018,http://rotherham.planportal.co.uk/?id=RB2017/1099,yes,5,6,,RDF2115,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0067,"""Westgate Chambers Westgate Rotherham Town Centre""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227468.08,3012082.27,0.27,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,12/01/2018,http://rotherham.planportal.co.uk/?id=RB2017/1225,yes,,61,,"RDF2116, Under Construction, but appears to be slow progress",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0069,"""9 & land to rear Fairleigh Drive Moorgate""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3227728.25,3011080.56,0.36,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,15/02/2018,http://rotherham.planportal.co.uk/?id=RB2017/1529,yes,7,23,,"RDF2117, Under Construction",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0070,"""The Garage, Clarence Street Motors Clarence Street Dinnington""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3237148.42,3004095.28,0.06,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,15/03/2018,http://rotherham.planportal.co.uk/?id=RB2019/0277,yes,4,4,,Under Construction,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0071,"""land to rear of Hillcrest Dog Kennels Lane Kiveton Park""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3234502.22,3000824.28,0.33,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,02/02/2018,http://rotherham.planportal.co.uk/?id=RB2017/1653,yes,4,21,,"RDF2121, Under Construction",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0072,"""Sun Hollow Holling Moor Lane Wickersley""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3231815.00,3010129.84,0.41,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,30/04/2018,http://rotherham.planportal.co.uk/?id=RB2018/0311,yes,1,26,,RDF2133,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0073,"""Enden House Magna Lane Dalton""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3230837.73,3013316.40,0.03,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,outline planning permission,24/05/2018,http://rotherham.planportal.co.uk/?id=RB2018/0368,yes,7,7,,RDF2136,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0074,"""J P Glasby Ltd Eden Grove Swallownest""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229347.85,3004227.76,0.15,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,17/08/2018,http://rotherham.planportal.co.uk/?id=RB2018/0509,yes,6,6,,RDF2144,30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0075,"""Manor Close, 185 Doncaster Road Thrybergh""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3231983.17,3014554.49,0.19,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,21/09/2018,http://rotherham.planportal.co.uk/?id=RB2018/1174,yes,8,9,,"RDF2161, Demolition of existing building and erection of 9 apartments",30/11/2018,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0076,"""Humphrey Davy House Golden Smithies Lane, Swinton""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3231156.54,3019561.16,0.89,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,21/05/2019,http://rotherham.planportal.co.uk/?id=RB2018/1172,yes,,109,,RDF2173,02/12/2019,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0077,"""former Rockingham College Of Further Education West Street, Wath-upon-Dearne""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3229257.04,3020291.17,0.18,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,26/04/2019,http://rotherham.planportal.co.uk/?id=RB2018/1738,yes,,28,,RDF2174,02/12/2019,02/12/2019,
http://opendatacommunities.org/id/metropolitan-district-council/rotherham,BR0078,"""land to rear 76 Moor Lane South, Ravenfield""",http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,3233591.98,3011852.24,0.41,not owned by a public authority,Rotherham Metropolitan Borough Council,permissioned,full planning permission,07/06/2019,http://rotherham.planportal.co.uk/?id=RB2019/0365,yes,,9,,,02/12/2019,02/12/2019,
