OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,Part2,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,PA1Status,PA2MapNumber
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR001,"302-308, 310-312 New Cross Road",51.47538,-0.0374,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,permissioned,full planning permission,09/12/2015,,yes,11,11,,,"""Lapsed 15/93085 for mixed use development including 16 x studio flats and 2 x one bedroom self-contained flats, live-work accommodation (sui-generis), workspace and flexible retail""",30/11/2017,21/10/2019,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR003,1 Brockley Cross,51.46578,-0.03528,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,full planning permission,22/05/2017,,yes,5,5,,,"""17/100503 for residential development including 3 x one bedroom and 2 x two bedroom self-contained flats, one office unit (B1)""",30/11/2017,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR004,97 - 103 Florence Road,51.47231,-0.03072,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,not permissioned,,,,,9,,,,"""Lapsed 09/73121 for residential development including 1 x three bedroom, 2 x two bedroom and 6 x one bedroom self-contained flats""",30/11/2017,22/10/2018,,Lapsed,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR005,Land adjoining 196 Brockley Road,51.46276,-0.03592,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,not permissioned,,,,,5,,,,Lapsed 11/77443 for residential development including 2 x one bedroom and 2 x two bedroom self-contained flats and 1 x two bedroom self-contained maisonette,30/11/2017,22/10/2018,,Lapsed,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR006,111 and 115 Endwell Road,51.46592,-0.0366,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.43,not owned by a public authority,not permissioned,,,,,40,,,,"""Site Allocation SA30 for mixed use development including 40 residential units, commercial/employment""",30/11/2017,22/10/2018,,Site Allocation,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR008,219 Stanstead Road,51.44242,-0.04098,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,31/08/2018,,yes,11,11,,,16/097266 Prior Approval for residential development including  5 x one bedroom self-contained flats and  18/106769 for  residential development including 2 x one bedroom and 4 x two bedroom self-contained flats,30/11/2017,21/10/2019,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,BR009,72 Loampit Hill,51.467769,-0.022207,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,not owned by a public authority,permissioned,full planning permission,13/09/2018,,yes,7,7,,,"""18/107893 for residential development including 7 x residential units, commercial unit (B1a)""",21/10/2019,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP004,219 Stanstead Road,51.44242,-0.04098,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,31/08/2018,,yes,11,11,,,16/097266 Prior Approval for residential development including  5 x one bedroom self-contained flats and  18/106769 for  residential development including 2 x one bedroom and 4 x two bedroom self-contained flats,30/11/2017,22/10/2018,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP005,113 Bovill Road,51.44502,-0.04652,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,permissioned,full planning permission,12/09/2016,,yes,5,5,,,16/097411 for residential development including  5 x four bedroom houses,30/11/2017,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP006,58-64 Brockley Rise,51.44776,-0.041,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,not permissioned,,,,,5,,,,Lapsed 11/78739 for residential development including 7 x two bedroom and  2 x one bedroom self-contained units,30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP007,50 St German's Road,51.443,-0.03877,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,permissioned,full planning permission,21/08/2017,,yes,5,5,,,"""17/100842 for residential development including 1 x one bedroom, 3 x two bedroom and 1 x three bedroom self contained flats""",22/10/2018,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CP008,26 Marnock Road,51.45385,-0.03465,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.19,owned by a public authority,permissioned,full planning permission,27/11/2017,,yes,6,6,,,17/102317 for residential development including 6 x three storey terraced houses,22/10/2018,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CS003,"""Pheobes Garden Centre, Penerley Road""",51.44076,-0.0189,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.42,not owned by a public authority,permissioned,full planning permission,29/06/2018,,yes,27,27,,,"""17/102292 for residential development including 10 x one bedroom, 10 x two bedroom and 7 x three bedroom self-contained flats""",22/10/2018,21/10/2019,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CS004,320 Brownhill Road,51.444888,-0.000697,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.11,not owned by a public authority,permissioned,full planning permission,18/09/2018,,yes,26,26,,,18/105753 for 26 non-self contained C2 bedrooms,21/10/2019,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,CS005,55 Broadfield Road,51.442519,0.00172,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,17/08/2018,,yes,7,7,,,18/106649 for 7 non-self contained C2 bedrooms,21/10/2019,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV001,Convoys Wharf,51.44076,-0.0189,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,20.42,not owned by a public authority,permissioned,outline planning permission,10/03/2015,,yes,"3,514","3,514",,,"""13/083358 for mixed use development including up to 3,514 (321,000 m2) residential units, 15,500 m2 business space (live/work units); 32,200 m2 working wharf and vessel moorings ( B2 and sui generis); 27,070 m2 hotel (C1); 5,810 m2 retail, financial and professional services (A1 and A2); 4,520 m2 restaurant/cafes and drinking establishments (A3 and A4); and 13,000 m2 community/non-residential institutions (D1 and D2)""",30/11/2017,22/10/2018,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV002,"""Timber Yard, Deptford Wharves, Oxestalls Road""",51.48625,-0.02818,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,4.6,not owned by a public authority,permissioned,outline planning permission,23/03/2016,,yes,1131,"1,131",,,"""15/092295 for mixed use development including 1132 residential units, this is a hybrid application: full for phase 1 and outline for phases 2 and 3, up to 10,413 m2 non-residential floorspace comprising (A1) Shops, (A2) Financial & Professional Services, (A3) Restaurants & Cafes, (A4) Drinking Establishments, (A5) Hot Food Takeaways, (B1) Business, (D1) Non-Residential Institutions and (D2) Assembly & Leisure uses""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV003,Arklow Road Trading Estate MEL,51.48743,-0.0354,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.28,not owned by a public authority,permissioned,reserved matters approval,20/01/2017,,yes,316,316,,,"""15/093101 for mixed use development including full permission for 258 residential dwellings and reserved matters 16/097829 for up to 58 dwellings, full permission for 2,794 sqm commercial floorspace ( A1, A2, A3, B1, D1 and D2) and outline permission for up to 75 m2 commercial floorspace ( A1, A2, A3, B1, D1 and D2)""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV005,"""Neptune Works, Parkside House, Grinstead Road""",51.4922,-0.0354,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.14,not owned by a public authority,permissioned,full planning permission,30/03/2012,,yes,199,199,,,"""10/75331 and 14/089647 for mixed use development including 199 residential units comprising 70 x one bedroom, 100 x two bed, 19 x three bedroom and 10x  four bedroom units, 1,973 m2 non-residential floorspace, comprising 1,874 m2  flexible B1/A1/A2 and 99 m2 of cafe /bike repair shop""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV007,19 Yeoman Street,51.48472,-0.04074,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.26,not owned by a public authority,permissioned,full planning permission,25/01/2017,,yes,72,72,,,"""16/098132 for mixed use development including 72 residential units, 371 m commercial floorspace (B1)""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV009,"""Evelyn Court, Grinstead Road""",51.49192,-0.03923,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.21,not owned by a public authority,not permissioned,,,,,18,,,,"""Lapsed 14/089442 Prior approval for mixed use development including 18 residential dwellings, retention of 5 x office units B1(a)""",30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV012,"""Acme House, 165 Childers Street MEL""",51.48635,-0.03607,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.66,not owned by a public authority,not permissioned,,,,,85,,,,"""Site Allocation SA8 for mixed use development including 84 residential units, 20% employment (B1 Use Classes light industrial/offices)""",30/11/2017,,,Site Allocation,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV013,Rear of 197-199 Deptford High Street,51.48228,-0.03526,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,9,,,,"""Lapsed 09/72501 for mixed use development including 5 x one bedroom and 4 x two bedroom self-contained flats, snooker hall""",30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV014,"""Astra House, 23-25 Arklow Road""",51.48054,-0.02696,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.11,not owned by a public authority,permissioned,planning permission granted under an order,26/10/2018,,yes,25,25,,,17/104557 Prior Approval for residential development including 7 x one bed and 8 x two bed self-contained flats and 18/108810 Prior Approval for residential development including 25 flats,22/10/2018,21/10/2019,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV015,222-222a Trundley's Road,51.48259,-0.0403,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.01,not owned by a public authority,permissioned,full planning permission,07/08/2018,,yes,5,5,,,17/101678 for residential development including 3 x one bedroom and 4 x two bedroom self-contained residential units,22/10/2018,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV016,"""Pepys Housing Office, Eddystone Tower, Oxstalls Road""",51.48888,-0.03593,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,owned by a public authority,permissioned,full planning permission,03/04/2018,,yes,5,5,,,"""17/104445 for mixed use development including 2  xthree bedroom maisonettes, 1 x two bedroom, 1 x three bedroom and 1 x four bedroom self-contained flats, community facility (Use Class D1)""",22/10/2018,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV017,Former Deptford Green School Sports Pitch,51.480029,-0.03347,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.23,owned by a public authority,permissioned,full planning permission,27/11/2018,,yes,34,34,,,"""18/106309 for mixed use development including 20 x three bedroom and 14 x two bedroom flats, two commercial units on the ground floor for flexible use as retail (Use Class A1), financial / professional services (Use Class A2), cafe / restaurant (Use Class A3) and / or business (Use Class B1) and a nursery (Use Class D1)""",21/10/2019,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,EV018,"""Lord Palmerston, Childers Street""",51.481848,-0.34008,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,20/11/2018,,yes,6,6,,,"""18/107475 for residental development including 6 x two bed units, retention of existing public house""",21/10/2019,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH001,"""Rear of Christian Fellowship, rear of 15-17a Tyson Road""",51.4464,-0.0532,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.94,not owned by a public authority,permissioned,outline planning permission,22/04/2010,,yes,68,68,,,09/71953 for residential development including up to a maximum of 71 units,30/11/2017,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH002,"""Featherstone Lodge, Eliot Bank""",51.43767,-0.06187,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.63,not owned by a public authority,permissioned,full planning permission,13/11/2015,,yes,33,33,,,"""Lapsed 14/086666 for residential development including 18 x one bedroom and 15 x two-bedroom self contained flats plus 6 x two bedroom, two storey houses""",22/10/2018,,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH003,"""Former Sydenham Police Station, 179 Dartmouth Road""",51.43317,-0.05843,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.2,not owned by a public authority,permissioned,full planning permission,19/05/2016,,yes,33,33,,,"""15/92798 for residential development including 15 x one bedroom, 15 x two bedroom and 3 x three bedroom self-contained flats""",30/11/2017,21/10/2019,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH004,"""Fairway House, rear of 53 Dartmouth Road""",51.43713,-0.05401,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.2,not owned by a public authority,permissioned,full planning permission,27/11/2015,,yes,27,27,,,"""15/090942 for mixed use development including  27 self-contained residential flats, ground floor offices (B1)""",30/11/2017,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH005,Longfield Crescent Estate,51.43411,-0.05421,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.56,owned by a public authority,permissioned,full planning permission,23/04/2015,,yes,27,27,,,14/089888 for residential development including 13 x 3 bed houses and 6 x one bedroom and 8 x two bedroom self-contained flats,30/11/2017,,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH007,29 Ewelme Road,51.44305,-0.0549,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,12/10/2016,,yes,5,5,,,"""16/096800 for residential development including 1 x one bedroom, 2 x two bedroom and 3 x three bedroom flats""",30/11/2017,21/10/2019,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH008,97 Honor Oak Park,51.44978,-0.04757,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,permissioned,full planning permission,31/10/2011,,yes,5,5,,,08/68730 for residential development including 1x3 bedroom and 5x2 bedroom self-contained flats,01/12/2017,22/10/2018,,Approved site started construction,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH009,1 Waldram Crescent,51.44009,-0.05308,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,8,,,,"""Lapsed 07/65911 for residential development including 8 x one bedroom, self-contained flats""",30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH010,39 Honor Oak Road,51.44701,-0.054,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,not permissioned,,,,,6,,,,"""Lapsed 07/67266 for residential development including 4 x three bedroom, self-contained maisonettes, 1 x one bedroom and 1 x three bedroom self-contained flats""",30/11/2017,22/10/2018,,Lapsed,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH011,"""Station forecourt, Dartmouth Road, west of the railway line""",51.43899,-0.05355,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.43,not owned by a public authority,not permissioned,,,,,74,,,,"""Site Allocation SA19 for mixed use development including 74 residential units, retail, business/employment""",30/11/2017,22/10/2018,,Site Allocation,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH012,"""Windmill PH, 125-131 Kirkdale""",51.43169,-0.05994,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,01/08/2017,,yes,9,9,,,"""16/099356 for mixed use development including  2 x one bedroom and 7 x two bedroom self-contained residential units, one public house (Class A4)""",22/10/2018,21/10/2019,,Approved site started construction,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH013,"""Northwest Garages, Knapdale Close""",51.437804,-0.060001,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.71,mixed ownership,permissioned,full planning permission,04/09/2018,,yes,17,17,,,18/106452 for residential development including 3 x dwelling houses and 14 x flats,21/10/2019,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH014,Rear of 110 Wood Vale,51.44745,-0.061107,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,11/01/2019,,yes,7,7,,,18/107209 for residential development including 7 residential units,21/10/2019,,,Approved site,6
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,FH015,1 Sydenham Park,51.431264,-0.058938,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,planning permission granted under an order,12/04/2019,,yes,6,6,,,19/111041 Prior Approval for residential development including 5 x one bed flats and 1 x two bed flats,21/10/2019,,,Approved site,6
