OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,"Coordinate
ReferenceSystem",GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,"MinNet
Dwellings","FirstAdded
Date","LastUpdated
Date",Ward
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/04753/14,"Peel Centre,Peel Drive, Colindale, London, NW9 5JE",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521806.0,189735.0,15.961,,permissioned,2900,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05833/14,"126 Colindale Avenue, London, NW9 5HD",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521225.0,189787.0,0.204,,permissioned,35,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/6222/FUL,"Land Behind Sheaveshill Court , The Hyde, London, NW9 6SJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521094.0,189311.0,1.632,,permissioned,34,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/5534/PNO,"Colindale Telephone Exchange, The Hyde, London, NW9 6LB",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521633.0,188697.0,1.007,,permissioned,220,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Colindale AAP 2010,"McDonalds Site, 157 Colindeep Lane",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.25501,51.591038,0.5,not owned by a public authority,not permissioned,175,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Colindale AAP 2010,Burger King/ Eyeland Site NW9 5EB,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.258575,51.593726,0.4,not owned by a public authority,not permissioned,162,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Colindale AAP 2010,Middlesex University Halls,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.228441,51.589714,2.663581832,not owned by a public authority,not permissioned,190,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Colindale AAP 2010,"Merit House, Edgware Road, NW9 5AB",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.258746,51.59416,1.0,not owned by a public authority,not permissioned,180,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Colindale AAP 2010,"Kwik Fit, The Hyde",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.257853,51.59296,0.1,not owned by a public authority,not permissioned,60,2019-11-26,2019-11-26,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/04834/14,"Land Formerly Known As British Gas Works Albert Road, Albert Road, Barnet, Herts",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526477.0,196498.0,2.2,,permissioned,305,2019-11-26,2019-11-26,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/02366/13,"11-13 Approach Road, Barnet, Herts, EN4 8FG",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526539.0,196082.0,0.068,,permissioned,15,2019-11-26,2019-11-26,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3262/FUL,"Land Adjacent To 106 -128 Mount Pleasant And 27-37 Langford Road , Barnet, EN4 9HG",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,527460.0,196460.0,0.424,,permissioned,12,2019-11-26,2019-11-26,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,New Barnet Town Centre Framework 2010 - Site 3,"Sainsburies, East Barnet Road",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.171474,51.64943,1.019,not owned by a public authority,not permissioned,199,2019-11-26,2019-11-26,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1409/FUL,"Land Adj To 1 - 12 Norfolk Close, London, N2 8ET",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,527090.0,189752.0,0.039,,permissioned,8,2019-11-26,2019-11-26,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3301/FUL,"Viceroy Court Car Park, East End Road, London, N2 8AU",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,527220.0,189482.0,0.089,,permissioned,8,2019-11-26,2019-11-26,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05563/14,"2 Ashcombe Gardens, Edgware, Middx, HA8 8HS",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519232.0,192804.0,0.079,,permissioned,6,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/01294/PNO,"42-46 Station Road, Edgware, Middlesex, HA8 7ZZ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519359.0,191702.0,0.025,,permissioned,8,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03137/FUL,"Land At Broadfields Primary School, Roseberry Drive, Edgware, HA8 8JP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519584.0,193723.0,2.05,,permissioned,112,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/0112/FUL,"102-124 Station Road And Car Park To Rear, Edgware, Middlesex, HA8 7BJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519418.0,191763.0,0.6,,permissioned,123,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1065/FUL,"80 The Grove, Edgware, HA8 9QB",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519846.0,192865.0,0.196,,permissioned,6,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,18/2839/FUL,"Land At The Rectory, Rectory Lane, Edgware, HA8 7LG",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,519416.0,192111.0,0.339,,permissioned,52,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Edgware Town Centre Framework 2013,Edgware Forumside,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.278344,51.61077,1.0,not owned by a public authority,not permissioned,240,2019-11-26,2019-11-26,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3417/PNO,"Dove House, Gadd House And Cooper House, Arcadia Avenue, London, N3 2JU",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,525121.0,190496.0,0.21,,permissioned,88,2019-11-26,2019-11-26,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0047/PNO,"298 - 304 Regents Park Road, London, N3 2SZ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,525078.0,190448.0,0.531,,permissioned,130,2019-11-26,2019-11-26,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/05720/14,"Dryades, The Bishops Avenue, London, N2 0BA",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526881.0,188282.0,0.49,,permissioned,9,2019-11-26,2019-11-26,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04857/14,"The Towers, The Bishops Avenue And 1-5 Arden Court Gardens, London, N2 0BJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526887.0,188079.0,1.67,,permissioned,44,2019-11-26,2019-11-26,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01413/13,"R/O 698 Finchley Road, London, NW11 7NE",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,525091.0,187930.0,0.036,,permissioned,9,2019-11-26,2019-11-26,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/00720/RMA,"Land Off Brent Terrace, London, NW2, (The Brent Terrace Triangles)",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523450.0,186817.0,0.77,,permissioned,47,2019-11-26,2019-11-26,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01932/11,"Former Parcel Force Depot, Geron Way, London, NW2",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523231.0,186615.0,1.6,,permissioned,230,2019-11-26,2019-11-26,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3806/FUL,"290-294 Golders Green Road, London, NW11 9PY",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524177.0,188326.0,0.42,,permissioned,60,2019-11-26,2019-11-26,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/6662/RMA,"Brent Cross Cricklewood Regeneration Area, North West London",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523359.0,187350.0,0.77,,permissioned,292,2019-11-26,2019-11-26,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03138/FUL,"Land Adjacent Northway And Fairway Primary School, The Fairway, Mill Hill, London, NW7 3HS",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,520783.0,193503.0,1.8,,permissioned,120,2019-11-26,2019-11-26,Hale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/7594/FUL,"The Vicarage , Deans Lane, Edgware, HA8 9NT",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,520481.0,192102.0,0.275,,permissioned,9,2019-11-26,2019-11-26,Hale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/03301/14,"73-77 Brent Street, London, NW4 2EA",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523373.0,188988.0,0.032,,permissioned,9,2019-11-26,2019-11-26,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2709/FUL,"Craymere Cottage And Fordfield Cottage, 9-11 Parson Street, London, NW4 1QE",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523282.0,189469.0,0.02,,permissioned,6,2019-11-26,2019-11-26,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/2466/FUL,"Brake Shear House, 164 High Street, Barnet, EN5 5XP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524550.0,196758.0,0.398,,permissioned,40,2019-11-26,2019-11-26,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/06410/FUL,"Land At 1-7 Moxon Street And At 44 Tapster Street Including Land To The Rear Of 1-11 Moxon Street And Opposite The Old Printworks, Barnet, EN5 5TY",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524567.0,196557.0,0.17,,permissioned,12,2019-11-26,2019-11-26,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03115/PNO,"Ocean House, R/O 2-24 Lytton Road, Barnet, EN5 5BY",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526387.0,196252.0,0.15,,permissioned,29,2019-11-26,2019-11-26,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/01721/11,"551 Watford Way, London, NW7 2PU",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521855.0,191561.0,0.27,,permissioned,9,2019-11-26,2019-11-26,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/04017/09,"Inglis Barracks, Mill Hill, London, NW7 1PX",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523847.0,191996.0,24.23,,permissioned,2174,2019-11-26,2019-11-26,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/06417/OUT,"Milbrook Park, Mill Hill, London, NW7 1SJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524204.0,191458.0,0.42,,permissioned,66,2019-11-26,2019-11-26,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3796/FUL,"141-143 Dollis Road, London, NW7 1JX",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524260.0,191109.0,0.278,,permissioned,26,2019-11-26,2019-11-26,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/06116/13,"1060A-1072 High Road, London, N20 0QP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526430.0,193338.0,0.578,,permissioned,56,2019-11-26,2019-11-26,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3106/FUL,"Development Site East Of 23 Formerly Known As 25, Oakleigh Road North, London, N20 9HE",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526519.0,193973.0,0.056,,permissioned,9,2019-11-26,2019-11-26,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,18/5067/PNO,"Kingmaker House, Station Road, Barnet, EN5 1NZ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526326.0,196092.0,0.26,,permissioned,94,2019-11-26,2019-11-26,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/04309/14,"Land Between Sweets Way And Oakleigh Road North, London, N20",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526549.0,193822.0,6.07,,permissioned,288,2019-11-26,2019-11-26,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07670/FUL,"1201 High Road, London, N20 0PD",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526398.0,193746.0,0.95,,permissioned,124,2019-11-26,2019-11-26,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1313/PNO,"Barnet House, 1255 High Road, London, N20 0EJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526405.0,193867.0,0.624,,permissioned,254,2019-11-26,2019-11-26,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/5615/FUL,"Friern Court, Friern Barnet Lane, London, N20 0NJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526626.0,193421.0,0.422,,permissioned,11,2019-11-26,2019-11-26,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,18/6390/FUL,"Myddleton Tennis Club, 1060 High Road, London, N20 0QP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526429.0,193295.0,0.283,,permissioned,8,2019-11-26,2019-11-26,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03139/FUL,"Land Adjacent To Whitings Hill Primary School, Whitings Road, Barnet, EN5 2QY",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523367.0,195631.0,0.66,,permissioned,33,2019-11-26,2019-11-26,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/00354/13,"Dollis Valley Estate, Including Former Barnet Hill School, Barnet South Community Association Hall And 131-135 Mays Lane, Barnet, EN5",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,524622.0,195695.0,10.36,,permissioned,631,2019-11-26,2019-11-26,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Chipping Barnet Town Centre Strategy 2013,"Marie Foster, Wood Street, EN5 4BS",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.204056,51.652721,0.995,owned by a public authority,not permissioned,100,2019-11-26,2019-11-26,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/02178/PNO,"354 Ballards Lane, London, N12 0EH",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526333.0,192065.0,0.018,,permissioned,8,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/02177/PNO,"Apex House, Grand Arcade, London, N12 0EH",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526376.0,192072.0,0.03,,permissioned,8,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/5180/FUL,"105A Ballards Lane, London, N3 1XY",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,525476.0,191064.0,0.107,,permissioned,10,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Finchley Church End Town Centre Strategy 2012 - Site 5,Finchley Central Station Car Park,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.190755,51.600442,0.9,owned by a public authority,not permissioned,556,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,Finchley Church End Town Centre Strategy 2012 - Site 8,"Tesco, 21-67 Ballards Lane",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.192257,51.603343,0.8449,not owned by a public authority,not permissioned,170,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD  Site 1,Tally Ho Triangle & Artsdepot,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.176152,51.613174,1.15,mixed,not permissioned,281,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD 2018 Site 2,307-319 Ballard's Lane North Finchley N12 8LY,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.17818,51.613017,0.43,not owned by a public authority,not permissioned,130,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD 2018 Site 3,"Finchley House, High Rd & Kingsway North Finchley N12 0BT",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.176381,51.612153,0.28,not owned by a public authority,not permissioned,34,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD 2018 Site 6,"799-811 High Rd North Finchley & Lodge Lane Carpark, N12 8JT",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,-0.177913,51.616448,0.81,mixed,not permissioned,132,2019-11-26,2019-11-26,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3265/PNO,"110 - 124 West Hendon Broadway, London, NW9 7AA",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,522297.0,187746.0,0.28,,permissioned,22,2019-11-26,2019-11-26,West Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/00750/FUL,"Upper Welsh Harp, 117-125 West Hendon Broadway, London, NW9 7BP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,522162.0,187787.0,0.264,,permissioned,43,2019-11-26,2019-11-26,West Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/01054/13,"West Hendon Estate, West Hendon, London, NW9",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,521949.0,188068.0,12.99,,permissioned,2000,2019-11-26,2019-11-26,West Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2355/PNO,"1,3,4 And 5 The Exchange, Brent Cross Gardens, London, NW4 3RJ",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523540.0,188002.0,0.309,,permissioned,89,2019-11-26,2019-11-26,West Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2963/RMA,"Brent Cross Cricklewood Regeneration Area, London, NW4",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,523181.0,187889.0,0.69,,permissioned,52,2019-11-26,2019-11-26,West Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2581/PNO,"242 - 246 Ballards Lane, London, N12 0EP",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526042.0,191644.0,0.074,,permissioned,5,2019-11-26,2019-11-26,Woodhouse
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0594/FUL,"744 High Road, London, N12 9QG",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526375.0,192241.0,0.028,,permissioned,8,2019-11-26,2019-11-26,Woodhouse
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/6150/PNO,"Broomhills, Woodside Lane, London, N12 8RB",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526278.0,193123.0,0.051,,permissioned,9,2019-11-26,2019-11-26,Woodhouse
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0786/PNO,"869 High Road, London, N12 8QA",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526301.0,192627.0,0.037,,permissioned,10,2019-11-26,2019-11-26,Woodhouse
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD 2018 Site 4,"East Wing Building, 672-708 High Rd North Finchley N12 9PT/9QL",https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526424.0,192018.0,0.56,not owned by a public authority,not permissioned,125,2019-11-26,2019-11-26,Woodhouse
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,North Finchley SPD 2018 Site 5,744-776 High Rd North Finchley N12 9QG/9QS,https://data.london.gov.uk/dataset/brownfield-land-register,OSGB36,526364.0,192259.0,0.61,not owned by a public authority,not permissioned,175,2019-11-26,2019-11-26,Woodhouse
