OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/st-albans,210,Griffiths Way,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514686&y=206073&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.338774,51.741155,8.52,not owned by a public authority,,permissioned,outline planning permission,2018-01-26,,100,,,"Permission Granted 5/2016/3386 - Outline application (access and scale sought) for mixed use development comprising Class A1 (discount foodstore), Class A1 (non food retail), D2 (gym) and Class A3/A5 (restaurant and drive-through) with associated access and ancillary works. Permission not for housing",2017-02-07,2018-06-29,
http://opendatacommunities.org/id/district-council/st-albans,227,Jewson Depot,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516955&y=207144&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.305568,51.75031,0.34,not owned by a public authority,yes,Not permissioned,,,,20,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,251,Civic Centre South,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514928&y=207252&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.334875,51.751702,0.88,owned by a public authority (part),yes,permissioned,full planning permission,2018-04-30,,100,,,"Permission Granted 5/2017/1060 -  Demolition of existing buildings and redevelopment of site consisting of 86 residential units, 2,101sqm commercial floorspace (flexible uses class A1-A4, B1, D1) and 2,697sqm office floorspace with associated works, access, parking and landscaping; 5/2018/2612 - Change of use of first to fourth floors from Class B1(a)(office) to Class C3 (residential) to create 24, one bedroom flats granted 24/01/2019 - (Hertfordshire House Forms part of this Brownfield site) - Site is partially completed",2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,256,EMP9 (northern part) St Albans Road (adjacent to the Council depot),http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515979&y=209314&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.318976,51.770023,2.4,not owned by a public authority,yes,Not permissioned,,,,100,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,259,Ariston Site (incl Pioneer Youth Club),http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515112&y=208483&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.33181,51.762732,2.63,owned by a public authority,yes,Not permissioned,,,,55,,,Likely all or part retail use. Possible mixed use.,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,260,222 London Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515535&y=206385&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.326377,51.743781,0.66,not owned by a public authority,yes,Not permissioned,,,,22,,,,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,264,West of St Peters Street,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514728&y=207437&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.337717,51.753406,2.13,owned by a public authority,,Not permissioned,,,,60,,,Possible mixed use with parking.  Likely retail use (SLP),2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,275,Catherine Street,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514879&y=207648&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.335456,51.755276,0.81,not owned by a public authority,yes,Permissioned,full planning permission,2019-02-11,,30,,,Partial Permission to land R/O Catherine Street/103-105 St Peters Street for 13 dwellings - 5/2018/1877  Likely mixed use on remainder of Brownfield site,2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,281,Ziggurat car park,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=515519&y=206595&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.326534,51.745677,0.44,not owned by a public authority,yes,permissioned,full planning permission,2018-09-19,,12,,,"Permission Granted 5/2017/1149 - Seventy four apartments with associated access, parking, amenity space and landscaping.",2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,461,Electricity Works Campfield Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=516339&y=206978&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.314536,51.748947,0.66,not owned by a public authority,yes,permissioned,full planning permission,2018-12-20,,107,,,Permission Granted 5/2018/0095 Retention of northern elevation to the Old Electricity Works building and adjoining facade of the warehouse building and demolition of all other existing buildings and construction of new buildings between two and six storeys in height to provide 107 flats.,2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,478,Land at the Hedges Woollam Crescent,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514422&y=209239&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.341553,51.769663,0.27,owned by a public authority,yes,Not permissioned,,,,10,,,Existing temporary housing,2017-02-07,2017-05-23,
http://opendatacommunities.org/id/district-council/st-albans,155,Southern part of Murphys Chemicals Site Codicote Road,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=517912&y=214215&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.289295,51.813664,0.81,not owned by a public authority,yes,permissioned,full planning permission,2019-04-24,,28,,,"Permission granted 5/2018/1260 -  Creation of nine, two bedroom apartments and nine, two bedroom, two, three bedroom and eight, four bedroom dwellings with new access from Palmerston Drive, associated parking, amenity space and landscaping",2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,Non SHLAA NS1,Harpenden Public Hall,http://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=513586&y=214125&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.352062,51.813751,0.47,owned by a public authority,yes,Not permissioned,,,,18,,,Harpenden Neighbourhood Plan 2018 site allocation,2017-02-07,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,Non SHLAA NS2,Former Sopwell Youth Club Site Land to the rear of Leyland Avenue,https://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514894&y=206167&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.335664,51.74184,0.5,owned by a public authority,yes,permissioned,full planning permission,2019-07-09,,7,,,"Permission granted 5/2019/1274 - Demolition of existing building and construction of seven, three bedroom dwellings with associated access road, car parking and landscaping, and new substation enclosure (resubmission following withdrawal of 5/2018/3178)",2018-06-29,2019-12-31,
http://opendatacommunities.org/id/district-council/st-albans,Non SHLAA NS3,Oaktree Manor Nursing Home 2 Chene Drive Waverley Road,https://gis.stalbans.gov.uk/WebMapLayers8/map.aspx?x=514678&y=208212&resolution=0.1&epsg=27700&mapname=stalbans&baseLayer=Black%20and%20White%20Maps&datalayers=Brownfield%20Land%20Register%2CselectFeaturesControl_container,-0.338439,51.76041,0.39,not owned by a public authority,yes,Not permissioned,,,,14,,,,2018-06-29,2018-06-29,
