OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000253,East Herts Council,BR/11,,"26 Ware Road, Hertford, SG13 7HH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,533184.2,212767.2,0.07ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-12-10,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,10.0,Demolition of existing buildings and the erection of a ground floor retail unit 5no. 2-bedroom and 5 no. 1-bedroom residential units with underground parking.,Ground Floor Retail Unit,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000254,East Herts Council,BR/12,,"17 - 19 Castle Street, Hertford, Sg14 1ER",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,532623.6,212460.9,0.03ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-04-22,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8.0,Change of use and alterations of restaurant/bar/wedding venue/ (sui generis) to Class C3 (dwellinghouses) consisting of 3no. two bedroom and 5no. one bedroom flats incorporating first floor side extension.,,,,,,,Only part of the whole site is brownfield.,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000255,East Herts Council,BR/13,,"First, Second and Third Floors, 24, 26,28 Maidenhead Street and 4, 6, 8 The Wash, Hertford, SG14 1DR",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,532561.3,212615.6,0.02ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-12-19,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7.0,"Conversion of existing upper floor offices on first, second and third floors above ground floor level shops to provide 7no. residential self-contained flats.","Ground floor: Continued 2 A1 uses, 1 A2 use, 1 A5 use.",,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000256,East Herts Council,BR/14,,"8 - 12 Railway Street, Hertford, SG14 1BG",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,532708.6,212650.4,0.02ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-06-01,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7.0,The alteration and extension of retail units and the conversion and extension of the upper floors to form 7no. apartments.,Ground floor: Continued 2 A1 uses and 1 A3 use.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000257,East Herts Council,BR/15,,"8 – 12 Bull Plain, Hertford, SG14 1DT",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,532656.1,212672.8,0.02ha,Not owned by a public authority,Yes,Permissioned,Other,2014-09-10,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,6.0,Change of use of first and second floors from B1(a) offices to 6 class C3 residential apartments (4no. 1 bed and 2no. 2 bed).,Ground Floor: Continued 1 Sui-Generis use and 1 B1 Use,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000258,East Herts Council,BR/16,,"Suite 2, Plymouth House, The Square, Sawbridgeworth, CM21 9AE",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,548347.6,214804.8,0.01ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-01-12,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5.0,Extension to roof to enable conversion of office building to 4no. one bed and 1no. two bed apartments. Alterations to fenestration and insertion of 3no. rooflights in rear roof.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000259,East Herts Council,BR/17,,"Land at Crane Mead, Crane Mead, Ware, SG12 9PY",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,536195.3,213962.6,0.84ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-11-14,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,101.0,"Demolition of the existing building and erection of a mixed use development comprising 101 residential (C3) apartments and employment (B1) space, along with associated highway and landscape works.","2,111 square metres of B1 Employment Floorspace.",,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000260,East Herts Council,BR/18,,"Former Sun and Harrow Public House, Fanhams Road, Ware, SG12 7DQ",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,536435.9,214796.8,0.11ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-11-24,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8.0,Development of eight dwellings with associated parking and landscaping.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000261,East Herts Council,BR/19,,"2b Star Street, Ware, SG12 7AA",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,536045.1,214182.5,0.05ha,Owned by a public authority,Yes,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5.0,Mixed-use Development,Retail provision,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000250,East Herts Council,BR/20,,"Steelcraft Works, Hare Street, Buntingford, SG9 0DX",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,539106.0,230363.1,0.54ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-12-20,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5.0,Demolition of existing buildings and removal of hard standing. Erection of five detached dwellings with parking and landscaping.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000262,East Herts Council,BR/21,,"Builders Yard, High Wych Lane, High Wych, Sawbridgeworth, CM21 0JS",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,546406.8,214218.2,0.22ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-02-25,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,3.0,"Demolition of existing industrial units; Erection of 3no. 5 bedroom detached dwellings, 2 No. single storey (B1) office buildings, creation of associated parking areas and ancillary works.  (Resubmission of application 3/14/0553/FP)",Office Floorspace,,,,,,The site is only part brownfield. The site area of the whole site is over 0.25ha.,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000263,East Herts Council,BR/22,,"The Well House and Dixon’s Yard, Acorn Street, Hunsdon, SG12 8PF",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,541784.5,213482.8,0.78ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-06-08,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,12.0,"Demolition of the existing dwelling and industrial buildings and erection of 12no dwellings, garages and landscaping.",Office Floorspace,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000264,East Herts Council,BR/23,,"Spellbrook Farm, London Road, Spellbrook, Bishop’s Stortford, CM23 4AX",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,548584.5,217572.0,0.26ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-01-03,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,3.0,Demolition of existing storage building. Construction of 3no. 4 bedroom single storey homes and 3no. stand-alone double garages.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000265,East Herts Council,BR/24,,"The Spinney, Hoddesdon Road, Stanstead Abbotts, Ware, SG12 8EJ",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,538046.6,211390.2,0.22ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-03-21,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,6.0,Demolition of existing B1/B8 units and erection of 6 dwellings with associated parking and landscaping. (Amended Layout).,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000266,East Herts Council,BR/25,,"17 High Road, Stapleford, Hertford, SG14 3NW",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,531054.6,217224.2,0.24ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-07-04,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7.0,"Conversion of restaurant/pub/hotel to provide 3 no. new dwellings and construction of 4 no. new semi-detached dwellings, the demolition of existing outbuildings, the construction of a new cartlodge, together with the formation of new vehicular accesses from High Road, associated off-street car parking, private garden amenity space, landscaping and other associated development.",Cartlodge Structure,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000267,East Herts Council,BR/26,,"Land adjoining Sacombe Road, Sacombe Road, Waterford, SG14 3LU",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,531832.1,215037.5,0.5ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-12-09,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8.0,"Demolition of existing Lafarge Tarmac depot buildings and structures. Construction of a mix of 8 sustainable dwellings together with associated highway works, landscaping, water management and footpath provision.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000268,East Herts Council,BR/27,,"Watton-at-Stone Depot, Station Road, Watton-at-Stone, SG14 3SH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,529671.1,219296.1,0.39ha,Not owned by a public authority,No,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,10.0,,,,,,,,"The Watton-at-Stone Depot was identified in the Strategic Land Availability Assessment, 2016 as suitable, available and achievable.",2017-12-31,2017-12-31
