Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,If permissioned,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
BR10,GO3; CG-GB-34,South of Goffs Lane/Manning Ground,"577-579 Goffs Lane, Goffs Oak, EN7 5HJ",OSGB36,202822,532558,1.883,not owned by a public authority,not permissioned,,,,,,Redevelopment of site for residential,30,30,,Local Plan Allocation - GO3: South of Goffs Lane,2017-12-15 00:00:00,
BR11,GO5,CG Edwards,"104 Cuffley Hill, Goffs Oak, EN7 5EY",OSGB36,203039,531644,1.208,not owned by a public authority,not permissioned,,,,,,Redevelopment of site for 20 dwellings,20,20,,"Part of Local Plan Allocation GO5: North of Cuffley Hill, where it was identified as having the capacity to deliver 20 homes. Pre-application advice  has been sought (ENQ/16/0345)",2017-12-15 00:00:00,
BR12,HOD2; HOD-U-12,Turnford Surfacing Site,"Rye Road, Hoddesdon, EN11",OSGB36,209883,538466,0.5787,not owned by a public authority,not permissioned,,,,,,Redevelopment of the site for housing and provide a minimum of 20 car parking spaces at the front for commuter car parking,30,40,At least 20 car parking spaces at the front of the site to serve Rye Park Station,Local Plan allocation: HOD2: Turnford Surfacing Site.,2017-12-15 00:00:00,
BR13,HOD-GB-15,Rosehill Bowls Club,"Lord Street, Hoddesdon, EN11 8NL",OSGB36,208799,536569,0.3019,not owned by a public authority,not permissioned,,,,,,,9,9,,,2017-12-15 00:00:00,
BR14,HOD-U-13,Oaklands Yard,"Essex Road, Hoddesdon, EN11 0BX",OSGB36,537900,209072,0.908,not owned by a public authority,permissioned,Full Planning Permission,2015-02-12 00:00:00,2018-02-12 00:00:00,07/16/0388/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0388/F&viewdocs=true,"Residential development of 11 no two bed and 12 no three bed houses, 2 no three storey blocks of 14 no one bed and 34 two bed apartments with associated access, car parking, cycle parking, refuse and amenity areas",71,71,,The Council's Essex Road Gateway Development Brief (April 2011) includes the Oaklands Yard Site.,2017-12-15 00:00:00,
BR15,HOD-U-15,Land rear of 76 High Street,"Land rear of 76 High Street, Hoddesdon, EN11 8ET",OSGB36,208652,537362,0.231,not owned by a public authority,permissioned,Full Planning Permission,2016-01-29 00:00:00,2019-02-15 00:00:00,07/15/0249/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0249/F&viewdocs=true,"Erection of a three storey residential building with accommodation  in the roof, containing 22 no one bed and 18 no two bed units including 9 affordable units with private and shared amenity space. Car and bicycle parking spaces.",40,40,40 secure parking spaces and 40 bicycle spaces accessed via the existing entrance on Conduit Lane,,2017-12-15 00:00:00,
BR16,HOD-U-19,Speakerbus Ltd,"Fourways House, Ware Road, Hoddesdon, EN11 9RS",OSGB36,209384,537346,0.33,not owned by a public authority,permissioned,Full Planning Permission,2015-02-20 00:00:00,2018-02-23 00:00:00,07/14/0843/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0843/F&viewdocs=true,"Demolition of all buildings on site and the erection of a 60 bed care home for the elderly, including access , parking, gardens, landscaping and tree protection measures. Change of use from B1 Business to C2 Residential Institution",60,60,,This site is currently under construction. Construction began on  01/03/2017. It is anticipated that this site will be completed by late 2018,2017-12-15 00:00:00,
BR17,HOD-U-23,19 Amwell Street and Scania House,"Amwell Street, Hoddesdon, EN11 8TS",OSGB36,209055,537282,0.3858,not owned by a public authority,not permissioned,,,,,,,20,60,,,2017-12-15 00:00:00,
BR18,HOD-U-35,Former Hoddesdon Police Station,"Police Station, High Street, Hoddesdon, EN11 8BJ",OSGB36,208119,537178,0.321,owned by a public authority,not permissioned,,,,,,Redevelopment of site for residential (flats),10,30,,,2017-12-15 00:00:00,
BR19,HOD-U-39,Westfield Primary School,"16 Westfield Road, Hoddesdon, EN11 8QX",OSGB36,209251,536765,1.272,,not permissioned,,,,,,,20,40,,,2017-12-15 00:00:00,
BR20,WC2; WX-U-13,Northern High Street/Land Off Sturlas Way,Waltham Cross,OSGB36,200627,536013,2.641,not owned by a public authority,not permissioned,,,,,,,300,300,,Local Plan allocation WC2: Waltham Cross Northern High Street,2017-12-15 00:00:00,
BR21,WX-U-15,Hazlemere Marina,"Station Road and Lea Road, Waltham Abbey, EN9 1AN",OSGB36,200411,537561,1.262,not owned by a public authority,permissioned,Full Planning Permission,2016-07-19 00:00:00,2018-11-12 00:00:00,07/16/0001/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0001/F&viewdocs=true,"Variation to 07/15/0119/F. Development to provide nine buildings comprising 114 residential dwellings  (37 no. one bed, 65 no. two bed, 6 no. three bed and 6 no. four bed).",117,117,,,2017-12-15 00:00:00,
BR22,WX-U-25,Theobalds Grove Station Cark Park,"High Street, Waltham Cross, EN8 7BG",OSGB36,201043,535894,0.3539,owned by a public authority,not permissioned,,,,,,Redevelopment of part of Theobalds Grove Station car park for residential development,22,22,,Draft Development brief on Council's website - can be viewed by using the following web link: www.broxbourne.gov.uk/developmentbriefs,2017-12-15 00:00:00,
BR23,WX-U-28,Waltham Cross Gala Bingo Site,"88-102 High Street, Waltham Cross, EN8 7BX",OSGB36,200265,536119,0.217,not owned by a public authority,not permissioned,,,,,,Demolition of existing buildings and construction of a new X-storey building containing between 40-50 flats.,50,50,large commercial on the ground floor,"Residential on the ground floor at the rear, don't think that this should happen (proposed by developer). Pre-application stage",2017-12-15 00:00:00,
BR24,Commitment,69 Crossbrook Street,"69 Crossbrook Street, Cheshunt, EN8 8LU",OSGB36,535917,201343,0.063,not owned by a public authority,permissioned,Full Planning Permission,2016-06-03 00:00:00,2019-06-03 00:00:00,07/15/1170/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/1170/F&viewdocs=true,"Refurbishment of No. 69 Crossbrook Street to create 2 no. two bed apartments, construction of new 3 storey block to create 1 no. one bed and 4 no. two bed apartments with associated amenity, parking and refuse provision",6,6,,Currently under construction. Construction began on 20/03/2017. It is anticipated that this site will be completed by 12/12/18,2017-12-15 00:00:00,
BR25,Commitment,New River Arms,"High Road, Turnford, EN10  6DB",OSGB36,536408,204797,0.504,not owned by a public authority,permissioned,Full Planning Permission,2015-11-05 00:00:00,2018-11-05 00:00:00,07/14/0904/F,http://planning.broxbourne.gov.uk/Planning/lg/GFPlanningDocuments.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/14/0904/F&viewdocs=true,Demolition and erection of a new part three storey and part four storey mixed use building within a single commercial unit on the ground floor (use class A1-A4) and 45 new residential units (C3),43,43,single commercial unit,,2017-12-15 00:00:00,
BR26,Commitment,74 High Road,"74 High Road, Wormley, EN10 6DU",OSGB36,536481,205313,0.076,not owned by a public authority,permissioned,Full Planning Permission,2016-11-07 00:00:00,2019-11-08 00:00:00,07/16/1016/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/1016/F&viewdocs=true,Erection of a three storey block of 6 two bed apartments,6,6,,,2017-12-15 00:00:00,
BR27,Commitment,56-58 Turners Hill,"56-58 Turners Hill, Cheshunt, EN8 9BD",OSGB36,535937,202117,0.061,not owned by a public authority,permissioned,Full Planning Permission,2016-09-15 00:00:00,2019-09-15 00:00:00,07/15/0155/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0155/F&viewdocs=true,Demolition of existing (56-58 Turners Hill) and erection of a new three storey block of two retail units and seven residential units,6,6,,,2017-12-15 00:00:00,
BR28,Commitment,110 Turners Hill,"110 Turners Hill, Cheshunt, EN8 9BN",OSGB36,535975,202139,0.077,not owned by a public authority,permissioned,Full Planning Permission,2016-04-14 00:00:00,2019-04-18 00:00:00,07/15/0573/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0573/F&viewdocs=true,Demolition of existing car garage buildings and redevelopment of 1 no. three storey block of retail/office on ground floor and offices on first and second floors  and 1 no. three storey block of 2 no. one bed and 4 no. two bed residential units,6,6,,,2017-12-15 00:00:00,
BR29,Commitment,The Windmill,"210A Windmill Lane, Cheshunt, EN8 9AF",OSGB36,536616,202323,0.022,not owned by a public authority,permissioned,Full Planning Permission,2016-11-18 00:00:00,2019-11-22 00:00:00,07/16/0951/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0951/F&viewdocs=true,Development of a four storey building with commercial unit on ground floor and 5 no. residential flats on floors above,5,5,,,2017-12-15 00:00:00,
BR30,Commitment,134 Crossbrook Street,"134 Crossbrook Street, Cheshunt, EN8 8JH",OSGB36,535953,201662,0.042,not owned by a public authority,permissioned,Full Planning Permission,2017-02-27 00:00:00,2020-02-28 00:00:00,07/16/1281/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/1281/F&viewdocs=true,"Partial conversion of ground floor, two storey rear extension and addition of new second floor to create 3 no. one bed and 3 no. two bed flats with off-street parking and cycle/bin storage",5,5,,,2017-12-15 00:00:00,
BR31,Commitment,Land at former Old High Way Tavern,"67 Old Highway, Hoddesdon, EN11 0LT",OSGB36,209819,538093,0.209,not owned by a public authority,permissioned,Reserved Matters Approval,2016-05-17 00:00:00,2019-05-17 00:00:00,07/16/0089/RM,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0089/RM&viewdocs=true,Reserved |Matters pursuant to outline planning permission 07/15/0386/O for the erection of two storey block of 10 flats,10,10,,Currently under construction. Construction began on  01/03/2017. It is anticipated that this site will be completed by 01/12/18,2017-12-15 00:00:00,
BR32,Commitment,The Old Maltings,"Brewery Road, Hoddesdon, EN11 8HF",OSGB36,208858,537441,0.117,not owned by a public authority,permissioned,Full Planning Permission,2016-06-27 00:00:00,2019-06-27 00:00:00,07/16/0125/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0125/F&viewdocs=true,"Conversion, extension and part re-build to form 2 no. one bed apartments, 8 no. two bed apartments and 4 no. bedsits",13,13,,,2017-12-15 00:00:00,
BR33,Commitment,Former Youth Centre,"Rye Road, Hoddesdon, EN11 0LH",OSGB36,208858,537441,0.049,owned by a public authority,permissioned,Full Planning Permission,2016-05-04 00:00:00,2019-05-04 00:00:00,07/16/0141/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0141/F&viewdocs=true,Demolition of existing youth club and erection of a 2.5 storey residential development of 4 one bed and 1 two bed flats following outline approval 07/12/0713/O,5,5,,,2017-12-15 00:00:00,
BR34,Commitment,The Coach House,"90 Ware Road, Hoddesdon, EN11 9ET",OSGB36,209693,537160,0.148,not owned by a public authority,permissioned,Full Planning Permission,2016-12-09 00:00:00,2019-12-09 00:00:00,07/16/0918/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/0918/F&viewdocs=true,Erection of a residential building comprising of 8 two bedroom flats,7,7,,,2017-12-15 00:00:00,
BR35,Commitment,1st Floor at Bridge Court,"Bridge Court, High Street, Waltham Cross, EN8 7AT",OSGB36,201043,535949,0.035,not owned by a public authority,permissioned,Full Planning Permission,2015-09-14 00:00:00,2018-09-25 00:00:00,07/15/0538/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0538/F&viewdocs=true,Change of use from D2 (Assembly and Leisure) to C3 (residential) to provide 3 no one bed and 2 no. two bed flats,5,5,,,2017-12-15 00:00:00,
BR36,Commitment,Eleanor House,"33-35 Eleanor Cross Road, Waltham Cross, EN8 7LF",OSGB36,200426,536202,0.146,not owned by a public authority,permissioned,Full Planning Permission,2016-05-19 00:00:00,2019-05-19 00:00:00,07/15/0923/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0923/F&viewdocs=true,Addition of one floor comprising of 5 no. 2 bed flats,5,5,,,2017-12-15 00:00:00,
BR37,Commitment,Rear of 40 Park Lane,"Rear of 40 Park Lane, Waltham Cross, EN8 8BE",OSGB36,200522,535837,0.26,not owned by a public authority,permissioned,Other,2016-02-09 00:00:00,2019-02-09 00:00:00,07/15/0970/F,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/15/0970/F&viewdocs=true,6 no. three bed and 4 no. two bed. Part outline with matters reserved for redevelopment/reuse of 40 Park Lane to provide 2 no. dwelling units,11,11,,,2017-12-15 00:00:00,
BR38,Commitment,75-81 High Street,"75-81 High Street, Waltham Cross, EN8 7AF",OSGB36,200249,536058,0.076,not owned by a public authority,permissioned,Reserved Matters Approval,2016-11-07 00:00:00,2019-11-09 00:00:00,07/16/1017/RM,http://planning.broxbourne.gov.uk/Planning/dialog.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/1017/RM&viewdocs=true,"Reserved matters pursuant to outline planning permission 07/12/0703/O for first floor rear and side extensions, addition of a second floor and conversion to provide seven residential apartments",7,7,,,2017-12-15 00:00:00,
BR39,Commitment,Volker Fitzpatrick,"Fitzpatrick Contractors Ltd, Woollens Brook, Hertford Road, Hoddesdon, EN11 9BX",OSGB36,209837,535809,1.532,not owned by a public authority,permissioned,Full Planning Permission,,,07/16/1222/F,http://planning.broxbourne.gov.uk/Planning/lg/GFPlanningDocuments.page?org.apache.shale.dialog.DIALOG_NAME=gfplanningsearch&Param=lg.Planning&ref_no=07/16/1222/F&viewdocs=true,Two storey (plus basement) extension to head office and development of 21 residential units,21,21,,,2017-12-15 00:00:00,
BR40,Prior Notification,89-93 Turners Hill,"89-93 Turners Hill,  Cheshunt, EN8 9BD",OSGB36,535887,202284,0.039,not owned by a public authority,permissioned,Other,2015-05-21 00:00:00,2018-05-21 00:00:00,07/15/0333/PNRES,,Change of use of non-res buildings to dwelling(s),6,6,,,2017-12-15 00:00:00,
BR41,Prior Notification,Wellington House,"Trust Road, Waltham Cross, EN8 7HF",OSGB36,200393,536486,0.095,not owned by a public authority,permissioned,Other,2015-10-14 00:00:00,2018-10-14 00:00:00,07/15/0828/PNRES,,"Prior notification of change of use  of ground, first and second floor offices B1(a) to residential (C3)",12,12,,,2017-12-15 00:00:00,
BR42,Prior Notification,Bartholomew Court,"High Street, Waltham Cross, EN8 7TU",OSGB36,200426,536202,0.108,not owned by a public authority,permissioned,Other,2016-03-08 00:00:00,2019-03-08 00:00:00,07/16/0090/PNRES,,Prior notification of change of use of second and third floor offices B1(a) to residential C3 (44 flats),44,44,,This site is currently under construction,2017-12-15 00:00:00,
