OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Eastings,Northings,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/17,,Rock Works Park Lane,http://www.wyreforestdc.gov.uk/media/3411858/BHS17-Rock-Works.png,ETRS89,-2.253838,52.387645,382821,276653,0.358,mixed ownership,yes,not permissioned,,,,,20,,,,20.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/18,,Blakebrook School,http://www.wyreforestdc.gov.uk/media/3411859/BHS1831-Blakebrook-School-and-Woodfield-House.png,ETRS89,-2.258791,52.387751,382484,276666,1.07,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0780/FULL,,41,"Demolition of existing buildings and the erection of 41 new 2, 3 and 4 bed dwelling houses and conversion of listed building to provide 1 dwellinghouse, together with parking and landscaping",,,41.0,,,,Allocated un der SAL.WK1. Pre -application public consultation completed. Application submitted,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/27/28,,17-26 Vicar Street,http://www.wyreforestdc.gov.uk/media/3411860/BHS2728-Vicar-Street.png,ETRS89,-2.249267,52.387493,383132,276635,0.2,not owned by a public authority,yes,permissioned,full planning permission,2016-07-01,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/3028/PNRES,,16,Change of use of a building from Office Use (Class B1(a)) to a dwellinghouse (Class C3),,,16.0,,,,Upper floors to be converted. Part of site is Listed Building - former carpet works,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/31,,Woodfield House Bewdley Road,http://www.wyreforestdc.gov.uk/media/3411859/BHS1831-Blakebrook-School-and-Woodfield-House.png,ETRS89,-2.259771,52.387137,382417,276598,0.31,not owned by a public authority,yes,permissioned,full planning permission,2015-05-13,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0067/FULL,,9,"Conversion, Extension and alterations to form 9No. Apartments",,,9.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/33,,Land at Mill Street,http://www.wyreforestdc.gov.uk/media/3411861/BHS33-Land-at-Mill-Street.png,ETRS89,-2.254786,52.389018,382757,276806,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-12-01,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0200/FULL,,5,Erection of 5No. three bedroom houses,,,5.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/38,,Kidderminster Fire Station Castle Road,http://www.wyreforestdc.gov.uk/media/3411862/BHS38-Kidderminster-Fire-Station.png,ETRS89,-2.250023,52.383364,383079,276176,0.38,owned by a public authority,yes,not permissioned,,,,,40,,,,40.0,,,,fire station due to relocate to new emergency services hub on Stourport Road,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/39,,Boucher Building Green Street,http://www.wyreforestdc.gov.uk/media/3411863/BHS39-Boucher-Building-Green-Street.png,ETRS89,-2.246501,52.383956,383319,276241,0.03,not owned by a public authority,yes,not permissioned,,,,,10,,,,10.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/40,,10-12 Bull Ring,http://www.wyreforestdc.gov.uk/media/3411864/BHS40Bull-Ring.png,ETRS89,-2.249699,52.388491,383103,276746,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-03-22,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/3006/PNRES,,6,"Conversion of upper floors to create 6 residential apartments, 2 two bed apartments and 4 one bed apartments",,,6.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/41,,Tower Buildings Blackwell Street,http://www.wyreforestdc.gov.uk/media/3411865/BHS41Tower-Buildings.png,ETRS89,-2.247162,52.389367,383276,276843,0.215,not owned by a public authority,yes,permissioned,full planning permission,2017-10-16,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/3051/PNRES,,39,Change of use of a building from office use to a dwellinghouse,,,39.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/1,,Churchfields Business Park Clensmore Street,http://www.wyreforestdc.gov.uk/media/3411869/BW12-Churchfields-and-Limekiln-Bridge.png,ETRS89,-2.250029,52.392265,383084,277118,7.0892,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=15/0514/OUTL,,300,"Outline Planning Application for the redevelopment of the site to create approximately 95 residential dwellings, including conversion of one existing building to create 16 flats, along with approximately 669sqm of (B1) office space. NB application due January 2018 will supercede this application",,,300.0,,,,"Request for a screening opinion in respect of proposed residential redevelopment for up to 300 homes, relocation of CMS garage and associated highway works that include new arm off Blackwell Street roundabout from St Marys ring road to provide direct access to Churchfields and creation of one way traffic routes along Horse Fair and Blackwell Street at Churchfields, Kidderminster. Application due January 2018",2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/2,,Limekiln Bridge Clensmore Street,http://www.wyreforestdc.gov.uk/media/3411869/BW12-Churchfields-and-Limekiln-Bridge.png,ETRS89,-2.252731,52.391827,383082,277166,7.09,mixed ownership,yes,not permissioned,,,,,80,,,,80.0,,,,Allocated under KCA.Ch.6 for mix of residential and small scale A3 uses,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/3,,Sladen School Hurcott Road,http://www.wyreforestdc.gov.uk/media/3411870/BW3-Sladen-School.png,ETRS89,-2.241929,52.394385,383634,277400,0.709,owned by a public authority,yes,not permissioned,,,,,72,,,,72.0,,,,Allocated under KCA.Ch.4 for dwelling houses and residential imstitutions,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/5,,Ambulance Station Stourport Road,http://www.wyreforestdc.gov.uk/media/3411872/FPH56-Ambulance-station-and-Oasis.png,ETRS89,-2.261032,52.374171,382326,275156,0.21,owned by a public authority,yes,not permissioned,,,,,12,,,,12.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/6,,Oasis Goldthorn Road,http://www.wyreforestdc.gov.uk/media/3411872/FPH56-Ambulance-station-and-Oasis.png,ETRS89,-2.262451,52.373268,382229,275056,1.78,not owned by a public authority,yes,not permissioned,,,,,91,,,,91.0,,,,Allocated under SAL.SK3,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/10,,British Sugar phase 2 Silverwoods Way,http://www.wyreforestdc.gov.uk/media/3411873/FPH10-British-Sugar-phase-2.png,ETRS89,-2.253219,52.371913,382857,274903,2.86,not owned by a public authority,yes,not permissioned,,,,,70,,,,70.0,,,,Allocated under SAL.SK2,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/15,,Rifle Range Shops Severn Grove,http://www.wyreforestdc.gov.uk/media/3411874/FPH15-Rifle-Range-Shops.png,ETRS89,-2.269911,52.372964,381721,275024,0.586,not owned by a public authority,yes,not permissioned,,,,,12,,,,12.0,,,,Allocated under SAL.KSS,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FHN/9,,Land at 78 Mill Street,http://www.wyreforestdc.gov.uk/media/3411871/FHN9-78-Mill-Street-and-BT-building.png,ETRS89,-2.256393,52.390003,382648,276916,0.2,not owned by a public authority,yes,permissioned,full planning permission,2015-01-28,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=13/0193/FULL,,13,"Conversion of existing garage workshop, formerly part of the demolished mill, to 5 no. two-bed dwellings and the construction of 3no. two bedroom dwellings and 5 no. live-work units, with associated amenity and parking facilities",,,13.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FHN/11,,BT building Mill Street,http://www.wyreforestdc.gov.uk/media/3411871/FHN9-78-Mill-Street-and-BT-building.png,ETRS89,-2.257262,52.390262,382589,276945,0.599,not owned by a public authority,yes,not permissioned,,,,,40,,,,40.0,,,,Part of mixed use area allocation,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,OC/11,,Stourminster School Comberton Road,http://www.wyreforestdc.gov.uk/media/3411884/OC11-Stourminster-site.png,ETRS89,-2.225038,52.378839,384778,275667,2.15,owned by a public authority,yes,not permissioned,,,,,56,,,,56.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/1,,Former Lloyds Garage site Bridge Street,http://www.wyreforestdc.gov.uk/media/3411890/AKR1-Bridge-Street.png,ETRS89,-2.281516,52.338397,380916,271182,0.137,owned by a public authority,yes,not permissioned,,,,,17,,,,17.0,,,,Allocated under SAL.STC1,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/2,,Cheapside Business Park Severn Road,http://www.wyreforestdc.gov.uk/media/3411896/AKR20-2-Carpets-of-Worth-Cheapside.png,ETRS89,-2.276951,52.335917,381226,270905,2.21,not owned by a public authority,yes,not permissioned,,,,,72,,,,72.0,,,,Allocated under SAL.EA2,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/7,,Land rear of Swan Hotel Lickhill Road,http://www.wyreforestdc.gov.uk/media/3411891/AKR7-Swan-Hotel-and-Working-Mens-Club.png,ETRS89,-2.280091,52.340585,381014,271425,1.018,not owned by a public authority,yes,not permissioned,,,,,20,,,,20.0,,,,Allocated under SAL.STC4,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/8,,Land adjacent Toll House Bridge Street,http://www.wyreforestdc.gov.uk/media/3411892/AKR8-adjacent-Toll-House.png,ETRS89,-2.284025,52.336107,380744,270928,0.09,not owned by a public authority,yes,not permissioned,,,,,6,,,,6.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/10,,Shops and garages Queens Road,http://www.wyreforestdc.gov.uk/media/3411893/AKR10-Queens-Road-Shops.png,ETRS89,-2.285274,52.329461,380656,270189,0.468,not owned by a public authority,yes,not permissioned,,,,,14,,,,14.0,,,,allocated under SAL.SSS1,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/11,,The Squirrel Inn Areley Common,http://www.wyreforestdc.gov.uk/media/3411894/AKR11-Squirrel-Inn.png,ETRS89,-2.291985,52.328005,380198,270029,0.19,not owned by a public authority,yes,not permissioned,,,,,7,,,,7.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/18,,Land off Yew Tree Walk,http://www.wyreforestdc.gov.uk/media/3411895/AKR18-Yew-Tree-Walk.png,ETRS89,-2.291244,52.342526,380255,271644,2.489,not owned by a public authority,yes,not permissioned,,,,,85,,,,85.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/20,,Carpets of Worth site Severn Road,http://www.wyreforestdc.gov.uk/media/3411896/AKR20-2-Carpets-of-Worth-Cheapside.png,ETRS89,-2.275079,52.337108,381354,271037,3.305,not owned by a public authority,yes,not permissioned,,,,,170,,,,170.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/1,,County Buildings Worcester Street,http://www.wyreforestdc.gov.uk/media/3411875/MI1-County-Buildings.png,ETRS89,-2.277202,52.343271,381212,271723,0.67,owned by a public authority,yes,not permissioned,,,,,40,,,,40.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/5,,Land off Baldwin Road,http://www.wyreforestdc.gov.uk/media/3411877/MI5-Baldwin-Road.png,ETRS89,-2.271601,52.341764,381593,271554,0.8316,not owned by a public authority,yes,permissioned,,,,,55,,,,55.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/6,,Land off Steatite Way,http://www.wyreforestdc.gov.uk/media/3411878/MI6-Steatite-Way.png,ETRS89,-2.291554,52.349385,380237,272407,3.31,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=15/0623/OUTL,,106,Erection of up to 106 dwelling houses and means of access,,,106.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/7,,Car sales Worcester Road (southern parcel),http://www.wyreforestdc.gov.uk/media/3411879/MI7-Worcester-Road-Garage.png,ETRS89,-2.270235,52.336949,381684,271018,0.293,not owned by a public authority,yes,not permissioned,,,,,15,,,,15.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/11,,3 Sandy Lane Titton,http://www.wyreforestdc.gov.uk/media/3411880/MI11-SAndy-Lane-Titton.png,ETRS89,-2.263805,52.329375,382119,270174,0.32,not owned by a public authority,yes,not permissioned,,,,,13,,,,13.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/12,,Robbins Depot Manor Road,http://www.wyreforestdc.gov.uk/media/3411881/MI12-Robbins-Depot.png,ETRS89,-2.272355,52.347633,381544,272207,0.19,not owned by a public authority,yes,not permissioned,,,,,12,,,,12.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/29,,Former Chichester Caravans Vale Road,http://www.wyreforestdc.gov.uk/media/3411882/MI29-Chichester-Caravans.png,ETRS89,-2.275581,52.342276,381322,271612,0.34,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0662/RESE,,28,"28no dwellings and associated works - reserved matters submission of appearance, scale and landscaping following outline permission 14/0027/OUTL",,,28.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/34,,106 Minster Road,http://www.wyreforestdc.gov.uk/media/3411883/MI34-106-Minster-Road.png,ETRS89,-2.274961,52.343914,381365,271794,0.15,not owned by a public authority,yes,not permissioned,,,,,20,,,,600.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/WC/15,,Lea Castle Hospital Park Gate Road,http://www.wyreforestdc.gov.uk/media/3411888/WFRWC15-Lea-Castle-Hospital.png,ETRS89,-2.221934,52.413115,385001,279479,48.66,owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=17/0205/OUTL,,600,"Outline planning application to include up to 600 dwellings (C3), up to 3,350sqm of Class B1 employment uses, 150sqm of Class A1/A3/D1 uses (local shop/café/community space), public open space, ecological mitigation, drainage works, infrastructure and ancillary works. Detailed approval is sought for access arrangements, to include the main access from Park Gate Road, secondary access from The Crescent and limited access to a small number of properties from Axborough Lane, with all other matters reserved. (REVISED / ADDITIONAL PLANS)",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/WC/18,,Sion Hill Middle School Sion Hill,http://www.wyreforestdc.gov.uk/media/3411889/WFRWC18-Sion-Hill-School.png,ETRS89,-2.236853,52.404258,383983,278497,2.1,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0305/OUTL,,60,Outline Planning Application for up to 46 dwellings with all matters reserved other than access,,,60.0,,,,Revised scheme for 60 dwellings. Application expected early 2018,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/BR/5,,Yieldingtree Packers Hackman Gate,http://www.wyreforestdc.gov.uk/media/3411886/WFRBR5-Yielding-Tree-Packers.png,ETRS89,-2.155077,52.398568,389545,277849,0.91,not owned by a public authority,yes,permissioned,outline planning permission,2016-10-18,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0503/OUTL,,9,"Outline application (with all matters reserved save for access, scale and partial landscaping) for demolition of existing buildings and redevelopment of the site to provide up to five dwellings",,,9.0,,,,Full application for 9 dwellings - pending decision http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0764/FULL,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/ST/9,,Cursley Distribution Park Curslow Lane,http://www.wyreforestdc.gov.uk/media/3411887/WFRST9-Cursley-Distribution-Park.png,ETRS89,-2.196015,52.34703,386744,272123,3.293,not owned by a public authority,yes,not permissioned,,,,,80,,,,80.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/BE/1,,Bewdley Fire Station Load Street car park,http://www.wyreforestdc.gov.uk/media/3411866/BRBE1-Bewdley-Fire-Station.png,ETRS89,-2.316207,52.376796,378571,275463,0.186,owned by a public authority,yes,not permissioned,,,,,15,,,,15.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/RO/1,,Land at Clows Top,http://www.wyreforestdc.gov.uk/media/3411867/BRRO1-Clows-Top.png,ETRS89,-2.418649,52.343601,371576,271806,1.44,not owned by a public authority,yes,not permissioned,,,,,30,,,,30.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/RO/26,,Bliss Gate Inn,http://www.wyreforestdc.gov.uk/media/3411868/BRRO26Bliss-Gate-Inn.png,ETRS89,-2.372321,52.350318,374736,272536,0.158,not owned by a public authority,yes,not permissioned,,,,,6,,,,6.0,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WA/UA/1,,Land at Bellmans Cross Shatterford,http://www.wyreforestdc.gov.uk/media/3411885/WAUA1-Bellmans-Cross.png,ETRS89,-2.310181,52.428631,379006,281227,0.8,not owned by a public authority,yes,not permissioned,,,,,20,,,,20.0,,,,,2017-12-31,2017-12-31
