OBJECTID,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,GlobalID,AlternativeReferences,EndDate,Shape_STArea__,Shape_STLength__
15,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000026,73 Northgate Beccles NR34 9AY,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PLESMXTBHCT00,ETRS89,1.563453880000000,52.463277620000000,4.12929931598308E-03,not owned by a public authority,Yes,permissioned,full planning permission,20/03/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PLESMXTBHCT00,1,1,,Planning application number BA/2019/0018/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{667C0A94-ADF3-464C-B414-57DFC37A79D2},BA/2019/0018/FUL,,0.000000005430124,0.000353785317438
12,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000001,Derbys Quay Bridge Wharf Gillingham Dam Gillingham Beccles Norfolk NR34 0PA,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,ETRS89,1.560870650000000,52.464464040000003,3.03713620114204E-02,not owned by a public authority,Yes,permissioned,full planning permission,08/08/2014 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MOJ2UJTB00200,2,2,,Planning application number: BA/2013/0171/EXT8W extends time limit for BA/2010/0124/FUL.,23/11/2017 00:00:00,20/12/2018 00:00:00,{FBF499A4-31B4-4765-9CEB-6DAD8C6C1704},BA/2013/0171/EXT8W,,0.000000039939898,0.001098430368146
17,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000022,Land Adjacent To Cordova Cottages The Staithe Stalham NR12 9BZ,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=POZCTZTB02300,ETRS89,1.517847090000000,52.767308239999998,6.25715762324958E-02,not owned by a public authority,Yes,permissioned,full planning permission,06/09/2019 00:00:00,,3,3,,Planning application number BA/2019/0112/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{AF6114EE-2F00-45BF-ADFC-711C04BA1975},BA/2019/0112/FUL,,0.000000082851628,0.001218588863674
24,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000010,"Hedera House, The Street, Thurne, Norfolk",https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,ETRS89,1.554869410000000,52.686439219999997,0.776725922946298,not owned by a public authority,Yes,permissioned,outline planning permission,12/09/2017 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=ON9TEYTB01W00&activeTab=summary,16,16,,Allocated in Sites Specifics Local Plan 2014 and draft allocated in emerging new Local Plan Policy THU1. Details of the planning application: BA/2017/0103/OUT,23/11/2017 00:00:00,20/12/2018 00:00:00,{7C82BFDC-379B-4913-8B2C-7373B297137C},Thurne,,0.000001026622300,0.004862359771604
3,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000024,Lawn Bungalow Tunstall Road Halvergate Great Yarmouth NR13 3FD,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PMC4MTTBHE800,ETRS89,1.569016330000000,52.613552419999998,0.111659875222649,not owned by a public authority,Yes,permissioned,full planning permission,20/06/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PMC4MTTBHE800,0,0,,Planning application number BA/2019/0044/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{D7371921-0DAC-40FA-9A19-7A261F513445},BA/2019/0044/FUL,,0.000000147341161,0.001732447804915
2,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000007,"Building next to Kings Head Hotel, Station Road, Hoveton.",https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,ETRS89,1.409030570000000,52.712723920000002,2.82701683941985E-02,not owned by a public authority,Yes,not permissioned,,,,0,,,Allocated in emerging Local Plan - Policy HOV3.,23/11/2017 00:00:00,20/12/2018 00:00:00,{F36CC76C-C079-4517-A926-87A8216E2253},Hoveton,,0.000000037378975,0.001293494474126
16,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000012,Old School House St Olaves Road Herringfleet NR32 5QT,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0VWNNTBGTD00,ETRS89,1.641308920000000,52.523774430000003,4.87384082532141E-02,not owned by a public authority,Yes,permissioned,full planning permission,17/05/2018 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0VWNNTBGTD00,1,1,,Planning application number: BA/2017/0484/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{28B6E25E-70C2-41DE-9527-949F89E903DF},BA/2017/0484/FUL,,0.000000064188889,0.001115616963474
4,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000011,Utilities Site,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0008/995570/12_NORWICH-new.pdf,ETRS89,1.323572450000000,52.622972429999997,4.51160992365594,not owned by a public authority,,not permissioned,,,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR28G3TB01U00,120,120,Yes,Allocated in Sites Specific Local Plan 2014 and emerging Local Plan Policy Number NOR1. Previous application withdrawn (BA/2015/0225/FUL). Potential for hazardarous substances to be present on the site.,23/11/2017 00:00:00,20/12/2018 00:00:00,{55405201-710C-42CB-B7A3-AB6AB61D0F83},Utilities Site,,0.000005952125072,0.017767094343522
11,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000003,The Valley House Low Road Mettingham Suffolk NR35 1TS,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,ETRS89,1.472335800000000,52.465422580000002,2.57705460526887,not owned by a public authority,Yes,permissioned,full planning permission,30/06/2016 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZUKQATBFTZ00,4,4,,BA/2014/0239/FUL withdrawn. BA/2003/6138/HISTAP  Approved subject to conditions.,23/11/2017 00:00:00,20/12/2018 00:00:00,{5C3DFCF0-CCAE-42AB-8AB4-BA935C53859B},BA/2015/0426/FUL,,0.000003388527638,0.010964416163660
22,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000027,Formerly Windboats Marine Ltd Staitheway Road Wroxham Norwich Norfolk NR12 8TH,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PIN7FQTB02300,ETRS89,1.406716480000000,52.709659449999997,1.64181017569259E-02,not owned by a public authority,Yes,permissioned,full planning permission,22/01/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PIN7FQTB02300,1,1,,Planning application number BA/2018/0477/PN,04/12/2019 00:00:00,04/12/2019 00:00:00,{5C54AE4F-63D2-4B13-A5A4-BBCB8643C007},BA/2018/0477/PN,,0.000000021706491,0.000715566420402
7,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000016,Broadholme Caldecott Road Lowestoft Suffolk NR32 3PH,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NT2RNQTB00500,ETRS89,1.707298270000000,52.476375140000002,0.162959559800019,not owned by a public authority,Yes,permissioned,full planning permission,27/10/2015 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NT2RNQTB00500,3,3,,Planning application number BA/2015/0277/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{F9A3D6CC-12CA-469F-A683-C4EA0BA6F8EA},BA/2015/0277/FUL,,0.000000214410441,0.002229854852040
19,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000023,1 The Green Mill Road (track) Stokesby With Herringby Norfolk NR29 3EX,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PN6JE9TB02300,ETRS89,1.592270440000000,52.638233530000001,9.7059961371438E-03,not owned by a public authority,Yes,permissioned,full planning permission,05/08/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PN6JE9TB02300,1,1,,Planning application number BA/2019/0063/CU,04/12/2019 00:00:00,04/12/2019 00:00:00,{2309E6B0-C705-4629-9B72-DF1D3D47A9F1},BA/2019/0063/CU,,0.000000012815313,0.000558176381862
8,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000017,Claxton Manor Barn Complex The Street Claxton Norfolk NR14 7AS,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRM7AOTBFML00,ETRS89,1.446291000000000,52.581123280000000,0.489764202748871,not owned by a public authority,Yes,permissioned,full planning permission,12/11/2015 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRM7AOTBFML00,2,2,,Planning application number BA/2015/0246/FUL,20/12/2018 00:00:00,20/12/2018 00:00:00,{76EF8DFA-62A7-49EC-9027-E4899E3A6327},BA/2015/0246/FUL,,0.000000645658154,0.005652128683899
6,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000020,28 Riverside Estate Brundall Norwich NR13 5PU,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PJNTZPTBHBH00,ETRS89,1.436782810000000,52.615666550000000,3.31088560140208E-02,not owned by a public authority,Yes,permissioned,full planning permission,18/04/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PJNTZPTBHBH00,1,1,,Planning application number BA/2018/0504/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{8F6D3F0E-48B1-4FC5-9CFC-E5FD05A31AD8},BA/2018/0504/FUL,,0.000000043681368,0.001061956361202
25,http://opendatacommunities.org/id/geography/administration/npark/E26000007,The Broads Authority,BF000021,Port Of Yarmouth Marina Caister Road Great Yarmouth NR30 4DL,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PP5ZCSTBHH800,ETRS89,1.724869010000000,52.627705620000000,1.48932297723747,not owned by a public authority,Yes,permissioned,full planning permission,04/11/2019 00:00:00,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PP5ZCSTBHH800,7,7,,Planning application number BA/2019/0118/FUL,04/12/2019 00:00:00,04/12/2019 00:00:00,{854EFD5B-D0D3-4970-B0C9-ED4CE4C215C6},BA/2019/0118/FUL,,0.000001966383032,0.021158726393057
