OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,FirstAddedDate,LastUpdatedDate,OrganisationURI,PreviouslyPartOf,Note
Malvern Hills District Council,MHDCBLR/0011,"Land adj Henwick Mill House, Martley Road - part BF and part GF, Lower Broadheath;",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0011+Land+adj+Henwick+Mill+House%2C+Martley+Road%2C+Lower+Broadheath.pdf/37ed5b38-8dc0-331a-88c0-df8d06abb39b,ETRS89,383076,256197,1.54,Not owned by a public authority,,Not Permissioned,,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66107,,38,,,,38,46,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP59*
Malvern Hills District Council,MHDCBLR/0012,"Land adj. former Pheasant Inn - part BF and part GF, Welland",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0012+Land+adj+former+Pheasant+Inn%2C+Welland.pdf/90ebf4a6-035d-2260-639f-adf302d1f99f,ETRS89,379792,240031,0.67,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2017-10-19,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,,14,Outline Application for the Erection of up to 14No. Dwellings and Retention of Existing Public House. All Matters Reserved Except Access.,,,14,14,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP59/13
Malvern Hills District Council,MHDCBLR/0013,"Land at Wheatfield Court, Callow End",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0013+Land+at+Wheatfield+Court%2C+Callow+End.pdf/b47287ab-d5e4-6bc9-9797-777ee9cf6dae,ETRS89,383490,250256,0.95,Not owned by a public authority,,Not Permissioned,,,,,13,,,,13,17,,,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,Development Plan reference SWDP60/3
Malvern Hills District Council,MHDCBLR/0014,"125 Church Street,Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0014+125+Church+Street%2CMalvern.pdf/e2eefff1-6aef-db36-6350-6d6855787770,ETRS89,377772,245994,0.10,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-08-12,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66257,,5,Conversion of existing building (B1 use) and Coach House to form 5 residential units.,,,5,5,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66257,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0015,"Land at Stanford Court, Stanford Bridge",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0015+Land+at+Stanford+Court%2C+Stanford+Bridge.pdf/219f51e9-4a72-ea3a-c982-ff02eee6cf79,ETRS89,370894,265633,1.46,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2014-12-18,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=67354,,15,Erection of 15 dwellings and associated works,,,15,15,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=67354,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0016,"Clay Green Farm, Folly Road, Alfrick",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0016+Clay+Green+Farm%2C+Folly+Road%2C+Alfrick.pdf/19845a0e-49a5-6eb8-15fa-05e78ed7f421,ETRS89,375056,253260,0.76,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016-07-22,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=68685,,23,"Outline application with all matters reserved (except for access) for a residential development comprising 21 dwellings, including 8 affordable dwellings, with associated access (via existing access) and car parking, and on-site biodiversity and SuDS area.",,,23,23,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=68685,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0017,"Priors Croft, Grange Road, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0017+Priors+Croft%2C+Grange+Road%2C+Malvern.pdf/322c3bc2-73c0-2151-7638-4cba01804dd9,ETRS89,377683,245904,0.15,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-11-17,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=70860,,6,"Change of use of existing premises from Public House, Restaurant and Night Club to residential use. Part demolition of ancillary buildings, conversion of existing building to 3 townhouses and erection of a new townhouse. Alterations to accesses, car parking and landscaping.",,,6,6,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=70860,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0018,"20 Belle Vue Terrace, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0018+20+Belle+Vue+Terrace%2C+Malvern.pdf/bc10db8f-f86e-adf6-9411-2b4aa4ce4b27,ETRS89,377457,245952,0.10,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2016-12-23,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=70863,,8,Full planning application and listed building consent for the conversion of the first and second floor to residential use consisting of 2 no.one bedroom studio and 6 no. one bedroom apartments including part demolition to the rear wing and minor alterations.,,,8,8,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=70863,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0019,"Salvation House, Ranelagh Road, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0019+Salvation+House%2C+Ranelagh+Road%2C+Malvern.pdf/adec6cdb-8e50-dedc-f218-ef995e238e60,ETRS89,379064,248036,0.23,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-05-10,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=72586,,5,Conversion of Salvation House to form six apartments,,,5,5,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=72586,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
Malvern Hills District Council,MHDCBLR/0020,"16 Victoria Road, Malvern",https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0020+16+Victoria+Road%2C+Malvern.pdf/b5fd5da0-d199-01dd-7721-f5d6e1350c7c,ETRS89,377841,246293,0.11,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2017-03-21,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=73544,,7,Demolition of existing 4 bedroom house and construction of new apartment building with 6 no. 2 bedroom and 2 no. 1 bedroom flats,,,7,7,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=73544,28/12/2017,,http://opendatacommunities.org/id/district-council/malvern-hills,,
