OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR009,"""Texaco Garage, 36-46 Albert Embankment""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.488785,-0.121093,0.19,not owned by a public authority,permissioned,full planning permission,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,yes,166,166,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000040,BLR037,41-45 Acre Lane,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.459082,-0.119436,0.11,not owned by a public authority,permissioned,full planning permission,2018-08-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUB92IBOKC800,yes,24,24,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,BLR020,2-7 Stockwell Green,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.46821,-0.118361,0.09,not owned by a public authority,permissioned,full planning permission,2019-05-02,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O4YKWIBO0GI00,yes,24,24,,,2017-12-15,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR014,85 Brixton Hill,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.454396,-0.117135,0.06,not owned by a public authority,permissioned,full planning permission,2017-06-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,yes,7,7,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR010,340A Clapham Road,,51.469497,-0.126674,0.19,not owned by a public authority,permissioned,full planning permission,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,yes,62,62,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR017,44 Clapham Common South Side,,51.45763,-0.138776,1.41,not owned by a public authority,permissioned,full planning permission,2018-03-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OL40Z6BOKOL00&activeTab=summary,yes,293,293,,,2017-12-15,2018-12-17,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,BLR030,South Lambeth Estate,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.477464,-0.116633,2.28,owned by a public authority,permissioned,outline planning permission,2019-09-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P0T7CFBOIX100&activeTab=summary,yes,261,261,,,2017-12-15,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR045,Land between 33 and 35 Medora Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.449455,-0.114899,0.06,not owned by a public authority,permissioned,full planning permission,2018-11-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTLVHLBOJNM00,yes,5,5,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,BLR025,Central Hill Estate,,51.420577,-0.086676,6.86,owned by a public authority,not permissioned,,,,,503,503,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000038,BLR035,"""Gasholder Station, Kennington Oval""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.485005,-0.113115,2.03,not owned by a public authority,permissioned,full planning permission,2018-08-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P031HPBOI0700&activeTab=summary,yes,738,738,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000037,BLR034,Fitch Court,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.456874,-0.11222,0.34,owned by a public authority,not permissioned,,,,,18,18,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,BLR024,2-4 Hercules Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.498008,-0.111203,0.02,not owned by a public authority,permissioned,full planning permission,2018-06-22,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONZNCQBOH3X00,yes,6,6,,,2017-12-15,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000036,BLR033,Pope's Road Car Park,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.463086,-0.110483,0.47,owned by a public authority,not permissioned,,,,yes,97,97,,,2017-12-15,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,BLR026,Cressingham Gardens,,51.446745,-0.111573,4.2,owned by a public authority,not permissioned,,,,,159,159,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000044,BLR041,Garages at Walcot Square,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.493821,-0.108367,0.12,not owned by a public authority,permissioned,full planning permission,2018-06-05,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOXAH2BOI7D00,yes,6,6,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,BLR029,Hemans Estate,,51.478601,-0.130305,1.91,owned by a public authority,not permissioned,,,,,21,21,,,2017-12-15,2017-12-15,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,BLR012,151 Palace Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.438775,-0.105245,0.09,not owned by a public authority,permissioned,full planning permission,2017-09-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQEK6SBOKBH00,yes,9,9,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000035,BLR032,Knight's Walk Estate,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.491096,-0.104788,0.93,owned by a public authority,permissioned,full planning permission,2019-04-18,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0T4K3BOIWY00,yes,66,66,,,2017-12-15,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,BLR018,260 Knight's Hill,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.422833,-0.104761,0.11,not owned by a public authority,permissioned,full planning permission,2017-05-05,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OL66ZMBOKQK00,yes,6,6,,,2017-12-15,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000045,BLR042,341 - 343 Norwood Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.440261,-0.104101,0.07,not owned by a public authority,permissioned,full planning permission,2018-10-03,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OWIW98BOJ5E00&activeTab=summary,yes,6,6,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,BLR021,"""Land to rear of Viking House, Denmark Road""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.470691,-0.09733,0.08,not owned by a public authority,permissioned,full planning permission,2018-11-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORYE8EBOMN400,yes,8,8,,,2017-12-15,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000043,BLR040,31-37 Auckland Hill,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.428773,-0.095347,0.07,not owned by a public authority,permissioned,full planning permission,2018-12-14,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P98PP6BOLFC00,yes,7,7,,,2018-12-17,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000047,BLR044,Land adjacent to 16 Beardell Street,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.419904,-0.07988,0.02,not owned by a public authority,permissioned,full planning permission,2018-05-25,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P1VRG2BOK1I00,yes,5,5,,,2018-12-17,2018-12-17,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000034,BLR031,"""Tesco, 263-275 Kennington Lane""",,51.486431,-0.114947,1.31,not owned by a public authority,permissioned,full planning permission,2018-12-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PAP13OBOMQM00,yes,248,248,,,2017-12-15,2019-12-20,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000039,BLR036,133-139 Leigham Court Road,,51.43343238,-0.118610493,0.15,not owned by a public authority,not permissioned,,,,,5,5,,,2018-12-17,2018-12-17,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000042,BLR039,Land at 396 Streatham High Road,,51.42348445,-0.130281437,0.04,not owned by a public authority,permissioned,full planning permission,2018-05-04,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P0AJHRBOID800&activeTab=summary,yes,8,8,,,2018-12-17,2018-12-17,2019-12-20,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000049,BLR046,"""Roman Rise, Central Hill Estate""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.42098,-0.088482,0.19,owned by a public authority,not permissioned,,,,yes,21,21,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000050,BLR047,"""Trinity Rise, Cressingham Gardens""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.444924,-0.108506,0.13,owned by a public authority,not permissioned,,,,yes,20,20,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000051,BLR048,Fenwick Place,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.464204,-0.126926,0.15,owned by a public authority,not permissioned,,,,yes,23,23,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000052,BLR049,Hemans Estate Ball Court,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.478737,-0.129804,0.06,owned by a public authority,not permissioned,,,,yes,18,18,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR050,604-610 Streatham High Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.414672,-0.123465,0.19,not owned by a public authority,permissioned,full planning permission,2019-04-17,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OT37QXBOJ4R00,yes,23,23,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR051,37 And 39 Shrubbery Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.429551,-0.126404,0.03,not owned by a public authority,permissioned,full planning permission,2019-01-31,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P2M7V6BOKV500,yes,4,4,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR052,55 Union Grove,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.470652,-0.131724,0.07,not owned by a public authority,permissioned,full planning permission,2019-01-24,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P4YOF1BOG7O00&activeTab=summary,yes,4,4,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR053,"""Youth Club, Kenbury Street""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.469387,-0.095641,0.09,not owned by a public authority,permissioned,outline planning permission,2019-03-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P5W49HBOHB000&activeTab=summary,yes,7,7,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR054,37 Hainthorpe Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.431621,-0.10714,0.04,not owned by a public authority,permissioned,full planning permission,2018-11-16,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PA0HOLBOM7600,yes,3,3,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR055,262 Rosendale Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.447114,-0.098785,0.03,not owned by a public authority,permissioned,full planning permission,2019-10-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJ0JCBBOI3400,yes,3,3,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR056,43 Ambleside Avenue,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.42892,-0.133766,0.08,not owned by a public authority,permissioned,full planning permission,2019-10-11,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=PNNFBABOJWT00&activeTab=summary,yes,5,5,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR057,"""West Norwood Lawn Tennis Club, 128 Knight's Hill""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.428528,-0.103302,0.38,not owned by a public authority,permissioned,outline planning permission,2018-01-12,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=O42RFOBO0IA00&activeTab=summary,,32,32,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR058,Graphite Square,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.488953,-0.118159,0.44,not owned by a public authority,permissioned,full planning permission,2019-09-25,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEHGOGBO09600| https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORSMMXBO0GX00,yes,160,178,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR059,8 Albert Embankment and land to the rear,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.492099,-0.118712,1.05,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=PPN0WTBO09600&activeTab=summary,yes,417,417,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR060,6 Lansdowne Hill,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.434278,-0.103519,0.28,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PVM8QSBO08M00,yes,51,51,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR061,22 Wyvil Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.481123,-0.125283,0.05,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORJQL4BOM3D00,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR062,The Cricketers,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.484028,-0.112332,0.07,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P30CDCBOLD100,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR063, 1-7 Aytoun Road and Aytoun Court,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.468955,-0.115252,0.15,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P7HBRGBOJFI00,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR064,Plot Adjacent 29 Sternhold Avenue,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.438136,-0.126727,0.03,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PFCW84BOKNZ00,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR065,"""Land At Rear Of Robins Court, Kings Avenue""",http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.453013,-0.126864,0.06,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PGAAAUBOLQ500,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR066,101 Streatham High Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.429476,-0.127596,0.23,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PGR7NLBOMEW00,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR067,382A To 384 Norwood Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.433088,-0.102554,0.1,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PHRZ6GBOFR800,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR068,3 To 27 Wilcox Road,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.47922,-0.125143,0.21,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJBJS8BOIEC00,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR069,Hero of switzerland,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.46674,-0.103903,0.04,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PQF5I8BOMQ400,yes,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR070,Denby Court,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.493055,-0.113464,0.52,owned by a public authority,not permissioned,,,,yes,116,116,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR071,Patmos Lodge,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.475816,-0.105711,0.23,owned by a public authority,not permissioned,,,,yes,34,34,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR072,Lansdowne Wood Close,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.434233,-0.105698,0.07,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDEOU1BOIC500,,,,,,2019-12-20,2019-12-20,,,
http://opendatacommunities.org/id/geography/administration/lonb/E09000048,BLR073,Ashmole Estate,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,51.482957,-0.116477,0.29,not owned by a public authority,pending decision,,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PNN410BO09600,,,,,,2019-12-20,2019-12-20,,,
