OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,Unnamed: 30,Unnamed: 31,Unnamed: 32
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR10,,Covers Richmond Road Bognor Regis,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=493518&y=99507&resolution=1.0&MapName=Helaa,ETRS89,50.787591456,-0.6746666684,1.19,not owned by a public authority,yes,not permissioned,,,,,32,,It has been idenitfied in the Bognor Regis Masterplan for mixed use development.,,32.0,34.0,,,,2017-11-10,2017-11-10,493518,99507,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,17LU9,,Littlehampton - West Bank,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=501957&y=102175&resolution=1.0&MapName=Helaa,ETRS89,50.8101557116,-0.5542452492,8.46,mixed ownership,yes,not permissioned,,,,,390,,"Currently hosts a variety of uses. Potential for comprehensive redevelopment including taller buildings, retention of marina facilities, commercial space, restaurant uses, public space, flood defences, school.",,390.0,620.0,,,,2017-11-10,2017-11-10,501957,102175,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWLU38c,,Works units at Gloucester Road and Howard Road Littlehampton,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=502316&y=102375&resolution=1.0&MapName=Helaa,ETRS89,50.8118903802,-0.5490957758,0.35,not owned by a public authority,yes,not permissioned,,,,,12,,,,12.0,14.0,,,,2017-11-10,2017-11-10,502316,102375,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,P5408,,St Ninians Church Pagham,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=489033&y=98298&resolution=1.0&MapName=Helaa,ETRS89,50.7774264988,-0.7385695079,0.26,not owned by a public authority,yes,not permissioned,,,,,8,,,,8.0,10.0,,,,2017-11-10,2017-11-10,489033,98298,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR14914OUT,,Belmont Lodge and land west of Belmont Street Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7832419442,-0.6717963467,0.09,not owned by a public authority,yes,permissioned,planning permission granted under an order,2016-05-17,http://www.arun.gov.uk/weekly-lists,,35,BR/74/16/PD: Prior notification under Class O for change of use from Use Class B1(a) offices to Use Class C3 dwelling houses.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493729,99027,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR15515,,The Royal Hotel The Esplanade Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7813092724,-0.6774115805,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-09-26,http://www.arun.gov.uk/weekly-lists,,18,BR/130/17/PL: Change of Use of hotel & function room/licensed bar (C1 Hotel) to 18No. flats (C3 Dwelling houses).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493337,98805,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU11108,,The Locomotive Public House Terminus Road Littlehampton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.8098013391,-0.5452714909,0.03,not owned by a public authority,yes,permissioned,full planning permission,2016-05-19,http://www.arun.gov.uk/weekly-lists,,9,LU/45/16/PL: 6 No. two bed & 3 No. one bed apartments with associated cycle & refuse storage,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,502590,102148,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU5515OUT,,Land South of Littlehampton Academy Littlehampton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.8139895553,-0.534296092,2.42,owned by a public authority,yes,permissioned,outline planning permission,2016-09-28,http://www.arun.gov.uk/weekly-lists,,68,LU/55/15/OUT: Application for outline planning permission with some matters reserved for 68 No. dwellings (resubmission following LU/51/14/).,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,503354,102629,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,NEWWA15,,Progress Garage Yapton Lane Walberton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.8383965729,-0.6137340242,0.17,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-02,http://www.arun.gov.uk/weekly-lists,,6,WA/103/16/OUT: Outline application with some matters reserved for construction of 6 no. dwelling houses & associated works.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497707,105235,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,Y2214,,Land to the west of Kings Close Yapton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.8189991431,-0.610815838,0.35,not owned by a public authority,yes,permissioned,outline planning permission,2015-11-05,http://www.arun.gov.uk/weekly-lists,,10,"Y/56/15/OUT: Outline application for proposed mixed use development comprising 5 No.3 bedroom houses, 4 No. 2 bedroom houses & 1 No. 1 bedroom flat over car ports together with 4 No. B1 workshop/business units all with parking & access to main road via a redefined alignment of Kings Close & Highway improvement works at existing crossover.",4 No. B1 workshop/business units,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497953,103082,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,LU20516,,C M Wood Body Repair Centre Linden Park Littlehampton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.8118515971,-0.5488698681,0.06,not owned by a public authority,yes,permissioned,full planning permission,2016-11-29,http://www.arun.gov.uk/weekly-lists,,10,LU/205/16/PL: Demolition of existing workshop buildings & erection of 10 No. flats consisting 4 No. 2 bed flats & 6 No. 1 bed flats.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,502332,102371,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,M4516,,Land West of Yapton Road (Poultry Farm) Middleton,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7981657389,-0.6194802255,0.55,not owned by a public authority,yes,permissioned,full planning permission,2017-02-07,http://www.arun.gov.uk/weekly-lists,,13,"M/45/16/PL: Demolition of redundant poultry farm buildings & dwelling & erection of 13 No. dwellings with associated access, car parking & landscaping.",,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,497386,100754,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR10816,,19 High Street Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7876867666,-0.6775155554,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-03-13,http://www.arun.gov.uk/weekly-lists,,5,BR/108/16/PL: Redevelopment retaining existing use on part of ground floor with 5 No. flats on upper floors & including alterations to rear & side elevations.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493317,99514,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR22216,,Staffuth & Bray 6 York Road Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7830747367,-0.6729075394,0.03,not owned by a public authority,yes,permissioned,planning permission granted under an order,2017-07-31,http://www.arun.gov.uk/weekly-lists,,18,BR/161/17/PD: Notification for prior approval under Part O for change of use from office (ClassB1(a)) to 14 No. residential apartments (Class C3),,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,493651,99007,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
http://opendatacommunities.org/id/district-council/arun,Arun District Council,BR29316,,66 & 66A Hawthorn Road Bognor Regis,http://www.arun.gov.uk/weekly-lists,ETRS89,50.7925389023,-0.6826996373,0.1,not owned by a public authority,yes,permissioned,full planning permission,2017-03-01,http://www.arun.gov.uk/weekly-lists,,5,BR/293/16/PL: Change of use with minor additions & demolitions to create 5 No. self-contained flats.,,,,,,https://www.arun.gov.uk/weekly-lists,,2017-11-10,2017-11-10,492942,100047,http://www1.arun.gov.uk/webapps/wml/Map.aspx?x=,&y=,&resolution=1.0&MapName=Helaa
