OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,Year put on register,Year taken off register,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR013,,2018.0,,"Shortwoods Day Centre, The Shortwoods, Dordon",,OSGB36,426051.0,300486.0,0.44,not owned by a public authority,yes,permissioned,full planning permission,2015-09-15,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,27.0,Demolition of existing building and construction of new supported housing for residents with learning difficulties/physical disabilities/mental health (21 no: self-contained apartments and 6 no: shared living bedrooms),,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR014,,2018.0,,"L S Court Ltd, Coventry Road, Fillongley",,OSGB36,429024.0,286378.0,0.94,not owned by a public authority,yes,permissioned,full planning permission,2018-04-18,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,5.0,"Demolition of existing buildings and construction of 5 new dwellings with associated access, parking and turning facilities",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR015,,2018.0,,"31 Plough Hill Road, Chapel End",,OSGB36,432261.0,293265.0,0.38,not owned by a public authority,yes,permissioned,full planning permission,2019-11-08,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,9.0,"Demolition of 31 Plough Hill Road and erection of 5 no: detached (4 beds) pair of 3 bed semi, terrace of 1 no: 3 bed and 2no: 2 beds.",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR016,,2018.0,,"14 Market Street, Polesworth",,OSGB36,426013.0,302170.0,0.12,not owned by a public authority,yes,permissioned,full planning permission,2019-12-04,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,5.0,Conversion of existing building from bookstore (Class A1) to hot food takeaway (Class A5) at ground floor and 2 no: flats at upper floors (Class C3); demolition of existing outbuildings and erection of 3 no: residential dwelling houses (Class C3) and associated works,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR017,,2018.0,,"Rowan Centre, North Street, Atherstone",,OSGB36,431001.0,297864.0,0.17,not owned by a public authority,yes,permissioned,full planning permission,2017-08-21,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,16.0,Erection of supported living facility and conversion of existing building into 16 supported living flats with associated Community Room,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR018,,2018.0,,"61 Coventry Road, Coleshill",,OSGB36,420171.0,288462.0,0.21,not owned by a public authority,yes,permissioned,other,2017-09-05,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,9.0,Prior Notification for change of use from office use (class B1a) to nine residential apartments (class C3),,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR019,,2018.0,,"BEC Engineering Ltd, Richmond Road, Atherstone",,OSGB36,430705.0,297316.0,0.11,not owned by a public authority,yes,permissioned,reserved matters approval,2014-11-12,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,6.0,Approval of reserved matters pursuant to outline permission ref. PAP/2009/0126 for demolition of existing factory premises and erection of 6 dwellings with associated parking and landscaping,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR020,,2018.0,,"Hatters Arms, Church Road, Warton",,OSGB36,428245.0,303630.0,0.09,not owned by a public authority,yes,permissioned,full planning permission,2015-07-17,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,7.0,Conversion of former public house into four 2-bedroom apartments and construction of two 3-bedroom houses and one 2-bedroomed house on the former car park area,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR022,,2018.0,,"The Angel Inn, 24 Church Street, Atherstone",,OSGB36,430793.0,297946.0,0.1,not owned by a public authority,yes,permissioned,full planning permission,2016-04-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,12.0,"Part demolition of rear extension. Construction of 1 small retail unit and first floor storage. Erection of 5 pairs of 2 bedroom semi-detached dwellings & 2 one bedroom flats, with associated access ways and bins store and fencing",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR023,,2018.0,,"49 High Street, Polesworth",,OSGB36,426499.0,302632.0,0.21,not owned by a public authority,yes,permissioned,outline planning permission,2017-01-17,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,5.0,Outline application for clearance of derelict buildings and erection of 5 detached dwellings and access,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR024,,2018.0,,"Croft Mead Business Centre, Croft Mead, Ansley",,OSGB36,430180.0,291393.0,0.2,not owned by a public authority,yes,permissioned,full planning permission,2017-02-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,10.0,Redevelopment of commercial yard to accommodate 10 dwellings,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR027,,2018.0,,"Coton House, Haunch Lane, Lea Marston",,OSGB36,420323.0,294108.0,0.44,not owned by a public authority,yes,permissioned,full planning permission,2018-09-20,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,10.0,"Redevelopment of site for the erection of ten dwellings with associated access, car parking and landscaping. Demolition and removal of existing kennels, cattery and stable buildings.",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR029,,2018.0,,"Kingsbury Hall, Coventry Road, Kingsbury",,OSGB36,421432.0,296337.0,1.18,not owned by a public authority,yes,not permissioned,,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,81.0,"Hybrid planning application comprising 1) Full planning application for the restoration and conversion of Kingsbury Hall and outbuildings to A3, C1 and D2 use classes; 2) Outline planning application (all matters reserved except access) for a high-dependency care centre of up to 4,565sq mtrs (use class C2) and 81 dwellings for over 55s (use class C3)",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR030,,2018.0,,"Corley Motors, George Street, Arley",,OSGB36,429282.0,289937.0,0.24,not owned by a public authority,yes,permissioned,full planning permission,2012-11-17,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,10.0,"Erection of 10 dwellings together with associated landscaping, parking and access arrangements",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR031,,2018.0,,"Cedar House, Kingsbury Road, Lea Marston",,OSGB36,420812.0,294906.0,0.32,not owned by a public authority,yes,permissioned,outline planning permission,2018-01-18,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,5.0,"Outline - demolition of existing buildings and erection of five dwellings, with associated gardens, parking and garages (with all matters reserved)",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR032,,2020.0,,"Magna House, South Street, Atherstone",,OSGB36,430913.0,297639.0,0.049,not owned by a public authority,yes,permissioned,other,2019-09-29,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,6.0,Prior Approval for Change of Use from offices to 6 residential apartments,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR033,,2020.0,,"United Reform Church, Coleshill Road, Chapel End",,OSGB36,432467.0,293396.0,0.138,not owned by a public authority,yes,permissioned,full planning permission,2019-02-05,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,6.0,Conversion of Church into 6 residential units,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR034,,2020.0,,"12 Market Street, Polesworth",,OSGB36,426014.0,302198.0,0.976,not owned by a public authority,yes,permissioned,full planning permission,2019-02-05,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,7.0,"Retention of Public House, part change of use to provide 1 cottage, 5 new builds and 1 flat",,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR035,,2020.0,,"110 Long Street, Atherstone",,OSGB36,430952.0,297800.0,0.1,not owned by a public authority,yes,permissioned,full planning permission,2018-09-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,5.0,Conversion of former bank to retain A2 unit at ground floor with 5 apartments,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR036,,2020.0,,"Angel Ale House, Church Street, Atherstone",,OSGB36,430768.0,297959.0,0.0308,not owned by a public authority,yes,permissioned,full planning permission,2018-09-12,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,6.0,Erection of 6 dwellings,,,,,,,,2018-12-10,2020-02-15
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR006,,2018.0,2020.0,"Ex Police Station, Park Road, Coleshill",,OSGB36,419674.0,288867.0,0.58,not owned by a public authority,yes,permissioned,full planning permission,2016-10-12,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,16.0,"Demolition of existing police station building. Construction of four storey (including basement) Care Home (use class C2), with associated car parking.",,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR011,,2018.0,2020.0,"1-7 Church Walk, Mancetter",,OSGB36,431852.0,296940.0,0.29,not owned by a public authority,yes,permissioned,full planning permission,2014-08-22,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,20.0,Demolition of block of 4 shops & 4 maisonettes & construction of 14 flats & 6 houses,,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR021,,2020.0,2020.0,"Atherstone College, Ratcliffe Road, Atherstone",,OSGB36,431055.0,297909.0,0.19,owned by a public authority,yes,permissioned,outline planning permission,2016-06-28,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,13.0,Outline - Change of use of existing college to residential including conversion of existing building and erection of new block,,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR025,,2018.0,2020.0,"Clinic and Welfare Centre, Coventry Road, Kingbsury",,OSGB36,421692.0,296351.0,0.15,not owned by a public authority,yes,permissioned,full planning permission,2017-03-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,6.0,Erection of 6 dwellings on site formerly occupied by the Kingsbury Health Centre,,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR026,,2018.0,2020.0,"Bridge House, 80 Coleshill Road, Atherstone",,OSGB36,430587.0,297460.0,0.18,not owned by a public authority,yes,permissioned,full planning permission,2011-04-12,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,14.0,"Partial demolition of existing commercial premises and re-development with 14 dwellings, inc. erection of 7 new dwellings & conversion of retained existing buildings into 7 dwellings",,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR028,,2018.0,2020.0,"Corley Nurseries, Church Lane, Corley",,OSGB36,429802.0,285170.0,0.74,not owned by a public authority,yes,permissioned,full planning permission,2015-10-05,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,,17.0,Residential development of 17 houses & bungalows,,,,,,,Site has been developed and is therefore no longer available,2018-12-10,2020-03-02
