OrganisationURI,OrganisationLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/f,,"County Council Offices, Sherwood Lane",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Sherwood%20Lane%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.17502,-2.237981,0.5,owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,30,,,,25,30,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/c,,"Malvern Gate, Bromwich Road",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Malvern%20Gate%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.173761,-2.234108,1.28,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,55,,,,45,55,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/aa,,Lowesmoor Wharf,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Lowesmoor%20Wharf%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.195718,-2.216588,1.14,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,100,,,,50,100,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/a,,73-77 Bromwich Road,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Western%20Power%20Distribution%20Power%20Depot%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.183613,-2.230961,0.14,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,11,,,,5,11,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/9,,"Old Brewery Service Station, Barbourne Road",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Old%20Brewery%20Service%20Station%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.202013,-2.2261,0.14,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,18,,,,12,18,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/7,,Former Sansome Walk Swimming Pool,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Sansome%20Walk%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.199018,-2.220537,0.8,owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,50,,,,33,35,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,SWDP43/3,,Ribble Close & Gas Holder Site,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Ribble%20Close%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.190268,-2.203305,1.2,not owned by a public authority,yes,not permissioned,Not Permissioned,,https://www.worcester.gov.uk/planning-application-search,,50,,,,40,50,,,,04/08/2017,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18K0327,,24a McIntrye Road,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=24a%20McIntyre%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19055,-2.24061,0.08,not owned by a public authority,yes,permissioned,full planning permission,22/11/2018,https://www.worcester.gov.uk/planning-application-search,,5,,,,5,5,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0310,P15D0331,Former Worcester Fire Station,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Former%20Fire%20Station.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.190562,-2.221496,0.16,not owned by a public authority,yes,permissioned,permission in principle,17/08/2017,https://www.worcester.gov.uk/planning-application-search,,9,,,,9,9,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0202,,Land adjacent to 18-20 Silver Street,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Land%20adj%20to%2018-20%20Silver%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19416,-2.2183,0.05,not owned by a public authority,yes,permissioned,full planning permission,21/09/2018,https://www.worcester.gov.uk/planning-application-search,,9,,,,9,10,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18B0003,,137 Bath Road,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=137%20Bath%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.18174,-2.21696,0.13,not owned by a public authority,yes,permissioned,full planning permission,20/04/2018,https://www.worcester.gov.uk/planning-application-search,,5,,,,5,5,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18A0033,,Wyatt Guest House 40 Barbourne Road,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Wyatt%20Guest%20House%2040%20Barbourne%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.20268,-2.22592,0.02,not owned by a public authority,yes,permissioned,full planning permission,23/03/2018,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17J0577,,"YMCA Hostel, Henwick Road",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=YMCA%20Hostel%2C%20Henwick%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19297,-2.23613,0.97,not owned by a public authority,yes,permissioned,full planning permission,29/10/2018,https://www.worcester.gov.uk/planning-application-search,,63,,,,63,87,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17J0504,,The Crown and Anchor 223 Hylton Road,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=The%20Crown%20and%20Anchor%20223%20Hylton%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.1967,-2.23583,0.03,not owned by a public authority,yes,permissioned,full planning permission,09/11/2017,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17D0599,,Jenkins House 15 Foregate Street,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Jenkins%20House%2015%20Foregate%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19535,-2.22191,0.01,not owned by a public authority,yes,permissioned,full planning permission,27/10/2017,https://www.worcester.gov.uk/planning-application-search,,8,,,,5,8,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17D0087,,12 Sansome Place,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=12%20Sansome%20Place.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19519,-2.21949,0.01,not owned by a public authority,yes,permissioned,full planning permission,28/02/2017,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P16C0542,,5 Bull Ring,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=5%20Bull%20Ring.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.18843,-2.23301,0.07,not owned by a public authority,yes,permissioned,full planning permission,04/05/2018,https://www.worcester.gov.uk/planning-application-search,,6,,,,5,6,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P15D0510,,St Martins Quarter,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=St%20Martins%20Quarter.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19295,-2.21643,0.23,not owned by a public authority,yes,permissioned,full planning permission,15/12/2017,https://www.worcester.gov.uk/planning-application-search,,98,,,,85,98,,,,20/12/2018,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P16D0146,,The Great Western Hotel,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P16D0146%20Great%20Western%20Hotel.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19451,-2.21188,0.09,not owned by a public authority,yes,permissioned,full planning permission,30/09/2016,https://www.worcester.gov.uk/planning-application-search,,7,,,,5,7,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17A0348,,"14-20 Barbourne Road, Worcester",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P17A0348%2014-20%20Barbourne%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.20171,-2.22524,0.08,not owned by a public authority,yes,permissioned,full planning permission,12/07/2017,https://www.worcester.gov.uk/planning-application-search,,25,,,,20,25,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17N0594,,"land at Cranham Drive, Worcester, WR4 9PH",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P17N0594%20Land%20at%20Cranham%20Drive.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.21365,-2.18767,0.58,not owned by a public authority,yes,permissioned,full planning permission,19/12/2017,https://www.worcester.gov.uk/planning-application-search,,34,,,,29,34,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0483,,"UNITS 19-22Reindeer Court, Mealcheapen Street, Worcester, WR1 2DS",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18D0483%20Units%2019-22%20Reindeer%20Court%2C%20Mealcheapen%20Street..pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19236,-2.21911,0.1,not owned by a public authority,yes,permissioned,full planning permission,30/10/2018,https://www.worcester.gov.uk/planning-application-search,,5,,,,5,5,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P12G0199,,Sherriffe Gate,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P12G0199%20Sherriffe%20Gate.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19452,-2.20723,4.3,not owned by a public authority,yes,permissioned,full planning permission,14/12/2018,https://www.worcester.gov.uk/planning-application-search,,396,,,,396,396,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18C0468,,"Worcestershire County Schools Library Service, Sherwood Lane Worcester,WR2 4NU",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18C0468%20WC%20Schools%20Library%20Service.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.17502,-2.238,0.5,not owned by a public authority,yes,permissioned,full planning permission,22/11/2019,https://www.worcester.gov.uk/planning-application-search,,9,,,,7,9,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0101,,"Former car park and land to the rear of 1- 11 Cecil Road, Worcester",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18D0101%20Former%20car%20park%20and%20land%20to%20the%20rear%20of%201-11%20Cecil%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19169,-2.21236,0.1533,not owned by a public authority,yes,permissioned,full planning permission,22/11/2019,https://www.worcester.gov.uk/planning-application-search,,16,,,,12,16,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P17K0096,,"8 Henwick Road, Worcester, WR2 5NR",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P17K0096%208%20Henwick%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.18924,-2.23328,0.0847,not owned by a public authority,yes,permissioned,full planning permission,20/09/2019,https://www.worcester.gov.uk/planning-application-search,,18,,,,15,18,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0107,,"Citation House, 39 Foregate Street, Worcester",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18D0107%20Citation%20House.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19617,-2.22306,0.0712,not owned by a public authority,yes,permissioned,full planning permission,26/07/2019,https://www.worcester.gov.uk/planning-application-search,,38,,,,30,38,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18H0280,,"112-118 and 155-161 Rose Avenue and Land Adjoining, Rose Avenue, Tolladine, Worcester",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18H0280%20112-118%20and%20155-161%20Rose%20Avenue.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.19832,-2.20128,0.45,not owned by a public authority,yes,permissioned,full planning permission,26/06/2019,https://www.worcester.gov.uk/planning-application-search,,25,,,,20,25,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,19/00069/FUL,,"Land adjacent to 99 St Georges Lane North
Worcester
WR1 1QS",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=19-00069-FUL%20Land%20adjacent%20to%2099%20St%20Georges%20Lane%20North.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.20474,-2.22219,0.0585,not owned by a public authority,yes,permissioned,full planning permission,18/06/2019,https://www.worcester.gov.uk/planning-application-search,,7,,,,5,7,,,,17/12/2019,17/12/2019
http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,P18D0155,,"2 Stanley Road, Worcester, WR5 1BD",https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=P18D0107%20Citation%20House.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,ETRS89,52.18975,-2.21086,0.02,not owned by a public authority,yes,permissioned,full planning permission,10/04/2019,https://www.worcester.gov.uk/planning-application-search,,14,,,,10,14,,,,17/12/2019,17/12/2019
