IncludeInBFR,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0145,,"CHURCH HALL 17, MERSEY ROAD, Crosby & Hightown",,OSGB36,331445.44182251,399359.38382074,0.10,Not owned by a public authority,Yes,Permissioned,Full planning permission,20150317,,,5,,,,0,0,,,Approved for 5 homes (DC/2015/00167). Former church hall.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0172,,"AMBULANCE STATION, CHURCH ROAD, Formby",,OSGB36,330146.30052505,407263.17138509,0.12,Owned by a public authority,Yes,Not permissioned,Full planning permission,20150108,,,10,,,,0,0,,,DC/2014/01573 - 10 apartments. Figure of 10 is based on apartments. Permission expired.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0148,,"Site of fmr Mersey House, St James Drive, Bootle",,OSGB36,333842.49545619,395620.77398667,0.36,Not owned by a public authority,,Not permissioned,,,,,15,Vacant,,,0,0,,,DC/2019/01830 - full application submitted for 28  affordable homes.,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0247,,"18-20, Granville Road, Southport",,OSGB36,331713.8515416,415477.7699807,0.47,Not owned by a public authority,Yes,Permissioned,Full planning permission,20170721,,,8,Site of detached properties and rear gardens.,,,0,0,,,Various permissions - Partial brownfield. The site is in a Conservation Area and as such design standards apply. Minimum figure based on there being a number of apartments.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0154,,"Land adj to St Monicas Parochial, Stewart Avenue, Bootle",,OSGB36,335145.38825645,395751.32661637,0.12,Not owned by a public authority,Yes,Not permissioned,Full planning permission,20160311,,,10,Vacant land,,,0,0,,,DC/2015/01679- permission for 13 flats. (minimum density assumes apartments).Now expired.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0045,,"Oak Lea Racing Stables, Southport Road, Maghull & Aintree",,OSGB36,336631.36263845,405058.1625623,1.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,20160428,,,5,,,,0,0,,,Racing stables. Replacement buildings for brownfield in the Green Belt. Permission for 5 dwellings.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0258,,"Former Phillip's Factory, Balmoral Drive, Southport",,OSGB36,337153.61305366,419386.40114666,5.99,Not owned by a public authority,Yes,Not permissioned,,20181212,,,158,Industrial site that has been partially demolished,,,0,0,,,Large former factory site. Local Plan allocation MN2.3.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0262,,"Land West of Lynton Road, Lynton Road, Southport",,OSGB36,332090.27980617,413980.07869037,1.50,Owned by a public authority,,No permissioned,,,,,20,Former railway land between the railway and housing.,,,0,0,,,,20191101,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0050,,"Land South of Spencers Lane, Spencers Lane, Maghull & Aintree",,OSGB36,339017.92855441,399084.74243602,0.60,Not owned by a public authority,Yes,Not permissioned,,,,,15,Area of hardstanding to the rear of existing properties. Adjacent to the M57.,,,0,0,,,Backs onto motorway. Local Plan allocation MN2.33. Minimum number of dwellinsg figure is 15 to reflect the Local Plan Appendix 1.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0159,,"Land at Pendle Drive, Pendle Drive, Bootle",,OSGB36,334176.93162457,399423.37550331,1.45,Owned by a public authority,Yes,Not permissioned,,,,,29,"Large, partially cleared site.",,,0,0,,,Local Plan allocation (MN2.38) suitable for development. Mostly brownfield but with some of the site is greenfield.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0160,,"Land at Former Bootle High School, Brown's Lane, Bootle",,OSGB36,336081.46653338,399517.98842065,1.75,Owned by a public authority,Yes,Not permissioned,,,,,63,Site of former school which has been demolished and cleared.,,,0,0,,,Local Plan allocation. Council owned brownfield site.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0028,,"Former St Wilfrid’s School, Orrell Road, Bootle",,OSGB36,334148.96437732,397368.91358692,6.64,Mixed ownership,Yes,Not permissioned,,,,,73,Former school site on greenspace in the urban area. Application submitted July 2019.,,,0,0,Yes,,Partial brownfield. Local Plan allocation MN2.42. Brownfield area likely to be suitable for approximately 70 plus units.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0163,,"Former People’s site, Linacre Lane, Bootle",,OSGB36,334782.52311739,396339.19833984,2.94,Owned by a public authority,Yes,Not permissioned,,,,,110,Cleared and levelled brownfield site.,,,0,0,Y,,Has contamination issues that impact upon viability. Council owned Local Plan site.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0164,,"Former St Mary’s school, Irlam Road, Bootle",,OSGB36,333839.37882309,395220.59853571,1.68,Not owned by a public authority,,Mixed ownership,,,,,5,Former school buildings.,,,0,0,,,The built footprint could be included as previously developed. Known to be Safe interest in developing the site. The rest of the site was previously developed but became playing field.,20191101,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0029,,"Kirkstone Hotel, Moss Lane, Netherton",,OSGB36,334547.92639388,398099.73439164,0.13,Not owned by a public authority,Yes,Permissioned,Full planning permission,20160714,,,14,,,,0,0,,,Former pub. DC/2014/01024 - for 14 two bedroom apartments. Figure of 14 is based on the existing permissionand apartments.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0166,,"Land at, Capricorn Way, Bootle",,OSGB36,333827.59663078,395571.23816616,0.41,Not owned by a public authority,,Not permissioned,,,,,15,Cleared site.,,,0,0,,,application in DC/2019/01830.,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0031,,"Former Litherland Methodist Church, Wilsons Lane, Netherton",,OSGB36,333788.07805292,397614.82319603,0.17,Not owned by a public authority,Yes,Permissioned,Outline planning permission,20160805,,,7,,,,0,0,,,DC/2016/01227 - approval for 7 dwellings.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0271,,"Land to the rear of 91-97B, Eastbank Street, Southport",,OSGB36,333769.25457843,416939.10167885,0.15,Not owned by a public authority,,Not permissioned,,,,,10,Commercial buildings on the edge of Southport Town Centre.,,,0,0,,,Expired permission.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0179,,"Land at, Albert Schweitzer Avenue, Netherton",,OSGB36,335853.5812896,399545.12065413,0.13,Not owned by a public authority,,Permissioned,,20181109,,,8,Cleared site in the built up area.,,,0,0,,,Has planning permission for 8 new units DC/2018/01425,20191101,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0188,,"Bootle Gasworks, Litherland Road, Bootle",,OSGB36,334433.93017909,396141.1950177,6.26,Owned by a public authority,No,Not permissioned,,,,,187,Large disused former gas works,,,0,0,Yes,,The site is a allocated in the Local Plan as a Regeneration Opportunity Site. This could make a very good housing site that would be suitable with the surroundings. The site is heavily contaminated and the site will have to be considered as a whole.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0179,,"Heron House, Crosby Road North, Crosby & Hightown",,OSGB36,332208.98395084,398085.14856679,0.13,Not owned by a public authority,,Permissioned,,,,,24,Office block on the edge of the town centre.,,,0,0,,,Permissioned site. Numbers indicative for flats.,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0214,,"Mayflower Industrial Estate (C3 pt), Liverpool Road, Formby",,OSGB36,330290.16035115,406356.7608424,0.32,Not owned by a public authority,Yes,Permissioned,Full planning permission,20171025,,,30,Old commercial site that has recent permission for housing in land off Liverpool Road,,,0,0,,,"Has permission for a care home and 22 apartments for the over 55s, (DC/2016/00230). Also permission for 32 apartments for the over 55s, (DC/2017/00387).",20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0077,,"101, Liverpool Road, Maghull & Aintree",,OSGB36,337735.27737916,403641.42809832,0.15,Not owned by a public authority,Yes,Permissioned,Outline planning permission,20170310,,,12,,,,0,0,,,Permission DC/2016/02394 for 12 apartments. Figure of 12 reflects apartments.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0294,,"55A, Banastre Road, Southport",,OSGB36,333505.12404605,416071.99988416,0.18,Not owned by a public authority,Yes,Permissioned,Outline planning permission,20170316,,,6,,,,0,0,,,DC/2016/01472 - approval for 7 dwellings.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0079,,"Brooklands Farm, Brewery Lane, Maghull & Aintree",,OSGB36,338171.12779908,399575.07208062,0.41,Not owned by a public authority,Yes,Permissioned,Full planning permission,20170331,,,11,,,,0,0,,,Green Belt brownfield site with permission for 11 dwellings. DC/2016/01922.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0214,,"Z Blocks Site A, Buckley Hill Lane, Netherton",,OSGB36,334991.88170887,400260.42590013,1.60,Owned by a public authority,Yes,Not permissioned,,,,,50,Cleared site that contained former post war apartment blocks,,,0,0,,,Part of Local Plan allocation (MN2.36). Undeveloped and with no permission.,20171017,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0296,,"Land at 61-67A, Aughton Road, Southport",,OSGB36,333307.49817652,416172.31117035,0.08,Not owned by a public authority,,Permissioned,,20170822,,,5,,,,0,0,,,,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0297,,"Former Kew Park and Ride, Crowland Street, Southport",,OSGB36,336132.68485294,416316.27995971,2.51,Owned by a public authority,Yes,Not permissioned,,,,,65,Former park and ride site off Foul Lane.,,,0,0,,,Part of Local Plan allocation MN2.5. Former and now disused park and ride site. Should be built in conjunction with wider allocation.,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0226,,"Mayflower Industrial Estate (C2 pt), Liverpool Road, Formby",,OSGB36,330290.65505481,406340.91537812,0.47,Not owned by a public authority,,Permissioned,,20190301,,,0,,,,0,0,,,Has permission for a C2 care home.,20181220,20191101
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0165,,"503 - 509, Hawthorne Road, Bootle",,OSGB36,334509.16636164,396521.4361748,2.62,Not owned by a public authority,,Permissioned,,20180731,,,119,Former industrial units in poor condition. Adjacent to the canal.,,,0,0,Y,,Potential for some contamination. Next to Canal where issues may need to be addressed. Planning permission for mixed use residential and retail.,20181220,20191101
