Reference,SiteNameAddress,SiteplanURL,Settlement,Locations Coordinates East West,Location Coordinates North South,Coordinate Reference System,Area of Land in Hectares,Name of Local Authority,Organisation URI,Ownership Status,Deliverable,Planning Status,PermissionDate,Permission Type,Development Description,Min-Max range of Net Dwellings,Min Net Dwellings,First Added Date,Last updated date
BF033,"""HospitalSite,HospitalRoad,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,584638.0,263851.0,OSGB36,1.59,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,not permissioned,,,"""Brownfield - hospital""",45,45,2017-09-01,2019-12-16
BF035,"""LandAtRamMeadow,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585844.0,264675.0,OSGB36,0.98,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,not permissioned,,,"""Mixed - football ground""",84,84,2017-09-01,2019-12-16
BF037,"""SchoolYard,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585081.0,264406.0,OSGB36,0.28,WestSuffolkCouncil,West Suffolk,mixed ownership,yes,not permissioned,,,"""Brownfield  - auctioneers and car park""",32,32,2017-09-01,2019-12-16
BF039,"""StationHill,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585236.0,265067.0,OSGB36,1.41,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2017-01-17,full planning permission,"""Brownfield - underused railway sidings and vacant land""",300,300,2017-09-01,2019-12-16
BF040,"""TayfenRoad,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585022.0,264886.0,OSGB36,2.2,WestSuffolkCouncil,West Suffolk,mixed ownership,yes,permissioned,2017-12-01,outline planning permission,"""Brownfield - commercial/ vacant uses and decommissioned gas holder""",100,100,2017-09-01,2019-12-16
BF041,"""WeymedSite,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585754.0,263888.0,OSGB36,0.37,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2017-08-08,full planning permission,"""Brownfield - vacant County council offices""",14,14,2017-09-01,2019-12-16
BF042,"""AttertonAndEllisSite,Haverhill """,My West Suffolk,Haverhill,567783.0,244938.0,OSGB36,0.56,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2010-04-30,full planning permission,"""Brownfield - engineering works""",39,39,2017-09-01,2019-12-16
BF044,"""FormerGasworks,WithersfieldRoad,Haverhill""",My West Suffolk,Haverhill,566847.0,246006.0,OSGB36,0.25,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,not permissioned,,,"""Brownfield - gasworks""",10,10,2017-09-01,2019-12-16
BF045,"""FormerWestfieldPrimarySchool,ManorRoad,Haverhill""",My West Suffolk,Haverhill,567926.0,245342.0,OSGB36,0.44,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,permissioned,2019-10-04,full planning permission,"""Brownfield - previous school""",14,14,2017-09-01,2019-12-16
BF052,"""CornwallisCourtBuryStEdmunds""",My West Suffolk,Bury St Edmunds,584901.9,263896.29,OSGB36,0.33,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,not permissioned,,,"""Brownfield - Care home""",39,39,2019-12-01,2019-12-16
BF063,"""RLInsulationsNorfolkRoadBuryStEdmunds""",My West Suffolk,Bury St Edmunds,584868.86,265739.97,OSGB36,0.3,WestSuffolkCouncil,West Suffolk,not owned by a public authority,,permissioned,2019-10-15,full planning permission,"""Brownfield - commercial use B1/B8""",8,8,2019-12-01,2019-12-16
BF065,"""LandwestofThingoeHill""",My West Suffolk,Bury St Edmunds,585023.0,265260.0,OSGB36,0.49,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,not permissioned,,,"""Brownfield- scaffolding yard""",14,14,2019-12-17,2019-12-17
BF072,"""SocialServicesCampsRoad",My West Suffolk,Haverhill,566812.69,245502.29,OSGB36,0.36,WestSuffolkCouncil,West Suffolk,owned by public authority,yes,permissioned,2017-11-02,outline planning permission,"""Brownfield - court room and offices""",17,17,2019-12-01,2019-12-16
BF073,"""OakfieldSurgeryVicaridgeRoad""",My West Suffolk,Newmarket,564831.83,263377.86,OSGB36,0.38,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2018-06-06,full planning permission,"""Brownfield- former doctor's surgery""",10,10,2019-12-01,2019-12-16
BF074,"""WindsorRoadValleyWaygarages""",My West Suffolk,Newmarket,563488.48,263451.68,OSGB36,0.4,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2018-05-23,full planning permission,"""Brownfield - garages""",13,13,2019-12-01,2019-12-16
BF076,"""5HighStreetHaverhill""",My West Suffolk,Haverhill,567209.25,245590.87,OSGB36,0.38,WestSuffolkCouncil,West Suffolk,not owned by a public authority,yes,permissioned,2019-01-14,full planning permission,"""Brownfield- shop and nightclub""",14,14,2019-12-01,2019-12-16
BF082,"""TheVixenMillfieldsWay""",My West Suffolk,Haverhill,567572.99,245751.57,OSGB36,0.29,WestSuffolkCouncil,West Suffolk,mixed ownership,yes,permissioned,2017-09-06,full planning permission,"""Brownfield- public house""",17,17,2019-12-01,2019-12-16
