OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings RangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate,additional field address 2,additional field calc area,additional field no at 30per ha,additional field no at 45perha
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,15,,Tramway Road Ruspidge,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora10&scale=1024,OSGB36,365016.12,211389.24,0.8647030357343145,not owned by a public authority,,not permissioned,,,,,20,new build on site of former employment,,,20,30,,,"part former pithead baths and part under used employment site, all considered suitable for redevelopment for a variety of accommodation",2017-10-31,2017-10-31,Cinderford,8647.030357343145,28.944614782568067,43.4169221738521
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,6,,Valley Road Former Foundry Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora6&scale=1024,OSGB36,365079.07,213899.23,0.9648204927522689,not owned by a public authority,yes,not permissioned,,,,,25,new housing on former employment site now cleared,,,30,40,,,Adjoins land above and could be developed in conjunction with it or separately in a manner that would relate to its eventual development.  Site cleared. Able to be commenced and with some delivery possible within five years,2017-10-31,2017-10-31,Cinderford,9648.20492752269,28.944614782568067,43.4169221738521
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,9,,Valley Road Former Employment Centre Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora7&scale=1024,OSGB36,365075.69,214436.52,1.3692920044623316,not owned by a public authority,,not permissioned,,,,,35,new housing on former employment site now largely derelict,,,35,45,,,former business / training use able to be redeveloped for housing and allocated for the purpose in the AP Now largely derelict,2017-10-31,2017-10-31,Cinderford,13692.920044623315,41.07876013386995,61.618140200804916
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,5,,Station Street Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora4&scale=1024,OSGB36,365182.92,213940.97,2.909487840507936,not owned by a public authority,,not permissioned,,,,,90,new housing on former employment site largely vacant and derelict,,,90,120,,,largest element of site allocated in AP has had previous permissions but no longer current.  Suitable for a variety of housing and may be developed in conjunction with adjoining land to which it must relate,2017-10-31,2017-10-31,Cinderford,29094.878405079362,87.28463521523808,130.92695282285712
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,40,,Steam Mills Rd Northern Quarter Cinderford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora2&scale=2048,OSGB36,364599.61,215601.2,6.800449103551545,owned by a public authority,yes,permissioned,outline planning permission,2014-11-14,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4FS82HI01000,,150,Outline permission for up to 195 dwellings as part of an hybrid permission.  Site formerly part of,,,150,195,,,site owned by FoDDC- allocated in AAP and suitable for housing with a current outline approval for up to 195 dwellings part of hybrid scheme.  Some delivery possible within five years,2017-10-31,2017-10-31,Cinderford,68004.49103551544,0.6006900583910756,0.9010350875866133
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,17,,Newland Street Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora12&scale=1024,OSGB36,357442.68,210653.6,0.020023001946369186,not owned by a public authority,yes,permissioned,full planning permission,2016-07-22,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"permission for construction of eight, two bedroom apartments.  (Revised Scheme, originally 6)",,,8,8,,,permission for new apartments,2017-10-31,2017-10-31,Coleford,200.23001946369186,1.132456585238222,1.6986848778573331
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,18,,Kings Head Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora13&scale=1024,OSGB36,357607.01,210785.93,0.03774855284127407,not owned by a public authority,,not permissioned,,,,,8,conversion of former pub and associated new build,,,8,12,,,conversion and new build on former pub currently used in the interim for a shop but upper floors vacant,2017-10-31,2017-10-31,Coleford,377.4855284127407,3.4608147645159626,5.191222146773944
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,53,,10-14 Newland Street Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora43&scale=1024,OSGB36,357411.6092262,210682.0935393,0.11536049215053208,not owned by a public authority,,not permissioned,,,,,6,conversion of listed building and new build to retain ground floor commercial or retail unit,,,6,10,,,Listed frontage building and located in Conservation Area suitable for new development to rear and conversion of upper floors of frontage building site includes former tramroad which will need to be retained as an open feature,2017-10-31,2017-10-31,Coleford,1153.6049215053208,7.009155563901644,10.513733345852467
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,19,,Former Lawnstone House Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora14&scale=1024,OSGB36,357494.56,210570.57,0.20306330397585406,owned by a public authority,yes,not permissioned,,,,,7,new build to deliver retail/ commercial units and housing,,,7,12,,,vacant site allocated in AP for mixed development to include apartments.  Likely to be developed by/ for Council as owners,2017-10-31,2017-10-31,Coleford,2030.6330397585407,7.009155563901644,10.513733345852467
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,54,,Boxbush Rd Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora44&scale=1024,OSGB36,357402.119516,210734.7346327,0.23363851879672148,owned by a public authority,,not permissioned,,,,,12,conversion and new build,,,12,20,,,suitable for conversion and new build within site.  Close to Conservation Area and also listed Church,2017-10-31,2017-10-31,Coleford,2336.3851879672147,24.87447127948841,37.31170691923261
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,16,,Lakers Road Berry Hill Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora11&scale=1024,OSGB36,357856.7,212553.31,0.24399503372260953,not owned by a public authority,yes,permissioned,full planning permission,2017-08-16,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORWL3NHIMMB00,,7,Erection of 7 dwellings with associated works.,,,7,7,,,permitted scheme for the redevelopment of a former bus depot,2017-10-31,2017-10-31,Coleford,2439.950337226095,24.87447127948841,37.31170691923261
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,55,,Tufthorn Avenue Coleford,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora45&scale=1024,OSGB36,357966.7609205,209851.7773209,0.8291490426496136,not owned by a public authority,yes,permissioned,outline planning permission,2017-11-14,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,15,outline permission for up to 65 dwellings and B1 units on a larger site has been resolved to be granted.  The PDL element of the permission is capable of supporting about  20 dwellings and B1 units.,,,15,20,,,part of a larger site which has a resolution to grant permission for up to 65 dwellings and B1 units.  Previously developed element is approximately 50% of the total.,2017-10-31,2017-10-31,Coleford,8291.490426496137,23.700646404237165,35.55096960635575
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,20,,Five Acres campus Berry Hill surplus land,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora15&scale=1024,OSGB36,358242.04,212609.64,0.9796489884497598,owned by a public authority,yes,not permissioned,,,,,30,new build on site suitable for redevelopment of some elements on site,,,40,80,,,land to become available following the relocation of the present further education college as part of a mixed scheme.  Identified in Allocations Plan as an opportunity for mixed development.  May be developed on site of former college or part thereof.  Site area of total brownfield element is approximately 2.6ha though not all may be available for redevelopment-  available area between 0.98 ha and 2.6ha,2017-10-31,2017-10-31,Coleford,9796.489884497598,23.700646404237165,35.55096960635575
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,21,,Drybrook Road Drybrook,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora16&scale=1024,OSGB36,364457.1,216950.2,0.7900215468079056,not owned by a public authority,yes,permissioned,outline planning permission 15/07/15,2015-07-15,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,current permission for seven dwellings on parts of site,,,7,12,,,"parts of site have permission although there may be some limited additional potential, likely to be developed for 7 dwellings",2017-10-31,2017-10-31,Drybrook,7900.215468079055,19.99072248183936,29.986083722759037
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,44,,Court Farm Littledean,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora37&scale=1024,OSGB36,366792.78,213569.25,0.6663574160613119,not owned by a public authority,,not permissioned,,,,,16,new housing on former employment site,,,16,20,,,Current use as garage but could be redeveloped for housing.  Almost all within Conservation Area.,2017-10-31,2017-10-31,Littledean,6663.57416061312,4.490474603419367,6.73571190512905
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,22,,Adj Northumberland House Longhope,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora17&scale=1024,OSGB36,368871.4,218921.99,0.14968248678064555,not owned by a public authority,yes,not permissioned,,,,,5,new housing on former employment site,,,5,5,,,small haulage depot in area of residential/ mixed development has potential for redevelopment- within Conservation Area,2017-10-31,2017-10-31,Longhope,1496.8248678064556,19.8536345782564,29.780451867384603
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,23,,Longhope Industrial Estate Longhope,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora18&scale=1024,OSGB36,368731.65,219047.64,0.6617878192752134,not owned by a public authority,,not permissioned,,,,,6,housing as part of a mixed redevelopment,,,6,10,,,mixed employment site allocated in plan to include a residential element,2017-10-31,2017-10-31,Longhope,6617.878192752134,11.653665419915692,17.480498129873535
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,47,,Forge Hill Lydbrook Joys Green,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora39&scale=1024,OSGB36,360213.1,216301.18,0.3884555139971897,not owned by a public authority,,not permissioned,,,,,10,new housing on employment site (sawmill),,,10,12,,,sawmill and related land for redevelopment,2017-10-31,2017-10-31,Lydbrook,3884.555139971897,29.530642459964845,44.29596368994727
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,26,,Former Temco Lydbrook,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora21&scale=1024,OSGB36,358915.51,217427.57,0.9843547486654949,not owned by a public authority,,not permissioned,,,,,0,housing as an element of mixed development,,,10,10,,,part of larger area separated by road and suitable for part development for housing which could be carried out independently of remainder of allocation,2017-10-31,2017-10-31,Lydbrook,9843.547486654948,46.64162423081975,69.96243634622964
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,24,,Former Rothdean Main Road Lydbrook,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora19&scale=2048,OSGB36,359715.08,216350.71,1.5547208076939918,not owned by a public authority,yes,not permissioned,,,,,30,new housing on former employment site,,,30,45,,,includes site granted permission but lapsed for new dwellings on former employment site.  Adjoining land of same ownership/ character included in register,2017-10-31,2017-10-31,Lydbrook,15547.208076939918,232.36773872274674,348.55160808412006
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,25,,Stowfield Works Lydbrook,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora20&scale=2048,OSGB36,358730.96,217491.76,7.745591290758224,not owned by a public authority,,not permissioned,,,,,25,housing as an element of mixed development,,,25,45,,,element of much larger site which is identified for mixed development degree of housing is flexible within terms of the policy,2017-10-31,2017-10-31,Lydbrook,77455.91290758224,5.705878768399358,8.558818152599036
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,45,,Swan Rd Lydney,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora38&scale=1024,OSGB36,363502.39,203019.66,0.19019595894664526,mixed ownership,,not permissioned,,,,,5,redevelopment of former utility and employment sites,,,5,8,,,small area undeveloped (former gasholder and adjoining premises which could be redeveloped) majority in public ownership,2017-10-31,2017-10-31,Lydney,1901.9595894664526,8.787652877569199,13.181479316353798
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,43,,Rear of High Street Lydney,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora36&scale=1024,OSGB36,363019.34,203016.95,0.29292176258563996,not owned by a public authority,yes,pending decision,,,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,10,new housing as redevelopment of town centre site,,,10,15,,,current application for majority of site but this area which is slightly larger includes garage court adjoining.,2017-10-31,2017-10-31,Lydney,2929.2176258563995,12.820156841198564,19.230235261797848
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,31,,St Michaels Close Coach depot Mitcheldean,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora25&scale=1024,OSGB36,366273.52,218617.52,0.42733856137328546,not owned by a public authority,yes,not permissioned,,,,,8,redevelopment for housing,,,12,12,,,former coach depot now allocated in plan for about 12 dwellings adjoins conservation area and close to Grade 1 listed church,2017-10-31,2017-10-31,Lydney,4273.385613732855,31.16298385601118,46.74447578401677
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,29,,Railway Station Lydney,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora24&scale=1024,OSGB36,363411.62,201948.02,1.038766128533706,owned by a public authority,,not permissioned,,,,,5,housing component of mixed development scheme,,,5,20,,,within an area identified for redevelopment including the station itself there is potential for an element of new housing supported by the plan policy,2017-10-31,2017-10-31,Lydney,10387.66128533706,32.329044672623276,48.49356700893492
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,27,,Highfield Hill Lydney,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora22&scale=1024,OSGB36,364468.673621,204028.2754975,1.077634822420776,not owned by a public authority,,not permissioned,,,,,6,employment site (garage) to be redeveloped in whole or part for housing,,,6,21,,,garage premises formerly covered by permission for housing redevelopment which could be developed accordingly,2017-10-31,2017-10-31,Lydney,10776.348224207759,144.6803438997526,217.02051584962885
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,30,,Pine End Works Harbour Road Lydney,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora23&scale=2048,OSGB36,364583.5,201406.71,4.822678129991752,not owned by a public authority,,not permissioned,,,,,0,housing component of mixed development scheme,,,20,30,,,"part of large mixed allocation, which can include an element of housing as part of the mix.  Likely to support up to 30 units but this is neither a fixed requirement nor an absolute limit.  Currently vacant but subject to pre application consultation.",2017-10-31,2017-10-31,Lydney,48226.78129991752,9.355361917974951,14.033042876962426
,Forest of Dean District Council,32,,Stars Pitch Former George Hotel Mitcheldean,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora26&scale=1024,OSGB36,366431.01,218550.14,0.3118453972658317,not owned by a public authority,yes,permissioned,outline planning permission,2015-07-20,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NFBWB2HIH4U00,,15,development of housing on former pub,,,15,31,,,site with permission for 31 new units (flats) but could be dveloped for smaller number of houses.  Former pub and associated outbuildings,2017-10-31,2017-10-31,Mitcheldean,3118.453972658317,52.13521693757549,78.20282540636323
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,33,,Bradley Court Rd Mitcheldean,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora27&scale=1024,OSGB36,366503.34,218940.94,1.7378405645858497,not owned by a public authority,,not permissioned,,,,,40,redevelopment of land and building within employment area,,,40,50,,,allocated site presently within large employment area but suitable for housing served from a separate access,2017-10-31,2017-10-31,Mitcheldean,17378.405645858496,4.773131553165964,7.159697329748946
