OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00029,,"5, Chippenham Gardens, NW6 5LH",,ETRS89,-0.1967444153,51.5284268224,0.24,Not owned by a public authority,yes,permissioned,full planning permis,2016-08-05,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_127158,,40,"Demolition of existing buildings at 5-9 Chippenham Gardens, Kilburn Park Post Office and 4-26 Stuart Road (even numbers) and construction of part-four, -five and -six storey building comprising 52 self contained flats (24 x 1 bed, 19 x 2 bed and 9 x 3 bed) with associated highway works, hard and soft landscaping, cycle and refuse provision and alterations to Chippenham Gardens",,,40,40,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00030,,"2A Preston Waye & 283-287 odd, Preston Road, Harrow, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295141823,51.57316604,0.19,mixed ownership,Yes,permissioned,full planning permis,2017-08-14,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202056893_1&activeTab=summary&previousCaseUprn=202056893&previousCaseNumber=PROPLPI_202056893_1&keyVal=DCAPR_104192|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202056893_1&activeTab=summary&previousCaseUprn=202056893&previousCaseNumber=PROPLPI_202056893_1&keyVal=DCAPR_131746,,25,"Demolition of the existing buildings and construction of a four storey building with a basement level providing 25 self-contained flats (11 x 1bed, 10 x 2bed and 4 x 3bed) with associated vehicular crossover off Preston Waye, car and cycle parking spaces, bin stores, amenity space and ancillary gym for private use by the residents",,,17,25,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00033,,"Miracle Signs & Wonders Ministrie, Church Road, London, NW10 9NR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.247231406,51.54865152,0.09,not owned by a public authority,,not permissioned,,,,,47,,,,99,47,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00037,,"81, Cricklewood Broadway, NW2 3JR",,ETRS89,-0.2127711054,51.5543100215,0.025,Unknown ownership,yes,permissioned,full planning permis,2016-11-04,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_118224,,2,"Conversion of existing rear ground, 1st and 2nd floors of building to 5 self contained flats (1x3bed,3x2bed & 1x1bed); with demolition of existing rear office and erection of a part single and part 2 storey rear extension, a Mansard roof extension with part 2nd floor roof extension, provision of 1 car parking space, cycle parking, a new front boundary wall with railings, bin storage and landscaping fronting Anson Road.",,,2,2,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00038,,"83 Hassop Road, London, NW2 6RX",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.219416869,51.55953427,0.01,unknown ownership,Yes,permissioned,full planning permis,2017-03-28,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202088488_1,,5,"Demolition of existing workshop and erection of five storey building comprising 7 flats (3 x 1 bed, 1 x 2 bed and 3 x studio flats)",,,27,7,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00039,,"2-22 London Road, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295307175,51.55261976,0.21,unknown ownership,Yes,not permissioned,,,,,14,,,,5,14,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00040,,Land behind Mostyn Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.290500117,51.55481978,2.19,mixed ownership,,not permissioned,,,,,15,,,,5,15,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00041,,"Capitol Industrial Park, Capitol Way, NW9 0EQ",,ETRS89,-0.2660261276,51.5945494774,1.74,Unknown ownership,yes,permissioned,full planning permis,2018-11-12,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,414,"Demolition of the existing buildings and the redevelopment of the site to provide six buildings ranging between four to nine storeys and eight three storey mews houses, and the erection of a two storey commercial building, and 414 residential units including a mix of studio, 1, 2 and 3 bedroom units with associated basement car parking, cycle storage, plant and shared external amenity space and landscaped courtyards at ground floor level, and other ancillary works, subject to Deed of Agreement dated 12 November 2018 under Section 106 of Town and Country Planning Act 1990, as amended.","providing a total 4,051m of flexible commercial floorspace (B1(a),(b) and (c), B8, D2 and A3) across the site ",,414,414,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00042,,"Delmore, 18n, Brondesbury Park, NW6 7DB",,ETRS89,-0.2151735406,51.5437892365,0.1,Unknown ownership,yes,permissioned,full planning permis,2017-11-02,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_136148,,4,"Demolition of conservatory, front porch, bay window and rear dormer window and erection of two storey rear extension with two Juliet balconies at first floor, new front porch, two front bay windows to both ground and first floors, conversion of dwellinghouse into a low-car usage scheme with five self-contained flats (1 x 3 bedroom, 1 x 1 bedroom and 3 x 2 bedroom), provision for cycle parking, hard and soft landscaping and subdivision of rear garden space",,,4,4,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00043,,"York House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.285252126,51.55635531,0.87,unknown ownership,,permissioned,planning permission granted under an order,2018-08-10,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_140321,,305,"Prior approval for change of use of part ground, 4th to 8th floors, part of the 9th floor and 10th to 15th floors from office (Use Class B1) to residential (Use Class C3) involving the creation of 305 residential units (277 studio flats, 12 x 1-bed, 1-person flats and 16 x 1-bed, 2-person flats)",,,2,305,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00044,,"Malcolm House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.282600247,51.56068186,0.21,unknown ownership,,permissioned,full planning permis,2013-03-28,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_94965|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_110190,,62,"The use of the site for surface car parking for up to 1,350 cars for a temporary period of 5 years while land to the south of Engineers Way is redeveloped pursuant to planning permission 03/3200 and the making good of part of the site and other minor works following the demolition of the former Palace of Industry building. The application site is situated between Engineers Way, Olympic Way, Fulton Road and Empire Way but excludes the Quality Hotel, Dexion and Howarine House, the Civic Centre and Malcolm/Fulton House sites","car parking for up to 1,350 cars",,14,62,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00045,,"Stadium Retail Park, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.280706443,51.56136663,1.15,unknown ownership,Yes,pending decision,outline planning per,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,680,"Outline planning permission for demolition of existing buildings on site and provision of up to 85,000 sqm (Gross External Area, GEA) of new land use floorspace (across 1.679 ha) within a series of buildings, ranging from 8 to 25 storeys in height, and C3 (Use Class) Residential: up to 57,000 sqm gross (approximately 680 units)","with the maximum quantum as follows: A1 - A4 (Use class) Retail, B1 Office and/or D2 Leisure and Assembly: up to 4,000 sqm;  And either: D1 (Use Class) Non-residential institutions: up to 25,000 sqm; or A1 – A4 (Use Class) Retail, B1 Office  and /or D2 Leisure and Assembly: up to 3,000 sqm; and C3 residential: up to 22,000 sqm; or D1 (Use class) Non-residential institutions: up to 16,000 sqm; and Sui generis (Use class) student accommodation up to 9,000 sqm; or C3 (Use class) Residential : up to 22,000 sqm (approximately 315 units). Notwithstanding the above breakdown, the maximum quantum of floorspace by land use overall will always be 85,000 sqm GEA. No occupied residential or student living accommodation will be at ground level or below. ",,5,680,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00046,,"Land Adjacent To 1-18 And Land West Of 29 To 46,, Ellerslie Gardens, NW10",,ETRS89,-0.2353402101,51.5406771108,0.83,Mixed ownership,yes,permissioned,full planning permis,2018-08-29,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_140759,,8,"Demolition of existing amenity buildings and construction of two residential blocks (Block A - 1 x part-3 part-4 storey and Block B - 1 x 4 storey) comprising 8 self-contained flats (5 x 2 bed and 3 x 3 bed) with associated car parking, cycle storage, refuse storage, storage buildings, amenity space, landscaping and 2 x drying areas",,,8,8,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00047,,"Land Adjacent To Wembley Stadium Station, South Way, HA9 0HB",,ETRS89,-0.2836218778,51.554836713,3.19,Unknown ownership,yes,permissioned,outline planning per,2016-12-23,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_119764,,590,"A hybrid planning application, for the redevelopment of the site to provide seven mixed use buildings up to 19 storeys in height accommodating:

outline planning permission for up to a total of 75,000sqm to 85,000sqm mixed floor space including up to 67,000sqm of C3 residential accommodation (approximately 725 units); 8,000sqm to 14,000sqm for additional C3 residential accommodation, C1 hotel and/or sui generis student accommodation (an additional approximate 125 residential units; or 200-250 bed hotel; or approximate 500 student units; or approximate 35 residential units and 200 bed hotel); together with associated open space and landscaping; car parking, cycle storage, pedestrian, cycle and vehicle access; associated highway works; improvements to rear access to Neeld Parade; and associated infrastructure

full planning permission for a basement beneath Plots SW03 - SW05 to accommodate 158 car parking spaces and 9 motor cycle spaces; Building 3A within Plot SW03 to accommodate 188 residential units and 150 cycle spaces; and associated infrastructure, landscaping, open space, vehicular access and servicing

 and subject to a Deed of Agreement dated 23 December 2016 under Section 106 of the Town and Country Planning Act 1990, as amended","1,500sqm to 3,000sqm for Classes B1/A1/A2/A3/A4/D1/D2; ",,590,590,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00048,,"The Torch/Kwik Fit Euro, 1-5 Bridge Road, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.277105689,51.56495861,0.38,unknown ownership,Yes,not permissioned,,,,,135,,,,414,135,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00049,,"Watkin Road, 1-22 Watkin Road plus site of Transporter House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.275665836,51.56069081,1.45,unknown ownership,,not permissioned,,,,,400,,,,15,400,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00050,,"Euro Car Parts, Corner of Fulton Road and Fifth Way, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.27352669,51.5596013,1.36,not owned by a public authority,Yes,not permissioned,,,,,885,,,,305,885,,,,2017-12-15,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00051,,"Alperton House, Bridgewater Road, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.301534822,51.53971575,0.76,not owned by a public authority,,pending decision,full planning permis,,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202126816_1,,95,"Temporary consent for change of use of first, second, third, fourth and fifth floors of building to a mixed use as office (Use Class B1) and non-residential institution (Use Class D1 ? Education and Training Centres) for a temporary period of 2 years",mixed use as office (Use Class B1) and non-residential institution (Use Class D1 Education and Training Centres),,62,120,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00052,,"Sunleigh Road, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.293956554,51.539164,1.9,not owned by a public authority,Yes,not permissioned,,,,,395,,,,680,395,,,,2017-12-15,2017-12-15,,,
