OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EffectiveDate,UPRN,StrategicHousingLandAvailabilityAssessmentReference,LandAllocationsReference,PlanningReference,AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference,ExpiryOfPlanningPermission,CoordinateReferenceSystem,Easting,Northing,GeoPointLicensingURL
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR11,,"Mixed use allocation at Guide's Lot, Grange",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR11,ETRS89,-2.92796,54.18173,1.15,owned by a public authority,,not permissioned,,,,,16,,0.37ha allocated employment use,,16,16,,,,01/12/2017,01/12/2017,14/12/2017,,,LA3.3,,,,OSGB36,339535,476616,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR12,,"Morecambe Road Scrapyard, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR12,ETRS89,-3.08743,54.19363,0.39,not owned by a public authority,,not permissioned,,,,,12,,,,12,12,,,,01/12/2017,01/12/2017,14/12/2017,,,LA1.3,,,,OSGB36,329147,478089,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR13,,"North of Watery Lane, Ulverston""",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR13,ETRS89,-3.08698,54.19229,0.12,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,8,,,,01/12/2017,01/12/2017,14/12/2017,,,LA1.3,,,,OSGB36,329175,477937,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR14,,"Millers Scrap Yard, Back Lane, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR14,ETRS89,-3.09278,54.19748,0.2,not owned by a public authority,,not permissioned,,,https://cloud2.atriumsoft.com/ePlanningCMB/tabPage3.jsp?aplId=45314,,6,Dismantling/removal of steel portal framed building and demolition of workshops and garages.  Note: also a related permission for the relocation of the scrapyard to another site (5/17/9001),,,6,10,,,,01/12/2017,01/12/2017,14/12/2017,,432,,,,,OSGB36,328805,478521,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR15,,"Dragley Beck Depot, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR15,ETRS89,-3.08784,54.18923,0.15,owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,,01/12/2017,01/12/2017,14/12/2017,,670,,,,,OSGB36,329113,477598,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR16,,"Land off Queen's Drive, Arnside",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR16,ETRS89,-2.83255,54.19737,0.12,not owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,,01/12/2017,01/12/2017,14/12/2017,,,,,AS17,,OSGB36,345782,478277,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR17,,"Land at Sandside Road and Quarry Lane, Sandside",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR17,ETRS89,-2.80119,54.22,3.09,not owned by a public authority,,not permissioned,,,,,20,,Proposed mixed use allocation (housing and employment).  Areas for each use not defined in DPD.,,20,40,,,"Employment, Residential, community facilities",01/12/2017,01/12/2017,14/12/2017,,,,,AS25,,OSGB36,347856,480772,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR18,,"Police Station, Neville St, Ulverston",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR18,ETRS89,-3.09255,54.1945,0.28,owned by a public authority,,not permissioned,,,,,10,,,,10,20,,,Site being marketed. http://www.carigietcowen.co.uk/property_900.shtml,01/12/2017,01/12/2017,14/12/2017,,,,,,,OSGB36,328815,478193,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR19,,"Rear of Captain French Health Centre, Chapel Lane",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR19,ETRS89,-2.74811,54.3228,0.28,not owned by a public authority,,not permissioned,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2014/0527&ApplicationNumber=2014%2F0527&AddressPrefix=&Postcode=&Submit=Search,,8,Erection of 8 self contained apartments (expired),,,,,,,Expired permission for 8 dwellings.,01/12/2017,01/12/2017,14/12/2017,,,,SL/2014/0527,,31/07/2017,OSGB36,351439,492172,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR20,,"Armadale Hotel, Arrad Foot",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR20,ETRS89,-3.06312,54.21821,0.04,not owned by a public authority,,not permissioned,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2012/0989&ApplicationNumber=SL%2F2012%2F0989&AddressPrefix=&Postcode=&Submit=Search|http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0055&ApplicationNumber=SL%2F2017%2F0055&AddressPrefix=&Postcode=&Submit=Search,,6,"Change of use and conversion from hotel and restaurant to form three dwellings with the erection of additional five dwellings, parking and associated works | Demolition of building.",,,,,,,"Recent application for demolition of hotel, previous application for conversion and new build residential - expired as reserved matters not submitted within three years. Net dwellings - 6.",01/12/2017,01/12/2017,14/12/2017,,,,SL/2012/0989 | SL/2017/0055,,26/02/2016,OSGB36,330770,480794,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR21,,"Former Garage, Ashleigh Road, Arnside",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR21,ETRS89,-2.83184,54.20319,0.07,not owned by a public authority,,not permissioned,,,,,6,,,,5,6,,,Garage demolished.,01/12/2017,01/12/2017,14/12/2017,,,,,A29,,OSGB36,345836,478924,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR22,,"Garages at Stewart Close, Arnside",https://my.southlakeland.gov.uk/mysouthlakeland.aspx?SouthLakes/MyMapsSouthLakes&SearchLayer=Brownfield&SearchField=site_ref&SearchValue=BLR0122,ETRS89,-2.83006,54.19394,0.07,not owned by a public authority,,not permissioned,,,,,6,,,,5,6,,,,01/12/2017,01/12/2017,14/12/2017,,,,,,,OSGB36,345940,477893,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
