SHLAA_REF,EASTING,NORTHING,SITENAME,UPRN,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,CONSTRAINT,OWNERSHIP,OWNERS,MINHOMES,EVENTS,NOTES,FIRSTADDED,LASTUPDATE,INCLUDE,HSGESTIMAT,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,SHAPE_AREA,SHAPE_LEN
SHLAA0187,358103.8951,405469.5147,Tower Buildings And 58-58a And 60 Wallgate Wigan,1.00013E+11,OSGB36,0.105580124,Permissioned,357903.89513618:405669.5146746:358303.89513618:405269.5146746,357903.89513618:405669.5146746:358303.89513618:405269.5146746,Not in Public Ownership,,20,,A/16/81981 refers,Apr-16,Nov-18,Include,"18 one bed and 2 two bed apartments""""",-2.63372073,53.54418343,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1055.801236,168.3208617
SHLAA0131,357685.2531,405014.3641,Eckersley Mill Swan Meadow Road Wigan,1.00013E+11,OSGB36,5.695786505,Permissioned,357485.25306499:405214.36408494:357885.25306499:404814.36408494,357485.25306499:405214.36408494:357885.25306499:404814.36408494,Not in Public Ownership,,310,,A/08/70960 refers,Apr-16,Nov-18,Include,,-2.63997626,53.54005899,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,56957.86505,1026.630867
SHLAA0135,356897.8,410969.511,Land At Bradley Hall Trading Estate Bradley Lane Standish,1.00013E+11,OSGB36,5.609734929,Pending Decision,356697.80002289:411169.5109733:357097.80002289:410769.5109733,356697.80002289:411169.5109733:357097.80002289:410769.5109733,Not in Public Ownership,,163,,A/17/85026 refers,Apr-16,Nov-18,Include,,-2.65268152,53.59351798,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,56097.34929,1238.729813
SHLAA0126,357894.308,406621.6936,Wigan and Leigh College Pagefield Building Bridgeman Terrace Wigan,10009212574,OSGB36,3.364656354,Not Permissioned,357694.30795951:406821.69360547:358094.30795951:406421.69360547,357694.30795951:406821.69360547:358094.30795951:406421.69360547,Not in Public Ownership,,395,,,Apr-16,Nov-18,Include,,-2.63703895,53.55452215,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,33646.56354,862.1614349
SHLAA0078,354205.4814,404716.4527,Former Abraham Guest High School Orrell Road Orrell,1.00013E+11,OSGB36,2.01903714,Not Permissioned,354005.48144186:404916.45268966:354405.48144186:404516.45268966,354005.48144186:404916.45268966:354405.48144186:404516.45268966,Public Ownership,Wigan Council,61,,,Apr-16,Nov-18,Include,,-2.69243629,53.53708883,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,20190.3714,707.5563886
SHLAA0128,357485.2447,405853.9751,Land adj to Frog Ln Depot (former fork lift truck company) Frog Ln Wigan,1.00013E+11,OSGB36,1.85443263,Pending Decision,357285.24469691:406053.97506882:357685.24469691:405653.97506882,357285.24469691:406053.97506882:357685.24469691:405653.97506882,Public Ownership,Wigan Council,60,,A/16/83282 refers,Apr-16,Nov-18,Include,,-2.64310849,53.54758902,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,18544.3263,738.2876703
SHLAA0031,371239.8688,401044.7321,Land adjacent Holy Family RC Church Astley,10090385006,OSGB36,0.663622182,Permissioned,371039.8688337:401244.73211439:371439.8688337:400844.73211439,371039.8688337:401244.73211439:371439.8688337:400844.73211439,Not in Public Ownership,,15,,A/16/83156 refers,Apr-16,Nov-18,Include,"""""7 three bed and 8 four bed dwellings""""",-2.43508679,53.50529953,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6636.22182,397.5334327
SHLAA0310,359359.2167,404795.3155,Incefield House 234 Ince Green Lane Ince Wigan,1.00013E+11,OSGB36,0.082957614,Not Permissioned,359159.21666566:404995.3154626:359559.21666566:404595.3154626,359159.21666566:404995.3154626:359559.21666566:404595.3154626,Not in Public Ownership,,10,,,Apr-16,Nov-18,Include,,-2.61469019,53.53822276,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,829.5761425,110.6439247
SHLAA0362,357425.1676,406411.2461,Pagefield Hotel 168 Gidlow Lane Wigan,1.00012E+11,OSGB36,0.397639594,Permissioned,357225.16762731:406611.24606619:357625.16762731:406211.24606619,357225.16762731:406611.24606619:357625.16762731:406211.24606619,Not in Public Ownership,,31,,A/16/82916 refers,Apr-16,Nov-18,Include,"5 one bed and 17 two bed apartments and 9 four bed dwellings""""",-2.64409119,53.55259276,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3976.395936,291.0203774
SHLAA0360,359880.7283,404564.3807,Land At Wigan Enterprise Park Seaman Way Ince,2.00002E+11,OSGB36,10.79498606,Permissioned,359680.72827038:404764.38072114:360080.72827038:404364.38072114,359680.72827038:404764.38072114:360080.72827038:404364.38072114,Not in Public Ownership,,325,,A/13/78163 refers,Apr-16,Nov-18,Include,"75 two bed 150 three bed and 100 four bed dwellings""""",-2.60679199,53.53618735,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,107949.8606,1530.83336
SHLAA0171,365450.0196,400758.6579,Former Hilton Park site Atherleigh Way Leigh,1.00013E+11,OSGB36,2.228214943,Pending Decision,365250.01963576:400958.65794667:365650.01963576:400558.65794667,365250.01963576:400958.65794667:365650.01963576:400558.65794667,Not in Public Ownership,,103,,A/15/81063 refers,Apr-16,Nov-18,Include,,-2.5223453,53.50237854,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,22282.14943,630.5660539
SHLAA0343,362231.1201,402171.3701,Former Bickershaw Methodist Church  Grange Road Bickershaw,1.00013E+11,OSGB36,0.215047131,Permissioned,362031.12014413:402371.37013029:362431.12014413:401971.37013029,362031.12014413:402371.37013029:362431.12014413:401971.37013029,Not in Public Ownership,,9,,A/15/81807 refers,Apr-16,Nov-18,Include,"9 four bed dwellings""""",-2.57104169,53.51485393,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2150.471307,197.4835328
SHLAA0001A,364642.9971,401983.8022,North Leigh Park Nel Pan Lane Leigh,10090385061,OSGB36,15.70058886,Pending Decision,364442.99709592:402183.80218861:364842.99709592:401783.80218861,364442.99709592:402183.80218861:364842.99709592:401783.80218861,Not in Public Ownership,Northleigh Park Group Ltd,162,,A/16/82085 refers,Apr-16,Nov-18,Include,,-2.53465007,53.51333632,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,157005.8886,3151.523941
SHLAA0354,357959.2615,406984.2461,Apollo Printing Services Heeley Street Wigan,10009212991,OSGB36,0.08229101,Permissioned,357759.26148577:407184.24612899:358159.26148577:406784.24612899,357759.26148577:407184.24612899:358159.26148577:406784.24612899,Not in Public Ownership,,8,,A/16/81990 refers,Apr-16,Nov-18,Include,"8 three bed dwellings""""",-2.63610745,53.5577859,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,822.910095,127.2490367
SHLAA0249,352683.3575,403368.4975,Hawkins House 1 Cross Lane Billinge,1.00013E+11,OSGB36,0.088665757,Not Permissioned,,,Not in Public Ownership,,12,,,Jul-17,Nov-18,Include,,-2.715202,53.524834,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,886.65757,120.3650909
SHLAA0181,367160.5301,403475.5953,"Collier Brook Industrial Estate, Bag Lane, Atherton",1.00013E+11,OSGB36,0.478133164,Permissioned,,,Not in Public Ownership,,15,,A/11/75721 refers,Jul-17,Nov-18,Include,"7 two bed and 8 three bed dwellings""""",-2.496852,53.526903,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,4781.331638,297.9677852
SHLAA0306,356827.9748,404990.8389,Site Of 95-101 Ormskirk Road Wigan WN5 9EA,1.00013E+11,OSGB36,0.079268972,Not Permissioned,,,Not in Public Ownership,,5,,,Jul-17,Nov-18,Include,,-2.652923,53.53977,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,792.689725,184.3970628
SHLAA0336,359623.1267,404921.1224,1 The Grove Ince Wigan WN2 2BU,10009209875,OSGB36,0.032968409,Not Permissioned,,,Not in Public Ownership,,6,,,Jul-17,Nov-18,Include,,-2.610727,53.539373,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,329.684092,72.87375116
SHLAA0395,353164.4582,404545.2548,Land at 3 Holgate Drive Orrell,10090387140,OSGB36,0.236731407,Not permissioned,,,Not in Public Ownership,,7,,Call for sites,Jul-17,Nov-18,Include,,-2.708124,53.535456,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2367.314072,219.033601
SHLAA0398,356490.9437,410079.2266,Standish Ambulance Station Glebe Close Standish Wigan WN6 0DD,1.00013E+11,OSGB36,0.1474455,Pending Decision,,,Not in Public Ownership,,9,,A/17/83276 refers,Jul-17,Nov-18,Include,,-2.658718,53.585481,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1474.455,153.9103971
SHLAA0402,365364.468,398904.8246,Beech Grove House  155 St Helens Road Leigh WN7 3UA,1.00012E+11,OSGB36,0.130060904,Permissioned,,,Not in Public Ownership,,10,,A/17/84018 refers,Jul-17,Nov-18,Include,"4 one bed and 3 two bed apartments 2 two bed and 1 three bed dwellings""""",-2.523437,53.485703,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1300.609038,225.0102479
SHLAA0403,354578.9821,404308.1775,60 Brook Lane Orrell Wigan WN5 8JG,2.00003E+11,OSGB36,0.095701,Permissioned,,,Not in Public Ownership,,9,,A/17/84107 refers,Jul-17,Nov-18,Include,"3 one bed and 6 two bed apartments""""",-2.686757,53.53345,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,957.01,126.057152
SHLAA0023,358521.172,407594.9903,"Leyland Mill, Wigan",10009211432,OSGB36,1.122119955,Not Permissioned,,,Not in Public Ownership,,38,,,Jul-17,Nov-18,Include,,-2.627709,53.563311,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,11221.19955,432.0443014
SHLAA0363,360017.0508,405276.6132,Pickup Street Ince,10009210901,OSGB36,0.788354758,Not Permissioned,,,Public Ownership,Wigan Council,33,,,Jul-17,Nov-18,Include,,-2.604827,53.542594,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,7883.547578,564.7454854
SHLAA0387,357346.534,400024.5634,Site Of Former Manse 233 Wigan Road Ashton-In-Makerfield,10090389656,OSGB36,0.276923085,Permissioned,,,Not in Public Ownership,,5,,A/15/81226 and A/17/83586 refer,Jul-17,Nov-18,Include,"4 five bed and 1 six bed dwelling""""",-2.644414,53.495179,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2769.23085,253.6429206
SHLAA0374,364966.7981,400323.9297,Open Land North East Of 21 Knowsley Street Leigh,10009211660,OSGB36,0.213367523,Permissioned,,,Not in Public Ownership,,10,,A/16/82624 refers,Jul-17,Nov-18,Include,"10 two bed apartments""""",-2.529593,53.498431,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2133.675231,203.3474887
SHLAA0390,372262.4127,402004.671,The Chapel City Road Worsley,10014058218,OSGB36,0.108983475,Permissioned,,,Not in Public Ownership,,5,,A/17/83731 refers,Jul-17,Nov-18,Include,"5 three bed dwellings""""",-2.419762,53.513977,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1089.83475,136.9428097
SHLAA0385,369000.8532,400849.3446,Vyna House North Lane Tyldesley Manchester M29 7AB,1.00013E+11,OSGB36,0.505684499,Permissioned,,,Not in Public Ownership,,32,,A/16/81994 refers,Jul-17,Nov-18,Include,"6 one bed and 12 two bed apartments and 14 four bed dwellings""""",-2.468837,53.503413,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,5056.84499,290.6187503
SHLAA0377,360659.4079,406390.0245,Kirkless Industrial Estate Cale Lane Aspull,1.00013E+11,OSGB36,9.66440784,Permissioned,,,Not in Public Ownership,,300,,A/15/81125 refers,Jul-17,Nov-18,Include,"130 two bed 145 three bed and 26 four bed dwellings""""",-2.59528,53.552655,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,96644.0784,1370.458856
SHLAA0386,363846.2637,402234.2206,Mechanics Arms 277 Leigh Road Hindley Green Wigan WN2 4XW,1.00013E+11,OSGB36,0.098597715,Permissioned,,,Not in Public Ownership,,6,,A/15/81669 refers,Jul-17,Nov-18,Include,"1 two bed and 5 three bed dweliings""""",-2.546697,53.515531,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,985.977149,133.0522482
SHLAA0392,359326.581,404544.7569,Eastdale Old Hall Street Ince Wigan WN3 4QR,1.00013E+11,OSGB36,0.333818303,Permissioned,,,Not in Public Ownership,,17,,A/16/82649 refers,Jul-17,Nov-18,Include,"2 two bed and 15 three bed dwellings""""",-2.615159,53.535961,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3338.18303,234.9187595
SHLAA0107,356449.4195,406591.5718,Land at Canal Street Wigan,1.00013E+11,OSGB36,3.658605388,Permissioned,356249.41948779:406791.57179257:356649.41948779:406391.57179257,356249.41948779:406791.57179257:356649.41948779:406391.57179257,Not in Public Ownership,,145,,A/18/85329 refers,Apr-16,Nov-18,Include,"24 two bed apartments 107 three bed 14 four bed dwellings""""",-2.65884317,53.55413323,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,36586.05388,1062.213255
SHLAA0196,359013.2883,404708.6137,Harvey Street Ince,1.00013E+11,OSGB36,0.169771437,Permissioned,358813.28828835:404908.61367629:359213.28828835:404508.61367629,358813.28828835:404908.61367629:359213.28828835:404508.61367629,Not in Public Ownership,,11,,A/16/81892 refers,Apr-16,Nov-18,Include,"10 three bed and 1 four bed dwellings""""",-2.6198981,53.53741655,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1697.714369,223.3242526
SHLAA0347,358121.3886,404729.9032,Site Of And Land To The North Of 52 - 54 Poolstock  Wigan,1.00013E+11,OSGB36,0.039880786,Permissioned,357921.38855111:404929.90318967:358321.38855111:404529.90318967,357921.38855111:404929.90318967:358321.38855111:404529.90318967,Not in Public Ownership,,9,,A/15/81648 refers,Apr-16,Nov-18,Include,"6 one bed 3 two bed apartments""""",-2.63335749,53.53753735,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,398.8078629,101.03641
SHLAA0134,358420.298,404443.1716,Westwood Park Wigan,2.00005E+11,OSGB36,28.92649355,Not Permissioned,358242.41844988:404763.03843169:358642.41844988:404363.03843169,358242.41844988:404763.03843169:358642.41844988:404363.03843169,Public Ownership,Wigan Council,429,,,Apr-16,Nov-18,Include,,-2.628492,53.536063,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,289264.9355,2793.496903
SHLAA0026,358053.6281,399348.3547,Rockleigh Hotel 50 Bolton Road Ashton-in-Makerfield,1.00013E+11,OSGB36,0.296906556,Not Permissioned,357853.62808908:399548.35471613:358253.62808908:399148.35471613,357853.62808908:399548.35471613:358253.62808908:399148.35471613,Not in Public Ownership,,9,,,Apr-16,Nov-18,Include,,-2.63365754,53.48916347,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2969.06556,242.6052198
SHLAA0110,360424.6472,405155.9727,Land at former Park Inn public house Manchester Road Higher Ince,1.00013E+11,OSGB36,0.310843627,Permissioned,360224.64721179:405355.97269249:360624.64721179:404955.97269249,360224.64721179:405355.97269249:360624.64721179:404955.97269249,Not in Public Ownership,,10,,A/17/84797 refers,Apr-16,Nov-18,Include,"10 three bed dwellings""""",-2.59866087,53.54154588,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3108.436266,280.2697195
SHLAA0087,360712.8824,402729.9949,"Land at Woodcock Drive, Platt Bridge",10014063299,OSGB36,0.401242174,Not Permissioned,,,Public Ownership,Wigan Council,12,,,Jul-17,Nov-18,Include,,-2.59402,53.519754,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,4012.42174,423.3306457
SHLAA0048,366088.7559,402278.0707,"Land to west of Lovers Lane, Howe Bridge, Atherleigh",,OSGB36,3.109204291,Not Permissioned,,,Public Ownership,,42,,,Jul-17,Nov-18,Include,,-2.512892,53.516076,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,31092.04291,883.6756301
SHLAA0144,366924.511,403609.0017,"Albion Inn, 189 Bag Lane, Atherton",1.00012E+11,OSGB36,0.118953618,Not Permissioned,,,Not in Public Ownership,,9,,,Jul-17,Nov-18,Include,,-2.500426,53.528093,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1189.536177,138.3502648
SHLAA0043,362946.2057,399831.7464,Land between Crankwood Road and Leeds/Liverpool Canal,1.00013E+11,OSGB36,1.311688056,Not Permissioned,,,Not in Public Ownership,,40,,,Jul-17,Nov-18,Include,,-2.559984,53.49387,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,13116.88056,630.4012694
SHLAA0028,356415.3682,404913.0281,Land to rear of 17-51 Heather Grove,10014058831,OSGB36,0.82059577,Pending Decision,,,Not in Public Ownership,,30,,A/18/85333 refers,Jul-17,Nov-18,Include,,-2.659128,53.539044,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,8205.957701,593.7347918
SHLAA0204,363410.3636,397605.3165,"The Bungalow, Pocket Nook Lane, Lowton",1.00012E+11,OSGB36,1.073564271,Pending Decision,,,Not in Public Ownership,,49,,A/18/86062 refers,Jul-17,Nov-18,Include,,-2.55273,53.473895,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,10735.64271,454.0105675
SHLAA0349,358445.7431,405556.8311,Development South Of Millgate Multi Storey Car Park Millgate,10009215698,OSGB36,0.218401807,Not Permissioned,,,Public Ownership,Wigan Council,120,,,Jul-17,Nov-18,Include,,-2.628585,53.544988,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2184.018074,202.0405215
SHLAA0199,365310.7332,400130.5072,Wigan and Leigh College Boughey Street Leigh,1.00013E+11,OSGB36,0.217892873,Not Permissioned,,,Not in Public Ownership,,22,,,Jul-17,Nov-18,Include,,-2.524386,53.496719,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2178.928732,192.7537057
SHLAA0265,365956.6552,403039.7771,Hindleys Farm Wigan Road Atherton,1.00012E+11,OSGB36,0.614902717,Not Permissioned,,,Not in Public Ownership,,18,,,Jul-17,Nov-18,Include,,-2.514966,53.522907,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6149.027172,406.5410856
SHLAA0243,362358.7448,396800.8651,St Catherine of Siena RC Church Newton Road Lowton,1.00013E+11,OSGB36,0.750523555,Not Permissioned,,,Not in Public Ownership,,24,,,Jul-17,Nov-18,Include,,-2.568482,53.466585,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,7505.23555,357.01785
