OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,PlanningStatus,PermissionType,PermissionHistory,MinNetDwellings,DevelopmentDescription,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1412.0,,"Land at Dawson House, Liverpool Road, Great Sankey, Warrington, WA5 3LW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355293.34112048,388965.97890195,5.78,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters and Full Planning,2011/18949 & 2016/23929 & 2016/29330,147.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1422.0,,"Land at 31-35, Winwick Street, Warrington, WA2 7TT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360653.17501022,388592.74573883,0.09,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2007/11202 and 2010/17449,16.0,See most recent planning history at warrington.gov.uk,2017.0,Proposed mixed use development comprising A3/A5 outlet on the ground floor with 16 apartments above all within a 5 storey block,"Town Centre (CS7), Inner Warrington (CS9), Archaeological Potential (QE8) and Winwick Street Conservation Area."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1427.0,,"35-37 Bewsey Street, Warrington, WA2 7JA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360495.70258825,388502.36161102,0.01,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/26540,10.0,See most recent planning history at warrington.gov.uk,2017.0,"Proposed construction of four storey building (comprising of 1no three bed apartment and 9no one bedroom apartments (C3) and roof terrace, including demolition of two chimney projections to 37/39 Bewsey Street junction.","Town Centre (CS7), Inner Warrington (CS9), Archaeological Potential (QE8) and Bewsey Street Conservation Area."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1509.0,,"South Western corner of Penketh Business Park, Off Cleveleys Rd, Penketh, Warrington, WA5 2SR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,357868.90032699,387615.95534218,0.76,Great Sankey South,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2010/17075,22.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1513.0,,"Hollingreave Farm, Dam Lane, Rixton, WA3 6LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,368931.29880634,391796.2387485,0.45,Rixton & Woolston,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20090,5.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1517.0,,"Former Ship Inn and adjoining land, Chester Road, Walton, WA4 6EN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360433.10608438,385893.14849051,1.37,Stockton Heath,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2014/24980 & 2015/26890,1.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1519.0,,"Howards Transport Limited, Robins Lane, Culcheth, WA3 4AE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364775.7632762,394859.87179266,0.35,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,No,Not Permissioned,,,7.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1541.0,,"Arpley Meadows (mid parcel), South of WA1 1NA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359810.59572618,387009.29899575,19.57,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,646.0,Not applicable,2017.0,PDL,This land is subject to a restrictive covenant which prevents residential development.  It is unlikely however that the restrictive covenant will present a constraint to development since PQ have already expressed support for Warrington Borough Council's plans for the regeneration of this area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1550.0,,"Land adjacent Lord Street, Latchford, WA4 1BZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360993.02818375,387591.2224219,0.07,Latchford West,Not owned by a Public Authority,No,Permissioned,Prior Notification,2013/21524,21.0,See most recent planning history at warrington.gov.uk,2017.0,Proposed demolition of traditional masonary building with timber roof.,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1585.0,,"Former scout hut and lock up garagres, Helsby Street (southern end), Howley, WA1 3AX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361885.6714788,388624.59662161,0.17,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,8.0,Not applicable,2017.0,,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1602.0,,"Brook Avenue garage site and former Children's Home, North of Brook Avenue, Latchford, WA4 1SS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362856.601629,388212.27464755,0.15,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,5.0,Not applicable,2017.0,,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1607.0,,"The Old Rectory, Rectory Lane, Winwick, WA2 8LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360550.30138287,392598.09921833,0.82,Burtonwood & Winwick,Not owned by a Public Authority,No,Not Permissioned,,,14.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1613.0,,"Barondale Grange, Stockport Road, Thelwall, WA4 2TB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364887.54981461,387029.75314081,0.86,Lymm North & Thelwall,Not owned by a Public Authority,,Not Permissioned,,,4.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1620.0,,"Recycling premises, Off Camsley Lane, Lymm, WA13 9BY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,366126.93915427,387287.06948477,0.9,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1633.0,,"Arpley Meadows (most western parcel), Arpley Meadows",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359307.67997926,387252.69932313,29.46,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,1105.0,Not applicable,2017.0,PDL,This land is subject to a restrictive covenant which prevents residential development.  It is unlikely however that the restrictive covenant will present a constraint to development since PQ have already expressed support for Warrington Borough Council's plans for the regeneration of this area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1643.0,,"Former Police Training Centre, Off Greenway, Bruche, WA1 3BG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362936.84256364,389503.02517406,8.81,Poulton South,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2013/22541,63.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1653.0,,"Adjacent to south-western cockhedge bridge, Scotland Rd, Warrington, WA1 2AF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360706.23197841,388324.14262567,0.08,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,,"The site is within the town centre boundary, the town centre retail core, and is an area identified as being of archaeological potential."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1710.0,,"Dalton Bank Council Depot, Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361263.52390329,388619.47808678,1.45,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,65.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1715.0,,"Spectra Building & Drivetime Golf Range, South of Centre Park Business Park, WA1 1QL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360156.59147023,386784.65329991,16.65,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Not Permissioned,,,512.0,Not applicable,2017.0,PDL,Bridging rights are required to deliver Phase 1.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1717.0,,"Former Dairy Works, Knutsford Road, Warrington, WA4 1AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361522.82282986,387570.74828256,0.25,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,13.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1719.0,,"Furnish with Flair Site, Wilderspool Causeway, Warrington, WA4 6QP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361171.03080786,386903.24935214,0.31,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,36.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1720.0,,"MSBS Joinery Site, Star Lane, Lymm, WA13 9LN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367208.47679914,387468.59752291,0.37,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1721.0,,"St Albans Catholic Club, Bewsey Street, Warrington, WA2 7JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360516.44716199,388499.79234647,0.1,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,35.0,Not applicable,2017.0,,Site is within a LPCS priority regeneration area of Inner Warrington - forms part of the Town Centre Strategic Location (Policies CS9 and CS7).  The site is also located within an area identified as being of archaeological potential and is located adjacent to Bewsey Street Conservation Area and in close proximity to grade II listed buildings in Bewsey Street.  LPCS Policies CS6 and QE8 are pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1723.0,,"Land at Hopwood Street, off Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361179.3748097,388641.41180832,0.46,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,21.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1725.0,,"Land adjacent Magistrates Court, Winmarleigh Street, Warrington, WA1 1NB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360227.30111423,387961.94630329,0.05,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,,"Site is within the Town Centre, and is located directly adjacent to the Palmyra Square Conservation Area.  Site is also located opposite a grade II listed building.  LPCS Policies CS6 and QE8 are therefore pertinent."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1733.0,,"Hall Motors Site, Folly Lane, Warrington, WA5 0LZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359912.92517951,389281.62854818,0.85,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,31.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1736.0,,"224 - 228 Wilderspool Causeway, 224 - 228 Wilderspool Causeway, WA4 6QF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361021.17682235,387058.04504234,0.15,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,18.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1737.0,,"Land Between Public House and 3 Church Lane, Church Lane, Culcheth, WA3 5DL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,365715.86514295,395133.4234893,0.25,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27387,10.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1746.0,,"Site of former Kwik Save, Academy Way / Buttermarket Street, Warrington, WA1 2BJ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360866.47474091,388210.39518554,0.39,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,50.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1752.0,,"Former Wilderspool Stadium, Priory Street, Warrington, WA4 6YP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361010.44999786,387446.88373842,1.9,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,71.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1753.0,,"Land at the rear of St. James Court, Off Wilderspool Causeway, Warrington, WA4 6PS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360942.95592768,387532.8791225,0.85,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,38.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1755.0,,"Garven Place Clinic, Legh Street, Warrington, WA1 1UQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360325.54926231,388216.74336839,0.56,Bewsey & Whitecross,Owned by a Public Authority,No,Not Permissioned,,,25.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1756.0,,"Pierpoint & Bryant Lagoon, Rear of Pichael Nook, Westy, WA4 1AA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363416.59793393,387769.77131281,3.45,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20529,57.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1758.0,,"Land at junction of Wilson Patten Street/Winmarleigh Street, Warrington, WA1 1LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360223.1950738,387853.55732931,0.16,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,25.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located directly adjacent to Palmyra Square Conservation Area and in close proximity to locally listed buildings.  Policy QE8 of the adopted LPCS is therefore pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1760.0,,"Land at 3 Delenty Drive, Birchwood, WA3 6AN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364995.70028107,391794.54923212,0.35,Birchwood,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25391,9.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1762.0,,"Site of Dog & Partridge, off Manchester Road, Woolston, WA1 3TZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363484.60319789,389110.34757685,0.57,Poulton South,Not owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1775.0,,"Thorn Marine, 164a London Road, Stockton Heath, WA4 6LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361522.83107492,385777.22167421,0.04,Stockton Heath,Not owned by a Public Authority,No,Not Permissioned,,,5.0,Not applicable,2017.0,,The building is designated as one of local importance for architectural or historic interest.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1785.0,,"Car Wash SUDS, Church Street, Warrington, WA1 2SY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361189.75534162,388304.74817728,0.09,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,12.0,Not applicable,2017.0,,Site is within Church Street conservation area and within an area of archaeological potential.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1795.0,,"Holy Trinity Vicarage, Palmyra Square North, Warrington, WA1 1JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360387.75000326,388095.06819755,0.06,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located within the Palmyra Square Conservation Area.  Site is within an area identified as being of archaeological potential.   Policy QE8 of the adopted LPCS are therefore pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1817.0,,"Bathroom & Tile Showroom, Parker St/Liverpool Rd, Warrington, WA1 1NN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360072.63201304,388120.680866,0.1,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located within the Town Hall Conservation Area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1843.0,,"Remainder of Whittle Hall 16, Off Stockdale Court, Gt Sankey, WA5 3RW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356343.11878999,389496.77696259,0.22,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2013/22190,7.0,See most recent planning history at warrington.gov.uk,2017.0,Outline application for 6 dwellings.,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1844.0,,"Lock up garages south west of Wellfield Street, Warrington, WA5 1AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359214.74989559,388600.74344951,0.14,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,7.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9)
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1855.0,,"Land off Hollow Drive, Hollow Drive, Stockton Heath, WA4 2AS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361979.87130188,386194.47223748,0.36,Stockton Heath,Not owned by a Public Authority,Yes,Not Permissioned,,,5.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1885.0,,"Dingle Farm, Dingle Lane, Appleton, WA4 3HR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362773.64806927,384583.32342403,1.98,Grappenhall,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25077,1.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2036.0,,"Land Bounded by Montclare Crescent, Brian Avenue & Chester Road, Stockton Heath, WA4 2SA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362443.30969625,386459.13647813,1.53,Stockton Heath,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2008/13417,51.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2128.0,,"Front of Former Hewden Tool Hire, Junction of Laburnum Lane/Liverpool Road, Gt Sankey, WA5 3LF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355598.30119542,388682.47005552,0.16,Penketh & Cuerdley,Not owned by a Public Authority,No,Not Permissioned,,,5.0,Not applicable,2017.0,,The site is within an existing residential area however is in close proximity to the designated green belt (CS5).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2129.0,,"Land off Knutsford Road / Blackbear Bridge, Land off Knutsford Road/ Blackbrear Bridge, WA4 1NH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362120.14452639,387405.56556562,0.56,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,37.0,Not applicable,2017.0,PDL,"No.  Site jointly owned by the Council and Peel Holdings but both have previously reached an agreement in principle regarding the redevelopment of the site, and it is likely that such agreement would again be forthcoming."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2134.0,,"Lingley Mere Business Park, Lingley Mere, Great Sankey, WA5 3LQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356001.82273077,389838.26921145,5.7,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27313,275.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2135.0,,"Omega, West Side of Burtonwood Road, Warrington, WA5",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356852.15237225,390085.74837128,46.0,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2015/26469,1100.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2145.0,,"St. Margarets Infant Block, Sandy Lane, Warrington, WA2 9AD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361383.37411146,390551.48505554,0.5,Orford,Not owned by a Public Authority,No,Not Permissioned,,,17.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2163.0,,"Oakdene Nursing Home, Off Twiss Green Lane, Culcheth, WA3 4TH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,365189.76428421,396195.37950755,0.53,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/28534,8.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2177.0,,"Grappenhall Hall Residential School, Church Lane, Grappenhall, WA4 3EU",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363874.2070701,386060.3006437,1.7,Grappenhall,Not owned by a Public Authority,No,Not Permissioned,,,20.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2187.0,,"Bewsey Old School, Off Lockton Lane, Besey, WA5 0BF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359456.43737164,389202.23127541,0.8,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,22.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2188.0,,"Delenty Drive Police Station, Delenty Drive, Birchwood, WA3 6AN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364955.09335515,391825.95024367,0.31,Birchwood,Not owned by a Public Authority,No,Not Permissioned,,,8.0,Not applicable,2017.0,PDL,No
