OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Total area (Hectares),OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P16/S4177/FUL
(SHELAA 401)",,"Bloom Buildings, West End, Cholsey, OX10 9LR",http://www.southoxon.gov.uk/sites/default/files/P16S4177FUL_Bloom%20Buildings.pdf,OSGB36,458080,185924,0.68,not owned by a public authority,yes,permissioned,full planning permission,2017-05-19 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4177/FUL,,5,Demolition of a range of existing B8 storage buildings and the erection of five dwellings,,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4177/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S4234/FUL,,"Northfield House, 11 Northfield End, HENLEY-ON-THAMES, RG9 2JG",http://www.southoxon.gov.uk/sites/default/files/P16S4234FUL_Northfield%20House.pdf,OSGB36,476024,182995,0.1,not owned by a public authority,yes,permissioned,full planning permission,2017-05-24 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4234/FUL,,6,Change of use from office to six two-bedroom flats,,,6,6,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4234/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S0259/FUL,,The Mill at Sonning (Theatre) Ltd Sonning Eye  RG4 6TY,http://www.southoxon.gov.uk/sites/default/files/P17S0259FUL_The%20Mill%20at%20Sonning.pdf,OSGB36,475388,175784,0.86,not owned by a public authority,yes,permissioned,full planning permission,2017-06-27 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0259/FUL,,5,Removal of existing buildings and erection of five dwelling houses  within existing walled garden (alternative to scheme approved under permission P17/S0709/FUL,,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0259/FUL,Partially Brownfield site. Forms part of a larger site overall.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P17/S3853/FUL
(SHELAA 867)",,"The Walled Garden, Badgemore Park Golf Club, Badgemore, RG9 4NR",http://www.southoxon.gov.uk/sites/default/files/P17_S3853_FUL-V2.pdf,OSGB36,474686,183181,0.5,not owned by a public authority,yes,permissioned,full planning permission,2017-12-18 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3853/FUL,,5,"Removal of existing buildings and erection of five dwelling houses (two 3-bed dwellings, a 4-bed dwelling and two 5-bed dwellings) within existing walled garden; provision of private amenity space, car parking, bin and cycle storage (alternative to scheme approved under permission P17/S0709/FUL). (As amended to insert a ground floor window to Unit 4) related to P16/S2039/FUL",,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3853/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2178/PDO,,"Girdler House, Quebec Road, Henley on Thames, RG9 1EY",http://www.southoxon.gov.uk/sites/default/files/P17S2178PDO_%20Girdler%20House.pdf,OSGB36,476438,181922,0.05,not owned by a public authority,yes,permissioned,other,2017-08-10 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2178/PDO,,5,Change of use of existing building - Class B1(a) (offices) - to create 5 dwellings - Class C3 (dwellinghouses),,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2178/PDO,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2446/FUL,,"291 Reading Road, HENLEY-ON-THAMES, RG9 1EL",http://www.southoxon.gov.uk/sites/default/files/P17S2446FUL_291%20Reading%20Road.pdf,OSGB36,476662,181665,0.1,not owned by a public authority,yes,permissioned,full planning permission,2017-09-06 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2446/FUL,,5,"Partial demolition of the existing building and its conversion to two dwellings, erection of a garage block with a flat above and the erection of a pair of semi-detached dwellings",,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2446/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1034,,"Oxford Brookes University Campus, Wheatley",http://www.southoxon.gov.uk/sites/default/files/1034_Oxford%20Brookes%20University%20Campus.pdf,OSGB36,460200,206017,21.47,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1034,,300,,,,0,300,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1034,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA (Autumn 2017),2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1050,,"Vanalloys Business Park, Stoke Row (3)",http://www.southoxon.gov.uk/sites/default/files/1050_Vanalloys%20Business%20Park_0.pdf,OSGB36,468159,183937,0.99,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1050,,25,,,,0,25,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1050,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1085,,"Land to the rear of Thames Court, Goring",http://www.southoxon.gov.uk/sites/default/files/1085_Land%20to%20the%20rear%20of%20Thames%20Court.pdf,OSGB36,459973,180837,0.33,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1085,,8,,,,0,8,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1085,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1195,,"Land to the north of Fane Drive, Berinsfield (3)",http://www.southoxon.gov.uk/sites/default/files/1195_Land%20to%20the%20north%20of%20Fane%20Drive.pdf,OSGB36,457420,196735,0.48,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1195,,12,,,,0,12,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=1195,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 148,,"Land north of B4526, Cray's Pond",http://www.southoxon.gov.uk/sites/default/files/148_Land%20north%20of%20B4526.pdf,OSGB36,464692,180119,0.27,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=148,,7,,,,0,7,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=148,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S2159/O (SHELAA: 185),,Didcot Gateway,http://www.southoxon.gov.uk/sites/default/files/185_Didcot%20Gateway.pdf,OSGB36,452553,190420,4.34,mixed ownership,yes,pending decision,outline planning permission,Resolution to grant permission at committee: 10 February 2016,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2159/O,,300,"Outline planning application for demolition of existing buildings and a mixed use development comprised of up to 300 residential units (use class C3), a 70-bed hotel (use class C1), up to 800sqm gym (use class D2), up to 2,400sqm retail uses (A1, A2, A3, A4, A5), up to 1,800 sqm commercial office floorspace (use class B1), a replacement nursery school (use class D1) and a decked car park of up to three levels and supporting infrastructure.","800spm gym (D2)
2,400sqm retail (A1, A2, A3, A4, A5)
1,800spm commercial office floorspace (B1)
Nursery School (D1)",,300,300,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2159/O,Minimum net dwellings is based on the planning application (P15/S2159/O ) as it has a resolution to grant permission.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S3525/FUL (SHELAA: 202),,"Thames Valley Police Station, Thame","http://www.southoxon.gov.uk/sites/default/files/202_Thames%20Valley%20Police%20Station,%20Thame.pdf",OSGB36,470664,206131,0.32,not owned by a public authority,yes,permissioned,full planning permission,2018-09-28 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3525/FUL,,8,Redevelopment to form 41 sheltered apartments for the elderly,,,8,41,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3525/FUL,,2017-12-22,2018-12-21
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 274,,"Vauxhall Barracks, Didcot",http://www.southoxon.gov.uk/sites/default/files/274_Vauxhall%20Barracks.pdf,OSGB36,451752,190695,8.25,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=274,,300,,,,0,300,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=274,Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3387/FUL (SHELAA: 302),,"CABI, Mongewell","http://www.southoxon.gov.uk/sites/default/files/302_CABI,%20Mongewell.pdf",OSGB36,461193,188265,7.33,not owned by a public authority,yes,permissioned,full planning permission,2017-08-31 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3387/FUL,,91,"Demolition of existing buildings and creation of a new headquarters for CABI, erection of 91 dwellinghouses, comprising open market and affordable housing, provision of open space, landscaping and parking and other associated works. The residential part of the proposal is made in full while the CABI headquarters part is made in outline form with all matters reserved for future consideration except access.",,,91,91,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3387/FUL,Partially Brownfield site. Forms part of a larger site overall.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2624/PDO (SHELAA: 308),,"DAF, Thame","http://www.southoxon.gov.uk/sites/default/files/308_DAF,%20Thame.pdf",OSGB36,471943,205199,4.3,not owned by a public authority,yes,permissioned,other,2017-09-08 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2624/PDO,,97,Change of use from offices (Class B1) to residential (Class C3) to comprise 45 flats -,,,45,91,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S2624/PDO,Large majority of site is Brownfield. The minimum number of net dwellings is based on the capacity calculated on the SHELAA (97) rather than the prior approval (45). This is because the prior approval only relates to the conversion of the building and not the overall site where there is potential for a higher capacity.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P10/W0093 (SHELAA: 335),,"Dovehouse Farm, Cuddesdon (1)",http://www.southoxon.gov.uk/sites/default/files/335_Dovehouse%20Farm.pdf,OSGB36,460176,203077,1.68,not owned by a public authority,yes,permissioned,full planning permission,2014-06-06 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P10/W0093,,8,"Conversion of traditional buildings into office accommodation and three residential conversions, and five new build residential units",,,8,8,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P10/W0093,Large majority of site is Brownfield,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3848/FUL (SHELAA: 347),,"Goodsons Industrial Mews, Thame",http://www.southoxon.gov.uk/sites/default/files/347_Goodsons%20Industrial%20Mews.pdf,OSGB36,471004,205743,1.01,not owned by a public authority,yes,permissioned,full planning permission,2016-12-22 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3848/FUL,,29,"Redevelopment of Goodsons Industrial Mews retaining existing commercial units 1A, 1, 2, 3, 4 and 9 in employment use. Alteration of unit 1-4 to provide 4 no apartments at first floor. Demolition of units 5, 6, 7, 8 and erection of 8 houses, 2 maisonettes and 15 flats (29 residential units in total)",,,29,29,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3848/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 360,,"Stuart Turner, Greys Road, Henley-on-Thames","http://www.southoxon.gov.uk/sites/default/files/360_Stuart%20Turner,%20Greys%20Road.pdf",OSGB36,475961,182464,0.75,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=360,,42,,,,0,42,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=360,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3385/FUL (SHELAA: 390),,"The Workshop, Newtown Road, Henley-on-Thames",http://www.southoxon.gov.uk/sites/default/files/390_The%20Workshop.pdf,OSGB36,476845,181640,0.46,not owned by a public authority,yes,permissioned,full planning permission,2016-12-20 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3385/FUL,,64,Demolition of existing building and  erection of an 80 bed care home (C2 use),,,64,64,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S3385/FUL,Large majority of site is Brownfield. Minimum net dwellings for a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*80=64),2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S1514/FUL (SHELAA: 395),,"13-16 St Martins Street, Wallingford",http://www.southoxon.gov.uk/sites/default/files/395_13-16%20St%20Martins%20Street.pdf,OSGB36,460640,189262,0.32,not owned by a public authority,yes,permissioned,full planning permission,2016-10-21 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1514/FUL,,22,Redevelopment of the Former Waitrose to create 22 retirement apartments and two ground floor retail units,2 x ground floor retail,,22,22,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1514/FUL,,2017-12-22,2018-12-21
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S2593/FUL (SHELAA: 398),,"Sydney Harrison, House Mill Road, Lower Shiplake",http://www.southoxon.gov.uk/sites/default/files/398_Sydney%20Harrison.pdf,OSGB36,477654,179518,0.43,not owned by a public authority,yes,permissioned,full planning permission,2017-02-28 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S2593/FUL,,16,"Removal of existing buildings and the redevelopment of the site to provide 4x1 bedroom flats, 8x2 bedroom flats, together with 4x5 bedroom houses",,,16,16,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S2593/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S2932/FUL (SHELAA: 399),,South Oxford Business Centre Lower Road Garsington,http://www.southoxon.gov.uk/sites/default/files/399_South%20Oxford%20Business%20Centre.pdf,OSGB36,458387,200640,0.64,not owned by a public authority,yes,permissioned,full planning permission,2016-11-10 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S2932/FUL,,10,"Conversion, external and internal alterations of former indoor riding school to create 8 x two bedroom first floor flats and 2 x one bedroom ground floor flats.",,,10,10,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S2932/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S0322/O (SHELAA: 402),,"Hughendon Motors, London Road, Milton Common",http://www.southoxon.gov.uk/sites/default/files/402_Hughendon%20Motors.pdf,OSGB36,465448,203264,0.27,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-23 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0322/O,,5,Demolition of the existing buildings and the erection of five detached two-storey dwellings,,,5,5,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0322/O,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 822,,"The Downs, Wheatley Road, Garsington",http://www.southoxon.gov.uk/sites/default/files/822_The%20Downs.pdf,OSGB36,458427,203326,1.27,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=822,,29,,,,0,29,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=822,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S0375/FUL (SHELAA: 824),,"Land at Woodcote Garden Centre, Woodcote",http://www.southoxon.gov.uk/sites/default/files/824_Land%20at%20Woodcote%20Garden%20Centre.pdf,OSGB36,464881,182142,0.39,not owned by a public authority,yes,permissioned,full planning permission,2017-06-29 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,,9,Demolition of existing garden centre structures and erection of 9 new dwellings,,,9,9,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,Large majority of site is Brownfield.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S0024/RM (SHELAA: 853),,"Land at Highlands Farm, Henley-on-Thames",http://www.southoxon.gov.uk/sites/default/files/853_Land%20at%20Highlands%20Farm.pdf,OSGB36,474192,181318,33.57,not owned by a public authority,yes,permissioned,reserved matters approval,2017-05-24 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0024/RM,,536,"Reserved matters approval for the phased development of the demolition of existing buildings and construction of up to 170 dwellings along with up to 2,000 m2 B1 employment space and associated infrastructure.","2,000m2 Employemetn (B1)",,170,536,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S0024/RM,Partially Brownfield site. Forms part of a larger site overall. The  minimum number of net dwellings is based on the capacity calulated in the SHELAA (536). This is because the planning permission of 170 dwellings only relates to part of the site and not the overall site where there is potential for a higher capacity.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 869,,"Foxcovert Farm, Woodcote",http://www.southoxon.gov.uk/sites/default/files/869_Foxcovert%20Farm.pdf,OSGB36,463992,181208,0.7,not owned by a public authority,yes,not permissioned,,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=869,,17,,,,0,17,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=869,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 870,,"Land at Wimblestraw Road, Berinsfield",http://www.southoxon.gov.uk/sites/default/files/870_Land%20at%20Wimblestraw%20Road_0.pdf,OSGB36,457078,196072,1.08,not owned by a public authority,yes,pending decision,outline planning permission,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=870,,24,,,,0,24,,http://maps.southoxon.gov.uk/gis/?cat=HELAA&ref=870,Minimum net dwellings is based on the capacity calculated in the SHELAA rather than the planning application which is still pending a decision.,2017-12-22,2017-12-22
