ORGANISATIONURI,ORGANISATIONLABEL,SITEREFERENCE,PREVIOUSLYPARTOF,SITENAMEADDRESS,SITEPLANURL,COORDINATEREFERENCESYSTEM,GEOX,GEOY,HECTARES,OWNERSHIPSTATUS,DELIVERABLE,PLANNINGSTATUS,PERMISSIONTYPE,PERMISSIONDATE,PLANNINGHISTORY,PROPOSEDFORPIP,MINNETDWELLINGS,DEVELOPMENTDESCRIPTION,NONHOUSINGDEVELOPMENT,PART2,NETDWELLINGSRANGEFROM,NETDWELLINGSRANGETO,HAZARDOUSSUBSTANCES,SITEINFORMATION,NOTES,FIRSTADDEDDATE,LASTUPDATEDDATE,MORE_INFORMATION
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR021,,"""Exley Park PH, Park Lane, Siddal, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR021,ETRS89,-1.850941481,53.6998191,0.1,not owned by a public authority,yes,permissioned,full planning permission,2016-04-15,,,7,Demolition of former public house to facilitate residential development of seven townhouses,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR022,,"""Land at Abbey Park, Illingworth, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR022,ETRS89,-1.897335226,53.75640567,2.48,not owned by a public authority,yes,,,,,,75,,,,,,,,Site proposed as a New Housing Site in the 2018 Local Plan Publication Draft. Site ref: LP14547.,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR026,,"""Lindwell Methodist Church, Lindwell, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR026,ETRS89,-1.860738365,53.69033489,0.08,not owned by a public authority,,permissioned,full planning permission,2015-02-04,,,5,Conversion of redundant chapel to five apartments,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR028,,"""Walsden Methodist Church, Rochdale Road, Todmorden""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR028,ETRS89,-2.100820972,53.69443213,0.04,not owned by a public authority,yes,permissioned,full planning permission,2016-07-20,,,13,Conversion and alterations to derelict church to create 13 apartments.,,,,,,,Removal of condition application pending consideration 18/01101/REM,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR031,,"""5 Clare Road, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR031,ETRS89,-1.85873506,53.72031817,0.11,not owned by a public authority,yes,permissioned,full planning permission,2015-09-17,,,18,Conversion of lower and ground floors from restaurant to three apartments,,,,,,,14/56019/CLASSJ Prior approval granted 100315 for COU from office to 15 apartments. Minimum net dwelling capacity based on both applications.,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR033,,"""1st, 2nd, 3rd and 4th floors, Southgate House, Wards Ends, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR033,ETRS89,-1.859881416,53.72103593,0.09,not owned by a public authority,yes,permissioned,other,2016-10-27,,,51,Prior approval application for a change of use from office (B1a) to 51 apartments (C3),,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR035,,"""Kingfisher House, Portland Place, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR035,ETRS89,-1.859895374,53.71945944,0.05,not owned by a public authority,yes,permissioned,full planning permission,2016-04-22,,,12,Change of use from commercial premises to twelve apartments,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR036,,"""Fountain Chambers, 22 Fountain Street, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR036,ETRS89,-1.862096005,53.72128784,0.03,not owned by a public authority,yes,permissioned,other,2016-08-26,,,7,Prior approval application for a change of use from office (B1a) to seven apartments (C3),,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR038,,"""Land east of 11 Gooder Lane, Brighouse""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR038,ETRS89,-1.780520858,53.69773504,0.02,not owned by a public authority,yes,permissioned,full planning permission,2015-07-15,,,5,Residential development of 5 one bedroom apartments,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR039,,"""Slade Lane Works, Slade Lane, Brighouse""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR039,ETRS89,-1.796240484,53.68280549,0.2,not owned by a public authority,yes,permissioned,full planning permission,2015-12-15,,,10,Demolition of existing building and construction of 10 No dwellings and associated external works (Amended Plans),,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR041,,"""Ash Lea, 19 Woodhouse Lane, Brighouse""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR041,ETRS89,-1.773137054,53.69247418,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-04-26,,,9,Conversion of existing dwelling into 9 apartments.,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR042,,"""Former Engine Room Hollins Mill, Rochdale Road, Todmorden""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR042,ETRS89,-2.101936598,53.69542253,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-05-20,,,13,"Conversion of former engine room, boiler room and workshop buildings to form 13 No flats with communal lift, stair and storage area.  Upgrading of parking area in existing courtyard. Re-cladding of existing goods lift to 4 storey former spinning mill",,,,,,,Amendment to application 14/01376/CON,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR044,,"""Site of Macmillans, Long Lane, Wheatley, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR044,ETRS89,-1.893936676,53.73733835,0.17,not owned by a public authority,yes,permissioned,full planning permission,2015-04-01,,,10,"Construction of 10 dwellings and the creation of a new access. Modification of existing access, car parking and landscaping.",,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR045,,"""Land off Pudsey Road, Todmorden""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR045,ETRS89,-2.140326189,53.73370156,0.43,not owned by a public authority,yes,permissioned,full planning permission,2014-07-21,,,23,Residential development of twenty three dwellings (Amended Plan),,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR046,,"""Former Mayfield Garage, Queens Road, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR046,ETRS89,-1.882521706,53.71885647,0.87,not owned by a public authority,yes,,,,,,17,,,,,,,,"Site proposed as a Mixed Use Site, including an element of residential in the 2018 Local Plan Publication Draft. Site ref: LP1431",2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR047,,"""Former St Catherine's High School, Holdsworth Rod, Holmfield, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR047,ETRS89,-1.876651476,53.75701822,2.75,not owned by a public authority,yes,,,,,,83,,,,,,,,Site proposed as a New Housing Site in the 2018 Local Plan Publication Draft. Site ref: LP1429.,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR049,,"""Former Hill Crest Quarry, Halifax Road, Hove Edge, Brighouse""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR049,ETRS89,-1.799963951,53.71341053,1.23,not owned by a public authority,yes,,,,,,35,,,,,,,,Site proposed as a New Housing Site in the 2018 Local Plan Publication Draft. Site ref: LP1093,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR050,,"""West Vale Works, Stainland Road, Greetland, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR050,ETRS89,-1.858653851,53.68648147,0.74,not owned by a public authority,yes,,,,,,14,,,,,,,,"Site proposed as a Mixed Use Site, including an element of residential in the 2018 Local Plan Publication Draft. Site ref: LP1088.",2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR051,,"""Warley Spring Garage, Burnley Road, Warley, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR051,ETRS89,-1.905328691,53.71975443,0.79,not owned by a public authority,yes,,,,,,26,,,,,,,,Site proposed as a New Housing Site in the 2018 Local Plan Publication Draft. Site ref: LP1004.,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR054,,"""Car Park, James Street, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR054,ETRS89,-1.835086153,53.68222082,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-12-05,,,5,Residential development of five flats (amended plans),,,,,,,,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR055,,"""School House, 56 Hopwood Lane, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR055,ETRS89,-1.874553856,53.72193553,0.16,not owned by a public authority,yes,permissioned,full planning permission,2017-11-01,,,15,Creation of 13  flats and associated office areas,,,,,,,Additional application approved for 2 new units on same site (18/00260/FUL). Capacity now 15.,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR056,,"""Junction Hotel, 192 King Cross Road, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR056,ETRS89,-1.880375864,53.71562586,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-07-07,,,7,"Conversion of public house with residential above to an A1 retail unit, an A3/A5 restaurant/hot food takeaway and seven apartments, three two bedroomed and four one bedroomed.",160sqm A1 and A3 uses on the ground floor with residential above.,,,,,,,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR057,,"""Provident Insurance Plc, Blackwall, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR057,ETRS89,-1.864223487,53.71991558,0.1,unknown ownership,yes,permissioned,other,2017-04-26,,,65,Prior approval application for a change of use from an office (B1a) to 65 flats (C3),,,,,,,,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR058,,"""Site Of Former Jumples Public House, Mixenden Road, Mixenden, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR058,ETRS89,-1.907417743,53.75030076,0.22,not owned by a public authority,yes,permissioned,full planning permission,2017-05-30,,,7,Mixed use development of two retail units and seven dwellings and associated parking.,"Mixed use development of retail and residential and parking. 400sqm A1 use, with 7 residential units",,,,,,,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR059,,"""Bethlehem Pentecostal Mission, Wheatley Road, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR059,ETRS89,-1.878806389,53.73350448,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-04-10,,,6,Conversion to form six  apartments,,,,,,,,2018-12-31,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
