OrganisationURI,OrganisationLabel,SiteReference,AlternativeReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,E4,FUL/2014/0012,,"Bob Mansfield Heating and Plumbing, Warwick Street",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278016,431794,0.17,unknown ownership,yes,not permissioned,full planning permission,2014-04-07,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=752836,,19,Commercial building with off road car park considered to be a viable redevelopment option. Development will need to mitigate the proximity to the railway line and will need to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F2,,,Training Centre between George Eliot Road (rear of 29-77) and canal,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281982,434722,0.43,unknown ownership,yes,not permissioned,,,,,20,Training centre considered to be a viable redevelopment option. Development will need to ensure a suitable access is created and satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F3,,,"Copper Beech Road, Rear of 37-49 Lythalls Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282294,434323,0.1593,unknown ownership,yes,not permissioned,,,,,12,Vehicle storage yard considered to be a viable redevelopment option that is available. Development will need to mitigate noise concerns from the A4444.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F4,,,"Burbidge and Son, Awson Street / Stoney Stanton Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280933,434577,0.89,unknown ownership,yes,not permissioned,,,,,42,Factory Unit. Development will need to mitigate noise concerns from nearby land uses and will need to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F5,,,"Cromwell Street, Bright Street",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280605,434496,0.57,unknown ownership,yes,not permissioned,,,,,27,Industrial and commercial units. Development will need  to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F6,,,"Warehouse, adjacent Royal Oak pub, Stoney Stanton Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280741,434582,0.33,unknown ownership,yes,not permissioned,,,,,15,Industrial building with off road car park. Development will need  to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F7,H8:31,,Cromwell Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280742,434583,0.57,unknown ownership,yes,not permissioned,,,,,27,Industrial Units. Redevelopment of the site is an excellent opportunity to improve the built environment and enhance the connectivity to the adjoining greenspace.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F8,REN/2011/0150,,The Lockhurst Tavern (formerly the Rose Public House) Lockhurst Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281460,433902,0.13,unknown ownership,yes,not permissioned,reserved matters approval,2011-05-05,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=714073,,12,current site of car wash and storage including extensive hard standing previously granted permission but now expired. Considered to be a viable redevelopment option that is available.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F9,REN/2011/0815,,"Crow in the Oak PH, Lockhurst Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281362,433858,0.12,unknown ownership,yes,not permissioned,reserved matters approval,2011-07-05,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=718707,,12,public house and curtilage previously granted permission but now expired. Considered to be a viable redevelopment option that is available. Development will need  to satisfy employment land protection policies in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F11,,,Land rear of 51 Elmsdale Avenue and public house fronting Foleshill Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282613,434608,0.35,unknown ownership,yes,not permissioned,,,,,16,Restaurant with off road car park considered to be a viable redevelopment option that is available and unconstrained. Development will need to satisfy the community facilities protection policies of the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F15,,,"Land rear of The Three Horseshoes Pub, Foleshill Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282460,434540,1.4,unknown ownership,yes,not permissioned,,,,,23,Commercial / residential and vacant land considered to be a viable redevelopment option. Development will need to ensure suitable access and boundary treatments.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F16,FUL/2012/1775,,1159-1167 Foleshill Road ,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282893,41255,0.04,unknown ownership,yes,not permissioned,full planning permission,2012-12-12,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=741254,,13,"Previous proposal to demolish the existing buildings (including 2 residential units) and replace them with a single, 3 and 4 storey, building to provide 13 one bedroom flats",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F19,,,"Builders Yard, Cash's Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280548,433604,0.11,unknown ownership,yes,not permissioned,,,,,5,Vacant land considered to be a viable redevelopment option that is available and unconstrained. Development will need to be mindful of the new canal conservation area and ensure a suitable access is created.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F20,,,"Rose & Woodbine Public House, Stoney Stanton Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279845,433869,0.04,unknown ownership,yes,not permissioned,,,,,5,Vacant building with off road car park. Development will need to conisder the trees that could be identified for protection.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F21,,,Land at Foleshill Road opposite Cash's lane and Brooklyn Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280536,433781,0.69,unknown ownership,yes,not permissioned,,,,,32,Vacant land considered to be a viable redevelopment option that is available and unconstrained. Development will need to be mindful of the new canal conservation area.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F29,,,Land at 8a Lythalls Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282289,434439,0.47,unknown ownership,yes,not permissioned,,,,,22,Office and storage building with off road parking. Development will need to be mindful of the necessary boundary treatments and ensure noise and air quality impacts are managed.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F30,,,Storage and Industrial units at Red Lane and Midland Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280217,434375,3.56,unknown ownership,yes,not permissioned,,,,,128,Industrial units and storage area. Development will need to satisfy employment protection policies of the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F46,,,Foleshill Road/Eagle Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280110,433628,1.4,mixed ownership,yes,not permissioned,,,,,54,"Commercial / residential and vacant land. Development will need to satisfy employment protection policies of the coventry local plan 2016, and pay due consideration to on-site TPO's.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F55,,,"Former Prince William Henry PH, Foleshill Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280769,433914,0.28,unknown ownership,yes,not permissioned,,,,,14,"Commercial building with open storage area. Development will need to be mindful of the new canal conservation area and the locally listed building, and will need to satisfy community facilities protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F56,,,1105 Foleshill Road and associated car parking provision,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282761,434662,0.21,unknown ownership,yes,not permissioned,,,,,10,Social community building with large off road car park considered to be a viable redevelopment option that is available and unconstrained. ,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,F57,,,Land to rear of 1037-1039 Foleshill Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282578,434619,0.2,unknown ownership,yes,not permissioned,,,,,11,Car park / Commercial site that is considered to be a viable redevelopment option that is available and unconstrained. ,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,He1,,,Hinckley Road Service station,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281415,438276,0.32,unknown ownership,yes,not permissioned,,,,,15,Petrol station. Development will need to be mindful of the noise and air quality concerns relating to the A4600.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,He15,,,"Watcombe Centre, 20 Watcombe Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281956,437067,0.7,not owned by a public authority,yes,not permissioned,,,,,7,Community centre with off road parking and large green area considered to be a viable redevelopment option. ,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,Ho3,,,"Warehouse / Factory, Lythalls Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,282653,433909,0.72,unknown ownership,yes,not permissioned,,,,,27,"Industrial unit. Development will need to mitigiate the proximity to the railway line, and will need to satisfy employment land protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,Ho8,,,Garages adjacent 26 Nunts Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,283704,433225,0.09,unknown ownership,yes,not permissioned,,,,,5,Garages and off street parking considered to be a viable redevelopment option. Development will need to mitigate any adverse impacts of loss of off-street parking.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,Ho29,,,Garage site at 318 Holbrook Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,283102,433480,0.45,unknown ownership,yes,not permissioned,,,,,21,Commercial site considered to be a viable redevelopment option that is available. Development will need to mitigate identified flood risk.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,L2,,,Land South of The Longford Engine PH (formerly Canal Boat PH) Bedworth Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,284009,435090,0.15,unknown ownership,yes,not permissioned,,,,,7,"Commercial fencing operation situated south of historic public house and adjacent to canal considered to be a viable redevelopment option. Development will need to be mindful of the new canal conservation area, and will need to satisfy employment land protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,L3,,,"Land South West of Weavers Arms, Bell Green Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281869,435400,0.35,unknown ownership,yes,not permissioned,,,,,16,"Area of mixed commercial activity including public house, garage facility and private and  informal parking on areas of hard sanding.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,L8,FUL/2017/2075,,Land at Aldermans Green Scout Hut,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,283589,436010,0.14,owned by a public authority,yes,not permissioned,full planning permission,2017-10-20,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=791474,,7,Site contains a small scout hut and surrounding curtilage considered to be a viable redevelopment option that is available. ,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,LS2,,,"Employment land between Brays Lane, Walsgrave Road and Harefield Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279333,435503,0.49,unknown ownership,yes,not permissioned,,,,,53,B2 industrial unit considered to be available. Development will need to satisfy employment land protection policies of the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,LS15,,,"St Catherine's Church, St Catherine's road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,277726,435709,0.37,unknown ownership,yes,not permissioned,,,,,17,"Church and grounds plus one dwelling considered to be a viable redevelopment option that is available. Development will need to mitigiate the proximity to the railway line, and will need to satisfy community facilities protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,LS17,54696,,Garages and 40b & 40c Humber Avenue,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278541,434856,0.18,unknown ownership,yes,not permissioned,,,,,8,Garages and workshop. Development will need to consider the loss of parking provision and ensure adequate access.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,LS19,,,7-9 Brays Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279305,435426,0.38,unknown ownership,yes,not permissioned,,,,,45,Garage/Workshop Units.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R1,,,"Former Coal Yard, Radford Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280624,432740,0.444,unknown ownership,yes,not permissioned,,,,,21,"General storage yard comprising, trucks, skips etc. considered to be a viable redevelopment option. Development will need to satisfy employment land protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R4,,,Garages adj. 58 Capmartin Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281215,433206,0.08,unknown ownership,yes,not permissioned,,,,,5,Site contains a disused and derelict garage block with a small sub-station. The site is separated from the main highway by palisade fencing. It is considered to be a viable redevelopment option that is available and unconstrained. Development will need to consider the loss of parking provision.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R6,,,"The O'Brian Building, Foleshill Road and adjoining curtilage",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280340,433613,0.659,unknown ownership,yes,not permissioned,,,,,31,"Victorian factory building considered to be a viable redevelopment option that is available. Development will need to be mindful of the new canal conservation area and the locally listed building, and satisfy employment land protection policies of the coventry local plan 2016.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R7,,,"Merrick Lodge Hotel, St Nicholas Street",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279844,433165,0.26,unknown ownership,yes,not permissioned,,,,,16,Occupied hotel in use. Building is of some merit and opportunities should be taken to retain it and convert to residential use.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R12,,,Land on the South East side of Swillington Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280103,432986,1.26,unknown ownership,yes,not permissioned,,,,,48,TA Centre and yard. Development will need to mitigate the proximity to the railway line.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R13,,,"Wickes Site"" Radford Road",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279483,433178,1.31,unknown ownership,yes,not permissioned,,,,,50,"Retail DIY store. Development will need to mitgate the noise and air quality concerns from the Ring Road, and ensure suitable access.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R26,,,Kings automotive,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,281041,433365,2.55,unknown ownership,yes,not permissioned,,,,,92,"B2 industrial facility. Development will need to mitgate the noise and air quality concerns from nearby land-uses, and ensure suitable access.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,R27,,,"Coundon Library, Moseley Avenue",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279840,432263,0.17,owned by a public authority,yes,not permissioned,,,,,8,CCC Library. Development will need to satisfy community facilities protection policies of the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM1,,,Land at Gulson Road,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278598,434080,0.45,owned by a public authority,yes,not permissioned,,,,,21,Plot contains garages + off road parking and  green area considered to be a viable redevelopment option. Development will need to consider the loss of parking provision and mitigate against noise and air quality concerns relating to the Ring Road.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM2,,,"Coventry Wholesale Fruit & Vegetable Market, Swan Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280173,434829,0.22,unknown ownership,yes,not permissioned,,,,,10,Commercial buildings and off road parking - Site adjoins the canal on 2 sides. Development will need to be mindful of the new canal conservation area.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM3,,,Land East of 8 Raglan Street and former University Sports Centre,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279200,434127,0.5,unknown ownership,yes,not permissioned,,,,,95,Sport centre and office buildings + off street car park. Development will need to consider change of use policies relating to employment and/or education facilities in the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM4,,,Land at the junction of Charles Street and Canterbury Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279556,434097,0.08,unknown ownership,yes,not permissioned,,,,,5,Car park used for commercial and storage purpose considered to be a viable redevelopment option.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM11,FUL/2017/3097,,Vecqueray Street Builders Yard,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278804,434305,0.44,unknown ownership,yes,not permissioned,,2018-03-12,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=793522,,71,Commercial building with storage area for construction materials. Development will need to mitigate identified flood risk and  satisfy employment land protection policies of the coventry local plan 2016.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM12,FUL/2016/0050,,"Builders Merchants, Swan Lane",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,280230,434933,0.39,unknown ownership,yes,not permissioned,full planning permission,2016-12-19,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=781024,,24,Commercial buildings with off road parking space and storage area.  Development will need to satisfy employment land protection policies of the coventry local plan 2016 and mitigate noise concerns from the A444.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM18,FUL/2017/3108,,"Alda Court, Manor House Drive",http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278621,433269,0.01,unknown ownership,yes,not permissioned,full planning permission,2018-02-06,http://planning.coventry.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=793553,,6,Area of commercial property.,,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM33,,,Land North and South of Tower Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279468,433475,1.07,mixed ownership,yes,not permissioned,,,,,102,"Public open space with off road car parks and commercial building. Development will need to satisfy employment land protection policies and community facilities protection polices of the coventry local plan 2016, mitigate noise concerns from the Ring Road and be mindful of the Conservation Area.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM34,,,Whitefriars Lane,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278672,433844,1.37,mixed ownership,yes,not permissioned,,,,,130,"Open public space with a lot of green area, mature trees, off road car parks and community building considered available. Development will need to satisfy community facilities protection polices of the coventry local plan 2016, and mitigate any adverse impacts of loss of off-street parking.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM35,,,Lower Ford Street - Former Planet Site,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279257,433926,0.36,unknown ownership,yes,not permissioned,,,,,68,"Off road car park. Development will need to mitigate any adverse impacts of loss of off-street parking, alongside noise and air quality concerns from the Ring Road.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM37,,,Land at York Street,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,278653,432664,0.25,unknown ownership,yes,not permissioned,,,,,157,"Car Park. Development will need to mitigate any adverse impacts of loss of off-street parking, alongside noise and air quality concerns from the highway.",,,,,,,,,
http://opendatacommunities.org/doc/metropolitan-district-council/coventry,Coventry City Council,StM44,,,Cox Street Student Union,http://www.coventry.gov.uk/downloads/file/19663/lp53_shlaa_2016_report_and_appendices,OSGB36,279025,433905,0.2,unknown ownership,yes,not permissioned,,,,,38,Open public space considered available. Development will need to mitigate noise and air quality concerns from the Ring Road.,,,,,,,,,
