OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,AlternativeReferences
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0052,,"""Diamond (Mechanical & Electrical) Engineering Services, Elm Court, Southend Road, Wickford, Essex. SS11 8DU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8586&p=0,WGS84,0.529466,51.612615,0.16,not owned by a public authority,yes,permissioned,outline planning permission,19/07/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,8,"""Re-development of site to provide 8 no. 1 bedroom duplex apartments.""",,,8,8,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Outline Permission granted. Permission expires 19/07/2019. Only to be removed once expired or completed. Deliverable within 1.5 years. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,16/00348/OUT,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0053,,"""Independant House, Radford Business Centre, Radford Way, Billericay, Essex. CM12 0BZ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8587&p=0,WGS84,0.410477,51.631559,0.03,not owned by a public authority,yes,permissioned,other,15/07/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,9,"""Notification for prior approval for a proposed change of use of a building from Office Use (Class B1(a)) to a Dwellinghouse (Class C3) 6 x no. 1 bedroom units and 3 x no 2 bedroom units.""",,,9,9,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior approval granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,16/00712/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0054,,"""Craylands Estates And Former Fryerns School Site, Craylands, Basildon, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8588&p=0,WGS84,0.490931,51.577062,35.51,not owned by a public authority,,permissioned,outline planning permission,22/03/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,587,"""Re-development to provide up to 587 dwellings and  5,424 sqm of commercial floorspace with associated means of access, car parking, landscaping and other associated works and improvements.""","""Re-development to provide up to 587 dwellings and  5,424 sqm of commercial floorspace with associated means of access, car parking, landscaping and other associated works and improvements.""",,587,587,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Outline and Reserved Matters Permission granted. Works commenced. Only to be removed once completed. Deliverable within 8 years. 8.1ha of total is greenfield land. Loss of net dwellings through demolitions has not been included. 21/09/17. 31/08/18.,21/09/2017,03/09/2018,16/00898/OUT,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0055,,"""7 - 8 Willowdale Centre, High Street, Wickford, Essex. SS12 0RA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8590&p=0,WGS84,0.520029,51.613573,0.06,not owned by a public authority,yes,permissioned,full planning permission,16/01/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Change of use of the part ground floor and first floor of Unit 5, The Willows Centre from Class A2 (Financial and Professional Services) to Class C3 (Dwellinghouses) and the development of an additional storey to accommodate a total of six apartments, with associated cycle and refuse storage.""",,,6,6,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 21/09/17. 31/08/18.,21/09/2017,03/09/2018,16/01459/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0056,,"""Garage Block, Market Avenue, Wickford, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8591&p=0,WGS84,0.519069,51.614242,0.08,not owned by a public authority,yes,permissioned,full planning permission,09/03/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Redevelopment of existing garage court to provide 5 no. houses.""",,,5,5,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 21/09/17. 31/08/18.,21/09/2017,03/09/2018,16/01756/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0057,,"""Ryjo, Thames View, Langdon Hills, Basildon, Essex. SS16 5LN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8592&p=0,WGS84,0.425137,51.549311,0.67,not owned by a public authority,yes,permissioned,full planning permission,30/01/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,-1,"""Demolition of 3no. existing dwellings and associated outbuildings, and replacement with 2no. dwellings.""",,,-1,-1,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 30/01/2020. Only to be removed once expired or completed. Deliverable within 1 year. 21/09/17. 31/08/18.,21/09/2017,03/09/2018,16/01772/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0058,,"""Superstore and Car Park, Mandeville Way, Laindon, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8680&p=0,WGS84,0.400022,51.567854,2.59,not owned by a public authority,,not permissioned,,,,,46,,,,46,56,,,Deliverable within 8 years. 14/09/18.,14/09/2018,14/09/2018,SS0094,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0059,,"""6, 8, 10, 12, 14 & 16 Pound Lane, Basildon, Essex. SS15 5SZ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8681&p=0,WGS84,0.432931,51.578306,0.25,owned by a public authority,,not permissioned,,,,,2,,,,2,2,,,Deliverable within 6 years. Six existing dwellings with potential for 8 so net increase of 2. 14/09/18.,14/09/2018,14/09/2018,SS0740,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0060,,"""Regent House, The Gore, Basildon, Essex. SS14 2DZ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8682&p=0,WGS84,0.455786,51.572665,0.4,not owned by a public authority,yes,permissioned,full planning permission,06/02/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,106,"""External alterations to existing building to facilitate residential use approved under 17/00336/PACU to include replacement windows, internal demolitions to create a courtyard, extension to provide eight new residential units at fifth floor level, plus provision of a new lift shaft (revised scheme to previous consent 17/00733/FULL).""",,,106,106,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 06/02/2021. Only to be removed once expired or completed. Deliverable within 5 years. 14/09/18.,14/09/2018,14/09/2018,17/01807/FULL,17/00336/PACU
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0061,,"""Acorn House, Great Oaks, Basildon. SS14 1AH""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8683&p=0,WGS84,0.458227,51.571771,0.14,not owned by a public authority,yes,permissioned,full planning permission,06/03/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,62,"""Construction of additional floor to create 9 no. new flats and roof top plant enclosure. New and amended windows with replacement frames and new Juliet balconies.""",,,62,62,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 06/03/2021. Only to be removed once expired or completed. Deliverable within 3 years. 14/09/18.,14/09/2018,14/09/2018,17/01574/FULL,17/01603/PACU
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0062,,"""1 - 4 Dunton Court, Aston Road, Laindon, Essex. SS15 6NX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8684&p=0,WGS84,0.421248,51.571547,0.09,not owned by a public authority,yes,permissioned,other,20/10/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,18,"""Notification for prior approval under Class O of part 3 of schedule 2 of The Town and Country Planning (General Permitted Development) England Order 2015 (as amended) for a proposed change of use of a building from Office Use (Class B1(a)) to a Residential Use (Class C3) comprising 18 residential units - 9 X 1bed flats and 9 x 2bed flats.""",,,18,18,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior Approval granted. Permission expires 20/10/2022. Only to be removed once expired or completed. Deliverable within 2 years. 14/09/18.,14/09/2018,14/09/2018,17/01040/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0063,,"""31-33 The Broadway, Wickford, Essex. SS11 7AD""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8685&p=0,WGS84,0.522599,51.614751,0.07,not owned by a public authority,yes,permissioned,full planning permission,04/09/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Alterations and extensions to roof of existing two-storey building and construction of two-storey extension over existing rear projection to create 6 no. apartments with car parking at the rear, together with sub-division of existing Class A3 restaurant into two units.""",,,6,6,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works have commenced. Only to be removed once completed. Deliverable within 1 year. 14/09/18.2,14/09/2018,14/09/2018,17/00880/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0064,,"""Claremont, London Road, Pitsea, Essex. SS13 2DB""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8686&p=0,WGS84,0.515684,51.566099,0.16,not owned by a public authority,yes,permissioned,full planning permission,13/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,3,"""Demolish existing bungalows (Claremont and Edelweiss) and outbuildings on the site, and erect two 4 bedroom detached houses, and a terrace of three 4 bedroom houses, together with new accesses onto London Road.""",,,3,3,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 13/07/2020. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18.,20/09/2018,20/09/2018,17/0668/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0065,,"""139 Noak Hill Road, Great Burstead, Billericay, Essex. CM12 9UJ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8687&p=0,WGS84,0.422869,51.600529,0.27,not owned by a public authority,yes,permissioned,outline planning permission,03/10/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,"""Outline application for the demolition of 2 dwellings and construction of 9 two bedroom apartments with associated under-croft car parking spaces at 139 to 141 Noak Hill Road (revised scheme).""",,,7,7,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 03/10/2020. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18.,20/09/2018,20/09/2018,17/00612/OUT,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0066,,"""Pilgrim House, High Street, Billericay, Essex. CM12 9XY""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8688&p=0,WGS84,0.415444,51.623251,0.17,not owned by a public authority,yes,permissioned,other,07/07/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,17,"""Notification for prior approval for a proposed change of use of a building from Office Use (Class B1(a)) to a Residential Use (Class C3) comprising 10 x 1-bedroom flats and 7 x 2-bedroom flats, with 19 car parking spaces.""",,,17,17,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior Approval granted. Expires 01/09/2022. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18.,20/09/2018,20/09/2018,17/00584/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0067,,"""Independant House, Radford Business Centre, Radford Way, Billericay, Essex. CM12 0BZ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8689&p=0,WGS84,0.410477,51.631559,0.04,not owned by a public authority,yes,permissioned,full planning permission,20/12/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,"""Addition of two floors to create 7 new residential units (1no. studio flat, 5no. 1-bedroom flats and 1no. two-bedroom flat) above existing residential units (Crownage House) in recently converted former office building.""",,,7,7,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 20/12/2020. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18.,20/09/2018,20/09/2018,17/00572/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0068,,"""Chestnuts Service Garage, Crays Hill, Billericay, Essex. CM11 2YA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8690&p=0,WGS84,0.474195,51.603641,0.1,not owned by a public authority,yes,permissioned,full planning permission,23/01/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,9,"""Demolition of existing MOT Centre and construction of one block of nine flats together with associated car parking and amenity.""",,,9,9,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Permission expires 23/01/2021. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/18.,20/09/2018,20/09/2018,17/00484/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0069,,"""Pembroke House, 11 Northlands Pavement, Pitsea, Essex. SS13 3DX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8691&p=0,WGS84,0.504271,51.566464,0.18,not owned by a public authority,yes,permissioned,other,10/06/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,32,"""Notification for Prior Approval for the conversion of the existing first (in part), second and third floors of Pembroke House from office (B1) to residential (C3) to form 32 residential units.""",,,32,32,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior Approval granted. Permission expires 10/06/2021. Only to be removed once expired or completed. Deliverable within 2 years. 20/09/18.,20/09/2018,20/09/2018,16/00644/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0070,,"""Pine Lodge, Gardiners Close, Basildon, Essex. SS14 3AN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8692&p=0,WGS84,0.481992,51.587157,0.14,not owned by a public authority,yes,permissioned,full planning permission,01/08/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,43,"""Demolition of the two existing houses (Pine Lodge and Pinehurst), and the construction of 43 dwellings (2 no. x one bed houses;  3 no. x 2 bed houses; 20 no. x 3 bed houses, and 14 no. x four bed houses, and 4 no flats), together with associated roads, car parking, amenity space and landscaping.""",,,43,43,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 3 years. 20/09/18.,20/09/2018,20/09/2018,15/00652/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0071,,"""1 - 29 Lower Southend Road, Wickford, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8693&p=0,WGS84,0.524594,51.614285,0.34,not owned by a public authority,,permissioned,full planning permission,14/05/2010,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,179,"""The creation of 6 additional flats, together with external and internal alterations to block 'E' (amendment to planning approval no. 05/00654/FULL for 173 no. flats, offices, retail units and restaurants, car parking, landscaping and access).""",,,179,179,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 6 years. 20/09/18.,20/09/2018,20/09/2018,10/0220/FULL,
