Organisational URI,Organisation Label,Site Reference,Previously PartOf,SiteName Address,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed ForPIP,MinNet Dwellings,Development Description,NonHousing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 15 SHELAA BRA13,,Coopers Hill Old Bracknell Lane North Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.751335519,51.41234892,1.06,Owned by a public authority,,not permissioned,,,http://consult.bracknell-forest.gov.uk/file/4867117,,122,,,,122,122,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 17  17/00170/PAC,,2 The Braccans London Road Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.736770857,51.41594257,0.28,Not owned by a public authority,,permissioned,other,2018-06-20 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,33,Prior approval for the change of use of existing office (Class B1) to residential use (Class C3) comprising 33 apartments.,,,33,33,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 18  16/00221/FUL,,Crossways Residential Care Home 306 Yorktown Road Sandhurst,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.738807,51.341923,0.16,Not owned by a public authority,,permissioned,full planning permission,02.03.2018,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,5,"Change of use from 9 bed carehome (C2) to 5 flats (C3), with associated single storey rear extensions and alterations to the existing building, parking, and access.",,,5,5,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 20  16/01293/PAC,,Tamar House Forth House and Clifton House Brants Bridge Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.736667718,51.41342367,0.7,Not owned by a public authority,,permissioned,other,2017-02-17 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,79,"Prior approval for the change of use of Tamar House, Forth House and Clifton House from office buildings (Use Class B1a) to residential (Use Class C3) comprising 79 units.",,,79,79,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 25 16/01181/FUL,,Baileys Garage and The Haven Maidens Green Winkfield,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.708926072,51.44416207,0.56,Not owned by a public authority,,permissioned,full planning permission,2017-08-31 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,3,Erection of 5 dwellings following demolition of existing buildings.,,,3,3,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 26  16/00626/FUL,,Racal House Eastern Road Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.738661,51.41467705,0.34,Not owned by a public authority,,permissioned,full planning permission,2017-02-23 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,60,"Redevelopment of site to provide 60 residential units within a part-three, four and five storey building (plus basement car parking) with associated amenity space, landscaping, car parking, refuse stores and foot/cycle path link following demolition of existing buildings.",,,60,60,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 27  15/01035/FUL,,Amber House & Northgate House Market Street Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.753253,51.41481517,0.62,Not owned by a public authority,yes,permissioned,full planning permission,2017-02-03 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,193,"Erection of building accommodating 193no. residential apartments (use class C3) with flexible commercial use at ground level within use classes A1 (shops), A2 (financial and professional services), A3 (restaurants and cafes), B1 (business), D1 (non-residential institutions) and D2 (assembly and leisure) and associated car parking, amenity space, landscaping, servicing and access following the demolition of Amber House and Northgate House.",325sqm (flexible commercial use A1/A2/A3/B1/D1/D2),,193,193,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 28  15/00536/FUL,,Post Office 6 High Street Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.747500595,51.4163994,0.0273,Not owned by a public authority,,permissioned,full planning permission,2016-04-16 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,14,Erection of 7 storey building (with undercroft for parking/storage) accommodating A1 (retail) use at ground floor (170 sq m) and 14 residential units over following demolition of Post Office building,170sqm (A1 use),,14,14,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 29 15/00618/FUL,,Bridgewell Centre 10A Ladybank Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.752661971,51.39054824,0.26,Owned by a public authority,,permissioned,full planning permission,2015-12-24 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,-7,"Erection of 6 no 1 bedroom and 14 no 2 bedroom flats with associated access, parking, and landscaping following demolition of existing building (currently home to 27 units)",,,-7,-7,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 30  16/00230/FUL,,Brackworth Broad Lane Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.74347798,51.41048453,0.13,Not owned by a public authority,,permissioned,full planning permission,2016-07-22 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,7,"Erection of 6 x 2 bedroom and 2 x 1 bedroom dwelling units with associated parking, cycle shed, amenity space and bin store following demolition of existing dwelling",,,7,7,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 31 18/00514/FUL (S73),,"OTV House Wokingham Road, Bracknell",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.764912,51.41814,1.1,Not owned by a public authority,,permissioned,full planning permission,2018-04-05 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,126,"Prior Approval for the change of use of existing building from office (B1) to residential (C3) to provide 101 no. studio apartments and 29 no. one bedroom flats (total 130 units) with parking for 156 no. cars and 156 no. cycles. (Proposed amendment is to provide 54no. one bedroom apartments and 72no. two bedroom apartments, a total of 126 units)",,,126,126,,,,2018-04-05,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 32
17/00568/FUL",,"Dennis Pilcher House, Rowley Close, Broad Lane Bracknell",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.731540,51.412163,0.46,Owned by a public authority,yes,permissioned,full planning permission,2018-12-08 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,-18,Erection of 9 no. houses following demolition of existing sheltered housing (27 units).,,,-18,-18,,,,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 33
17/00222/PAC",,"Technology House Building 2, The Boulevard Cain Road, Binfield",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.778363,51.413641,1.72,Not owned by a public authority,,permissioned,other,2017-04-21 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,60,"Prior Approval for the change of use of 1st, 2nd and 3rd floor from Office (B1) use to Residential (C3) to form 60 no. flats",,,60,60,,,S106 needed due to Habitat Regulations 2010.,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 34
16/01202/PAC",,"34 Wellington Business Park, Dukes Ride, Crowthorne",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.818147,51.366382,0.2,Not owned by a public authority,,permissioned,other,2017-01-12 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,5,Prior Approval for the change of use from B1(a) (Office) to C3 (Residential) to form 2 no. 2 bed and 3 no. 1 bed dwellings.,,,5,5,,,S106 needed due to Habitat Regulations 2010.,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 35
17/00165/PAC",,"Centurary Court, Millenium Way, Bracknell",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.745044,51.417866,0.4,Not owned by a public authority,,permissioned,other,2017-03-15 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,65,"Prior approval for change of use from offices (B1) to 47 no. 1 bedroom, 12 no. 2 bedroom and 6 no. studio apartments (C3).",,,65,65,,,S106 needed due to Habitat Regulations 2010.,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 36
17/00457/PAC",,"Lavenir, Opladen Way, Bracknell",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.745461,51.401055,0.7,Not owned by a public authority,,permissioned,other,2017-06-22 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,69,Prior Approval for the change of use of offices (Class B1a) to residential (Class C3) to form 69 no. apartments.,,,69,69,,,S106 needed due to Habitat Regulations 2010.,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 37
16/00391/OUT",,"Garth Works, Kennel Lane, Warfield",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.755672,51.426881,0.3,Not owned by a public authority,,permisioned,full planning permission,2018-05-09 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,12,"Outline application, with details of access and layout, for the erection of 12no. dwellings comprising 8no. apartments and 4no. houses with associated parking and turning, following demolition of existing buildings.",,,12,12,,,,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 38
17/01087/FUL",,"Land At Former Garth Hill College Site, Sandy Lane (access off Hutley Drive).",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.747865,51.420971,2.94,Not owned by a public authority,,permissioned,full planning permission,2018-06-29 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,89,"Erection of 89 dwellings with associated car and cycle parking, landscaping, access (vehicular access from Sandy Lane via Hurley Drive) and associated works following demolition of existing buildings.",,,89,89,,,,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 39
SHELAA BIN 16",,"3M Cain Road, Binfield",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.777085,51.417341,0.85,Not owned by a public authority,,not permissioned,,,http://consult.bracknell-forest.gov.uk/file/5051275,,29,,,,29,29,,,,2018-12-08,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map Ref 40
SHELAA BIN 18 & 19",,"HP Beehive Road, Binfield",https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.783965,51.412233,9.63,Not owned by a public authority,,not permissioned,,,http://consult.bracknell-forest.gov.uk/file/5051275,,294,,,,294,294,,,,2018-12-08,2018-12-19
