OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPiP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,SHLAARef,PlanPermission,PPRN
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MMG8030_20151727,,"""63 Churchgate""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=412&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458679.75,304832.14,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2019-05-20,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,412,20151727,MMG8030
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NJT3123_20161293,,"""160 Belgrave Road - Belgrave Commercial Centre""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=427&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459430.2,306120.6,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2016-09-16,,,34,Planning permission for 34 flats,,,,,,,,2017-12-31,2017-12-31,427,20161293,NJT3123
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NJO8867_20141845,,"""190 Belgrave Road - Balmoral Hotel""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=426&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459484.78,306266.35,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2016-04-22,,,21,Planning permission for 21 flats,,,,,,,,2017-12-31,2017-12-31,426,20141845,NJO8867
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NMF7932_20011249,,"""Leicester House - Lee Circle""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=96&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459073.21,304835.44,0.2,not owned by a public authority,Yes,permissioned,full planning permission,2001-10-19,,,96,Planning permission for 96 flats,,,,,,,,2017-12-31,2017-12-31,96,20011249,NMF7932
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LPM0921,,"""Former Filbert Street Stadium (remainder of site)""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=122&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458347.55,303147.5,1.33,not owned by a public authority,Yes,not permissioned,,,,,73,,,,73,73,,,,2017-12-31,2017-12-31,122,,LPM0921
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LMU4746_20130021,,"""Former Merlin Works - Bath Lane (No 1 Westbridge)""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=71&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458041.56,304551.5,0.61,not owned by a public authority,Yes,permissioned,full planning permission,2013-03-20,,,388,Planning permission for 388 flats,,,,,,,,2017-12-31,2017-12-31,71,20130021,LMU4746
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MJD7815_20160614,,"""Abbey Meadows - Sock Island/Wolsey Works""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=377&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458843.97,306296.35,2.4,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-22,,,188,Planning permission for 93 houses and 95 flats,,,,,,,,2017-12-31,2017-12-31,377,20160614,MJD7815
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LMP6876_20140991,,"""Bath Lane/Blackfriars - Phase 2 and 3""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=330&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458067.36,304714.12,0.89,not owned by a public authority,Yes,permissioned,full planning permission,2014-12-12,,,165,Planning permission for 165 dwellings,,,,,,,,2017-12-31,2017-12-31,330,20140991,LMP6876
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,HOG0666_20151721,,"""Former Queensmead School - Hamelin Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=403&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,456099.51,303867.94,0.96,Owned by a public authority,Yes,permissioned,full planning permission,2016-01-08,,,82,Planning permission for 82 flats,,,,,,,,2017-12-31,2017-12-31,403,20151721,HOG0666
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LUI2334_20152003,,"""499A Saffron Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=424&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458312.13,300843.89,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2016-04-15,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,424,20152003,LUI2334
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNT2721_20131289,,"""35 Albion Street - Black Boy PH""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=343&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458925.75,304121.13,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2014-05-23,,,25,Planning permission for 25 flats,,,,,,,,2017-12-31,2017-12-31,343,20131289,MNT2721
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,OOK3308_20152256,,"""140-142 New Walk""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=397&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459529.96,303703.59,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2016-03-31,,,52,Planning permission for 52 flats,,,,,,,,2017-12-31,2017-12-31,397,20152256,OOK3308
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MSI2463,,"""101 Knighton Fields Road West""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=209&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458817.3,301842.85,0.08,not owned by a public authority,Yes,not permissioned,,,,,22,,,,22,22,,,,2017-12-31,2017-12-31,209,,MSI2463
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MRQ5191,,"""Velodrome Saffron Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=19&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458703.62,302220.0,1.28,not owned by a public authority,Yes,not permissioned,,,,,53,,,,53,53,,,,2017-12-31,2017-12-31,19,,MRQ5191
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LLU6012_20151587,,"""Northgate Street/Soar Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=388&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458058.16,304925.45,5.72,mixed ownership,Yes,permissioned,outline planning permission,2015-12-10,,,350,Outline permission for up to 500 dwellings,"Up to 5,500sqm of business floorspace (use classes B1a-c) and up to 1,000 sqm of retail (use classes A1-A5)",,,,,,,2017-12-31,2017-12-31,388,20151587,LLU6012
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LMN2396_20162182,,"""Vaughan Way - Highcross Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=338&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458322.66,304794.21,0.67,not owned by a public authority,Yes,permissioned,full planning permission,2017-03-16,,,300,Planning permission for 300 flats,,,,,,,,2017-12-31,2017-12-31,338,20162182,LMN2396
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNQ0585_20152147,,"""127-133 Granby Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=360&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459098.0,304196.75,0.11,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-17,,,61,Planning permission for 61 flats,,,,,,,,2017-12-31,2017-12-31,360,20152147,NNQ0585
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LME6628_20152022,,"""125-129 Vaughan Way""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=389&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458461.96,304926.7,0.16,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-16,,,120,Planning permission for 120 flats,,,,,,,,2017-12-31,2017-12-31,389,20152022,LME6628
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,OJE3495_20141780,,"""137 Harrison Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=380&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459929.9,306491.26,0.1,not owned by a public authority,Yes,permissioned,full planning permission,2015-07-17,,,13,Planning permission for 13 flats,,,,,,,,2017-12-31,2017-12-31,380,20141780,OJE3495
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,KOK8748_20162254,,"""10 Westcotes Drive - Scotia Hotel""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=422&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,457586.3,303747.28,0.04,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-02,,,10,Planning permission for 10 flats,,,,,,,,2017-12-31,2017-12-31,422,20162254,KOK8748
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,SJL9029_20161429,,"""Grosvenor Gate - Former nurses home""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=430&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,461689.6,306228.56,0.47000000000000003,Owned by a public authority,Yes,permissioned,full planning permission,2017-01-30,,,40,Planning permission for 40 flats,,,,,,,,2017-12-31,2017-12-31,430,20161429,SJL9029
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNO1115_20160473,,"""1A Stamford Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=413&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458910.58,304213.03,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-18,,,15,Planning permission for 15 flats,,,,,,,,2017-12-31,2017-12-31,413,20160473,MNO1115
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNA7150_20161032,,"""24 Rutland Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=417&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459071.25,304450.07,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-01,,,10,Planning permission for 10 flats,,,,,,,,2017-12-31,2017-12-31,417,20161032,NNA7150
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,RJB9065_20111700,,"""384 Gipsy Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=231&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,461189.5,306466.03,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2015-03-21,,,21,Planning permission for 21 flats,,,,,,,,2017-12-31,2017-12-31,231,20111700,RJB9065
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,ROG1398,,"""Evington Valley Road (Former Dunlop Works) (PS09b18) (Northern half of PSO area)""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=222&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,461200.26,303966.84,2.37,not owned by a public authority,Yes,not permissioned,,,,,100,,,,100,100,,,,2017-12-31,2017-12-31,222,,ROG1398
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,RIF9950_20072213,,"""10-12 Fairfax Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=181&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,461102.88,306849.05,0.2,not owned by a public authority,Yes,not permissioned,,,,,30,,,,30,30,,,,2017-12-31,2017-12-31,181,20072213,RIF9950
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NMB8286,,"""4 Wheat Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=187&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459178.45,304986.67,0.06,not owned by a public authority,Yes,not permissioned,,,,,34,,,,34,34,,,,2017-12-31,2017-12-31,187,,NMB8286
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNB0817_20170374,,"""2-4 Colton Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=411&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459107.65,304416.62,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2017-07-05,,,29,Planning permission for 29 flats,,,,,,,,2017-12-31,2017-12-31,411,20170374,NNB0817
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MOF0206_20132288,,"""20 Deacon Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=356&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458503.04,303807.24,0.07,not owned by a public authority,Yes,permissioned,full planning permission,2014-06-06,,,24,Planning permission for 24 flats,,,,,,,,2017-12-31,2017-12-31,356,20132288,MOF0206
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NLF9214,,"""233 Belgrave Gate""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=408&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459080.3,305313.9,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-14,,,20,Planning permission for 20 flats,,,,,,,,2017-12-31,2017-12-31,408,,NLF9214
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NOS0111_20161974,,"""104 Regent Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=419&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459299.12,303610.63,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2019-12-12,,,16,Planning permission for 16 flats,,,,,,,,2017-12-31,2017-12-31,419,20161974,NOS0111
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MOK1188_20141519,,"""Henshaw Street/Grange Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=355&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458511.34,303788.25,0.04,not owned by a public authority,Yes,permissioned,full planning permission,2015-02-10,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,355,20141519,MOK1188
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MJS5316,,"""Abbey Meadows - remainder of site""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=61&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458963.35,306121.6,1.7000000000000002,not owned by a public authority,Yes,not permissioned,,,,,110,,,,110,110,,,,2017-12-31,2017-12-31,61,,MJS5316
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LMM3464_20151041,,"""61 Great Central Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=407&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458236.51,304764.02,0.14,not owned by a public authority,Yes,permissioned,full planning permission,2016-05-05,,,73,Planning permission for 73 flats,,,,,,,,2017-12-31,2017-12-31,407,20151041,LMM3464
