Reference,Planning Reference,Site_Name,Site_Address,Plan,Easting,Northing,Reference_System,Area,Local_Authority,URI,Ownership,Deliverable,Planning_Status,Date_Permission,Type_Permission,Description,Dwelling_Range,Min_Capacity,Non_Resi_Dev,Register_Date,Updated_Date,Comments
UBLR/17/016,UTT/17/1114/OP,Land east of Green Hollow,"Clapton Hall Lane, Dunmow CM6 1JF",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562636,220764,OSGB1936,0.376,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2017-08-31,Outline permission,Demolition of existing buildings and the construction of 5 no. new dwellings,,5,,2017-12-12,,
UBLR/17/017,UTT/17/2480/OP,Sabre House,"Dunmow Road, Stebbing CM6 3LF",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,568389,222842,OSGB1936,0.448,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2017-11-28,Outline permission,Demolish all buildings and remove commercial uses (car sales and airport parking etc) and construct up to 9 dwellings,5-9,,,2017-12-12,,
UBLR/19/001,UTT/17/2255/OP,Land Rear Of Canada Cottages,"Stortford Road, Great Dunmow, Essex",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551887,221504,OSGB1936,0.250,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2017-11-15,Outline permission,"Demolish all buildings on site, extinguish lawful builders yard use and erect 7 no dwellings and garages/ parking",,7,,2019-03-31,,
UBLR/19/002,UTT/18/3172/PAP3O,The Old Mill,"Haslers Lane, Dunmow, CM6 1XS",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562890,221610,OSGB1936,0.060,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2019-01-19,Other (Prior Approval not Required),Change of use from offices to 10 no. dwellings,,10,,2019-03-31,,
UBLR/19/003,UTT/18/1982/FUL,Barnmead,"Start Hill, Stane Street, Great Hallingbury, Hertfordshire
CM22 7TA",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551887,221504,OSGB1936,0.439,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2019-01-04,Full planning permission,Demolition of existing dwelling house and replacement with 9 residential dwelling houses,,9,,2019-03-31,,
UBLR/19/004,UTT/18/1704/OP,Oakbourne,"Hammonds Road, Hatfield Broad Oak, CM22 7JN",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,555026,216578,OSGB1936,0.410,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2018-08-18,Outline permission,Demolition of existing dwelling and outbuildings and the erection of  1 no. replacement dwelling and 6 no. new dwellings.,,7,,2019-03-31,,
UBLR/19/005,UTT/17/3556/OP,Priory Lodge,"Station Road, Little Dunmow, CM6 3HF",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,566572,221192,OSGB1936,0.490,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2018-04-16,Outline permission,Demolition of all commercial buildings and removing of commercial storage and the erection of  8 no.  detached dwellings,,8,,2019-03-31,,
UBLR/19/006,UTT/17/3038/DFO,Land behind the Old Cement Works,"Thaxted Road, Saffron Walden, Essex",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,554941,237449,OSGB1936,0.94,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2018-02-15,Reserved matters approval,Site of former cement works and lime kilns. Proposal for up to 52 dewllings,,52,,2019-03-31,,
UBLR/19/007,UTT/17/1991/FUL,J F Knight Roadworks Ltd (Warners Field),"Copthall Lane, Thaxted, CM6 2LG",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,561933,231351,OSGB1936,0.83,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2018-04-19,Full planning permission,Demolition of all existing commercial buildings and structures and comprehensive residential redevelopment comprising the construction of 7 no. new dwellings,,7,,2019-03-31,,
UBLR/19/009,,Carver Barracks,1 mile north of Debden,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,556865,234764,OSGB1936,79,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Owned by a public authority,No,Not permissioned,,,Minstry of Defence British air base,1410 - 3149,,,2019-03-31,,
