OrganistionURI,OrganistionLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateRefernceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,SiteInformation,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0038(a),DAM/0038,"""Land at 44 Church Street, Shipbrook Road, Davenham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3821977.492,-167168.5755,366427,371201,0.265,not owned by a public authority,not permissioned,,,,,"""Residential development""",5,,,,2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0054(a),DAM/0054,"""Land to side and rear of The Salt Museum, London Road, Northwich""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3820383.415,-167745.5365,365795,373161,0.259,owned by a public authority,not permissioned,,,,,"""Residential development""",18,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DAM/0072(a),DAM/0072,"""Land at 618 London Road, Davenham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3822756.108,-167529.0918,366095,370213,0.733,not owned by a public authority,not permissioned,,,,,"""Residential development""",53,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0000,,"""Former Huntington Primary School, Butterbache Road, Huntington, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3826486.196,-191552.875,342218,364450,0.143,owned by a public authority,not permissioned,,,,yes,"""Residential development""",,,,,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0016,,"""Land at Decoy Farm, Lache Lane, Marlston cum Lache, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3827545.514,-195765.5975,338051,362851,1.128,not owned by a public authority,permissioned,outline planning permission,2016-09-20,,yes,"""Mixed use development comprising up to 24 dwellings and 24 commercial units with associated access. """,24,,,15/01429/OUT,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0022,,"""Balderton Saw Mills, Welsh Road, Dodleston, CH4 9LF""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3828092.443,-196304.1519,337533,362141,1.67,not owned by a public authority,not permissioned,,,,,"""Redevelopment of site for residential development of up to 25 dwellings-permission expired""",,,,,2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,DOH/0052,,"""Lyndale Farm, Wrexham Road, Pulford, CH4 9DG""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3830049.68,-195965.1158,338072,359713,1.35,not owned by a public authority,permissioned,outline planning permission,2017-11-24,,yes,"""Construction of mixed use development up to 24 dwellings and 24 commercial units""",24,,,17/00049/OUT|17/05230/DIS,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0038C,EPT/0038b,"""CROMWELL ROAD - Phase 3 - Land north of Cromwell Road, Ellesmere Port (HH Roberts)""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816887,-192638.8615,340831,376288,3.23,not owned by a public authority,permissioned,outline planning permission,2015-03-20,,yes,"""Residential development comprising up to 350 dwellings together with associated road infrastructure and open space (outline)-Phase 1a, 1b and 2 complete""",102,,,14/00041/OUT,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0041,,"""Wellington Road North car park, rear of 89 - 109 Cambridge Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816938.972,-192919.9291,340524,376222,0.821,owned by a public authority,not permissioned,,,,,"""Residential development""",26,,,Site in Middle;Outer hazard zone,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0059,,"""The Knot PH, Whitby Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816908.176,-193264.1639,340179,376243,0.242,not owned by a public authority,not permissioned,,,,,"""Residential development""",9,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0063B,EPT/0063,"""Land at Coronation Road (site of former leisure centre and office building), Stanney Lane, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817369.374,-193428.3998,340032,375660,2.018,owned by a public authority,not permissioned,,,,,"""Demolition of Former Leisure Centre Building - permission granted 
Local Authority surplus land / site
HELAA capacity = 85 for wider site""",30,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0067,,"""Land south of Cromwell  Road (former PZ Cussons), Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817063.565,-192557.95,340891,376084,1.535,not owned by a public authority,permissioned,outline planning permission,2010-03-19,,,"""Erection of 71 Dwellings (Outline) (Demolition Of Existing Buildings)""",71,,,P/08/745   P/2008/102/ST/745,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0096,,"""53 Whitby Road, Ellesmere Port CH65 8AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816910.968,-193294.2884,340150,376238,0.05,not owned by a public authority,permissioned,full planning permission,2016-07-26,,yes,"""Conversion of first floor to mixed use drinking establishment (Use Class A4)/snooker hall (Use Class D2) (relocation from first floor) and one flat and conversion of first floor to form 9 flats (total 10 flats)-Complete""",10,,,16/02077/FUL,2017-12-21,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0117,,"""Agra Fort, 3 to 7 Cambridge Road, Ellesmere Port, CH65 8AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816832.07,-193201.4528,340239,376341,0.3,not owned by a public authority,permissioned,full planning permission,2017-09-14,,yes,"""Conversion of building to provide residetial accommodtaion - 8no one-bed apartments""",8,,,17/02172/FUL,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0118,,"""Phoenix Social Club, Cromwell Road, Ellesmere Port, CH65 4AA",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816818.844,-193111.911,340329,376362,0.0162,not owned by a public authority,permissioned,full planning permission,2017-12-08,,yes,"""Conversion of first floor to dwelling use to create 20 bedsits/flats-Complete""",20,,,17/02173/FUL,2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,EPT/0126,,"""Grace Arms, Stanney Lane, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817515.177,-193335.4025,340130,375483,0.4,not owned by a public authority,not permissioned,,,,yes,"""2no three-storey apartment blocks to provide 42no social rented units-refused""",,,,17/04425/FUL (withdrawn),2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FAR/0054,,"""Grosvenor Estate Yard, Middle Lane, Aldford, Chester CH3 6JA""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3830623.784,-191939.523,341981,359201,0.661,not owned by a public authority,not permissioned,,,,,"""Re-organisation of existing estate yard, provision of new forestry building and conversion of existing storage barns into 8 affordable units with associated bins/cycle stores and parking areas """,8,,,08/01294/FUL  11/04335/EXT,2017-12-21,,
,,FRO/0037A,,"""Land at Bridge Lane, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,,,352315,378194,0.164,not owned by a public authority,not permissioned,,,,,"""Residential development""",10,,,,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0038,,"""Land off Greenfield Lane, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3815954.784,-181759.3877,351641,378004,0.371,not owned by a public authority,not permissioned,,,,,"""Residential development""",11,,,Site in Outer hazard zone,2017-12-21,,
,,FRO/0040,,"""29 Main Street, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,,,351352,377677,0.083,not owned by a public authority,permissioned,outline planning permission,2018-11-20,,,"""6 new dwellings and conversion to create 2 dwellings""",8,,,18/01239/OUT,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0041,,"""Land off Queensway, Frodsham""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816203.987,-181770.0857,351740,377614,0.253,owned by a public authority,not permissioned,,,,,"""Residential development""",,,,,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,FRO/0054,,"""Mersey View Club, Overton Hill, Bellemonte Road, Frodsham Cheshire WA6 6HH """,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816897.556,-181665.1688,351768,376833,1.39,not owned by a public authority,permissioned,outline planning permission,2015-11-19,,yes,"""12 Dwellings (4 affordable), Provision of Revised Car Parking Layout to existing Hotel, Revised Access, Provision of New Access and Open Space (demolition of existing buildings) """,12,,,14/03835/OUT,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0005,,"""Land to rear of Crane Bank Garage, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824768.357,-193897.0543,339821,366410,0.184,not owned by a public authority,not permissioned,,,,,"""Residential development""",12,,,Site in Middle;Outer hazard zone,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0006,,"""Southern Tail development (remaining part of allocation), New Crane Street""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824843.124,-193891.6583,339830,366318,0.656,not owned by a public authority,not permissioned,,,,,"""Residential development""",31,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GAQ/0024,,"""Raymond House and Diocesan House, Raymond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824603.346,-193637.0665,340076,366630,0.049,not owned by a public authority,permissioned,full planning permission,2015-10-14,,yes,"""Change of use of existing buildings to form 18 bedroom student accommodation with ancillary rooms""",10,,,15/02650/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0010,,"""Council depot and garage court off Sutton Way, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3817120.615,-194061.2908,339390,375938,0.377,owned by a public authority,not permissioned,,,,,"""Residential development""",,,,,2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRA/0012(a),GRA/0012,"""Former school site (The Acorns Primary and Nursery), Pooltown Road, Ellesmere Port""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3816768.682,-194526.4311,338914,376352,0.455,owned by a public authority,not permissioned,,,,,"""Local Authority owned vacant site""",59,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0034(a),GRB/0034,"""Beechmoor Garden Centre / Shed sales, Whitchurch Road, Chester, Cheshire, CH3 5QD""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825336.322,-190651.9537,343084,365866,0.929,not owned by a public authority,permissioned,Full planning permission,2019-07-17,,,"""Age restricted residential development""",111,,,17/03661/FUL allowed on appeal,2017-12-21,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,GRB/0042,,"""Foxwood, Caldy Valley Road, Great Boughton Chester Cheshire CH3 5PR""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825291.464,-190810.5335,342924,365913,0.198,not owned by a public authority,permissioned,full planning permission,2016-02-10,,yes,"""Demolition of existing bungalow and construction of 7no new two storey houses and associated garages and external works""",7,,,15/01278/FUL,2017-12-21,,
