OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedFor PIP,MinNetDwellings,Development Description,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDweloingsRangeTo,HazardousSubstances,SiteInfomation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO099,,"LAND TO REAR OF THE KINGS HEAD PH, MERCER ROW, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814153.00,-376.74,532802.527,387242.168,0.04,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-06-16,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,2,N/105/2307/15,,,2,2,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO134,,"LAND OFF LONDON ROAD, ADJOINING CEMETRY, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814427.16,-146.17,533042.023,386907.771,1.10,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2015-12-11,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,20,N/105/1159/14,,,20,20,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO307,,"LAND OFF RAMSGATE ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3813519.25,364.76,533521.915,388052.282,1.20,Not owned by a public authority,Yes,Permissioned,Full planning permission,2015-09-29,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,57,N/105/02442/14,,,57,57,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO312,,"WALLIS HOUSE, BIRCH ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814121.62,873.03,534050.243,387316.346,1.33,Owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,20,,,,20,20,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO323,,"KEDDINGTON ROAD NURSERIES, KEDDINGTON ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3813315.98,144.73,533294.888,388299.711,0.43,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-02-15,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,33,N/105/1830/17,,,33,33,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO331,,"LAND OFF STEWTON LANE, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814662.20,1099.31,534295.302,386649.141,0.15,Not owned by a public authority,,Permissioned,Full planning permission,2016-07-29,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,1,N/105/00780/16,,,1,1,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO339,,"LAND AT LEGBOURNE ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3815026.31,902.51,534111.339,386190.483,2.09,Not owned by a public authority,,Permissioned,Outline planning permission,2016-11-21,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,55,,,,55,55,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO507,,"LAND OFF KEDDINGTON ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3813328.76,106.26,533256.638,388282.342,0.67,Not owned by a public authority,,Permissioned,Full planning permission,2017-02-15,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,33,N/105/1830/16,,,33,33,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO530,,"VICTORIA ROAD, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3813497.06,592.66,533748.104,388086.090,0.38,Owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,10,,,,10,10,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,MAN306,,"CHARTER HOUSE, MANBY PARK, MANBY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814339.94,6389.29,539571.645,387196.172,1.00,Not owned by a public authority,Yes,Permissioned,Full planning permission,2011-04-07,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,42,N/113/01976/10,,,42,42,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,MAN330,,"REDUNDANT RAF HANGERS, MANBY PARK, MANBY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814326.70,6187.65,539369.635,387207.271,7.52,Not owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,87,,,,87,87,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,MLF021,,"LAND AT THE GARAGE, MAIN STREET, MAREHAM LE FEN",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3834964.16,-5674.68,528233.645,361133.005,0.16,Not owned by a public authority,Yes,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,3,,,,3,3,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,SPY203,,"ADJ 67 BOSTON ROAD, SPILSBY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3831679.17,6207.41,539994.750,365567.859,0.39,Not owned by a public authority,,Permissioned,Outline planning permission,2014-06-12,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,9,S/165/02105/14,,,9,9,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,STK319,,"LAND ADJ TO A DEPOT, MAIN ROAD, STICKNEY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3839003.59,387.83.65,534433.180,356256.653,0.82,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2016-07-26,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,9,S/169/01177/16,,,9,9,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,WAI308,,"LAND OFF CHURCH WALK, WAINFLEET",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3837166.87,15616.33,549590.332,358962.007,2.87,Not owned by a public authority,Yes,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,7,,,,7,7,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,WAI317,,"REAR OF THE RED LION AND ANGEL PUBLIC HOUSES, WAINFLEET",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3837170.48,15789.27,549763.327,358962.463,0.52,Not owned by a public authority,Yes,Permissioned,Full planning permission,2014-10-19,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,7,S/194/01127/14,,,7,7,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,WAI406,,"LAND AT 26 ST JOHNS STREET, WAINFLEET",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3837171.91,15973.30,549947.633,358965.617,0.09,Not owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,5,,,,5,5,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,WSP315,,"196/198 WITHAM ROAD, WOODHALL SPA",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3833812.02,-15972.81,517901.184,362272.965,0.65,Not owned by a public authority,Yes,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,13,,,,13,13,,,,,
