OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable - mandatory if yes,PlanningStatus,PermissionType - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PermissionDate -  - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PlanningHistory,ProposedForPIP - mandatory if yes,MinNetDwellings,DevelopmentDescription - mandatory where relevant,NonHousingDevelopment - mandatory where relevant,Part2 - mandatory where relevant,NetDwellingsRangeFrom - mandatory where relevant,NetDwellingsRangeTo - mandatory where relevant,Hazardous Substances - mandatory where relevant,SiteInformation - mandatory where relevant,Notes,FirstAddedDate,LastUpdatedDate,X,Y
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HOAKCA219,,The Half Moon Dashwood Avenue High Wycombe Buckinghamshire HP12 3DZ,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485058.365&StartNorthing=193447.02&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.772412,51.6334,0.04,not owned by a public authority,yes,permissioned,Full planning permission,2017-12-18,,,5,"Change of use of existing Public House to 4 x 1-bed, 2 x 2-bed  self-contained flats with erection of part first floor, part two storey rear extension, first floor side extension with associated bin and cycle stores",,,,,,,17/07458/FUL,,,485058.36,193447.02
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HRYEME183,,Princes Gate High Wycombe Buckinghamshire,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487765.265&StartNorthing=192659.886&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.733508,51.6259,0.05,not owned by a public authority,yes,permissioned,Full planning permission,2017-06-26,,,8,"Construction of three storey building containing 2 x 2 bed & 6 x 1 bed apartments with car parking, amenity space, bin & cycle storage and associated landscaping works",,,,,,,17/05625/FUL,,,487765.27,192659.89
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HSANDS123,,232 & 232C West Wycombe Road High Wycombe Buckinghamshire HP12 3AR,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484825.47&StartNorthing=194030.735&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.775635,51.6386,0.22,not owned by a public authority,yes,permissioned,Full planning permission,2017-11-23,,,10,"Demolition of existing 2 x dwellings, 1 x outbuilding and a garage and erection of 2 x apartment buildings containing 9 x 2 bed flats and 3 x 1 bed flats with associated cycle storage, refuse storage, landscaping and parking",,,,,,,17/05948/FUL,,,484825.47,194030.73
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HSANDS126,,15 Prestwood Close High Wycombe Buckinghamshire HP12 3DE,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484712.582&StartNorthing=193559.13&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.77738,51.6344,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2018-03-26,,,5,Demolition of existing dwelling and construction of 5 x 2 bed and 1 x studio flats with associated bin and cycle stores and parking,,,,,,,17/07317/FUL,,,484712.58,193559.13
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HSTOKE150,,Axis40 Oxford Road Stokenchurch Buckinghamshire HP14 3SX,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=475520.68&StartNorthing=196366.144&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.909563,51.661,0.48,not owned by a public authority,yes,permissioned,Full planning permission,2017-11-24,,,40,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 40 x 1 bed apartments",,,,,,,17/07762/PNP3O,,,475520.68,196366.14
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTERAH209,,133 Amersham Road High Wycombe Buckinghamshire HP13 5AD,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487727.372&StartNorthing=194637.814&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.73356,51.6437,0.11,not owned by a public authority,yes,permissioned,Full planning permission,2017-08-23,,,6,"Erection of 2 storey rear extension to provide 2 x 2 bed flats, sub division of existing 3 bed flat at first floor level to provide 1 x 2 bed flat & 1 x 1 bed flat, car parking and amenity space provision",,,,,,,15/06681/FUL,,,487727.37,194637.81
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTERAH234,,The Priory Centre 11 Priory Road High Wycombe Buckinghamshire HP13 6SL,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486600.103&StartNorthing=193378.304&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.750159,51.6325,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2017-04-05,,,5,"Construction of part two storey/part single storey side extension & single storey lower ground rear extension with associated alterations in connection with conversion to 3 x 1 bed and 2 x 2 bed flats, new access off Priory Avenue to new parking area an",,,,,,,16/08332/FUL,,,486600.1,193378.3
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTERAH240,,10 - 12 Coningsby Road High Wycombe Buckinghamshire HP13 5NX,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486689.02&StartNorthing=193970.599&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.748728,51.6378,0.18,not owned by a public authority,yes,permissioned,Full planning permission,2017-10-11,,,8,"Demolition of existing dwellings and construction of two blocks comprising 8 x 2 bed and 2 x 1 bed flats with associated parking, bin/cycle storage and landscaping",,,,,,,16/08508/FUL,,,486689.02,193970.6
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTHRIS175,,8 - 10 Wellington Avenue Princes Risborough Buckinghamshire HP27 9HY,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=480872.61&StartNorthing=203937.43&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.830451,51.7283,0.22,not owned by a public authority,yes,permissioned,Outline planning permission,2018-02-15,,,8,Outline application (including details of access and layout) for demolition of existing buildings and erection of 9 x 2 bed apartments and 1 no 2 bed bungalow with associated external works and new access,,,,,,,17/07148/OUT,,,480872.61,203937.43
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTHWOO101,,35 The Green Wooburn Green Buckinghamshire HP10 0EU,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=491229.965&StartNorthing=188420.282&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.684571,51.5872,0.08,not owned by a public authority,yes,permissioned,Full planning permission,2017-02-21,,,6,Demolition of the existing dwelling and the erection of a terrace of three two-storey cottages and a separate building comprising four one-bedroom apartments together with parking and amenity space,,,,,,,16/07355/FUL,,,491229.97,188420.28
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTYLER152,,Oakingham House Kingsmead Business Park Frederick Place Loudwater Buckinghamshire HP11 1JU,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489843.14&StartNorthing=191124.675&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.703891,51.6117,0.41,not owned by a public authority,yes,permissioned,Full planning permission,2017-09-21,,,20,Prior notification application (Part 3 Class O) for change of use of existing building falling within Class B1(a) (Offices) to Class C3 (Dwellinghouses) to create 14 x 1-bed & 6 x 2-bed flats (20 in total),,,,,,,17/07011/PNP3O,,,489843.14,191124.67
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HTYLER153,,Attobus Treadaway Hill Loudwater Buckinghamshire HP10 9QL,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=490068.975&StartNorthing=190418.685&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.700812,51.6054,0.25,not owned by a public authority,yes,permissioned,Full planning permission,2017-11-24,,,27,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 27 apartments",,,,,,,17/07721/PNP3O,,,490068.97,190418.69
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SBE0050,,"Windrush House, Bourne End",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489451.7&StartNorthing=187862.575&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.710374,51.5825,0.15,not owned by a public authority,yes,not permissioned,,,,,8,,,,,,,,,,,489451.7,187862.58
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0020,,"Dashwood Avenue, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485098.225&StartNorthing=193501.722&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.771823,51.6338,0.9,not owned by a public authority,,not permissioned,,,,,70,,,,,,,,,,,485098.22,193501.72
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0067,,46 West Wycombe Road High Wycombe Buckinghamshire HP11 2LW,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485868.1&StartNorthing=193526.89&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.760696,51.634,0.08,not owned by a public authority,yes,permissioned,Full planning permission,2016-07-04,,,13,"Demolition of 46 West Wycombe Road, erection of a four storey block of 14 x 1 bed apartments, bin & cycle stores.",,,,,,,15/06043/FUL,,,485868.1,193526.89
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0121,,207 Hughenden Road High Wycombe Buckinghamshire HP13 5PL,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486562.875&StartNorthing=194278.04&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.750474,51.6406,0.11,not owned by a public authority,yes,permissioned,Full planning permission,2013-07-09,,,5,Conversion of existing dwelling into 2 x 2 bed flats and erection of two storey attached unit comprising 4 x 1 bed flats with associated parking,,,,,,,10/07474/FUL,,,486562.88,194278.04
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0210,,34 Dashwood Avenue High Wycombe Buckinghamshire HP12 3DX,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485229.691&StartNorthing=193460.123&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.769934,51.6335,0.02,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,,,,485229.69,193460.12
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0262,,209-211 West Wycombe Road High Wycombe Buckinghamshire HP12 3AW,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484989.36&StartNorthing=193871.555&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.773306,51.6372,0.14,not owned by a public authority,yes,permissioned,Full planning permission,2014-05-23,,,10,Construction of two storey rear extension including lower ground level to both properties and conversion of existing pair of semi detached dwellings to form 12 x 1 bed flats,,,,,,,"16/07637/FUL, 14/05432/FUL",,,484989.36,193871.55
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0263,,193-197 West Wycombe Road High Wycombe Buckinghamshire HP12 3AW,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485089.15&StartNorthing=193833.58&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.771874,51.6368,0.19,not owned by a public authority,yes,permissioned,Full planning permission,2016-05-09,,,9,Demolition of No. 195 and 197 West Wycombe Road.  Partial demolition of No.193 West Wycombe Road.  Erection of 1 block containing 11 x 2 bed apartments.,,,,,,,"16/08277/MINAMD, 16/05324/FUL",,,485089.15,193833.58
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0322,,"Easton Street / Eastern Quarter, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486973.3&StartNorthing=192920.825&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.744881,51.6283,3.21,owned by a public authority,yes,not permissioned,,,,,137,Allocated in the Delivery and Site Allocations Document,,,,,,,,,,486973.3,192920.83
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0332,,"Duke Street, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487135.125&StartNorthing=193012.501&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.742521,51.6291,0.68,owned by a public authority,,not permissioned,,,,,90,,,,,,,,Allocated in the Delivery and Site Allocations document.,,,487135.13,193012.5
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0334,,"Land forming part of the former Green Street County First School site, Desborough Street, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485559.65&StartNorthing=193385.275&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.765186,51.6327,0.55,owned by a public authority,,not permissioned,,,,,11,,,,,,,,Allocated in the Delivery and Site Allocations document.,,,485559.65,193385.27
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0335,,"Needham Bowl, Leigh Street",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485645.585&StartNorthing=193278.135&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.763971,51.6318,0.33,not owned by a public authority,yes,permissioned,Full planning permission,2012-10-29,,,77,"Demolition of existing former factory building, construction of 74 residential units comprising 1, 2 and 3  bedroom flats, and 7 B1 units, landscaping, underground parking",343m2 B1c Light Industrial development,,,,,,15/05594/FUL,,,485645.59,193278.14
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0339,,"Collins House and 32 Bridge St, Corner of Bridge St/Desborough Rd",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486075.755&StartNorthing=193172.39&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.757783,51.6307,0.18,owned by a public authority,yes,not permissioned,,,,,45,,,,,,,,Allocated in the Delivery and Site Allocations document.,,,486075.76,193172.39
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0400,,"Delafield Heights South, Longland Way / Pettifer Way, previously known as Flats off Chairborough Road",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484731.15&StartNorthing=192372.572&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.777399,51.6238,0.7,not owned by a public authority,yes,not permissioned,,,,,40,,,,,,,,,,,484731.15,192372.57
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0402,,"Frank Hudson Furniture Factory, Rosebery Avenue, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=488095.865&StartNorthing=192410.2&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.728796,51.6236,0.11,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,,,,488095.86,192410.2
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0406,,"Ogilvie Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485184.94&StartNorthing=193400.5&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.770595,51.6329,0.21,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,,,485184.94,193400.5
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0419,,"JC and MP Smith, Princes Gate (also known as Ricketts road, Ryedale), High Wycombe, HP13 7AB",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487754.704&StartNorthing=192618.725&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.733671,51.6255,0.16,not owned by a public authority,yes,permissioned,Full planning permission,2016-12-12,,,32,"Demolition of existing building and construction of 32 x 2 bedroom apartments, alteration to the existing access, landscaping and car parking",,,,,,,15/06660/FUL. Resolution to permit.,,,487754.7,192618.73
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0421,,"Netley Works, 89 Queens Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487605.86&StartNorthing=192684.315&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.735804,51.6261,0.19,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,,,,487605.86,192684.32
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0432,,"Kitchener Works, Kitchener Road, adjacent to Smewin Court, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485570.535&StartNorthing=193100.88&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.765098,51.6302,0.24,not owned by a public authority,yes,permissioned,Full planning permission,2016-08-01,,,14,"Demolition of existing factory building and erection of two, 2.5 storey residential blocks comprising of 14 x 2 bed flats with associated parking and landscaping.",,,,,,,16/05718/FUL,,,485570.53,193100.88
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0436,,"Garages between Chiltern Avenue and Rutland Avenue, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484511.575&StartNorthing=192395.63&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.780564,51.624,0.39,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,,,,484511.58,192395.63
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0440,,"Brook Street, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486026.65&StartNorthing=193328.925&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.758454,51.6322,0.19,owned by a public authority,,not permissioned,,,,,10,,,,,,,,Allocated in the Delivery and Site Allocations document.,,,486026.65,193328.92
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0463,,"Corner of Bridge Street/Oxford Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486140.212&StartNorthing=193305.32&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.75682,51.6319,0.51,not owned by a public authority,,not permissioned,,,,,7,,,,,,,,Allocated in the Delivery and Site Allocations document.,,,486140.21,193305.32
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0466,,"Garages at Tyzack Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=488538.125&StartNorthing=194424.95&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.7219,51.6416,0.25,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,,,,488538.13,194424.95
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0503,,Land Adjacent  23 Easton Street High Wycombe Buckinghamshire HP11 1NJ,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486945.395&StartNorthing=192890.125&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.745292,51.6281,0.12,not owned by a public authority,yes,permissioned,Full planning permission,2015-04-27,,,9,Redevelopment of existing BT Car Park with a 3-storey office building along Easton Street and erection of 14 x 2 bed flats in one block with associated bin/cycle storage along Abbey Place (alternative scheme to pp 14/07141/FUL),,,,,,,15/05700/FUL,,,486945.4,192890.13
