Include_in_BFR,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0211,,"113A, Norwood Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=335729&y=416528&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,335719.5413,416534.9374,0.15,Not owned by a public authority,Yes,Permissioned,Full planning permission,17/09/2018,,,14,,,,0,0,,,Backland former commercial site with approval for 14 dwellings (DC/2013/00634).,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0150,,"240, Hawthorne Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334842&y=395161&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334814.1017,395175.3515,0.28,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/04/2018,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?keyVal=P17OA0NWKT300&activeTab=summary,,12,Vacant land and buildings,,,0,0,,,Has permssion DC/2015/00825. In a conservation area.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0247,,"18-20, Granville Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=331711&y=415467&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,331713.8515,415477.77,0.47,Not owned by a public authority,Yes,Permissioned,Full planning permission,21/07/2017,,,8,Site of detached properties and rear gardens.,,,0,0,,,Various permissions - Partial brownfield. The site is in a Conservation Area and as such design standards apply. Minimum figure based on there being a number of apartments.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0154,,"Land adj to St Monicas Parochial, Stewart Avenue, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=335191&y=395732&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,335145.3883,395751.3266,0.12,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/03/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVE1KINWGWN00,,10,Vacant land,,,0,0,,,DC/2015/01679- permission for 13 flats. (minimum density assumes apartments).,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0045,,"Oak Lea Racing Stables, Southport Road, Maghull",http://maps.sefton.gov.uk/webmaplayers/?x=336642&y=405067&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,336631.3626,405058.1626,1.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,28/04/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYGRKYNWHQ300,,5,,,,0,0,,,Racing stables. Replacement buildings for brownfield in the Green Belt. Permission for 5 dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0155,,"129, Sterrix Lane, Netherton",http://maps.sefton.gov.uk/webmaplayers/?x=334729&y=398852&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334708.5567,398849.1699,0.25,Not owned by a public authority,Yes,Permissioned,Full planning permission,15/08/2017,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O94PV5NWKLA00,,14,,,,0,0,,,Granted permission for 14 and 8 dwelllings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0156,,"50, Sandy Road, Crosby & Hightown",http://maps.sefton.gov.uk/webmaplayers/?x=333162&y=397178&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333156.2343,397221.6257,0.53,Not owned by a public authority,Yes,Permissioned,Outline planning permission,10/06/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTBYIVNWGEN00,,10,Large site with a number of industrial / commercial uses.,,,0,0,,,DC/2015/01442 outline permission for residential.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0258,,"Former Phillip's Factory, Balmoral Drive, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=337079&y=419342&resolution=2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,337153.6131,419386.4011,5.99,Not owned by a public authority,Yes,Not permissioned,,,,,158,Industrial site that has been partially demolished,,,0,0,,,Large former factory site. Local Plan allocation MN2.3.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0050,,"Land South of Spencers Lane, Spencers Lane, Maghull",http://maps.sefton.gov.uk/webmaplayers/?x=339020&y=399154&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,339017.9286,399084.7424,0.6,Not owned by a public authority,Yes,Not permissioned,,,,,15,Area of hardstanding to the rear of existing properties. Adjacent to the M57.,,,0,0,,,Backs onto motorway. Local Plan allocation MN2.33. Minimum number of dwellinsg figure is 15 to reflect the Local Plan Appendix 1.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0159,,"Land at Pendle Drive, Pendle Drive, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334219&y=399418&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334176.9316,399423.3755,1.45,Owned by a public authority,Yes,Not permissioned,,,,,29,"Large, partially cleared site.",,,0,0,,,Local Plan allocation (MN2.38) suitable for development. Mostly brownfield but with some of the site is greenfield.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0160,,"Land at Former Bootle High School, Brown's Lane, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=336085&y=399492&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,336081.4665,399517.9884,1.75,Owned by a public authority,Yes,Not permissioned,,,,,63,Site of former school which has been demolished and cleared.,,,0,0,,,Local Plan allocation. Council owned brownfield site.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0028,,"Former St Wilfrid’s School, Orrell Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334165&y=397404&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334148.9644,397368.9136,6.64,Mixed ownership,Yes,Not permissioned,,,,,73,Former school site on greenspace in the urban area.,,,0,0,Yes,,Partial brownfield. Local Plan allocation MN2.42. Brownfield area likely to be suitable for approximately 70 plus units.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0163,,"Former People’s site, Linacre Lane, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334774&y=396351&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334782.5231,396339.1983,2.94,Owned by a public authority,Yes,Not permissioned,,,,,110,Cleared and levelled brownfield site.,,,0,0,Y,,Has contamination issues that impact upon viability. Council owned Local Plan site.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0029,,"Kirkstone Hotel, Moss Lane, Netherton",http://maps.sefton.gov.uk/webmaplayers/?x=334615&y=398017&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334547.9264,398099.7344,0.13,Not owned by a public authority,Yes,Permissioned,Full planning permission,14/07/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7OSG1NWK6K00,,14,,,,0,0,,,Former pub. DC/2014/01024 - for 14 two bedroom apartments. Figure of 14 is based on the existing permissionand apartments.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0166,,"Land at, Capricorn Way, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=333882&y=395605&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333827.5966,395571.2382,0.41,Not owned by a public authority,Yes,Not permissioned,,,,,15,Cleared site.,,,0,0,,,,20/12/2018,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L0031,,"Former Litherland Methodist Church, Wilsons Lane, Netherton",http://maps.sefton.gov.uk/webmaplayers/?x=333741&y=397686&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333788.0781,397614.8232,0.17,Not owned by a public authority,Yes,Permissioned,Outline planning permission,05/08/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O96C8XNW02Y00,,7,,,,0,0,,,DC/2016/01227 - approval for 7 dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0271,,"Land to the rear of 91-97B, Eastbank Street, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=333792&y=416928&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333769.2546,416939.1017,0.15,Not owned by a public authority,Yes,Not permissioned,,,,,10,Commercial buildings on the edge of Southport Town Centre.,,,0,0,,,,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0188,,"Bootle Gasworks, Litherland Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334501&y=396040&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334433.9302,396141.195,6.26,Owned by a public authority,No,Not permissioned,,,,,187,Large disused former gas works,,,0,0,Yes,,The site is a allocated in the Local Plan as a Regeneration Opportunity Site. This could make a very good housing site that would be suitable with the surroundings. The site is heavily contaminated and the site will have to be considered as a whole.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0179,,"Heron House, Crosby Road North, Crosby",http://maps.sefton.gov.uk/webmaplayers/?x=332224&y=398074&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,332208.984,398085.1486,0.13,Not owned by a public authority,Yes,Permissioned,,,,,48,Office block on the edge of the town centre.,,,0,0,,,,20/12/2018,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0214,,"Mayflower Industrial Estate (C3 pt), Liverpool Road, Formby",http://maps.sefton.gov.uk/webmaplayers/?x=330309&y=406342&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,330290.1604,406356.7608,0.32,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/10/2017,,,30,Old commercial site that has recent permission for housing in land off Liverpool Road,,,0,0,,,"Has permission for a care home and 22 apartments for the over 55s, (DC/2016/00230). Also permission for 32 apartments for the over 55s, (DC/2017/00387).",17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0077,,"101, Liverpool Road, Maghull",http://maps.sefton.gov.uk/webmaplayers/?x=337818&y=403536&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,337735.2774,403641.4281,0.15,Not owned by a public authority,Yes,Permissioned,Outline planning permission,10/03/2017,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OI46AFNWN1I00,,12,,,,0,0,,,Permission DC/2016/02394 for 12 apartments. Figure of 12 reflecst apartments.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0294,,"55A, Banastre Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=333518&y=416055&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333505.124,416071.9999,0.18,Not owned by a public authority,Yes,Permissioned,Outline planning permission,16/03/2017,,,6,,,,0,0,,,DC/2016/01472 - approval for 7 dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,M0079,,"Brooklands Farm, Brewery Lane, Aintree",http://maps.sefton.gov.uk/webmaplayers/?x=338173&y=399615&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,338120.2888,399584.4994,0.46,Not owned by a public authority,Yes,Permissioned,Full planning permission,31/03/2017,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OE7W9FNWM0400,,11,,,,0,0,,,Green Belt brownfield site with permission for 11 dwellings. DC/2016/01922.,17/10/2017,20/12/2018
