LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED
SH 2100,"Land Adjacent To 12 Wham Street,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593598/-2.2350793,384538,410806,British Coordinate Systems,0.1,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,31/03/2016,Outline Planning Permission,Outline application for 9 dwellings,9,9,,28/11/2017,05/12/2018
SH 2174,"78 Peel Lane,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.60014/-2.2267745,385090,411532,British Coordinate Systems,0.14,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,22/12/2016,Full Planning Permission,One 2/3 storey block containing 7 apartments,7,7,,28/11/2017,05/12/2018
SH 2200,"Land Bounded By Bethel Street, Earl Street & Taylor Street,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593374/-2.2209517,385473,410778,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/09/2016,Full Planning Permission,3 storey building containing 14 apartments,14,14,,28/11/2017,05/12/2018
SH 2205,"Land To Rear Of 62 - 82 ,Bury New Road,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.591558/-2.2692718,382274,410587,British Coordinate Systems,0.52,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,24/06/2016,Full Planning Permission,Erection of 9 dwellings,9,9,,28/11/2017,05/12/2018
SH 2222,"174 Bury Old Road,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.591688/-2.2462786,383796,410596,British Coordinate Systems,0.3,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/06/2016,Outline Planning Permission,Outline aplication for 7 dwellings,7,7,,28/11/2017,05/12/2018
SH 2249,"Mutual Mills (3 & 4), Mutual St, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.59619/-2.2090904,386259,411089,British Coordinate Systems,0.96,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 150 properties,116,116,Unknown,05/12/2018,05/12/2018
SH 2250,"Land Off Gregge Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.587336/-2.2095754,386224,410104,British Coordinate Systems,0.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 10 properties,10,10,Unknown,05/12/2018,05/12/2018
SH 2254,"The Sutherland Centre,Sutherland Road,Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.586592/-2.2460979,383806,410029,British Coordinate Systems,0.48,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,20/12/2017,Full Planning Permission,Site could deliver approximately 17 properties,17,17,Unknown,05/12/2018,05/12/2018
SH 2261,"Buxton Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.588096/-2.2170115,385732,410190,British Coordinate Systems,0.16,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,19/08/2017,Full Planning Permission,Site could deliver approximately 9 properties,9,9,Unknown,05/12/2018,05/12/2018
SH 0666,"Land Off Glen Grove / Wade Street, Middleton Junc, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.541514/-2.1757737,388449,405000,British Coordinate Systems,1.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 41 properties,41,41,Unknown,29/11/2017,05/12/2018
SH 1052,"Land Off Stainton Drive, Site D, Langley",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.560255/-2.2144383,385893,407092,British Coordinate Systems,1.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 40 properties,40,40,Unknown,29/11/2017,05/12/2018
SH 1103,"28-32, Rochdale Road, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.555522/-2.1965118,387079,406562,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1226,"Site Of New Jerusalem Church, Manchester Old Road, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.543594/-2.2270301,385053,405241,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,05/12/2018
SH 1244,"613 Manchester Old Road, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.543734/-2.2240278,385252,405256,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,05/12/2018
SH 1469,"Land At Boothroyden Road And Factory Brow, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.542599/-2.2254705,385156,405130,British Coordinate Systems,1.68,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 67 properties,67,67,Unknown,29/11/2017,05/12/2018
SH 1528,"Land Off Fielding Street, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.557306/-2.1936067,387272,406760,British Coordinate Systems,0.8,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 49 properties,49,49,Unknown,29/11/2017,05/12/2018
SH 1778,"Warwick Mill, Oldham Road, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.547451/-2.1958707,387119,405664,British Coordinate Systems,0.92,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 147 properties,147,147,Unknown,29/11/2017,05/12/2018
SH 1793,"Kings Arms, Higher Wood Street, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.553109/-2.2038967,386589,406295,British Coordinate Systems,0.08,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1849,"Land To The Rear Of 64 Rochdale Road, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.556899/-2.1953408,387157,406715,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 2066,"London House, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.547143/-2.1972276,387029,405630,British Coordinate Systems,0.25,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 42 properties,42,42,Unknown,29/11/2017,05/12/2018
SH 2110,"Land At Keswick Close,Langley,Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.556236/-2.2147954,385868,406645,British Coordinate Systems,1.28,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,17/12/2015,Full Planning Permission,3 storey extra care 88 apartments and 10 bungalows,98,98,"CafĂ©, hairdressers, treatment room, car parking, landscaping",28/11/2017,05/12/2018
SH 2112,"Milton Street Family And Children Centre,Milton Street,Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.552082/-2.1998618,386856,406180,British Coordinate Systems,0.16,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,29/01/2016,Full Planning Permission,Conversion to 8 apartments,8,8,12 car parking spaces and outdoor amenity area to rear of building,28/11/2017,05/12/2018
SH 2189,"Land Adjacent To 144 Hollin Lane, ,Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.561039/-2.2027271,386669,407177,British Coordinate Systems,0.18,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,02/09/2016,Full Planning Permission,Erection of 6 dwellings,6,6,,05/12/2018,05/12/2018
SH 2244,"Land At Newby Drive, Langley",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.560757/-2.2045525,386548,407146,British Coordinate Systems,0.65,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 20 properties,20,20,Unknown,29/11/2017,05/12/2018
SH 2264,"Former Middleton Citizens Advice Bureau,Milton Street,Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.552189/-2.2005264,386812,406192,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,02/02/2018,Full Planning Permission,Site could deliver approximately 6 properties,6,6,Unknown,05/12/2018,05/12/2018
SH 2271,"Land West Of Mills Hill Road, Middleton,",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.546843/-2.1702572,388816,405592,British Coordinate Systems,0.47,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,17/07/2017,Full Planning Permission,Site could deliver approximately 34 properties,34,34,Unknown,05/12/2018,05/12/2018
SH 2326,"British Vita Training Centre, Green Street, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.552984/-2.1812099,388092,406277,British Coordinate Systems,1.36,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 47 properties,47,47,Unknown,05/12/2018,05/12/2018
SH 2330,"Land At Hilton Fold Lane / British Vita, Middleton",Middleton,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.55362/-2.1826918,387994,406348,British Coordinate Systems,0.93,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 55 properties,55,55,Unknown,05/12/2018,05/12/2018
SH 0569,"Land Off Durn St, Durn, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.64643/-2.08772,385286,410756,British Coordinate Systems,1.34,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 53 properties,53,53,Unknown,05/12/2018,05/12/2018
SH 0594,"Ealees Area Of Opportunity, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.643183/-2.0936535,393906,416301,British Coordinate Systems,0.85,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,05/12/2018
SH 0610,"New Ladyhouse Mill, Off Stone St, Milnrow",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.606786/-2.1088067,392898,412253,British Coordinate Systems,0.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,05/12/2018
SH 0620,"Dale Mill / Arkwright Mill, Rochdale",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.625783/-2.1389292,390909,414370,British Coordinate Systems,1.82,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 74 properties,74,74,Unknown,29/11/2017,05/12/2018
SH 1530,"153, Ramsden Road, Rochdale",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.65011/-2.1342741,391222,417076,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1550,"Former Akzo Nobel Site, Hollingworth Road, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.638782/-2.1008278,393431,415812,British Coordinate Systems,7.5,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 174 properties,174,174,"Restaurant, public house, hotel and b1 business use",28/11/2017,05/12/2018
SH 1881,"8-26, Brown Street, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.644302/-2.099404,393526,416426,British Coordinate Systems,0.39,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 37 properties,14,14,Unknown,05/12/2018,05/12/2018
SH 1962,"Booth Hollings Mill, Rakewood Road, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.621859/-2.0743603,395179,413927,British Coordinate Systems,0.45,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 2056,"Land At Junction Calderbrook Road And Hare Hill Road, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.647752/-2.1017267,393373,416810,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,,28/11/2017,05/12/2018
SH 2197,"Land At Moorhouse Fold,Milnrow",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.612126/-2.1169826,392358,412848,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,31/08/2016,Full Planning Permission,Erection of 5 dwellings,5,5,,28/11/2017,05/12/2018
SH 2207,"Litho House ,Barehill Street,Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.644861/-2.097212,393671,416488,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,26/08/2016,Full Planning Permission,Conversion of factory to 8 dwellings,8,8,,28/11/2017,05/12/2018
SH 2214,"Proofings Technology Ltd ,Hare Hill Road,Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.64593/-2.0983641,393595,416607,British Coordinate Systems,0.76,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,10/02/2017,Full Planning Permission,Erection of 36 dwellings,36,36,,28/11/2017,05/12/2018
SH 2231,"Phoenix Iron Works,Howarth Street,Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.645933/-2.094068,393879,416607,British Coordinate Systems,0.26,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/06/2016,Outline Planning Permission,Outline application for residential development,9,9,,28/11/2017,05/12/2018
SH 2279,"Dale Mill ,Dale Street,Milnrow",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.610362/-2.1098286,392831,412651,British Coordinate Systems,0.56,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,27/03/2018,Full Planning Permission,Site could deliver approximately 68 properties,68,68,Unknown,05/12/2018,05/12/2018
SH 2285,"Land Adjacent To The Ladybarn ,Harbour Lane,Milnrow",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.60812/-2.11346,392833,412651,British Coordinate Systems,0.54,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,16/03/2018,Full Planning Permission,Site could deliver approximately 37 properties,37,37,Unknown,29/11/2017,05/12/2018
SH 2287,"Dene Works ,Edgar Street,Rochdale",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.63107/-2.1368144,391050,414958,British Coordinate Systems,0.26,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Permissioned,23/03/2018,Full Planning Permission,Site could deliver approximately 21 properties,21,21,Unknown,05/12/2018,05/12/2018
SH 2289,"Honresfeld,Halifax Road,Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.648082/-2.0810326,394741,416845,British Coordinate Systems,1.37,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,30/10/2017,Other,Conversion of factory to 8 dwellings,8,8,,05/12/2018,05/12/2018
SH 2292,"Dearnley Old Hall ,New Road,Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.638684/-2.1194005,392203,415803,British Coordinate Systems,0.39,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Permissioned,14/06/2017,Outline Planning Permission,Site could deliver approximately 14 properties,14,14,,05/12/2018,05/12/2018
SH 2293,"Sladen Mill ,Halifax Road, Littleborough",Pennines,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.652327/-2.0772735,394990,417317,British Coordinate Systems,1.7,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Permissioned,24/01/2018,Outline Planning Permission,Site could deliver approximately 40 properties,40,40,Unknown,05/12/2018,05/12/2018
SH 0483,"Site Of 53-61 Tweedale Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.609524/-2.1594612,389547,412564,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 0596,"Iversons Bldg, Drake St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.615965/-2.1554947,389811,413280,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 12 properties,12,12,Unknown,29/11/2017,05/12/2018
SH 0597,"High Birch School, Bolton Rd, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.604049/-2.1854032,387829,411959,British Coordinate Systems,0.61,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 24 properties,24,24,Unknown,29/11/2017,05/12/2018
SH 0641,"Land At Worcester St, Stoneyfield, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.603376/-2.1663592,389089,411881,British Coordinate Systems,0.38,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 15 properties,15,15,Unknown,29/11/2017,05/12/2018
SH 0660,"Site Of Process Plastics, Norwich St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.606427/-2.150019,390171,412218,British Coordinate Systems,1.67,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 67 properties,67,67,Unknown,29/11/2017,05/12/2018
SH 0893,"Former Oakenrod School And Land At Bridgefield St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.614137/-2.1714654,388754,413079,British Coordinate Systems,1.58,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 65 properties,65,65,Unknown,29/11/2017,05/12/2018
SH 1016,"Dunsterville, Manchester Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.605641/-2.1667913,389061,412133,British Coordinate Systems,0.17,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,05/12/2018
SH 1019,"Exeter St / Durham St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.608876/-2.153655,389931,412491,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,Unknown,29/11/2017,05/12/2018
