column,count
SiteRefere,3
SiteReference,767
SiteReference (also SHLAA Reference),3
SiteReferenceAlternate,1
Site_Address,1
Site_Name,1
Site_Plan_URL,1
Site_Ref,1
Siteplan,8
Siteplan URL,11
SiteplanUR,3
SiteplanURI,1
SiteplanURL,687
Siteref,1
SortOrder,2
Source,9
Source of the Site,1
SourcesOtherReference,1
Status,4
Status source,1
Status update,1
StrategicHousingLandAvailabilityAssessmentReference,1
Sui Generis,2
Suitable comment (Reg 4 (1)(b)),1
SuitableComment (Reg 4 (1)(b)),1
Supersed'/ c' replace,1
Superseded or replaced previous planning application,1
Supportg. 5+ dwellings or more than 0.25ha i.size,1
Supportg. 5+ dwellings or more than 0.25ha in size,1
System Reference,1
TOTAL NET CAPACITY,1
TOTAL_NET_CAPACITY,1
TOWNSHIP,2
Title,1
To be included on Brownfield Register,2
Total area (Hectares),1
Total site area (hectares),1
Total_ha,1
Type of Permission,3
Type_Permission,1
UPRN,17
URI,2
URLOrganisationLabel,1
Under construction at 1 April 2018,1
Uni_ID,1
Unnamed: 28,1
Unnamed: 30,1
Unnamed: 31,1
Unnamed: 32,1
Updated_Date,1
VersionNumber,2
WARD,1
Ward,7
Ward Name,3
Ward_Name,1
Ward_Nm,1
Weblink,1
Well Known Text Geometry,1
X,2
X_Ref,2
Y,2
Y_Ref,2
Year put on register,1
Year taken off register,1
additional field address 2,2
additional field calc area,2
additional field no at 30per ha,2
additional field no at 45perha,2
areaha,1
gid,2
id,2
links with zoom and long and lat,2
ownershipStatus,1
parish,1
permission,1
planningStatus,1
shlaareference,2
siterefere,1
url,2
x,2
y,2
yes,1
zoom,2
