count,name
1,"LastUpdated
Date"
639,LastUpdatedDate
2,LastUpdatedDate1
1,Last_updated_Date
1,Latest_MostRelevantResidentialApplication
2,Latitude
2,Local Authority
2,Local Plan Ref
1,Local Plan Site Allocation Reference / SLAA Site Reference
2,Local Plan reference/SLAA reference
2,Local authority URI expressed in the form http://opendatacom munities.org/id/follo wed by relevant type of authority and name of local authority
1,LocalPlanPolRef
1,LocalPlanURL
1,Local_Authority
16,Location
1,Location / Address
2,Location Coordinates North South
1,Location___Address
2,Locations Coordinates East West
2,Longitude
2,MAXIMUM NET DWELLINGS
1,MBC Brownfield Land Register (2019) : Part 1
2,MIN NET DWELLINGS
1,MINHOMES
2,MINIMUM NET DWELLINGS
1,MINNETDWEL
7,MINNETDWELLINGS
6,MI_PRINX
1,MORE_INFORMATION
2,Map Weblink
1,Mapping link [Siteplan URL]
1,Mapping link [SiteplanURL]
3,Maximum amount of Dwellings
2,Min Net Dwelling
31,Min Net Dwellings
2,Min-Max range of Net Dwellings
3,MinDetDwellings
5,MinHomes
1,"MinNet
Dwellings"
3,MinNet Dwellings
1,MinNetDwel
580,MinNetDwellings
3,MinNetDwellingsComment
1,Min_Capacity
1,Minimum Net Dwellings
3,Minimum amount of Dwellings
1,Minimum net dwellings
2,NAME AND ADDRESS OF SITE
2,NET CHANGE; units developed so far
2,NET DWELLINGS RANGE FROM
2,NET DWELLINGS RANGE TO
7,NETDWELLINGSRANGEFROM
7,NETDWELLINGSRANGETO
1,NETRANGEFR
1,NETRANGETO
2,NON HOUSING DEVELOPMENT
1,NONHOUSING
7,NONHOUSINGDEVELOPMENT
1,NORTH
16,NORTHING
11,NOTES
2,Name of Local Authority
2,"Net
Dwellings
Range
From"
2,"Net
Dwellings
Range
To"
2,Net DwelingsRangeFrom
26,Net Dwellings Range From
22,Net Dwellings Range To
2,Net Dwellings RangeTo
1,Net dwelling range from?
1,Net dwelling range to
2,Net dwellings
1,Net dwellings Range From
2,Net dwellings range From
2,Net dwellings range To
1,NetDwell00
1,NetDwell_1
2,NetDwellin
2,NetDwellingRangeTo
5,NetDwellingsRangeForm
627,NetDwellingsRangeFrom
1,NetDwellingsRangeFrom - mandatory where relevant
3,NetDwellingsRangeFromComment
619,NetDwellingsRangeTo
1,NetDwellingsRangeTo - mandatory where relevant
3,NetDwellingsRangeToComment
5,NetDwellingsRangeto
1,NetDwellingsrangeTo
4,NetDwelllingsRangeTo
2,NetDweloingsRangeTo
1,Netdwellingrangefrom
1,Netdwellingrangeto
3,New Dwellings Range to
1,NewDwellingsRangeFrom
1,NewDwellingsRangeTo
26,Non Housing Development
2,Non housing Development
1,Non-Housing Development
1,Non-Housing development
5,Non-housing development
1,NonHousing
5,NonHousing Development
3,NonHousing development
1,NonHousingDeveloment
1,NonHousingDevelopemnt
569,NonHousingDevelopment
1,NonHousingDevelopment - mandatory where relevant
1,Non_Resi_Dev
94,Northing
6,Northings
1,Northings (Geo Y)
1,Note
688,Notes
1,Notes UPRN for sites
1,Notes.1
10,OBJECTID
2,OPEN DATA WEBSITE
2,ORGANISATI
2,ORGANISATION LABEL
2,ORGANISATION URL
7,ORGANISATIONLABEL
7,ORGANISATIONURI
2,ORGANISA_1
1,OS map reference [OSGB 1936 ? British National Grid]
2,OSEasting
3,OSGB36
1,OSGB36 Easting
1,OSGB36 Easting OSGB36 Northing
1,OSGB36 Northing
2,OSGB36Easting
2,OSGB36Northing
2,OSNorthing
2,OSReferenceSystem
1,OWNERS
2,OWNERSHIP
4,OWNERSHIP STATUS
7,OWNERSHIPSTATUS
1,OragisationLabel
1,Org. Label
1,Org. URI
1,OrgLabel
1,OrgURL
1,OrgainisationURL
1,Organisati
1,Organisation
1,"Organisation
Label"
33,Organisation Label
22,Organisation URI
12,Organisation URL
2,Organisation Uri
1,Organisation label
585,OrganisationLabel
649,OrganisationURI
11,OrganisationURL
2,OrganisationURl
1,OrganisationUrI
1,Organisational Label
2,Organisational URI
2,OrganisationalLabel
2,OrganistionLabel
2,OrganistionURI
1,OrgansiationLabel
1,OrgansiationURI
2,Other
2,Other.1
2,OtherNotes
2,OtherSiteInformation
3,OtherSiteReferences
2,Outstanding development
1,OwenrshipStatus
9,Owners
2,Owners (if known)
1,Owners (if public sector or HA)
3,Ownership
1,Ownership 2
3,Ownership Information
40,Ownership Status
3,Ownership status
1,"Ownership: PA_owner, not PA_own., mixed_o'ship, unknown"
2,OwnershipS
657,OwnershipStatus
1,Ownership_Status
1,Ownership_Status: PA_owned [Public Autho-rity]; not PA_owned; mix. ownership; unknown
3,PA1Status
1,PA2MapNumber
2,PA2Ward
2,PA3MapNumber
3,PART 2
8,PART2
1,PDL area on the site (hectares)
1,PERMDATE
2,PERMISSION DATE
2,PERMISSION TYPE
7,PERMISSIONDATE
7,PERMISSIONTYPE
1,PERMTYPE
2,PLAN OF SITE
2,PLANHISTOR
2,PLANNING HISTORY
4,PLANNING STATUS
1,PLANNINGAPPLICATIONREF
7,PLANNINGHISTORY
7,PLANNINGSTATUS
1,PLANNINGSTATUSEXTRA1
1,PLANNINGSTATUSEXTRA2
2,PLANSTATUS
4,PPRN
1,PREVIOUSLY
2,PREVIOUSLY PART OF
7,PREVIOUSLYPARTOF
1,PROPFORPIP
2,PROPOSED FOR PIP
7,PROPOSEDFORPIP
7,Parish
32,Part 2
553,Part2
1,Part2 - mandatory where relevant
2,Part2allocation
1,PermiDate
1,PermiType
3,PermisionType
1,Permissi_1
1,Permission
1,"Permission
Date"
41,Permission Date
1,Permission History
36,Permission Type
1,Permission Types as req. by Gov.
1,Permission Types as required in BFLR
1,Permission date
1,Permission type
644,PermissionDate
1,PermissionDate -  - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.
2,PermissionDate1
1,PermissionDatePlanningHistory
4,PermissionHistory
2,PermissionTyne
651,PermissionType
1,PermissionType - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.
1,PeviouslyPartof
1,Plan
4,PlanPermission
1,Plan_Status: permissd. / pending / no app.
1,Plan_Status: permissd. / pending / no application
1,Planning Application Link
1,Planning Application Number
1,Planning Application Number and link to documents
1,Planning Application Reference
40,Planning History
1,Planning History URL
2,Planning History link
1,Planning Permission
2,Planning Permission Status
1,Planning Reference
1,Planning Reference Number
43,Planning Status
1,Planning application Reference
2,Planning history
3,Planning ref
1,Planning status
1,PlanningA1
1,PlanningA2
4,PlanningAppNumber
2,PlanningApplicationReference
1,PlanningAu
6,PlanningAuthority
11,PlanningAuthority1
11,PlanningAuthority2
11,PlanningAuthority3
2,PlanningHi
637,PlanningHistory
1,PlanningHistory (URL)
1,PlanningHistoryURL
7,PlanningReference
3,PlanningSt
659,PlanningStatus
2,Planning_Status
2,Planning_Status_Reference
1,Planningapplicationreference
2,Polygon
3,Postcode
1,Potential Housing Capacity (Min) (Gross)
1,Potential Housing Capcity (Max) (Gross)
1,PrevBLRRef
1,PrevSHLAARef
2,Previous Use
2,PreviousReference
1,Previously
26,Previously Part Of
1,Previously Part of
2,Previously PartOf
3,Previously part of
562,PreviouslyPartOf
4,PreviouslyPartof
2,Primary Source of Identification at DATE
1,Progress
1,PropUse
20,Proposed For PIP
2,Proposed For PiP
2,Proposed ForPIP
2,Proposed Use
1,Proposed demolition of existing buildings and construction of 7 dwellings including formation of access and parking and associated works.
8,Proposed for PIP
3,Proposed for PiP
1,ProposedFo
2,ProposedFor PIP
527,ProposedForPIP
1,ProposedForPIP - mandatory if yes
6,ProposedForPiP
1,Proposed_U
30,ProposedforPIP
5,Publisher Label
5,Publisher URI
1,Publisher URL
1,PublisherLabel
1,PublisherURI
1,REFVAL
5,Reference
1,Reference System
1,Reference_System
1,Register_Date
1,Residential Development Description
1,RowNumber
1,S15.11698
2,SCALE OF NON HOUSING DEVELOPMENT
1,SCC_Regeneration
1,SCC_SubArea
1,SCC_Ward
2,SHAPE_AREA
2,SHAPE_LEN
1,SHELAACrossReference
2,SHELAARef
1,SHLAA 2012 Reference
1,SHLAA reference
1,SHLAA&Local Allocation ref
1,SHLAA2018_Achievable
1,SHLAA2018_Available
1,SHLAA2018_Capacity
1,SHLAA2018_Suitable
1,SHLAA2018_Timescale
4,SHLAARef
7,SHLAAReference
2,SHLAASiteRef
1,SHLAA_CapacityApprox
2,SHLAA_Constrained_Total
1,SHLAA_REF
2,SITE INFORMATION
2,SITE NAME ADDRESS
2,SITE PLAN URL
2,SITE REFERENCE
1,SITEINFORM
7,SITEINFORMATION
2,SITENAME
7,SITENAMEADDRESS
1,SITEPLANUR
8,SITEPLANURL
1,SITEREF
7,SITEREFERENCE
1,SIteInformation
3,SIteReference
3,SOURCE
2,STATUS
6,Settlement
4,ShapeSTArea
4,ShapeSTLength
2,Shape_Area
2,Shape_Length
1,Shape_STArea__
1,Shape_STLength__
5,Site Address
2,Site Area in ha
1,Site Areaha [0.25ha min]
31,Site Information
1,Site Information / constrains
1,Site Information3
5,Site Name
2,Site Name & Address
26,Site Name Address
1,"Site Name, Address"
1,"Site Name, Address, Postcode"
1,Site Plan
22,Site Plan URL
3,Site Ref
1,Site Ref.
43,Site Reference
1,Site UPRN
1,Site URL
2,Site Yes (within 5 years)
1,Site coordinate
1,Site information
1,Site name/address
1,Site part of SHLAA [2012 Reference]
1,Site plan (url)
5,Site plan URL
6,Site status
4,SiteAddress
3,SiteAreasqm
1,SiteInfo
2,SiteInfomation
1,SiteInform
553,SiteInformation
1,SiteInformation - mandatory where relevant
1,SiteInformation1
1,SiteInformation2
5,SiteName
2,SiteName Address
1,SiteName/Address
2,SiteNameAd
660,SiteNameAddress
1,SiteNameAddresss
70,SitePlanURL
2,SiteProforma
2,SiteRefere
649,SiteReference
3,SiteReference (also SHLAA Reference)
1,SiteReferenceAlternate
1,Site_Address
1,Site_Name
1,Site_Plan_URL
1,Site_Ref
5,Siteplan
8,Siteplan URL
2,SiteplanUR
1,SiteplanURI
581,SiteplanURL
1,Siteref
1,Skylark Motor Services Ltd The Ridge Woodfalls
2,SortOrder
8,Source
1,SourcesOtherReference
4,Status
1,Status source
1,Status update
1,StrategicHousingLandAvailabilityAssessmentReference
2,Sui Generis
1,Suitable comment (Reg 4 (1)(b))
1,Summary Brownfield Land Register Part.1
1,Supersed'/ c' replace
1,Superseded or replaced previous planning application
1,Supportg. 5+ dwellings or more than 0.25ha i.size
1,Supportg. 5+ dwellings or more than 0.25ha in size
1,TOTAL NET CAPACITY
1,TOTAL_NET_CAPACITY
2,TOWNSHIP
1,Title
1,To be included on Brownfield Register
1,Total area (Hectares)
1,Total site area (hectares)
1,Total_ha
3,Type of Permission
1,Type_Permission
17,UPRN
1,URI
1,URLOrganisationLabel
1,Uni_ID
1,Unnamed: 28
1,Unnamed: 30
1,Unnamed: 31
1,Unnamed: 32
1,Updated_Date
2,VersionNumber
1,WARD
4,Ward
3,Ward Name
1,Ward_Name
1,Ward_Nm
1,Weblink
1,Well Known Text Geometry
1,Wiltshire Council
1,X
1,X_Ref
1,Y
1,Y_Ref
1,Yes
2,additional field address 2
2,additional field calc area
2,additional field no at 30per ha
2,additional field no at 45perha
1,areaha
1,full planning permission
2,gid
1,http://opendatacommunities.org/id/unitary-authority/wiltshire
1,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx
1,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8
2,id
1,not owned by a public authority
1,ownershipStatus
1,parish
1,permission
1,permissioned
1,planningStatus
2,shlaareference
1,siterefere
2,x
2,y
1,yes
